[50.295] (S)ドペン: おはよおはよ
[50.718] (S)ky1124boc: おはよ
[50.856] (S)tktktk_toshi: おす
[51.017] madowakusan: こんばんは〜♪(ｏ'ー'ｏ)ﾉ
[51.377] yamuwdjt: スタレ！！、？？？
[51.438] くもちゃん1: wwwwwww
[51.911] ジェッピー: なんで！？
[51.944] takasi1122: スタレは熱い
[52.133] risamo_: おはよおはよ
[52.338] fuyuto11: だれ？
[53.098] tomosashisu_8: ｵﾊﾖｵﾊﾖ
[53.129] beforedawn000: ファン太がスタレw
[53.430] (S)トラファルガー激ロー: #PR
[53.471] (S)jinta135: ｵﾊﾖｵﾊﾖ
[53.547] (S)イブオ: スタレま？
[53.899] (S)fc_mihara: 意外すぎるｗ
[54.087] (S)udon_54: 案件ｵﾊﾖ ｵﾊﾖ
[54.858] (S)PINODAY0: なんかTwitch表示変わってるー
[55.021] (S)zunda_17: スタレ！？
[55.210] tecchan1gou: www
[55.222] (S)やしがにさん: まさかの？ww
[55.231] (S)kouki_ojisan: クるキャラ多いぞ
[55.641] onyankopon0001: お金困ってるの？
[55.796] ゆみぃ626: え
[55.855] 銀河白鉄: デカい案件やね
[55.858] (S)kasutera_9646: 誰？
[55.867] (S)alkesituhaya: スタトレ？
[56.097] しへいぃ: 他所行き声
[56.200] ume_yamaguti: スタレキター!
[56.423] cbigon: ファンティスタレまでぃ
[56.508] でこはむ: オハョオハョ
[56.606] (S)peho_okok: きれいなファン太
[57.019] (S)tgf1357: tgf1357 subscribed at Tier 1. They've subscribed for 10 months, currently on a 10 month streak! 
[57.161] (S)i3ell_mouth: WTF???
[57.415] tukiyosi: うい
[57.529] (S)shingoshigaa: ｵﾊﾖｵﾊﾖ
[57.722] okuraoisi: ？？？？？？？？？
[58.018] (S)ishibashikun: おはよ
[58.530] しおいも_: ｵﾊﾖｵﾊﾖ
[58.747] (S)たくろす2: たくろす2 subscribed at Tier 1. They've subscribed for 10 months, currently on a 10 month streak! こんばんはー！！
[58.760] mushikui34: スタレや
[59.135] (S)きゅむぉ: な、なんと
[59.273] (S)tetere_sys: まさかのwwwwww
[59.296] れぶりみ: キレイなファン太
[59.408] (S)えなちゃ丸: ｵﾊﾖｵﾊﾖ 
[59.996] (S)hikarinxxxx: 999
[60.076] (S)ruruxxx02: ま？？？
[60.197] ベアベアベアー: まさかのソロ！？
[60.233] marosu1003: ファン太、列車に乗れ
[60.429] Lutz_06: wwwww
[60.791] (S)ともこ: がてぃ？
[60.814] (S)じぇんじゃむ: 社会人すぎる
[60.991] tecchan1gou: はいどうも
[61.100] mochomotto: こんちゃ
[62.096] (S)漆ツーリング: ButtonMash
[62.106] くもちゃん1: え
[62.405] 甘酒014: PopNemo
[63.132] kukurun08: 実況者かよ
[63.467] (S)alohapon: ｵﾊﾖｵﾊﾖ
[63.789] (S)pua_a: fantas22Muscle
[63.919] (S)nana43: スタレ！？
[64.814] nininbou: 案件や！！！
[64.906] かるま1248: この案件は凄いな
[66.067] (S)hikarinxxxx: 銀河鉄道ですよね
[66.136] 焦がしメンマ: yoichi6Penraito
[66.301] (S)らる_: こんー
[66.324] (S)reo214214: ムキムキ女子いなかったらバックれよう
[66.345] (S)rlrlpo: 案件きちゃあああああああああああ
[66.497] (S)neet_1747: 声が綺麗です 
[66.500] (S)きゅむぉ: !title
[66.557] (S)famimachan: え？そんな人だった？
[66.662] (M)Nightbot: @きゅむぉ -> Current Stream Title: 『崩壊：スターレイル』完全初見プレイ #PR
[66.897] (S)ごげます: fantas22NF
[66.971] (S)rebecca_76star: オハヨ オハヨ
[67.092] toto_0831: すたれま！？
[67.096] fuyuto11: 実況チャンネル！？
[67.576] (S)sakurafrasca: 草
[67.784] くろねこくろ: 案件？
[68.148] (S)ビッツヒデ: ちゃんと下ネタいえよ？
[70.918] (S)udon_54: 営業精神出てますよ
[71.148] (S)saida_sodaaa: らしくねぇ笑
[71.733] reitoutoufu: いつものファン太じゃない
[72.039] (S)ごげます: fantas22Kitanai
[72.213] cbigon: 案件きたこれ
[72.981] (S)tarochan753: wwwww
[73.289] (S)rlrlpo: うぉおおおおおおおおおおおおおおお
[74.087] (S)ふっくらたまご: までぃ
[74.275] (S)トラファルガー激ロー: ずびずびやん
[74.728] toto_0831: 原神もやろう
[75.082] patto_1023: セクハラ配信者 案件をする
[75.216] shogoaaaaaa: 成長したんですね
[75.278] (S)xyz_3931: ｵﾊﾖｵﾊﾖ
[75.330] reanbel: ほんかい？ほうかい？
[76.021] けんちんんんん: fantas22Nice
[76.161] (S)かぐらんチャン: 声がキレイになってるやん
[76.505] (S)~MISSING_COMMENTER_INFO~: ファン太さん！？
[76.585] 桜乃ちゃそ: スタレの案件は意外すぎる
[76.669] marosu1003: 今日で今あるとこまで終わらせろ
[76.711] (S)スキン: ソロで？w
[76.787] (S)ぺんた326: 楽しみー 
[76.865] toshizo_zzz: めずらしい
[76.886] (S)まぁめ: まぁめ subscribed at Tier 1. They've subscribed for 10 months! 
[76.954] (S)ファイブゼット: wwwwww
[77.665] onyankopon0001: 変わっちまったな
[78.005] totorira: DinoDance
[78.269] ume_yamaguti: あつ
[78.570] (S)tofu_mint: ちゃんと言ってくれww 
[78.953] yuni5877: うおおおおお
[79.033] higanbana0602: ファン太さんスタレ！？
[79.818] kore552: セクハラを忘れるな
[80.567] poteto_sc30: www
[81.243] nininbou: #PR
[81.270] (S)さちゃすけ: まさかすぎる
[81.405] しへいぃ: 完全！
[81.483] 銀河白鉄: がてぃ？
[81.881] もちもち0808: ｱｻﾞｽ
[82.087] (S)meru_sen: ﾌｧﾝﾀﾁｬﾝｶﾞﾝﾊﾞﾚｰ！
[82.109] (S)ごげます: fantas22Chigau
[82.266] (S)hirosn: 緊張してる？
[82.358] (S)molybdenum_steel: karubisFurifurii
[82.478] ブッチギリギリ: うい
[82.992] mochomotto: 案件モードきた
[83.213] (S)ファイブゼット: 嘘みたいに言うな
[83.773] (S)zenokz216: zenokz216 subscribed at Tier 1. 
[84.214] (S)kasutera_9646: 下ネタはどこまでokですか！？
