[230.073] (S)yoyoyo_zex909: 私も見れば勉強になるかな
[232.328] Truuio: シュートさん色んな人に教えてるよね
[235.373] lchlkawa: キャミィみたい
[236.847] りなどら: シュートさんは、スト６でマリーザにブランカをメインにプレイされてますね
[237.148] ちゃっぺ: ブランカすごい上手かったです昨日成長した
[239.835] (S)yoyoyo_zex909: 本当にお疲れ様でした
[245.701] (S)hanquing: hanquing subscribed at Tier 1. They've subscribed for 12 months! 
[248.399] (S)SingJaiX: ~MISSING_MESSAGE_INFO~
[252.899] tent_37: 春麗使ってくれ！
[255.091] msqqk855: スト6のコントローラー見せて
[260.024] vingaroo: Good afternoon iori san
[262.884] カイいおりん大好き: 使用キャラ隠したいで言ったのでてっきり配信なしと思った
[266.754] MERIDA105: マリーザ？？？？
[269.436] koubako_cat: 頑張ってーー👊
[269.454] ちゃっぺ: 今日は配信してくれてありがとうございます😊
[271.373] bigface_forrest: ブランカグリーンのニット
[275.021] (S)しゅば_るつ: 昨日、ハイタニさんとの練習見てたけど上達半端なかった！
[278.315] jetjelly: シュートさん？
[278.633] kasu1123: いおりんって格げー初心者？
[281.249] 天使とあくま: こんばんはー
[284.574] kazu_2212: こんばんは
[286.827] りなどら: ですね、もう明日だ
[293.368] ちゃっぺ: ひなーのさんのキャラもわかってるから頑張れますね
[296.651] (S)もこ3: こんばんは
[299.396] nobuhito_28: こんばんは 
[301.978] りなどら: 合計4時間でしたね
[302.213] jetjelly: 後ろの猫ちゃんｗ
[303.033] kasu1123: えええめっちゃうまかったよ本当に！！
[303.821] tent_37: すごい
[309.615] ちゃっぺ: 3時間やってましたね😊ずっと見てました
[309.849] fanjowago: えっちですこ！
[312.650] kimNit0: まこうマスター
[313.952] (S)コクトー5: めっちゃうまくなっててすごい
[316.813] (S)コミュ: メッチャ！？！？
[320.559] msqqk855: もこうチームだっけ？
[320.904] 天使とあくま: 成長…だと⁈
[322.976] カイいおりん大好き: どっちも推しなので、今回両方応援します
[326.787] りなどら: あら、３時間でしたか。失礼しました
[328.982] fanjowago: ロケ車で寝たりするの？
[330.065] 屁弟: 晚上好
[330.231] あるぅぅ: ねてもいいですよ
[330.937] ちゃっぺ: 今日は朝早くからお疲れ様です
[333.188] masakunn1794: モダンか
[339.176] crazyrabbits0813: 実質プロ
[339.494] 天使とあくま: 寝てください
[341.049] kasu1123: 昨日の練習配信なくて残念だった；；
[343.253] jetjelly: チョコ？
[346.507] ちゃっぺ: アケコンは指疲れませんか？？
[346.753] masakunn1794: モダンでしたか
[348.099] 密勒顿: 晚上好
[348.126] fanjowago: 寝配信くかさい
[348.938] (S)コミュ: 知的なお姉さん！こんばんは～！
[353.391] jetjelly: 晩ご飯はどうですか？
[359.686] 天使とあくま: 何チョコ？
[367.068] (S)コミュ: 声だけ、聞いてたよ！
[369.405] tekito_ikitai: 努力家すぎる好きだ
[375.092] kasu1123: ハイタニ先生のところで見てたよ！！
[376.965] jetjelly: ももちゃんだ
[377.054] kimNit0: 機密バレてるでしょw
[378.225] ちゃっぺ: ももちゃんきた！
[382.514] カイいおりん大好き: 一瞬だけど、いおりんゴールド昇格おめでとうございます🎉
[386.363] (S)コミュ: ももー！
[392.454] (S)hanquing: neinC
[396.087] hirosor: アケコンの音最高でした！
[399.320] 天使とあくま: 猫いる
[403.225] masakunn1794: アケコンですか？
[407.122] りなどら: 昨日の練習配信見たい方は、ハイタニ先生の配信にて。アケコンのレバー音が気持ちよく聞こえますｗ
[407.608] (S)コミュ: chi0v02
[420.175] ちゃっぺ: ブロンズからやってゴールドまで登るのすごいです
[420.686] kasu1123: すご！！
[421.160] カイいおりん大好き: 初心者でゴールド昇格は凄いよ
[422.896] MERIDA105: はやw
[424.340] あずきモチ: すごい
[426.217] sio122: 可愛いし綺麗は反則ですよ
[427.946] pokeeee4444: もこうぶったおせ！
[430.418] (S)コミュ: moeiorClap
[430.938] tanaka225: はや
[431.407] koubako_cat: 猫ちゃん用のイスあるのいいねー😺
[433.454] kimNit0: なあピント猫に合わせてくれ
[434.011] (S)ずず__: こんばんはー
[435.960] masakunn1794: アケコンは何使ってますか？
[437.765] あるぅぅ: ｗｗｗｗ
[438.447] jetjelly: 確かにｗ
[439.312] (S)ずず__: moeiorClap
[439.923] (S)コクトー5: もうちょいでプラチナやん！
[443.069] ちゃっぺ: マイクが高性能すぎて凄かった
