[235.062] (S)marui_ao: hiirag17Fight
[236.180] (S)aixxx35: いけそう
[236.497] (S)08ryyyyy: ありがとねぇ！！！！！
[236.715] (S)samuclown1027: hiirag17Fight
[237.296] (S)クキ91: たのしみだ
[244.146] (S)gyunyuma: 配信ありがとう
[244.193] (S)むてきまる: マスター到達したらマジでマルギやん
[244.672] (S)samuclown1027: いけそう
[244.897] (S)ゆずレモン3: 2回行動まじか
[245.093] (S)08ryyyyy: 俺は嬉しいよ
[247.692] (S)tyura715: マスターツルギみたーい！
[248.247] (S)くまマリー: PokPikachu
[250.129] mebiusop: 喉結構戻って来たか？
[250.178] (S)96marusan: ガチでいけるぞ
[251.262] (S)aixxx35: えら
[251.537] fuu5353: おおお！
[251.847] (S)marui_ao: おー
[252.073] (S)nekuran2: いいね
[252.265] (S)クキ91: 座学ないす
[252.580] (S)tsura_nimu: いいねえ！！！
[254.413] (S)gyunyuma: お
[254.486] (S)ポン酢1010: hiirag17Nice
[254.830] (S)08ryyyyy: えら
[256.742] (S)cucumber_q3: いいね
[256.756] (S)siomm_: えら
[256.868] (S)usaharasyu: JPは？
[258.252] (S)applleeeeeem: 嬉しすぎる
[258.801] (S)みじんコ: いいね
[266.301] (S)marui_ao: いいやん
[267.365] (S)fig_0106: スト6あつ
[275.715] (S)pero0420: がんばれー
[280.745] (S)rrluti: コンボも覚える予定なし？
[284.963] (S)gyunyuma: スト6まじでありがたい
[291.547] (S)aixxx35: 一歩ずつね
[295.329] bottieee: いいねえ
[298.903] おこんなっつ: マジで配信ありがとう😭
[302.092] (S)pero0420: ツルギが勝ち越したらマクド買ってくる
[302.984] (S)ggnicefight117: げんきだね
[305.876] (S)usaharasyu: 緑道着やめたの？
[321.364] (S)nnn1007: やったー！
[323.142] shimon_ragan: こくは捨てべ
[325.757] (S)くれないきつね: おぉ！枠あった！
[340.890] (S)ranran013: にょっ
[347.784] (S)narumi2424: ダイヤ2いこうぜ
[350.618] bottieee: 練度上げてたいな
[356.464] (S)henyotto3: 配信ありがてぇ
[360.418] (S)針山ぽてこ: hiirag17Fight
[363.143] (S)はちみつ832: 弱おすだけだよい
[370.249] (S)ShuNsssNuhS: 弱でキャンセルできるぞ
[387.433] (S)ranran013: おおーー
[391.898] アルミナ_積みゲー消化: こくがよくやってるやつや
[393.771] (S)narumi2424: こ、こくがくるぞぉぉ
[397.635] (S)wodkaaa_047: かっけえやつやん
[403.061] (S)ふぁっふぁ: hiirag17Fight
[404.290] (S)wantanmeeenjr: かっこよ
[406.768] bottieee: 体調悪いのかよ
[410.060] (S)ゆずレモン3: こくにぃ体調悪いん？
[416.265] (S)ようま: 遅い
[422.204] (S)reco452: 匂わせ？
[422.419] きんたろー: 37.6
[424.224] (S)くまマリー: みんな体調悪い
[431.026] (S)ようま: だめ
[432.588] (S)とっぷっぷ: 季節変わってきたからなー
[434.393] (S)tyura715: わかる、、
[434.944] pepeko73: 風邪大丈夫？
[435.534] (S)mairudo74: 繋がってない
[437.470] pachi_888: ガードの設定変えれば繋がってないとガードするよ
[438.248] (S)ゆずレモン3: なんか流行ってるのか
[439.997] (S)fig_0106: 季節の変わり目だしね
[440.123] (S)ufxnfy: hiirag17Bye
[454.052] (S)4nikillzou: やあ
[467.142] (S)mei0403aaa: 私も声カッスカスになって一週間治らない
[472.922] ひまわりちゃ: スキン変えたの？
[474.016] (S)haldaodao: ケン色変えてますやん
[493.807] (S)takec1230: おつー
[502.005] (S)Lua_o_o: スト６きた！
[503.068] (S)fineday43ab: スト6きたあああああああ
[503.340] pepeko73: いつの間にモダンに戻したん？
[507.039] (S)ようま: ヒット数で繋がってるかわかるよ ツルギ
[512.565] (S)はちみつ832: つながってる！！！！
[518.312] (S)fineday43ab: やっぞ
[520.465] (S)marui_ao: はいー
[520.679] (S)hotatechang55: がんばれ
[522.507] (S)fineday43ab: かませ
[523.667] (S)るぁ__: hiirag17Fight
[530.502] fuu5353: ふぁいと～！
[533.932] (S)alice_room: あれスト6始めてる
[535.353] (S)fineday43ab: りゅうには負けれねえ
[541.997] (S)maple_0217: hiirag17Bbb
[548.239] (S)ufxnfy: hiirag17Fight
[555.988] (S)fineday43ab: やすいか_
[567.997] (S)tennano1225: tennano1225 subscribed with Prime. They've subscribed for 2 months! 
[572.107] joe_i17: 配信あったー！うれしー！
[574.937] (S)fineday43ab: コパあばれ
[588.105] bosobosoinu: ちゅえー
[598.777] (S)ichigoore0141: 頑張ってー
[599.849] rappausagi1: 強度によっては相手有利
[610.759] (S)Omot1_: にょ
[629.616] クリオネア: うまい
[631.952] (S)fineday43ab: よーーーーーし
[634.952] (S)yamadasanchi: hiirag17Nice
[635.149] kei04050: ないす
[635.364] (S)gyunyuma: なーいす
[636.265] (S)z1gzagb: ナイス
[637.810] sho_acp: だーにょ
[638.024] (S)hotatechang55: いいねぇ
[638.776] (S)かみんちゅう: よーし
[639.838] (S)konishi625: hiirag17Nice
[645.785] (S)ano_ne: ano_ne subscribed at Tier 1. They've subscribed for 3 months! 
[647.625] fuu5353: ないす！
[662.634] (S)イヌマツ: ダイヤの顔してる
[677.531] pachi_888: このリュウちょっとあやしいなwww
[689.612] kscr_e: ダイヤいっとる
[700.431] fuu5353: おお
[701.169] (S)matsuobashuu: モチベ高いなぁ
[708.828] (S)かみんちゅう: お
[712.433] (S)z1gzagb: おお
[712.861] (S)fineday43ab: よーーーーーし
[714.168] (S)くまマリー: hiirag17Nice
[714.226] fuu5353: ないすー！
[714.688] (S)yonefu: なーーいす
[714.871] (S)oh_so_good: タフ
[714.958] (S)わいへいち: おおお！
[715.424] tmgapmj: おーー
[715.458] (S)クキ91: hiirag17Nice
[716.010] bosobosoinu: なぁいす
[716.848] kei04050: ないすー
[717.278] (S)ポン酢1010: ないすー！！
[717.837] (S)wantanmeeenjr: ないすー
[717.846] (S)みじんコ: よーーーし
[718.361] (S)tomouoo: なーいす
[719.457] tmgapmj: ないすー
[720.074] (S)e_su_kun: ないすー！
[720.814] (S)クキ91: いーねー
[721.680] (S)イヌマツ: キメラッシュかっこいい
[721.776] (S)honokagggg: hiirag17Nice
[722.269] (S)かみんちゅう: なーいす
[724.451] (S)fineday43ab: 波動刺さった
[735.565] (S)fineday43ab: それはでかい
[737.749] fuu5353: すご
[741.470] (S)むてきまる: パなし手やな
[754.078] rappausagi1: 中波掌撃だけコパンとか確定で入るけど打ってこないと思う
[755.641] (S)mairudo74: うめちゃん
[755.811] syama666: いるいる
[758.241] kei04050: いるはず
[765.449] (S)takeru3614yu: いるね
[769.147] (S)fineday43ab: ぱなすねえ
[773.501] (S)takeshirevenge: いるね
[775.464] (S)z1gzagb: いいね
[776.950] (S)v1ster1a: いいですねえ
[779.190] (S)usus999: いいね
[780.126] fuu5353: ないす！
[781.491] (S)ううな: ないすー
[782.140] (S)konishi625: hiirag17Nice
[783.142] (S)みじんコ: いいねぇ
[784.433] (S)hotatechang55: ないす
[788.657] rappausagi1: 👍
[795.689] (S)takeru3614yu: 立ち回りまじで上手くなってるな
[796.251] (S)fineday43ab: 見えてます
