[370.905] (S)ponponguripon: しんっ
[371.176] mktokidoki: こんばんは ザンギとリュウと快楽を得られるのはどちらですか？
[372.304] rebando: おおー
[373.861] ましゅダヨ: へーる
[374.708] bec118_japan: いってないーー
[376.232] 5don: P
[376.553] 闘劇のアルベルト: へっる
[377.703] (S)b3kozou: b3kozou subscribed at Tier 1. 
[378.837] gajpmwtdpw: インターン生たかし
[379.886] (S)木佐0079: そういえば、ウメちゃんもジェイミー触ろうかな～って言ってなかったっけ？
[380.131] (S)軽く捻るか: P
[380.242] smile9104: MercyWing1
[380.386] (S)kakutora_no_o: 大ゴス一閃
[385.295] (S)hoshi_boshi_0: ヒュ〜
[391.161] 瀬戸弘司はんじょう: himoliGG
[401.646] ベルクト君: TwitchConHYPE
[403.409] げら: リュウのコンボは麻薬 
[422.580] ましゅダヨ: 新人の顔じゃないのよw
[424.672] trigger_pp: mago2dSyuutyu
[436.732] wrwig: 集中スタンプ好き
[446.823] SUGAKIYA: ケンとはビジネス リュウが本命
[450.424] ~MISSING_COMMENTER_INFO~: 何時まで？
[455.653] (M)Moobot: That's a tad too many emotes, @Hachi3_issg (warning)
[457.095] ましゅダヨ: マゴさんスタンプ作ったんかwww
[460.925] nisshann1234: BibleThump
[470.943] chocolat1234: こんばんわ😀
[471.960] 5don: マゴさんとこの集中スタンプいいなぁw
[474.935] (S)kakutora_no_o: ？？？「ウメハラさんはリュウに頭がやられてるから」
[494.087] tabibitox: 奮迅ほしい
[496.102] Hachi3_issg: nemohand1SOS
[496.431] potocki1810: RyuChamp
[504.673] cpmt: ジェイミーやる？？
[513.081] 瀬戸弘司はんじょう: hanjouTo
[515.478] une3333: こんばんはー
[520.681] ましゅダヨ: アマプラ入ってます？草
[526.947] いずみ99: サブスク気になっているのですが特典はどのようなものがありますか？
[529.917] une3333: あれ、リュウ！？
[531.996] herumesuwind: 波動拳と昇竜拳のないのないリュウ
[534.929] pekusuyada: ジェイミー見たいよお願いだよ〜
[538.681] 吉田じんぎ: ディスコードに入れる
[554.135] ましゅダヨ: 特別スタンプ使えるようになるのとdiscord入れるようになります。
[557.211] (S)kakutora_no_o: umeYay
[560.674] (S)イエール: サブスクディスコに入るとTシャツとかチケットの早期特典あったりする
[564.278] ハルキ10: umeCossack
[565.012] bec118_japan: いずれ羊毛フェルトも見れる
[569.401] ltanyaol: リュウの最終評価はどんな感じです？？
[569.911] potocki1810: サブスクしてると限定グッズ買えたりしますー
[570.106] ましゅダヨ: umeJudo
[585.742] 吉田じんぎ: umeSalute
[586.877] ハルキ10: umeGu
[588.718] tatsumi2025: ジェイミー触ってるのかと思ったらリュウで対策を考えているだけだった
[594.194] (S)イエール: umeYung
[596.440] 新ころりん: 梅ちゃんこんばんは リュウはさ一旦最終選考抜けでOKなのかな？
[596.448] ましゅダヨ: ウメハラじゃない人もスタンプにはあります 
[596.909] 5don: @1z_3ri 何年か前の「サブスク加入者限定動画」も、いくつか視聴できるようになりますよー。限定Discordに参加すると
[598.061] はらくだり: 最終面接生き残ったのかリュウ
[602.067] いずみ99: ありがとうございます😭ディスコの中身ってどんな感じですか？
[602.945] v_harumi_v: ウメちゃん、こんばんはー。最終面接に合格したリュウさん
[605.030] pined0gg: たつまきせんぷう！
[605.953] hinatazaka46_hinanoosi: naru04Nice
[610.341] さぐり: 過去作で破掌擊ってありましたか？
[611.483] 36mgh: 昨日リュウの最終面接だったはずなのにいつのまにか試用期間始まってた
[612.868] (S)496shikuro: ファイナルラストチャンス採用
[613.795] gatmiya: リュウ面接受かったってマージか
[614.128] thinwaki: 内定？
[615.553] gb_niconico: こんばんわーりゅう使ってると言うことは、面接受かったんですね
[622.950] aoa2011: 知を得る
[627.204] bec118_japan: 羊毛フェルト動画はガチで待ってる
[628.626] (S)ひまんちゅ: 昨日は二次面接だったらしい
[629.034] puniwo: 一次面接突破
[630.315] (M)gameinntwitch: Twitchの広告が無くなる
[633.849] at37itadakiyasu: 契約社員にはなれたのか？
[634.063] (S)イエール: え！！まだなのww
[635.323] potocki1810: ｗｗｗｗｗｗｗ
[635.948] gatmiya: んっ！
[636.207] 5don: 書類選考中…？
[636.432] はらくだり: え
[636.861] ピヨさん: まだだった
[636.923] smile9104: RyuChamp
[637.367] 吉田じんぎ: ハドゥーケン
[637.576] rebando: まだ命繋いだとこ
[638.463] chocolat1234: ながいね＾＾；
[638.763] akittyan: え？
[638.776] 新ころりん: まだ最終選考試験中か
[639.437] v_harumi_v: 審査中だった
[640.288] 凪水: 試用期間
[640.386] tabibitox: 香港の若い子
[640.493] ましゅダヨ: 受かってないよ！←はやい
[640.702] dezipt: がんばれリュウ
[641.111] dyechi: バイト期間
[641.988] CARNO_JPN: 厳しい
[642.212] (S)marton_ss: RyuChamp
[644.179] norixyl: 圧迫面接
[644.955] matoo0777: えーｗｗｗ
[645.706] ベルクト君: 2次まで来ただけか
[647.443] eyessick: 本番面接
[647.519] necomuraneco: 吟味に吟味をね
[647.538] (S)yukikaze083: まだだったｗ
[649.195] (S)毒見ユッケ: 隆「え？」
[650.319] (S)イエール: Googleくらい面接がなげーw
[650.617] (S)kakutora_no_o: 面接中でした
[651.397] しすてむえらー: 厳しい審査基準
[654.310] 箸くれ: 長期面接
[654.536] (S)ichione111: がんばれリュウ
[656.367] ~MISSING_COMMENTER_INFO~: 面接ありがとう
[656.536] ajipon_00: RyuChamp
[656.594] wrwig: 面接中です
[657.035] intvfpa17: マジか
[657.149] thinwaki: 超大手企業だから仕方ない
[657.615] herumesuwind: 働いては貰ってるけどまだ
[658.772] tsubame0614: 試用期間ってことか
[658.990] ましゅダヨ: mickeyだ！
[659.689] 5don: ラストチャンス優勝してなかったかぁ…w
[660.944] ピヨさん: ここから落ちたらショックでかいだろうなぁ
[661.033] gatmiya: 4次面接くらいまであるタイプの選考か～
[661.201] ハルキ10: リュウがんばえー
[661.456] (S)ponponguripon: 受かるといいな！
[661.652] wrwig: 長期面接
[663.597] (S)potata_725: リュウがんばれ
[664.837] ましゅダヨ: 🧀🐭
[665.253] フﾄ: 一生書類審査の男
[665.674] warotyphoon: すでに結構働いてる
[674.912] wrwig: 3次面接くらいだね
[676.995] ピヨさん: まずはバイトから
[678.842] gb_niconico: まだだったー(￣▽￣;)
[680.578] potocki1810: RyuChamp
[681.764] pot___t: daigo using ryu brings happiness to me 
[683.827] Armaeterna: 話題性とるならリュウじゃんねぇ？
[687.474] gajpmwtdpw: 審査中の間リュウは無給なん？
[690.424] (S)ひまんちゅ: 面接に合格後3ヶ月間の試用期間があります
[698.204] dyechi: そりゃ30年無職だし
[700.874] CARNO_JPN: ブラックは面接で内定が出る
[701.823] masayayo: 本調整来るまで無給か～～
[704.669] (S)イエール: 有給のインターン生だと信じよう
[708.346] teruharu_: RyuChamp
[709.688] (S)miruko003: umeCossack
[718.161] jeven16: daigo is ryu, ryu is daigo
[720.021] 36mgh: ここの頑張り次第だぞリュウ
[720.392] KEI_kgd: 無給試用期間...
[722.032] SUGAKIYA: リュウさんはタダでも働きますって言ってるよ 落とそう
[729.788] gatmiya: 「私の長所は集中です！」
[736.930] (S)イエール: ww
[739.984] volken3: 昨日が最終面接じゃなかったのか
[744.016] (S)毒見ユッケ: 集中は持続するのかね？
[749.397] CARNO_JPN: リュウは何度もハロワに行っている
[751.051] leaf1341: もうリュウじゃなきゃダメみたい
[751.143] 5don: 面接官「集中したあとにも通常波動を撃てますか？」
[754.210] Natsuri_k: まさかまだリュウを使っているとは
[755.977] v_harumi_v: まだ審査中らしいです
[757.486] (S)イエール: 「私の短所は集中すると弾が打てなくなるところです」
[758.210] kahaku91: 梅原さん 今日こそは 強さに重点を置いてください
[760.057] dezipt: そのジャスパはなー
[760.441] gajpmwtdpw: 常に集中しないのに長所は相当面白い
[762.858] wrwig: リュウでキャラ別対策トレモやり出したらいよいよ本気よ
[763.933] megaga99: カプコンは何時までリュウを無職のままにするんやろ
[765.791] pochichan11: 試合中に集中してない奴いらんやろ
[766.779] gatmiya: 宵越しの集中は持たねぇタイプ
[767.049] thinwaki: 普段集中してないと言うことですか？
[768.918] touruko: たかし続投ありがたい
[770.715] orangerol: リュウには愛されキャラでいて欲しいからあまり強くなるのはちょっと…
[779.700] aiukake: 必要な場面で特に集中力が高いということです
