[284.191] menpati: あけおめー
[285.052] ememeume: 聞こえるー
[285.280] torasan201202: umeStretch
[285.840] may_show: are you ok?
[287.185] 何も知らないジョンスノウ: きこえる
[287.369] _ねこた_: 聞こえます！
[287.538] とりあえずちさと: YES
[287.602] Joker_plus237: オンラインしてる人いるの？
[287.863] ありぴっ: きこえる！
[288.054] arclamp01192: 聞こえてます
[289.056] kumatedd: さっぱりしてきたやつだ
[289.454] (S)hituji__: hituji__ subscribed with Twitch Prime. They've subscribed for 9 months! ノリノリなうめちゃんいいぞ
[289.547] (M)Moobot: Thanks for subbing for 9 months, @HITUJI__ 
[289.872] (S)nabenights: ウメちゃんあけおめ
[290.180] prosciu: あけおめー
[292.161] 斉川: あけおめめ
[292.526] redbull_athlete_2020: よかったー
[293.613] balthazar000: ７度、、、？
[293.693] ふ菓子: 今年もよろしくお願いしますー
[293.709] (S)manabubb: さすがに？
[294.124] soramoko: さすがに('Д')
[295.102] umememe: 熱あったんかい
[297.260] ememeume: よかったーーー
[298.601] ゅり: あけおめー
[300.452] kanegon7237: 大丈夫ですかウメさん？？？？？？？？
[301.054] ありぴっ: よっしゃカゲ！
[301.170] ぐらぁ: やば
[304.148] balthazar000: 悪化っていうレベルじゃない
[304.575] kumatedd: 熱はヤバイ
[304.938] (S)myruju: umeCatGlare
[305.092] みょうぎ: 今年もよろしく
[305.138] (S)ポンポン: ウメちゃんあけおめー
[306.232] オルちゃん: 実家に帰らなきゃいけないきまり
[307.406] dom0629: まーじか
[308.171] masapaka: インフルじゃーん
[309.221] shupii097: もう年やな
[311.308] simple_geek: WutFace
[311.948] avmajvm: そんなひどかったんか
[312.521] ememeume: sakoさん配信見ました？
[315.177] kumatedd: 配信したらぶり返すのでは？
[315.321] (S)kaworuko19: 363日のおきてが・・
[317.365] ありぴっ: インフルか
[318.558] ギュウタン: インフルエンザだ
[319.878] ememeume: ツライ😭
[320.650] lun__01: 療養にゲームですか
[321.841] (S)ポンポン: いや寝とこうよ
[322.735] leleira: こんばんわ〜☆
[322.754] shomarusan: チャリティで風邪もらったんかな？
[322.898] bunbun0880: カゲ楽しい？
[326.063] とりあえずちさと: 何気に去年から風邪ひいた回数多くないですか？
[326.485] (S)redbull_daisuki: ちゃんウメ、あけましておめでとーーー
[329.386] scottiever06: 病み上がりには格ゲーが効く
[331.691] umememe: チャリティーでもらった感じか
[332.607] tarantarantaran: umeYay
[332.840] (S)higashimurayama: 帰ると逆に実家に迷惑なパターンやね
[334.203] サラバア: へー
[334.953] icyblue1985: ウメちゃんあけおめ、風邪辛いですね
[335.488] salad_maki: 顔変わってる
[336.502] chohoino_choi: まだ辛そうに見えるけどなー
[336.533] べーこん118: ウメちゃん風邪大丈夫？
[336.806] みっそー: Cheer100 ウメちゃんあけおめ
[336.911] kumatedd: 心配ですが大丈夫ですか
[337.008] (M)Moobot: みっそー (omiso1981) さん、ありがとうございます！ 
[340.504] torayvino: タミフルのんだの
[342.608] Nemoses: daigo you are funny @DaigoTheBeasTV
[343.756] Gamenhaji: 来てもらって一緒に配信しよ
[343.984] ememeume: ツイッターでもゲーマーの人たち風邪引いてる人多かった
[344.737] avmajvm: TOPANGAまでちょっとだけ？
[346.524] nagoyan138: カゲを使う代償ということか
[347.217] shupii097: 酒控えよう
[347.477] valsion1999: ウメさん、あけおめです。
[348.960] 8ikaika8: あけましておめでとう
[349.675] shomarusan: 健康気をつけて！
[351.299] kumatedd: 辛そうなんだけど・・・
[351.651] (S)blackcoffee0821: Cheer100
[352.070] (M)Moobot: kekekenji さん、ありがとうございます！ 
[352.833] dsadsa454654: umeYay_BW
[353.125] sakai1215: sakai1215 subscribed at Tier 1. They've subscribed for 22 months! 
[353.200] (M)Moobot: @SAKAI1215さん、22ヶ月目のサブスク登録更新！ありがとうございます！
[353.229] 8ikaika8: ございます
[355.049] rhayader_alone: ウメちゃんあけおめ
[359.010] icyblue1985: 人生初の失態
[359.693] kanegon7237: あけましておめでとうございます^o^
[361.265] kusanagi0825: あけおめです
[367.951] ememeume: 人混み行くとどうしてももらっちゃいますよね
[368.050] kahaku91: うおおおお
[373.388] sdy_hs: 二回風邪は老いだねえ
[382.141] kumatedd: 免疫力がね
[383.010] Maxxyy_m: コサクｗ
[385.960] shupii097: 老たねぇ
[386.521] (S)moomin_77: あけましておめでとうございます 
[390.261] scottiever06: コサクや！
[390.493] ガネちゃん: あけましておめでとうございます
[391.045] burisuke: マスクしなよ
[392.615] Aatyu: sakoSeyade
[394.662] (S)juno0220: 影なるもっの
[396.292] yamame: あけましておめでとうございます
[396.638] yajue1919: あー年始
[396.949] spring__thief: さすがにインナーもいつものTシャツじゃないな
[399.693] (S)user81023: あけおめウメちゃん！
[400.746] (S)川195の6515: うめちゃんあけおめ
[400.849] metalface_05: コサクｗｗｗ
[402.424] tujimen: こんばんんは
[402.770] ガネちゃん: インフルエンザではないんですか？
[404.298] ponnypp: うめちゃんあけおめ
[405.094] anonymousman878: あけおめええええええええええええええええええ
[405.098] thefirecrystal1126: 元日は梅原家で過ごすのでは？
[405.344] えいそうる: あけおめ
[408.133] ぐらぁ: w
[408.624] (S)sartan7: sartan7 subscribed at Tier 1. They've subscribed for 9 months! あけおめー
[408.729] (M)Moobot: @SARTAN7さん、サブスク登録9ヶ月目！
[409.126] renoa0521: まーじで心配になる
[409.469] Kira00_: あけおめ！
[410.150] avmajvm: 病み上がり狙ってきたな
[419.761] shomarusan: カゲ覚えてる？
[421.281] toyboze: 初コサク
[421.337] rhayader_alone: sakoコンボ決めよう
[422.731] kahaku91: ネカリモ風邪
[422.941] (S)user81023: 病み上がりゲロ！
[424.920] kazukitaiga: あけおめ！
[425.950] (S)blackcoffee0821: げろ
[426.569] ehong100: Hindaigo
[426.960] ememeume: 思い出すところから
[427.388] may_show: kosaku🤔
[428.075] 麻雀打ち: あけおめーー
[429.539] icyblue1985: コサクずるいぞ！
[430.794] ehong100: Hi daigo
[431.008] krtwitch2013: いきなりこさくじゃん
[440.179] avmajvm: ユリアン使いじゃなかった？大丈夫？
[441.347] rhayader_alone: 正月から汚いな
[443.391] (S)pem97476: あけおめ！新年早々見れてうれしい
[446.334] ぐらぁ: Vゲージのtまりすごい
[446.398] へれそ: ウメちゃんあけおめっす
[446.438] shupii097: げろ強くない？
[449.382] goejglsdf: なおくん、見てるぅー？？
[450.121] みっそー: こさくさんも配信してるね
[450.458] dom0629: ちゃんと1000円返したのかな？
[453.303] (S)sartan7: ダブルゲロシステムの創始者
[453.436] kanpell: コサクだ
[454.257] (S)kotataugame: ウメちゃんの嫌いなコサクじゃねえか
[454.651] Maxxyy_m: 年始のコサク
[454.972] kahaku91: これはノロですね
[455.191] suginaka56: シコサク
[461.736] tw0_k: ちょっとだけ音ずれてる？
[464.961] kanpell: kanpell subscribed with Twitch Prime. They've subscribed for 15 months! カゲ
[465.085] (M)Moobot: @KANPELL with the 15 months re-sub! 
[465.879] shomarusan: 竜巻で抜けてなかった？
[466.231] (S)kotataugame: 年始から縁起が悪いなコサク
[466.835] ememeume: ほんとだ
[468.966] Joker_plus237: 竜巻しないの？
[471.120] ﾃﾄﾗﾝ: 風邪で苦しいところにコサクのゲロ浴びるって酷くない？
[473.034] 000105: コサクくんはお年玉もらいそう
[477.769] goejglsdf: ゲロには昇竜
[482.040] (S)gajpmwtdpw: 絶対に開発でもゲロって言われてる
[485.609] (S)redbull_daisuki: ほぼゲロしか吐いてない
[487.322] soramoko: あ
[487.653] (S)user81023: ファッ！？
[488.346] Aatyu: ｽｨｰ
[489.283] simple_geek: umeYay
[489.978] kumatedd: ノロウイルスたっぷり
[490.106] (S)show_an: あ
[490.975] shupii097: 竜巻は観てないときついのねん
[495.285] redbull_athlete_2020: 病み上がりw
[495.623] Gamenhaji: ゲロ回避
[497.491] Setx: close 
[497.636] goejglsdf: でちゃたね///
[497.833] kahaku91: あきらめちゃった
[499.642] lun__01: 風邪のせいだから
[500.127] ememeume: あっ
[502.552] (S)kaworuko19: 助けてニルヴァーナ
[508.686] prototypeie: コサクに負けてええんか
[512.289] may_show: NotLikeThis
[512.520] icyblue1985: あっ
[515.064] avmajvm: うめちゃんやっぱり熱が・・・
[516.316] soramoko: ゲロモーションで波動かわせるのか
[520.036] scottiever06: ゲロは大Kか竜巻か？
[520.436] torayvino: 主力 ゲロ
[529.266] (S)shirotam: umeFail
[532.145] (S)gomesu: あけおめですー
[532.989] maguru: ゲロウザッ
[535.784] taira3: ゲージのめっちゃ溜まるゲロ
[539.254] shupii097: 近くなら昇竜も
[548.381] highspeedwarakia: ゲロは大kと大昇竜と竜巻
[558.354] redbull_athlete_2020: ネカリつよっ
[558.575] dsadsa454654: umeYay_BW
[558.593] arm6: ラインが下がり続ける
[559.610] icyblue1985: ゲロつよすぎひん？
[561.050] simple_geek: ゲロつよ
[563.463] lun__01: やっぱりゲロもありか
[566.085] salad_maki: umeSnooze_BW
[566.638] (S)user81023: 元日にゲロもってくんな！
[570.219] 000105: 今年の初対戦はコサク？
[571.054] shomarusan: 大昇竜でもいいのか
[572.757] 9211212a0105: ゲロつよいよー
[574.066] naien3: リターンありすぎだよなぁ
[574.553] rhayader_alone: ひどい技だな
[577.177] kazukitaiga: さすがに対策が……
[578.644] ~MISSING_COMMENTER_INFO~: 風邪だいじょうぶ？
[582.446] (S)Da01fn: vゲージ溜まるの早い
[586.910] gamuq: なによりゲージ増加量がバグ
[587.610] (S)たあぼ0126: HahaThink
[597.075] (S)pem97476: よかった・・
[597.575] (S)redbull_daisuki: ほぼゲロでやられた
[605.743] laorao0: チッスチッスウメちゃん
[607.188] (S)blackcoffee0821: いつぶり？
[608.204] (S)user81023: 練習した？ｗ
[610.129] khide05: カゲ続いてるね
[612.834] tatsuoh_gggggg: 寝てる間に。。。
[616.104] haniwa09: リュウソウ使っていきましょう
[617.176] ememeume: イメトレ！
[621.202] balthazar000: 風邪が攻略を加速させた
[621.221] ﾃﾄﾗﾝ: それ治ってないのでは？
[621.651] (S)user81023: 睡眠学習やね
[635.035] Joker_plus237: 弾はスカるかガードが間に合う
[635.905] ememeume: 初夢はカゲかな
[636.104] maguru: 安定のコンボ強い
[638.991] (S)blackcoffee0821: 夢の中で
[644.682] (S)bobumakihara: ここは勝ちたい
[644.684] ~MISSING_COMMENTER_INFO~: 目つぶっても戦い続けている
[646.508] kumatedd: 配信で喋ったら悪化しそう
[648.761] fujimura_mayuge: fuudoKikanbo
[654.740] nonnon1990: kutchbKataashi1
[664.312] rhayader_alone: 飛んで降りなくなったね
[666.934] ememeume: 喉は痛くないのかな？
[668.356] user0511: ゲロ
[672.336] みっそー: KAZE
[686.959] kumatedd: 鼻粘膜はやられてそうだよね
[692.326] japantech: daigo have % 50 win rate with kage so bad boi
[694.241] arm6: 風邪ナル者
[704.771] seiji141141: ゲロにスキル2うったら持続になったりせんかな？
[705.205] ~MISSING_COMMENTER_INFO~: なんだよ、正月からゲロはきおってからに
[709.406] ememeume: よかった！
[712.622] (S)higashimurayama: 回復はえー
[712.709] rhayader_alone: 飲みすぎ
[718.019] user0511: ゲロでたま避けれるのか
[727.180] asseternum1: doigo show us that bigdickenergy
[734.313] ギュウタン: 竜巻とかは？
[736.574] tanakanaka12: 竜巻ダメなの？
[739.214] metalface_05: ｗ
[739.447] maguru: 正直ゲロは強い
[744.798] roll_of_cinnamon: トリガー1中の立ち中ｐにEX竜巻仕込みで 300ダメいく
[747.992] genindesu: それは ない
[748.128] Aatyu: NotLikeThis
[749.549] PaulowebTV: pwebLauraPog
[754.209] (S)valhalla5555: ｗ
[758.685] steveyo_au: could have made that ex overhead safe
[759.054] left_dk: あけましておめでとうございます
[762.437] Player_noob: Diego Umejuarez Lets goo
