[2601.368] (M)えっっっくす: 逆に、不動の装衣は攻撃食らうけどダメージ受けたモーションが無くなるからずっと攻撃出来る（要ダメージ管理）
[2604.634] (S)yaseig777: 実質パチンコ
[2609.692] ray__ayanami: それは回しといたほうが良い
[2610.519] (S)佐々木ですけども: 佐々木ですけども subscribed at Tier 1. 
[2610.683] (S)イケザエライダ: 昨日はUKさんもりっはなムスコさんを紹介してたね
[2633.461] ray__ayanami: パチンコや
[2646.248] (S)ike002206: これはランダムだった気が
[2667.045] (S)ンパールーパー: RUSTみたいにタコ負けしないで…!!
[2670.578] (S)yaseig777: CRパチンコアイスボーン
[2675.803] meltasco: R２おしっぱじゃなかった？
[2681.674] ray__ayanami: 数字通り押しとくと得
[2729.071] (S)ohono1012: fmlchFML
[2743.121] (S)yaseig777: 基本勝ちしかない神台
[2758.735] (S)ohono1012: こんばんわ
[2768.469] (S)yaseig777: 激アツタイム
[2771.729] (S)佐々木ですけども: 初コメです！UKさんを知って僕もアコギ買いました！
[2776.593] ray__ayanami: そこAT
[2782.383] (S)Owl__zzz: 燃料も減らない
[2785.872] (S)ンパールーパー: お
[2793.686] (S)takumasii1: くる！
[2811.505] (S)ンパールーパー: 真っ赤だ！
[2815.204] (S)佐々木ですけども: ただなにからやっていいものかわからない笑
[2826.712] ray__ayanami: それで１完走
[2828.588] (S)yaseig777: wwww
[2836.498] (S)ike002206: wwwww
[2843.419] (S)ike002206: 嫌われすぎワロタ
[2844.311] (S)ンパールーパー: wwww
[2845.042] (M)えっっっくす: 突然のおじょー。
[2870.560] (S)yaseig777: めちゃくちゃ美味しいぺこ
[2886.431] (S)Owl__zzz: マカ錬金いこ
[2886.540] yowakimono23: この炉で焼き芋は頭狂ってますね
[2948.020] (S)ohono1012: 初モンハンって何やったか覚えてます？
[3028.672] yowakimono23: 初代ってPS2とかですか？
[3030.972] (S)yaseig777: まだ探索っすね
[3066.995] (S)ohono1012: ってことはドスとかもやってますよねぇ～
[3134.985] yasudatada: マンドラゴラ植生出来るはず
[3168.268] (S)イケザエライダ: 20年前の作品でドンピシャで高校生のときか
[3186.536] (S)yaseig777: なんか依頼みたいなの達成するともらえたはず
[3230.828] (S)yaseig777: あと装衣強化依頼もあった気が
[3309.149] (S)yaseig777: どれが不動だったかまでは覚えてないなあ、調べて来よ
[3377.427] (S)ンパールーパー: アイスボーンのオトモ衣装可愛いやつある？
[3401.734] yasudatada: 転身はクエスト3つクリアするともらえる。テオとナナ討伐するクエスト
[3403.789] (S)yaseig777: 不動が奈落にて君を喚ぶって星9クエストで
[3452.217] (S)yaseig777: 転身はソードマスターからもらった烈日ってクエストが始動
[3477.381] (S)yaseig777: テオナナ討伐はマジでムズかった覚えがあるw
[3506.814] (S)Owl__zzz: 不動のクエスト発生させるために危険度3の歴戦個体を3種類以上討伐だってよ
[3517.103] (S)ohono1012: ここは最後まで覚えなかったｗ
[3539.777] (M)えっっっくす: 有識者さん、やっぱりその辺の装衣はボレアスには必須？
[3546.656] (S)yaseig777: 不動いつの間にか手に入ってたが、そんな条件あったんかw
[3643.197] (S)yaseig777: ないと無理ってわけではない！装衣あるとだいぶん楽になるって感じ！
[3656.398] (S)Owl__zzz: 勝率
[3663.477] (S)Owl__zzz: が少し上がるくらい？
[3685.519] yasudatada: おにや装衣縛ってミラボレアスに勝ってた
[3781.865] (S)yaseig777: 装衣縛り、ランスソロでミラボ討伐は漢
[3790.012] ililka: ここのギミックいらんよね
[3823.869] (S)yaseig777: wwww
[3859.510] ililka: 足吊ってたし寝に行ってそう
[3956.520] ililka: レイアもおるｗ
[3967.597] (S)yaseig777: いたぁ！
[3992.578] (S)yaseig777: 仲良し夫婦
[4035.901] ililka: ヨガ回復
[4040.074] (S)Owl__zzz: 閃光打ちてぇ
[4046.610] (S)ohono1012: なんとも騒がしい夫婦喧嘩や
[4071.877] ililka: 目の前で旦那５６されるのトラウマになるって
[4161.783] (S)ohono1012: 今晩は夫婦丼や
[4180.386] (S)yaseig777: ﾌﾞｰﾝ
[4199.523] (S)yaseig777: めちゃくちゃ虫警戒してんの笑う
[4216.925] (S)ンパールーパー: ぬぅううううんっ！
[4240.028] (S)ンパールーパー: 一昨日の地図の時は面白かった
[4314.655] (S)yaseig777: ｵﾊﾞｻﾏ!
[4456.097] (S)ンパールーパー: 安全で都合のいい時だけ出てくる受付嬢
[4521.543] (S)ンパールーパー: こんちゃぁー
[4532.717] (S)ンパールーパー: ww
[4557.938] (S)yaseig777: ヴァロで鍛えたエイム力
[4565.460] (S)ンパールーパー: 避けてんのか？受付嬢
[4577.451] (S)ンパールーパー: オバサマ好きだねぇ〜、受付嬢
[4622.358] (S)ンパールーパー: ハイエナ？
[4639.144] (S)ンパールーパー: 鱗の表現えぐ
[4696.510] (S)ンパールーパー: しっぽがスカンクみたい
