[81.186] ポンチ侍: スタンバってました
[81.720] mokou755: ｗ
[82.129] mayoi_misora: 昨日のラスト笑ったわ
[83.482] teryumiya: PogChamp
[83.878] (S)中村マイケル: turuokKinkyu
[84.040] banmeshi: 上質な緊急
[85.100] tukusi0927: かもが、2人？
[85.202] eieiku: なんか2人いない？
[85.376] tepopj: ループやめてね
[85.832] (S)強竜優勝: 人気者じゃん
[86.982] イヴァンバッソ: 嬉しいいいいいいいい
[87.019] aaaa41sho: さすがに緊急だしな
[87.113] (S)4kapk: オースティンのホームランしんどすぎ
[87.852] vxfjbvx: 緊急だからね
[89.576] yuu00666: おい松本剛とかいうゲッツーロボなんとかしてくれ
[89.855] うまい肉食わせろ: turuokKinkyu
[89.982] wichan1516: カモのパワポケでしか得られない栄養がある
[90.012] peacegundam: シャドバスアカデミーやるんだね
[90.084] lisdil8: 緊急はさすがに
[90.450] sai927: オースティンに破壊された
[91.169] mokou755: 緊急
[91.685] yokokoron: 人気配信者ですか？
[91.761] otani_syuhei: 覇権ゲームだろ
[92.291] 金保留: ガチの緊急じゃん
[92.853] syootd: ハムホォ......
[93.393] そぼろんぐ: パワポケ全シリーズやってくれ！！！！！！！！！！！！！！！
[94.790] moooton833: 大物
[95.011] snvlll: ハムくん
[95.428] mogimogieigo_ro: サヨナラ負けしたので緊急できました
[95.684] (S)ponpokopooon0852: かも自分と会話してね？
[96.358] 105desu: 緊急ね
[96.600] radiohappy_1202: やぁ
[97.258] tukusi0927: オースティンかっこよすぎたね
[97.748] あかまらは: 中日もだよ
[97.772] patch_bobo: 正直待ってました
[97.966] mokou755: うん
[98.038] ynwnnbf: 代わりに勝つ男
[98.455] もたる: 睡眠薬のんじったよ
[99.071] goreinu_cpa: パワポケ3初見ですか？
[99.163] steak_2929: パワポケにぶつける
[99.312] mypopopopooi: 緊急じゃなかったら来てなかった
[99.386] maitake_abisu: これパワポケ何？
[99.529] sakozako75: パワポケは大人気コンテンツ
[99.744] AnninDofuu: ギータ悲しい
[99.911] corrinking123: www
[100.365] ゾロロ90: 中日も悲しかったよ
[101.507] tepopj: ハムくん
[101.749] financier_damon: 婆ちゃん運ばれたけど緊急で来たよ
[101.875] EUREKAgg5: 筒香最強なんよ
[102.635] junchankato: ざまぁ
[102.875] macho__macho: おもんないやつに湧いてほしくないからずっと厳選してていいぞ
[103.437] syonyan: でも金村は凄いよ
[103.648] frenkie_210: ハムくんな
[103.888] 105desu: 代わりに勝て
[104.363] (S)andy_dozing: やあ
[104.667] melonpan_orix: まあそういう時もある
[104.880] lisdil8: ハムくーん
[104.934] ナナミン: 横浜優勝！！
[105.117] tpajvot: ハムくん
[105.345] (S)イナホール: イナホール subscribed with Prime. They've subscribed for 4 months! かもー？
[106.036] mokou755: やっとられん
[106.333] (S)hanamiz7: もりけいとやばいな
[107.082] hal_haru: せっかく変な勝ち越し方したのにな
[107.444] CurryUdon_love: ハ、ム
[109.781] gmkz774: どしたの？
[110.976] naginohazama: ちゅにどらも悲惨
[112.733] ynwnnbf: 勝ちパで負けたならしゃーなし
[114.273] うまい肉食わせろ: 地味に河野と正義打たれ始めてるのやばい
[116.012] corrinking123: 阪神ファンです。参りました
[116.056] frenkie_210: あ
[116.714] aiksama100: クソじじいゲームまだやってんのかよ
[117.028] (S)4kapk: 今日の試合特に萎えたわ
[117.360] syootd: クソ面白い試合だったよ
[119.035] aikoai_dao: やば
[120.993] (S)hanamiz7: wwww
[121.240] (S)33maxfer: あw
[121.554] mugityaaas: 中日よりもマシ定期
[121.774] jun01234567: ww
[123.155] こーしゃ: わらえません
[123.193] goreinu_cpa: turuokKinkyu
[123.999] kumasanmorino: 今日はしゃーない
[124.852] hiromatsu_bataru: おい、堀瑞輝はこわれちまったのか
