[552.404] (S)takeo_onakasuita: 飛び飛びで見てるからいまだにルールが覚えられねぇ…
[552.931] (S)Neifeel: なんか動画が止まる 俺だけか？
[554.535] kaeru100: 正直このタニアいればロベルトいらんかなー
[562.112] (S)kurataro: 15章は消さないって言ってたの覚えているだろうか
[578.125] ぱーーまん: 俺もちょいちょい止まる
[578.219] debimaru72: ふぁらのしょしかない
[580.024] Puni_punirun: 自分も止まるな
[584.420] (S)kurataro: なんだ止まるのみんなもなのか
[584.703] debimaru72: 俺も止まるね
[586.672] カメタロウ: かたまる
[587.451] shichousha72: 俺もときどき止まる
[591.202] kaeru100: ウチも止まる
[594.075] Puni_punirun: まさかのみんな
[595.344] (S)kurataro: キャッシュ削除してもだめだわ
[596.532] uhpa84: me too
[597.869] debimaru72: 俺だけかと思ってた
[597.965] pettan_omochi: 止まるね
[600.250] 9211212a0105: 俺もだ。何でだろうね？
[602.871] shichousha72: ウメちゃん、助けて
[606.018] (S)クズ220: なんかカクカクね
[607.907] MazicMozaic: あたいだけかとおもてた
[608.491] (S)テムおじ: ワイも止まるわ
[612.917] (S)karumenko6262: おいどんも
[614.368] debimaru72: ウメ…いてぇよ…
[615.778] john888k: ほんとだ止まる
[624.528] reincarnation_am: 自分のPCがメモリ不足かと思ったｗ
[624.900] (S)bancho710: ウチもや
[625.649] musouzankouka: ワタクシも止まります
[626.750] (S)xxzoids: umeWhat
[631.370] King_Fuudo: 音だけ流れてる
[634.131] (S)kurataro: ちょいちょい真ん中にロード中の円が出る
[639.608] (S)shingo1216: BibleThump
[642.477] King_Fuudo: あ、動いた
[651.516] momijimanjuu: かっくかくぞ
[662.343] (S)クズ220: 映像だけカクカク止まる
[662.570] kaeru100: 逆に止まらない民おる？
[679.278] (S)Neifeel: 完全にとまった
[682.996] (S)kurataro: 画面ｔｍｔ
[683.246] sayachangg: 他配信見ててもバッファないからウメちゃん側の問題
[687.982] momijimanjuu: 今来たけどちょっと動いたらすぐ止まる
[694.182] MazicMozaic: ソフトバンクのせい？
[703.686] warwrld: ウメちゃんマニュアル倉庫の肥やしにしてんねえ
[707.344] pettan_omochi: 止まってないのウメちゃの部屋で直接見てる人だけでしょ
[712.676] reincarnation_am: もうだめぽ
[713.006] (S)xxzoids: umeHandsome
[713.504] (S)GelidiumJellyCat: umetyan ohayo
[729.628] momijimanjuu: ソフトバンク最低だな→孫最低だな→まご最低だな→マゴ!?
[751.965] debimaru72: 止まるとか関係ないっすよ
[765.169] debimaru72: …やってたんでね
[769.127] (S)テムおじ: めっちゃカクカク
[771.095] (S)kurataro: ウメさんがコメ見てくれんので直らんな
[771.869] (S)takeo_onakasuita: 止まるんじゃねぇぞ…
[775.848] reincarnation_am: リロードしたらなおった
[778.956] (S)クズ220: ウメちゃんそろそろマニュアル使わないと勿体無いっすよ
[791.956] daws2299: 安定してきた
[794.839] shichousha72: 止まらなくなった？
[796.151] (S)poposuke: ウメちゃん、PCかキャプチャーボード調子悪いみたいです。配信不安定になってます。
