[219.035] shichimi10: ｗｗｗｗｗｗｗ
[219.144] (S)yukikaze083: ｗｗｗ
[219.331] ババシャツ: あっww
[219.532] (S)dcdryuya404: じじい
[219.584] tsubame5204: umeFail
[220.600] binbougachiyaba: www
[220.610] neon_d99: 草
[220.844] とも8はる: 笑
[221.045] gengoro1198: w
[221.094] mako6912: あ
[221.253] une3333: お？
[221.465] (S)yuukida39: www
[221.992] johndoe6523rp: ｗwｗwｗwｗwｗwｗw
[222.310] mofumofuuiui: ｗｗｗｗｗｗｗ
[223.062] morinagasyuya: 王…
[223.626] tama_zx61: ｗｗｗｗ
[223.956] maddy2623: 梅原大吾（45）
[224.078] v_harumi_v: 蛇足にい
[225.311] (S)dcdryuya404: ウメじぃ
[226.285] teruharu_: 初老？！
[228.030] neon_d99: 初手
[229.026] (S)ringo_35: wwwww
[231.393] raurakd: umeYay
[232.104] romusuca: 40以上は同じｗ
[232.175] yoko1206: 斬り掛かってくるやん
[233.161] v_harumi_v: ｗ
[234.391] 夜神総一朗: 初老ダイゴ
[236.674] maruino351: 偽物ｗ
[237.245] とも8はる: 坂ちゃん前ステ失敗草
[238.425] (S)ringo_35: あ…
[240.316] takahashiseigi: 元ニコニコの王、坂本
[241.685] Jasminexxx2525: ウメさんいつのまに。
[242.197] pyamaaaa: 王だよ？
[242.374] ババシャツ: お前らみんなおじだよw
[243.050] だいこん_: あっ
[246.237] (S)echizen2000: ｽｲﾏｾﾝ
[246.258] aranami0: ｽｲﾏｾﾝ
[248.862] 紺青: ウメちゃん厄年？
[249.099] (S)dcdryuya404: 蛇足こくウメ坂
[249.724] tama_zx61: ｗｗｗ
[250.292] ひろみつー: 坂本さんいるの？
[254.922] だいこん_: ｗｗｗ
[255.377] neon_d99: 草
[255.419] 将門ゴルゴロ: ｗｗｗ
[256.579] maya_g01: ｗｗ
[256.609] danny_love_danny: www
[257.136] (S)日本語かな: ww
[258.640] 80808527: www
[259.105] thefrozensun_: www
[259.310] m1s4m0: 7のモノ
[259.361] (S)HinaConoKiyo: ニコニコのヒカキンだった
[260.849] maddy2623: 総師範KSK 1978
[261.369] ババシャツ: 7の民w
[262.688] 夜神総一朗: 77年式
[265.863] (S)echizen2000: ガンダムより前に生まれてるのか…
[266.202] jmyswrows: ジジイ
[266.364] Jasminexxx2525: 俺7だわーww
[268.033] (S)monpiipop: ふるっ
[268.368] Loytory: ロケット
[268.776] neon_d99: ロマンチック
[268.816] maya_g01: 歴史
[269.001] latenight000: ヴォイジャーw
[269.027] 残り8万: ぶっちぎり
[269.118] WWWWWWWMWWWWWWWWWMWWWWWWW: who called me
