[33.633] Stay_Hydrated_Bot: @daigothebeastv 
[636.475] xwillmm: ぜんぜんかわらねぇ・・・
[637.882] prosciu: ノイズがやばいよ
[639.020] (S)yoshikawa_yo: 配信部屋の外の音がめっちゃ聞こえるのがきつい
[640.643] e1g4: 対戦の音がかなりすごい、環境音
[644.408] (S)okaki_35: 一回マイク全部切って原因探して
[656.216] (S)るぅの: 裏方さん頑張って～ 
[657.374] paleman_voice: 噂の静音ボタンか
[658.613] (S)たまげた: ノイズがひどいよ
[661.219] (S)山田たろう太郎: ノイズが不快だから声が聞こえてもきついかも。頑張ってなおしてー
[661.490] (S)ask4exe: ノイズがずっとなってるから一回全部マイク切ってみてほしいまである
[662.349] ミスタおじさん: マイク全部きってノイズ酷い
[670.629] datami3: キーーーンてのが入ってますよ、、、、
[670.670] clever_mouse: ノイズが半端ないっすね
[670.676] xwillmm: ノイズあかんぞまじ・・・
[672.796] 無心に: 環境音拾ってるマイクを下げた方が良いかも
[673.380] sora_neko09: 周辺音は仕方ない，ただノイズをどうにかしないと
[678.943] ミスタおじさん: 手持ちマイク意外で拾ってる
[683.027] lucyjojo: ノイズと声のレベルが同じ
[683.179] momentouhu: ハンドマイク→音小さい ピンマイク→入ってない ノイズ→騒音では無く電子ノイズ
[686.604] (S)yoshikawa_yo: ナイス営業
[701.349] mochi_tech: 全体音拾ってる機材がおかしい
[701.448] sora_neko09: マイクを全部切って，一つずつONにして原因探ったほうが良い
[702.377] (S)壱万円札: 何でしょかね
[707.500] paleman_voice: ハンドマイクは指向性っぽいのになんでこんなに雑音拾うんだ
[709.246] AzuuuL42: ハンドマイクもちょっとずれたら聞こえないです
[714.132] (S)sh1zuku716: っけい
