[741.811] (S)kumatedd: ふ～どの悪知恵？
[761.756] toyopi0901: それは回線弱いってか頭が弱いんだろ
[765.369] ~MISSING_COMMENTER_INFO~: クロスは関係ない
[790.584] aki_0122: クロスは関係ないですよね。ありがとうございます。
[803.744] kitagawakun: コリーンのマフラーで御代官様プレイしたいよな！な！
[807.365] shibaponz: あら
[814.592] maemaemaema: とにかく攻めろっっ
[827.431] (S)kumatedd: コーリンの裸マフラーってまじ？
[833.338] MaeChannel: いや今のシルバーはコンボ精度めちゃ高いよ
[835.831] yoshikawa_yo: 投げに昇龍仕込むくらいのズルなら出来るんじゃ？
[843.556] user0511: PC勢が海外に多いからラグい人に当たりやすかったりする
[850.975] ロディア8: あｗ
[851.921] (S)kumatedd: あらら
[864.833] user0511: ブルの回線が・・・
[865.335] sh1zuku716: スフィアがらぐいじゃないの？ｗ
[867.768] RCS3_: aiin
[868.115] ~MISSING_COMMENTER_INFO~: レッドブルの中で帯域使ってるからじゃないの
[869.316] aisaka0301: 回線です
[872.031] (S)hibiki3232: これこっちの回線が悪いんじゃね
[874.340] kitagawakun: ちなみにさっき配信の音も少しおかしなことになってたからゲームだけじゃないかも
[876.317] ort12345: 酷い
[877.410] okitotoro: スフィア回線が弱いのでは？
[878.344] ロディア8: そこでいっぱい回線使ってるんじゃないの？
[888.474] (B)DaigoTheBeasTV: ゲームらぐいけど配信大丈夫？
[890.119] shibaponz: 配信は途切れてないんでこっちの回線は大丈夫なはずなのに・・・
[890.710] aisaka0301: 相性じゃなくてそこの回線です
[896.859] 玉蘭: 所々でラグる変なラグり方
[896.885] Youkan56: PS4でやってるんだったら対戦相手もPS4で絞ったほうがいい
[902.048] user0511: 配信は普通
[902.577] yoshikawa_yo: せめてラウンジにしてみたら？
[904.263] ロディア8: 配信は快適
[905.113] maemaemaema: 確かに、配信は問題ないな
[905.985] shibaponz: @daigothebeastv 配信音声は途切れてません
[924.796] user0511: これはゲームにならんｗ
[925.159] MaeChannel: これ無理だろw
[929.392] ~MISSING_COMMENTER_INFO~: 配信は大丈夫です
[935.654] okitotoro: 配信は問題ない
[946.541] MaeChannel: 連戦でこれはないわ
[951.041] (S)kumatedd: せっかくの講座がもったいないっすね…
[956.189] shibaponz: 連戦はやめよう
[960.231] msyyy: 回線に自信のある人にラウンジで入ってきてもらったら原因特定のヒントになるかも？
[977.057] 玉蘭: さすがに有線よね
[979.747] (S)hibiki3232: ping高いとこうなる
[980.559] sh1zuku716: スフィアのプロバイダがゴールデンタイムのクソラグの可能性有ると思う
[985.667] shibaponz: 募集要項が回線に自信のある人は笑う
[994.461] yoshikawa_yo: 回線我こそは
[999.148] user0511: PS4にLANケーブル刺さってる？
[1002.253] 玉蘭: 回線に自信ニキ
[1003.887] shibaponz: 回線全一頼むきてくれー
[1007.672] ロディア8: 2G出る奴来い
[1008.132] maemaemaema: 0283
[1009.838] (S)kumatedd: 授ける
[1013.838] yoshikawa_yo: NURO来い
[1016.383] kitagawakun: PS4が無線設定になってる説はない？
[1016.790] MaeChannel: ケーブルさしたほうがいいね
[1023.284] (S)hibiki3232: 我打倒糞回線
[1023.901] ramulock: nuro光ってつおいの？
[1033.697] maemaemaema: え、無線！？
[1034.777] ramulock: ふーきゅん昨日の話してよ
[1039.470] (S)kumatedd: 俺より回線の強い奴に会いに行く
[1044.267] user0511: 無線説かｗ
[1045.070] sh1zuku716: え？無線でやってるの？
[1045.381] 玉蘭: 速度チェックしてみるとか
[1048.929] maemaemaema: はい男前
[1051.884] user0511: あ
[1053.839] shibaponz: 草
[1053.977] ロディア8: おい！！
[1054.790] makurag: おーい
[1056.259] 玉蘭: wifiかーい
[1056.545] shibaponz: おい！
[1059.222] (S)sugarsato_: あああああ
[1060.156] user0511: さすがに？ｗｗｗｗ
[1060.609] fliege1515: そんなことあんの
[1062.483] ~MISSING_COMMENTER_INFO~: 無線かよ
[1063.934] canon_203: アンドリュー有能
[1064.353] (S)kumatedd: ！？
[1064.870] (S)hibiki3232: おいおいおい
[1065.709] ロディア8: 無線で格ゲーはさすがに？
[1066.981] sh1zuku716: 無線Ｗ
[1067.243] (S)lucita_lapita: アンドリューすごい
[1070.317] shibaponz: wifiでできてたのすごいｗｗｗ
[1071.123] okitotoro: それはさすがに？
[1071.347] maemaemaema: ごめーーん
[1072.442] MaeChannel: 無線はダメよダメダメ
[1073.440] (S)kumatedd: 解決したな！
[1076.923] canon_203: アンドリューイケメン
[1079.580] (S)nonnon1990: 無線でやってたらそれはｗｗｗ
[1079.649] ~MISSING_COMMENTER_INFO~: 無線はマジない
[1080.906] kitagawakun: アンドリューかっこよすぐるｗ
[1081.863] (S)avmajvm: 無線勢もこれには呆れ顔
[1084.207] yoshikawa_yo: 安心のアンドリュー
[1085.803] (S)きよっぷ: ５Gくればね・・・
[1086.839] redrumjun: 出来てなかったと思うけどｗ
[1086.879] MaeChannel: まじかー！！！
[1088.593] ramulock: 無線叩き厨聞いてるか？
[1088.622] canon_203: アンドリュー最高
[1088.857] maemaemaema: 実は意外とできる
[1094.004] penitarou0515: 無線でできてたのか笑笑
[1094.987] (S)トルコ石: cheer100 アンドリュー！
[1095.970] zaweapon: Qanba Dragon??
[1096.582] kitagawakun: そしてさっそうと去っていく
[1098.622] maemaemaema: アンドリューありがとーー
[1101.207] okitotoro: さすがイケメン
[1101.262] canon_203: チアーｗｗｗ
[1102.493] ロディア8: アンドリューいないと無理だね
[1107.024] (S)nonnon1990: アンドリューあるやん！
[1107.112] (S)kumatedd: ナイスチアー
[1108.498] maemaemaema: ビールおごるわ
[1108.840] (S)sugarsato_: やっぱアンドリューなんだよなあ
[1109.265] canon_203: アンドリューイケメン
[1109.308] mAsA0852: アンドリューありがとう！
[1109.993] MaeChannel: これで大丈夫っしょ
[1113.886] (S)suzume_s: 100アンドリュー
[1114.845] shibaponz: アンドリュー ありがとうな
[1115.971] msyyy: こういうときにときどさんの「コラッ！」スタンプ使いてえよ
[1117.518] ~MISSING_COMMENTER_INFO~: 俺wifiでやってる
[1120.835] ~MISSING_COMMENTER_INFO~: ブルのWi-Fiがだめなんでしょきっと
[1121.899] (S)hibiki3232: アンドリューありがとー
[1125.299] (S)kumatedd: 早口解禁
[1127.468] canon_203: アンドリュー！アンドリュー！
[1129.173] (S)nonnon1990: sakoOk
[1129.193] yoshikawa_yo: 回線設定で金を稼げる男
[1145.847] MaeChannel: wifiは問題ないんだけど配信しながらだと耐えられないよ
[1146.755] canon_203: はええ
[1156.077] maemaemaema: 即デオ
[1158.695] canon_203: あったけえ
[1162.132] 虚仮の一念: でおさん
[1167.750] 玉蘭: スパダイララきたーあ
[1167.966] (S)lucita_lapita: ララ待機してくれてる
[1168.511] ロディア8: 恩を返していけ
[1179.407] 虚仮の一念: VT2でも入って良いですか？
[1182.229] shibaponz: シルバーがスパダイに勝てるわけないよなぁ？
[1183.754] maemaemaema: 折笠さん、今日もハンサムですね！
[1221.112] okitotoro: 折笠さん今日の髭ハンサムよ
[1224.710] fliege1515: ほおおお
[1226.872] (S)kumatedd: ほえええ
[1230.628] (S)~MISSING_COMMENTER_INFO~: umePout
[1244.204] ~MISSING_COMMENTER_INFO~: さすがに配信聞いてるだろうからなｗ
[1245.843] 玉蘭: 対空苦手勢には頭の痛い話だなぁ
