[283.748] (S)港区ザンギエフ: 場慣れしてるスタッフ多かったのか ノウハウある人がいると円滑に進みますよね
[296.651] 七_: スタッフがコンバーター持ち歩いててデバイス対策も完璧だった。
[299.914] (S)ta3z_: 有料にしても何の問題も無かったね
[311.658] (S)港区ザンギエフ: cagdogKami
[317.828] kitori_17: 松田さんすごい、3rdの筐体も70台くらい集めてたみたい
[318.081] toto3210119: 絶対に修羅場になるぐらいの勢いだったのに神～
[320.445] p4seri: それなら有料で良いよ
[322.686] pawafu1_: 全然金払って行きたい
[325.337] morinagasyuya: 有料の方がいいまであった
[325.724] konaoh: むしろ有料だからこその環境の整い
[331.801] 柴犬侍あきお: EVOお疲れ様でした。自分も大会参加しましたが、プレイヤー同士も思いやり出来てて楽しかったです。
[334.344] 雨田次郎: 段取り完璧だったし対戦環境も完ぺきだった
[335.790] (S)ぶれお: やっぱちゃんとお給料出してしっかりしたスタッフさん雇うの大事やね
[336.011] KAZUMETAL1014: 暑さ対策はどうでした？
[337.928] sannpann_twich: 寧ろ有料の方がいいと思った 人材の良質化にも繋がるし
[339.352] (S)港区ザンギエフ: これからも有料でやって欲しいですね
[340.968] (S)keipopoo: プール2日目の初戦ガチで人多すぎて身動き取れなかったけどあれはもう仕方ない？
[342.122] 小粒納豆06: こんばんは。EVOＪ初戦負け負けで乙でした。
[343.208] njpw2017: 松田さんえげつない
[343.899] くおお: 有料の価値あった
[346.124] ゆかゆ: EVOJお疲れ様でした
[346.886] (S)scare16g: 昨日はお疲れ様でした
[352.006] キクゾウ: evoお疲れ様でした。写真撮影応じて頂きありがとうございました。
[352.936] ikz123456: 小言おじさんお疲れ様でした｡
[353.484] (S)acrofiora: 会場は涼しかった
[360.171] 七_: 6000円でこれなら全然あり
[366.950] 吉田じんぎ: しかし不満はある。試合見るスペース場所なくて野試合もないから半分は暇だった。お客様意見で悪いけど
[367.792] pawafu1_: 今までよう無料でやってたね
[369.787] akutokunn1: 途中人が密集しすぎてて怖いな、と思いましたが大丈夫でしたか？？
[372.718] atoz428: お疲れ様でした〜ウォッチパーティは急遽参加されたんですか？
