[147.728] nakamurahima: 色紙！？
[147.733] masa_7_7: ジョーカー
[148.494] (S)naosu7: 女子にも方組んであげなよ！！！
[148.587] (S)gazesd: 一生売れてる
[149.796] おかあさんいつも: このまま敗退はやめてくれよw
[151.008] ゲンライ: 声が石井すぎる
[151.573] choco_mint6: DQになるぞ
[155.979] (S)オルコッ党員: 色紙！？ｗ準備してますねえ
[160.534] ナゴリユキ: 髪のいろ良い
[160.734] bebebeeell: 今なるちゃんプールのルーザーズ1回戦開始
[161.770] taitei_ok: 優しい世界
[162.014] (S)neonkzsyou: このまま敗退濃厚
[163.409] ishiwata1234: 男女ともに大人気や
[163.717] (S)asayake_cider: なるおDQやめてくれよ
[163.888] (S)やくりのやっさん: これDQです、と
[166.188] kozeni05: なるおもまた売れかけ
[167.025] X_March_X: おいおいおい
[168.377] (S)lovepeace369: いやー、良い前ステでしたねえ
[168.603] ぱりっぱり: なるちゃん
[169.064] おかあさんいつも: メルカリかな
[171.237] TheYamaZaki12: サインうっま
[172.099] アメフト: ファンサ敗退は大丈夫？
[172.799] 生のイモ: サインｗ
[173.456] (S)れいんぴ: サインかわいいなｗ
[174.508] (S)マラリンティウス: なるお ファンサでDQ
[175.268] KotetsuRoom: これmさか
[175.288] X_March_X: ルーザーズ始まったって
[176.521] (S)オルコッ党員: おいなるお急げ
[177.685] rumble0824: 売れすぎてDQ
[179.761] 亀の甲より柴咲コウ: 練習した？w
[182.580] mitsuo157: DQっす
[183.352] (S)hannariiiiii: 折笠って書いて
[184.809] (S)あすか0119: いそげぇ！
[185.407] choco_mint6: 急げー
[185.569] (S)やくりのやっさん: はよゆけーーーーい
[187.550] sander1214: す〜ぐだきに行くなるお。好き
[190.420] bebebeeell: ルーザーズ2回戦からだから大丈夫よ
[193.991] (S)Lambda_Delta_: @HeavensCloud07 ”なるお"
[194.304] KotetsuRoom: まさかアンチ軍団の足止め？
[196.021] karuoon: ファン対応で動けず敗退か？
[196.875] (S)10jqka: 動くたびにファンに囲まれる売れっ子じゃん
[197.683] lucky_shocker: ファンサの鬼
[202.252] (S)simetu_no_maeba: その場から動けんw
[205.474] (S)miyami022: 距離ほんと近い
[206.014] れんぞね: スッと抱く
[206.838] kuronicl: @heavenscloud07 👍🏻
[208.279] (S)nononono_uhoho: DQさせようとしてんのかｗ
[208.318] ponponpawn: このまま行列できてファンサ時間切れ敗退
[208.832] (S)TNTNBRN: 男の肩は抱く男
[209.086] おかあさんいつも: 間に合うのかw
[209.453] soichi007: そのスイッチを押せ！
[212.039] (S)hiroumi_sea: これは対戦相手の番外戦術か
[212.402] masa_7_7: ま！
[212.766] (S)やくりのやっさん: これDQです
[214.497] tanuma_19_19: ファンサいいねぇ！
[214.711] (S)neonkzsyou: 気持ちよくなってるからダメそう
[215.388] (S)オルコッ党員: そかそかルーザーズでもちょい先か
[216.236] IMULTA: 大須さんかなるおのファンサ褒めてたね
[216.624] ぺてぃっと777: ファンサDQしたっていい
[217.088] 10orq: やさしい
[218.158] (S)teitei0343: あっちに立ってる人みんな待ちか・・・？
[218.187] ナゴリユキ: ファン対応敗退マジ？
[219.780] choco_mint6: ファンサDQあるのか
[222.454] ギガゾンビ: そろそろ時間が
[224.574] hikaridyu: 大変やな
[224.814] 藤堂21: あぞーすあざーす
[224.862] (S)じーのっぽ: 高度な戦略だ
[225.044] asksrg: ついにウメちゃん化か
[225.427] ishiwata1234: ファンサLP2500超えてる
[225.579] mishirannuko: 差し金
[226.847] さぶろうた: 本体？！
[227.084] ライム_: 急げーい
[228.262] nakamurahima: なるさんファンボ群
[229.471] (S)オルコッ党員: みんななるお待ち！？
[230.823] takechan27: 並んどるがw
[232.282] (S)soyonndori: 並びすぎｗｗｗ
[233.953] 生のイモ: このスマホの価値あがったね
[234.165] ナゴリユキ: 大丈夫？
[234.519] kokuyoshi: なるお試合！！！！！
[234.555] Goodwisp: 直サイン
[234.683] toro0524: ファンサ全一か
[234.905] (S)れいんぴ: 何時から？
[235.523] taitei_ok: いいなー
[237.631] (S)おりもと31: これみんななるおまち？
[239.083] HeavensCloud07: @Lambda_Delta_ thank you!  That was tough lol
[239.665] IMULTA: ファンサMR2700
[241.075] tanuma_19_19: あったかい♡
[243.210] kiruke2012: 列出来てんの！？
[243.774] ゴルバチョフポリ公: 急に始まったサイン会
[243.966] さゆりちゃん: ファンサすんごい
[245.298] (S)sein_xx: まじ大変だなｗ
[245.862] おかあさんいつも: まずい
[247.873] (S)hiroumi_sea: 動けねーｗｗｗｗ
[248.828] X_March_X: まっずい
[248.910] karuoon: まずくね
[250.445] ナゴリユキ: 試合ががが
[250.878] (S)simetu_no_maeba: まっずい
[251.156] VELLLLLLLLLLLL: 大須さんにファンサMR2700あるって褒められてたなｗ
[253.091] (S)asayake_cider: 緊張の糸が切れてそうだな
[253.204] masa_7_7: すげー人気じゃん
[253.343] kitun3: 終わりや…ｗ
[253.551] ぺてぃっと777: ｗｗｗｗｗｗ
[254.050] (S)neonkzsyou: まずいって
[254.328] (S)soyonndori: クソ邪魔じゃねぇか通路ｗｗｗｗ
[254.520] (S)~MISSING_COMMENTER_INFO~: ん 邪魔！
[254.583] (S)nononono_uhoho: これ無職列？
[256.626] toro0524: あ
[257.129] choco_mint6: www
[257.233] lucky_shocker: ｗｗｗｗｗ
[257.549] (S)やくりのやっさん: あーあこれおわっちまった
[258.862] (S)そあ1524: x41futTetete
[258.898] さぶろうた: どういうこと？ｗ
[259.606] (S)らぷ_: ルーザーズがｗ
[259.625] シル_: 二人かよｗｗｗ
[260.651] 亀の甲より柴咲コウ: なか？
[260.991] ナゴリユキ: 誰か止めてーー
[261.492] (S)Lambda_Delta_: @HeavensCloud07 My pleasure Jamie family
[262.567] (S)teitei0343: なかやんずっとおるやんけw
[262.782] 亞ゼファー亞: wwwww
[262.998] (S)オルコッ党員: これ多分パパラッチっす
[264.345] (S)雑食: ｗｗｗｗ
[265.384] (S)TNTNBRN: wwww
[265.979] (S)アイネ_: ｗ
[266.497] (S)neonkzsyou: しょーもないって
[266.558] kozeni05: なるふと
[266.590] amaludo: ｗｗｗｗｗｗ
[266.946] (S)MasudaTheMenace: なかやんのお願い草
[266.990] たくあん01: なかやん再び
[267.044] yudedako: えこれ全部なるおの列なん？
[267.095] (S)hiroumi_sea: ｗｗｗｗｗｗｗｗｗｗ
[267.202] choco_mint6: これは
[267.251] nitamago33: なかやんｗｗｗ
[267.283] okclover_: 列あったぞ
[267.372] tanuma_19_19: うひょーーーー
[267.415] カオカザリヒメフクロウ: w
[267.485] アメフト: あの列も、なるお待ち？
[267.640] origin0329: wwwwww
[268.054] toro0524: ジャスティンやって
[268.269] amumurin_: カプ厨みたいなのもいますw
[268.464] ナゴリユキ: なかやん？
[268.648] (S)じーのっぽ: おめーーｗｗ
[268.659] 冷えたとうふ: 草
[268.879] harunan808: 全員なるおの行列マジ？
[268.896] kamuma: ｗｗｗ
[269.242] rumble0824: ｗｗｗｗｗ
[269.539] dfours2: ｗ
[269.956] tmwpaworks: ｗ
[269.994] taitei_ok: ｗｗ
[270.432] (S)norapony: wwwww
[270.521] (S)minnu21: w
[270.771] (S)おりもと31: ルーザーズいける？ww
[270.941] ざんまい: 関係性オタク
[271.665] いつほし: www
[271.717] mitsuo157: x41futTetete
[271.793] (S)gazesd: naru04Nltu
[271.868] (S)toujou913: ｗｗｗｗｗ
[271.908] ~MISSING_COMMENTER_INFO~: wwww
[271.970] sodaphilosophy: ｗｗｗｗｗｗ
[272.189] さだ0: ｗｗｗｗ
[272.831] (S)sein_xx: ｂ
[272.875] reika000: ｗｗｗ
[272.882] おかあさんいつも: バニーガールに着替えてこいw
[273.086] IMULTA: なかやんw
[273.338] (S)Lambda_Delta_: ハートｗｗ
[273.465] 焼き菓子: wwww
[273.675] choco_mint6: wwwwww
[274.612] (S)けめこ___: 🫶
[274.639] Deaxxaed: wｗｗｗｗｗｗｗｗｗ
[274.870] (S)naosu7: ｗｗ
[275.316] (S)みそしろ_4310: x41futTetete
[275.383] (S)そあ1524: かわいい
[276.029] (S)simetu_no_maeba: なかやん…
[276.228] (S)ももしゃん88: 止めてあげて、もう…
[276.335] rumble0824: ジャスティンみてぇ
[276.511] れんぞね: たはは
[277.675] nakamurahima: 手♡
[277.874] chin_bell_: 仲ええやん
[278.105] ishiwata1234: 一番のファンやんw
[278.195] 3q4ever_: じかんだいじょぶそ？
[278.421] lucky_shocker: 恥ずかしがってて笑うｗ
[278.631] ShinAzan: lmaooo
[278.687] moppu_gake: 隣のお母さまは誰？
[278.948] シル_: ジャスティンじゃないんかいｗ
[279.438] kuronicl: @heavenscloud07 "魚群 なるお" → Naruo
[280.503] さゆりちゃん: かわいい
[280.706] (S)hiroumi_sea: 塩ぉおおおおおおおおおお
[280.926] (S)TNTNBRN: たはは…
[281.351] (S)おりもと31: まさかのツーショットwww
[281.384] 生のイモ: 塩
[281.584] IMULTA: サムネにするかw
[282.071] 充実野菜: 試合間に合わんまずい
[283.154] 腹痛大臣: モテモテw
[283.608] (S)soyonndori: ファンサＤＱｗｗｗｗｗｗｗｗｗｗ
[283.786] (S)Poterinn: オタクみたいなってる
[285.855] dechi04: 関係性オタク笑うｗ
[286.094] ponponpawn: ほんとにファンなら遠慮せいや
[286.632] Deaxxaed: たはは
[287.269] (S)lovepeace369: なかやん何回撮るんだよwww
[287.295] (S)teitei0343: なかやん中学生みてえだw
[287.750] yoona0829: バニーガール…
[289.400] おかあさんいつも: 何回撮るんだよw
[290.761] (S)じーのっぽ: 正直関係性オタク的には二人のつーしょほしいな
[291.121] (S)雑食: 試合いくぞおおお
[291.829] (S)オルコッ党員: しゃーない
[293.139] (S)miyami022: あぶない
[293.473] opkyunyun: へへ…
[293.817] (S)おりもと31: wwwww
[293.972] (S)asayake_cider: 試合に集中しろ！
[294.105] (S)10jqka: たどり着かなきゃ
[294.140] ookotoa: なるなかてぇてぇ
[297.225] X_March_X: あっぶない
[299.093] 焼き菓子: はははは
[300.710] (S)おりもと31: 芸能人みたいな人気で草
[300.726] minato19923: ストーカーやんｗ
[301.754] haku_you: さすがに試合いかないとな
[302.247] たくあん01: ゆけーい！
[302.786] 亀の甲より柴咲コウ: この人気者め！
[302.885] amumurin_: ファンサDQ回避
[303.383] VELLLLLLLLLLLL: 人すげぇ
[305.037] camel0141: 人がやべぇ
[305.484] IMULTA: たはは…
[305.688] 焼き菓子: めっちゃ人いる
[305.724] InaG0: なるちゃん頑張れ〜〜〜！！
[306.798] (S)ももしゃん88: 辿り着くまでにも時間がかかるよ
[307.293] KotetsuRoom: かきわけろ
[307.535] ナゴリユキ: ゆけーー
[307.776] you111112: スゲー人
[308.211] (S)teitei0343: 申し訳ないけど仕方ないぜ
[310.340] (S)lovepeace369: おーれはあの青い子に頑張って欲しいね！
[310.831] (S)おりもと31: 宝塚の出待ちくらい人おるやん
[311.048] 生のイモ: 人すんげえ
[311.564] マコーレタカラ: 手振れヤバイ・・・酔う
[311.655] chin_bell_: 間に合うか…？
[312.208] (S)gazesd: 人がやばすぎる
[314.285] おかあさんいつも: 間に合うか！？
[315.309] (S)アイネ_: こーれはえぐい
[315.835] mitsuo157: 2日目でもこんなに居るのか
[318.227] hakobe1942: やべえ人
[319.193] lucky_shocker: 人多いな～
[319.872] (S)10jqka: 人の海
[320.480] (S)henya1210: 辿り着けるのかこれ
[320.563] (S)simetu_no_maeba: なかやんちょっとストーカーやな…笑
[321.613] kokuyoshi: 格ゲーバブルじゃんマジで
[321.679] (S)MasudaTheMenace: どこの対戦台だー？
[321.866] InaG0: たつや！？
[324.017] dechi04: ハイタニｗ
[324.209] opkyunyun: 中いくのしんどｗ
[324.588] (S)マラリンティウス: いそげー
[325.010] mitsuo157: タニいたぁ！
[325.217] 焼き菓子: たつや！？
[325.720] nitamago33: たつやいたな
[325.746] (S)じーのっぽ: 宝塚ってｗ
[325.980] X_March_X: えっぐ
[326.819] (S)もふもふ食パン: 試合大丈夫？
[326.967] mishirannuko: 一般ハイタニ
[327.179] chin_bell_: タツヤ！！
[327.471] (S)~MISSING_COMMENTER_INFO~: たつやおつかれー
[327.550] ぱりっぱり: はいたに！？
[327.600] sign_00: 一般通過ハイタニ
[328.738] なんせぶ: たつやｗｗｗ
[329.607] (S)なをくん: たつや！
