[306.066] ぢょごぢゃん: 年齢幅広すぎ
[308.737] prisira: sakoさんガイルの話しないかなｗ
[310.510] Umeshoyu: 台数は２台のまま？
[312.640] teruharu_: 今日も盛況
[312.829] une3333: あ！後ろsakoさんか！
[318.335] (S)mm2351: さこさーん
[318.383] mifune1046: 今日ササモにぃは？
[322.765] starkabokabo: ほんとやさこさんやん
[324.416] サラバア: 使用、予備、観賞、保存
[329.273] (S)mm2351: ノシノシ
[329.443] (S)ヨコグシ: w
[332.139] (S)chicken_dumpling: @Vitamin_Z7 it is his place, but people call it the game shop.
[332.341] (S)デコイロイド: KonCha
[332.851] yuzubox: 今日も盛況なゲーセン
[334.500] (S)maya_g01: かわいい
[335.481] matsu_zalem: ニューギアすか
[336.549] maddy2623: ウメちゃんおはようございます
[337.024] une3333: ヒトボチラ見なおくん
[337.790] showhey778: sakoさんおるんかい
[339.304] inkgran: なおくんいたぁ！
[341.713] (S)hige_daruma123: 若手とおじのマリアージュ
[343.126] balthazar000: Sakoさんなのか。いぶしメンバーかと思った。
[344.689] いちたすいちわ: ガイルに物申す系男子
[346.316] VVVoidWalker: 新鮮なヒトボが穫れましたよぉ～
[352.138] prisira: ガイルにめっちゃキレたらしいなおくん
[356.972] umimiuumi: うめちゃん、こんにちはー！
[364.847] mmiiacha: umeYay
[369.361] suginaka56: やっぱそうなんだ
[372.964] だいこん_: 情報交換とか共有も早いよね
[375.336] bunbun0880: なるおとえいたは発売しても来そうだけどねｗ
[380.366] tabibitox: 太鼓の達人のコントローラーでも勝てるガイル
[380.887] akasanz3x: 情報共有が早いのはオフの利点かな
[397.485] もすび: 上の映像ただのイブシギンハウスの映像やね
[398.426] balthazar000: タタコンガイル
[409.665] hato_pizza: 今日もゲーセンあったー
[421.156] misopotato: サブ台がイブシギンになってるのおもろいな
[431.042] クレちゃ: こういう風にCPTに専念できるのうらやましい
[437.062] 勤務中: LoLやってないなと思ったら
[438.641] (S)ごまさんです: 自撮り
[442.256] tabibitox: 新型！
[448.853] potocki1810: 大盛況であられるーー 
[457.304] jagajaga1943: 新型PS5で動くか試したら？
[457.755] ebiebi12: 上優先直したの
[464.763] mifune1046: ササモにぃ消えちゃったの…？
[491.346] chin_56_: これがおれの新しい相棒
[501.697] yukidaruma557: 大統領
[502.130] だいこん_: 自撮りハラ
[504.386] いちたすいちわ: ササモくんにこの会場は狭すぎたか
[511.559] (S)maya_g01: 自撮りきたあ
[511.710] クレちゃ: ササモくん繊細なんだから、あんまりからかっちゃダメよ
[515.279] nihonsyu_: なおくーーん
[518.259] だいこん_: あっ
[530.192] starkabokabo: Discordで話しながらとはなんかやっぱ違うんだよなオフでの共有って
[540.640] flashbacks18: 人いるから撮ってもらおうぜw
[542.103] 黒猫くん: お、sakoさんやぁ
[546.681] (S)weeep1: 何でも玩具にしようとするからなｗ
[555.748] (S)一1990: 自撮り
[556.019] matsu_zalem: じどり
[556.814] tora6666: IT社長
[560.800] onihey: 王のセルフィー
[561.552] potocki1810: なおくうううん
[561.836] daisya1919: 自撮りかわゆ
[564.588] (S)usamaru_noir: ウメちゃん、誰かにとってもらったら？
[568.718] poposuke: TTours
[569.066] ebiebi12: ヒトぼ高そう
[572.507] sengoku_iori: Twitter用かな？
[575.197] tabibitox: ツイート用をスタッフに送ってるぽいｗ
[576.000] (S)monmon_petitpetit: スポンサー商品
[582.812] teruharu_: 宣伝してこ
[583.685] aranami0: sakoさん！
[588.483] tabibitox: そのままツイートしたｗ
[597.290] flashbacks18: そゆことかw
[599.252] okureiman07: さこさんいるやん！
[601.482] (S)fahmy0825: Ibushigin+Sako today
[602.345] (S)maya_g01: そのままだったｗ
[603.580] (S)マンゴスチン: きちゃ！
[604.490] (S)fahmy0825: ?
[607.529] akasanz3x: 即ツイートでしたｗ
[610.250] kinazoukun: 若手から生気をもらう王
[611.912] ebiebi12: えいたこなくなったな
[615.885] mifune1046: りゅうせいモチベたけぇ
[625.810] (S)weeep1: 対戦部屋めっちゃ環境良さそうで草
[626.059] prisira: えいた引っ越しで忙しいんじゃない？しらんけどｗ
[631.807] (S)一1990: オシャレな照明
[635.453] akasanz3x: えいたはいろいろ忙しいからね
[637.795] lucentsnow: ノートPC誰かもちこんでも良さそう
[644.154] balthazar000: 結婚式挙げて心変わりか
[648.314] une3333: はやくきてくれーーーっ！
[648.388] (S)weeep1: メンおじはやくきてくれええええええええええ
[649.316] ebiebi12: えいた無職じゃないのか
[658.715] ro5503: 新しいヒトボてこと？
[662.268] AtomPeter: メンオジーーー
[662.408] ishiwata1234: 走れメンオジ
[664.071] まるいとうふ: マラソンで最初に全力疾走する勢
[664.193] suzu_mushi: 届いたばかりなのに、無茶を言うｗ
[669.286] (M)(S)gameinntwitch: えー、千石電商寄っていくかぁ
[672.879] one596: アケコンのボタン自分で変えられないプロウメちゃんぐらいでしょw
[676.931] だいこん_: いたぁ！
[677.552] poposuke: 甘やかし全1
[677.887] (S)weeep1: 草
[678.199] teruharu_: メンおじいつもありがとう
[679.199] akasanz3x: 静音ボタンじゃないんだね
[680.300] milanor03: メンおじwww
[684.963] daisya1919: めんおじｗ
[687.611] AtomPeter: 反応早やw
[688.057] mifune1046: 静音もメンおじがやるの？
[689.162] akasanz3x: メンおじ反応はええｗ
[691.856] balthazar000: アキバに出現予定か
[695.371] matsu_zalem: クレ556で
[697.869] だいこん_: 24時間サポート
[697.940] (S)マンゴスチン: めんおじｗ
[699.708] ポンポン: ゲーセンオープンんしてた
[701.554] Umeshoyu: 予備持ってないのか
[703.197] sengoku_iori: 仕事が早過ぎるw
[707.537] potocki1810: メンおじ殿
[709.834] (S)naginagi99: メンおじはいつも仕事が早い
[711.729] one596: 圧倒的サポート
[714.281] misopotato: 草
[714.703] prisira: 静音ボタンがないんじゃ
[714.891] (S)weeep1: 業者よりレスポンス早くて草
[721.401] tabibitox: りゅうせいきたか
[725.232] sengoku_iori: りゅうせい到着音♪
[732.223] ぬーぼー2: もうみんなカギ持ってる
[732.721] (S)brutal9998: 今日のメンバーは誰？
[732.911] mifune1046: これが奴隷じゃなければ何て呼ぶの…？
