[42.290] kohanai__o4: radaoHi
[42.339] シオマル: あ
[42.349] (S)ゆにるな: わこらだ〜
[42.366] (S)MOMO66113: radaoHi
[42.384] まこくん: radaoHi
[42.474] Miriotta: radaoHi
[42.479] (S)abara_129: radaoHi
[44.543] (S)筋子って美味しいよね: え
[44.709] (S)ferunora: radaoHi
[44.736] (S)ｻｸﾁｬﾝ: radaoHi
[44.753] (S)aioka_y: radaoHi
[44.827] (S)ori_san: わこらだ〜
[44.918] (S)doudemoo: radaoHi
[44.928] (S)hishaku_o0: え
[45.076] sunomono8: wwwwwwwwwww
[45.134] わらびもち_11: wwwwww
[45.168] nobume0v0: radaoHi
[45.243] (S)rina81820: そうだったwwwwww
[45.287] きのお: radaoHi
[45.340] あばらボブ: radaoHi
[45.353] 麦藁帽子: radaoHi
[45.353] (S)ぱぐぞぅ: radaoHi
[45.362] (S)poizo_: radaoHi
[45.703] (S)さねまる: そっか
[45.831] (S)らいちょむ: radaoHi
[45.936] (S)pomeesan: radaoHi
[46.047] (S)hasorayuno: radaoHi
[46.337] seillane: あw
[46.374] (S)マロン_: わこらだ〜 
[46.389] (S)ねこねこお嬢: あっ
[46.450] (S)uriper88: radaoHi
[46.558] yukimochi08: radaoHi
[46.569] すえひろがり: あwwwwww
[46.607] (S)maronkream: なぜ？
[46.608] nolea_: radaoHiradaoHi￼￼ 
[46.626] hijiki_0209: radaoHi
[46.627] (S)べお005: べお005 subscribed at Tier 1. They've subscribed for 6 months! 
[46.646] (S)~MISSING_COMMENTER_INFO~: www
[46.795] sora_mameee: あww
[46.980] (M)salt_w12: radaoHi
[47.577] (S)にんじんカレー: そうだったwwwww
[47.626] (S)fukut403: radaoHi
[47.741] (S)みこくま: あ
[47.800] (S)aioka_y: wwwww
[47.815] にわすずめ: ダウン寝してたぁwwwww
[47.828] (S)ワカドゥリ: radaoHi
[47.869] (S)rupppiiii: そうだった（笑）
[47.995] きのこもち: きのこもち subscribed at Tier 1. They've subscribed for 29 months, currently on a 29 month streak! 
[48.091] (S)らいちょむ: え
[48.236] (S)naruha_1206: radaoHi
[48.282] (S)天ぷらまん: radaoHi
[48.298] んななな: radaoHi
[48.458] (S)チョコチョコミント: radaoHi
[48.917] necohina: わこらだ
[49.013] ポテチの子: あ、そっかww
[49.144] ponzo_0428: radaoHi
[49.152] ラム0158: radaoHi
[49.409] 夢現: わこらだ
[49.577] (S)おはおはお: radaoHi
[49.690] (S)siroeri_sirosiro: あ
[49.775] (S)mappa_hi: わこらだー
[49.782] (S)oreo_oic101: wwwwww
[49.807] (S)ククリン: あwww
[49.844] yuki_empty: そうだったよねwww
[49.980] (S)月山シエスタ: radaoHi
[50.016] (S)akadome_0503: radaoHi
[50.057] (S)katsumi20201130: radaoW
[50.255] hijiki_0209: わこらだ
[50.544] (S)ゆにるな: そっかwww
[50.749] (S)シクシク: radaoHi
[50.757] pon_gashii: wwwww
[50.758] (S)rukan_x3: ダウンしたまま寝るから
[50.901] (S)poizo_: そうだったww
[50.986] キアラ3: www
[50.989] (S)わふねこ: そうだったwww
[51.092] (S)pepechi80: radaoHi
[51.253] (S)d___rose: そうだったねww
[51.275] ゆずシフォン: radaoW
[51.380] (S)konpeitooou: radaoHi
[51.477] (S)こうか87581: radaoHi
[51.587] (S)しめったチワワ: www
[51.590] (S)ai0902: radaoHi
[51.679] (S)yakkooo630: radaoHi
[51.888] 雪狐0143: そうだったwwwww
[52.078] (S)shinga_5188: そうだったwww
[52.198] (S)mikumo05: わこらだ
[52.233] kurageru: radaoBikkuri
[52.380] (S)sakura_425: radaoHi
[52.402] 麗葉: radaoHi
[52.647] (S)hishaku_o0: wwwww
[52.829] (S)うぷしろ: radaoHi
[52.857] ポテチの子: radaoHi
[52.887] noru8575: radaoHi
[52.889] (S)あんちょび_: radaoHi
[52.922] haineozZ2: radaoHi
[53.054] きのこもち: radaoHi
[53.180] saimonjean: わこらだ 
[53.208] 冷ユレ: radaoHi
[53.329] sora_mameee: そういえばwww
[53.433] (S)マロン_: あーww
[53.738] あっすー_: radaoHi
[53.885] はっる坊: radaoHi
[53.901] (S)reicia_72: radaoHi
[53.919] 秋蒔: radaoHi
[54.049] (S)kanagawa800: radaoHi
[54.182] (S)okara25: そうだったww
[54.650] 銀杏歩: radaoHi
[54.748] (S)みこくま: そういえば
[54.822] ayunosioyaki0223: radaoCry1
[54.864] ぬちゃん: 忘れてたｗｗｗｗ
[54.876] (S)reireireire: わこらだ 
[54.894] (S)うみやま: www
[54.942] (S)Entuner: radaoHi
[55.035] mbando55: 開幕死んでて草
[55.036] (S)sakusakurano: radaoW
[55.085] (S)おはおはお: radaoW
[55.186] mochi_00v: radaoHi
[55.338] atuono: atuono subscribed at Tier 3. They've subscribed for 42 months! 
[55.851] れもんちぃ0: 初手ダウンwwww
[56.248] (S)tinorinn: radaoHi
[56.290] cedar_773: わこらだww
[56.321] (S)ai0902: wwww
[56.324] (S)komatuna_pipipi: radaoHi
[56.486] piroropiro: radaoHi
[56.537] (S)ささみ_1111: radaoHi
[56.661] (S)さわタイ焼き: radaoHi
[56.703] nihu_umeki: わこらだ 
[56.739] コムギ_: radaoHi
[56.927] (S)てくてくてくの: radaoHi
[56.959] tiiiiiiikehagi: radaoW
[56.991] tarabaaaa: wwwwwwww
[57.066] seillane: そういえばwww
[57.137] 96猫3: あー
[57.142] (S)doudemoo: 昨日の残りw
[57.167] ぽつかれ: radaoW
[57.236] (S)にびびび: radaoHi
[57.282] (S)remmy2307: radaoW
[57.344] (S)いぶちゃんぶ: わこらだ
[57.558] (S)aioka_y: そうだったww
[57.573] kurageru: radaoHi
[57.593] (S)べお005: だよねwww
[57.704] (S)mol_guri: radaoHi
[57.735] (S)k0ku3: radaoHi
[57.808] (S)maronkream: ダウン寝か
[57.924] (S)ふーか71: radaoHi
[58.307] みさお婆ちゃん: radaoHi
[58.544] (S)honu000: radaoHi
[58.552] munitatatata: radaoHi
[58.749] おじょーー: そういえばそうだったww
[58.772] itijiku_0605: wwwww
[58.814] (S)yassyon: radaoHi
[58.904] (S)hakurin12: radaoHi
[58.928] (S)ねけめれ: radaoHi
[59.360] tktk_panic: radaoHi
[59.564] (S)ferunora: radaoCry1
[60.064] norato041197: そうだったw
