[30.605] (S)尾晶蠍: よお
[30.647] mogimogi5: あ
[30.741] suger4628: おめ
[30.743] karuru_0209: 結婚おめ
[30.855] syxihjgiffiohgg: 流れ
[30.899] フィヨルドランドペンギン: batoraNagare
[31.171] sukosukonbu: sukosukonbu subscribed at Tier 1. They've subscribed for 14 months! 
[31.174] vxfjbvx: おめでとう
[31.279] poyo0302: 結婚おめでとうございます
[31.314] あのもの: 元気か？
[31.339] balance_091: おめでとう
[31.352] hotaeru__pu: まって
[31.376] kotono_ha: 引退 
[31.377] rinko__o: おめでとう！！！
[31.377] ragdoll041: batoraNagare
[31.594] (S)velvet_024: 結婚きtらああああああああああああああああああ
[31.606] (S)frorida_22: おめ
[33.717] (S)山田亮介: 待てと！！！！！！！！
[33.758] (S)イチタスイチワ: おめでとう！
[34.166] (S)ねこちゅー: ねこちゅー subscribed with Prime. They've subscribed for 4 months! 結婚マジか
[34.213] (S)soralira: 今日かよおおおおおお
[34.297] (S)ikaudon0622: 賭けしようぜ
[34.316] へくちょん: batoraNagare
[34.319] toshio0224: まじかバトラ
[34.343] vxfjbvx: おめでとう🎊
[34.349] まじっくん: batoraNagare
[34.358] (S)chienpao30: batoraNagare
[34.372] anmitsu_ch: おめ
[34.395] unchi_unchi12345: それはおめ
[34.411] hoge42: おめでとう！
[34.418] bato451919: 広告
[34.525] 食券です: batoraNagare
[34.718] batora314: 仕事辞めたか？？？！、！、！！！！！！！？！？
[34.750] daiku_man: あ
[34.777] カメレモン: batoraSuki
[34.792] 桐生かじゅま: 体調はどうだ？
[34.810] sai10001: 結婚おめでとう
[34.833] ririri1721: 流れ
[34.855] (S)村紗あざらし: batoraNagare
[34.859] sutorea09: おめでとうううううううう
[34.913] ~MISSING_COMMENTER_INFO~: けっこん！る
[34.924] sn0wman_eater: 仕事辞めるのか
[34.957] 出所しました: ビッツ解放してくれ
[34.958] jim1209200: ちょっと待て
[36.168] bato451919: やめて
[36.267] (S)superdog893: おめでとうーーー！！！！！！！！
[36.328] 小鳥遊222: おめでとおおおおおおおおおおおおおおおおおおおおおおお
[36.362] suya221: おめでとう！！
[36.381] jieookos: おめでとう！
[36.402] tetsuo8888: おめでとう
[36.405] kimyonayotyu: おめ
[36.426] bigbaby0529: おめ
[36.480] agitonokyojin: 54
[36.548] momoo_mgmg: おめでとう
[36.607] natadetulip: batoraNagare_TK
[36.614] aaaa1345: 子供の名前はなんだ！？
[36.656] kamijo_m: な、がれ
[36.666] (S)ムクムク郎: batoraNagare
[36.691] sawa_h: やっと仕事やめたのか
[36.764] watapaku: batoraSudachikun3
[36.810] (S)mirulia33: え、結婚確定ですやんw
[36.864] ち_____: batoraNagare
[36.866] agosamurai117: 結婚きｔらあああああああああああああ
[36.907] Mether_lence: あ
[36.916] (S)ゆかり飲んで落雷轟轟: batoraNagare
