[120.641] ddb365: ウメハラはこう生きる
[121.022] 何も知らないジョンスノウ: まさにどう生きるかw
[122.274] あり0221: それでも俺らはウメちゃん見ちまうんだわ
[125.573] harumaki040212: ウククレさん
[125.584] xxzoids: こうやって生きてきた。
[125.717] ~MISSING_COMMENTER_INFO~: 俺たちはどう視聴するか
[126.256] minOn54: 俺たちはどうすればいいのか
[127.652] karumememe: なんかトラブル？
[129.609] jigen0104: wwwww
[130.125] (S)ハルキ10: もーまんたいもーまんたい
[131.820] shiro_risu01: umeCatHope
[132.132] トネ: トネ subscribed with Prime. They've subscribed for 15 months! うん
[133.504] sahaha213: あまりにも王
[134.445] (M)(S)gameinntwitch: 遠隔もう一回たちあげてくれたらやっとく
[134.654] (S)gyu_nyuu_pann: 俺たちはどう生きるか
[135.387] カブトシロ: 配信開始そうそう王不在！？
[136.076] (S)mart_00_: wwwwwww
[136.214] icyblue1985: 俺たちはこう生きる
[136.442] akaao123: クズにはクズをぶつけんだよ！
[137.088] 寝るポイント: 「あのウメハラだよ？？」
[137.385] umetyaahan: 俺らも大丈夫
[137.863] suupu: うーん
[137.988] tabibitox: 王を知ってるからな
[138.778] (S)ガヤン0521: 一度会ったら親友理論
[140.940] (S)gorogorogorn: 俺だよ？
[141.311] 将門ゴルゴロ: ｗｗｗｗｗｗ
[141.341] アザミノ: 大丈夫です
[141.711] kebiisi: 俺たちはどうすれば良いのか
[142.699] (S)エムクロ: 王道
[142.933] triskeal: 俺だよ？
[145.412] (S)gyu_nyuu_pann: 俺だよ？
[145.558] (M)Moobot: ～ 新ヘッドセット登場 ～ HyperX Cloud III → 空間オーディオの臨場感で楽しくゲーム出来てます https://hyperx.gg/42XVwOf
[145.783] 無心に: お前たちがなんとかしろ
[146.204] degajun: 新規の人は困惑しそうｗ
[146.407] (S)黒光り肉の: おめーら俺の配信なんだからわかってるよな？ですよねー
[147.409] (S)bikibiki999: ハンサムさんの直球突っ込み好きｗ
[149.323] titilrin: ウクレレで間を繋げ
[150.890] shiro_risu01: どうすればｗｗｗ
[151.411] umetyaahan: 俺はいいよ
[155.322] (S)gorogorogorn: おっ、ハンサム！
[156.627] (S)ババシャツ: 俺たちは何を見せられてるのか
[157.302] egatyan: 知ってるけど、それを堂々と言われてもなw
[158.999] (S)yut7xot8: umeCossack
[160.395] (S)gyu_nyuu_pann: おーーいつもの
[160.719] (S)ハルキ10: ウクレレ弾いとけ！
[160.774] nikukuisugi333: ウクにぃおるやん
[161.441] (S)くまリンカ: だれ
[162.386] eremin_39: あ
[163.753] (S)エムクロ: ウクレレタイム
[165.067] ~MISSING_COMMENTER_INFO~: 華麗なスラップを披露じゃ
[165.461] アザミノ: あとはよろしく
[165.734] tatatatady: これでいいでしょ！
[168.210] (S)daichan1200: だんごんちの奥行きがすげぇ
[168.605] ハナノユメ: 視聴者をネグレクトするのやめてね 
[170.120] セツリ: 北海道
[173.640] TUBE_MAN: 折笠っぽい
[175.623] 寝るポイント: だれかがスピーカーから音だしてる
[177.318] suupu: やっといてよｗ
[177.427] (S)mart_00_: 恐ろしいメンツ
[178.964] icyblue1985: ど、どういうｗ
[179.058] jigen0104: さっそく試される人々
[179.772] (S)marvolo6: 俺たちはなぜ王がいない配信を見るのか
[180.567] takoppu: あまりにも王
[180.699] tabibitox: ひどいｗｗｗ
[180.724] mushikiller: やっといて〜
[181.201] (S)gyu_nyuu_pann: やっといてwww
[182.445] (S)chachachakoma: やっといて、おれでてくるからｗ
[182.856] (S)りゃーー: このメンツで！？ｗ
[183.501] ハナノユメ: 参加者を教えてください
[183.672] カブトシロ: テキトーだなぁ…
[184.102] danny_love_danny: Dと折笠とかハンサムチャンネルだよ
[184.328] umetyaahan: いっちゃった
[184.831] (S)gorogorogorn: ウクレレにぃの生活感ｗｗｗ
[184.872] degajun: wwww
[185.524] blupon06: ハンサム頑張れ
[185.610] mifune1046: 王「あとやっといて」
[185.832] Norsest: 王ほんま
[186.661] 将門ゴルゴロ: ｗｗｗｗｗ
[186.879] eremin_39: 例の方がおる
[187.395] hellzz88: まぁ僕たちは特殊な訓練をうけてるから
[187.613] krowflow: amarinimo
[187.843] (S)銀廻宗創始挙天和尚: どこいったの
[188.227] icyblue1985: やっといて笑うｗ
[188.243] harumaki040212: 気まずい
[188.301] (S)gyu_nyuu_pann: 我々は慣れてる
[188.920] たかさん64: こんばんわーよろしくお願いいたします
[189.322] (S)nail06k: たいへんじゃな
[189.591] tenten2156: がんばれーｗｗｗ
[190.399] TUBE_MAN: ウクレレくんおるやん
[190.725] tatatatady: どうすれば・・・
[192.181] セツリ: 身体差しあげ
[192.915] krowflow: あまりにも王
[192.924] xxzoids: これ、折笠さんの番組じゃん。
[192.950] リエオ: 迷子ww
[193.072] shiro_risu01: umeCatHope
[193.152] ~MISSING_COMMENTER_INFO~: 唯一神
[193.776] kebiisi: 君たちはどうすれば良いのか
[194.028] hikky722: ウメいねーと見ねえよｗ
[194.085] harumaki040212: 気まずいよw
[194.501] syrup9000g: かわいそうに
[194.623] mifune1046: 不遜
[195.218] (S)brutal9998: まさに今そうだよwww
[197.349] akinikuihuku: w
[197.597] degajun: ウクレレにぃ大変やろｗ
[199.234] 無心に: 深い
[199.563] Norsest: 俺たちはどうすればいいんだ
[199.852] (S)nikorinko: 放牧やん🤣
[200.284] (S)なんやねん: どうすればいいのかw
[201.158] rm_rf__: 緊急企画：俺たちはどう生きるか
[201.219] matsu_zalem: ここはハンサムチャンネルか？笑
[202.267] right_8: 生殺しかな
[204.986] ふしぎ3000: 民は無力
[208.304] harumaki040212: 優しくな
[208.322] morinagasyuya: ウクレレにぃごめんね
[208.650] (S)ガヤン0521: まーじで、俺たちはどう生きるか
[209.611] (S)kesigome: 開幕タイトル回収とは恐れ入ったな
[209.654] TUBE_MAN: とりあえずウクレレ一曲頼む
[209.971] You_nari: 相変わらず放置するのか
[210.415] mifune1046: でっっっかい赤ちゃん
[211.680] あり0221: 俺たちはどう生きるかを体現するようなリスナー開幕放置
[211.925] Norsest: ハンサムいてよかった
[215.043] ハナノユメ: ウクレレの子、顔がかわいいよね
[215.252] (S)gyu_nyuu_pann: ウクレレ兄ごめーーん
[217.098] (S)りゃーー: ほぼハンサムチャンネル
[217.717] syrup9000g: 自己紹介とかすんの？ｗ
[219.378] danny_love_danny: 王が一番クズ？
[220.081] suginaka56: 15分"から"
[220.345] (S)黒光り肉の: これワザと適正見てるあります
[220.784] 寝るポイント: ウメハラは？騙したの？？
[222.555] umetyaahan: 俺はいいよ？
[223.709] daizin0716: 言われなくって生きてやるってことにしませんか？
[224.354] kumi115: ウクレレにぃ可愛いやん
[225.011] ぐのたお: ボケて開幕
[231.928] ikageso5: ハンサムの部屋が独房みたいだな
[232.231] (S)くまリンカ: げきおこ
[233.698] erisuk: ハウりはなおそう
[233.836] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[234.280] TUBE_MAN: どうせ折笠でしょ
[240.097] umetyaahan: どうせ折笠
[240.797] harumaki040212: ウククレの子かっこいい
[242.670] redbull_daisuki: ハンサム、マスターおめでとう 
[243.437] (S)ハルキ10: ウクレレ緊張してるのか
[243.874] kebiisi: 折笠はどうすれば良いのか
[244.458] (S)fahmy0825: What is this?
[247.029] ハナノユメ: 直りましたね
[247.354] jigokunonekomatu: ギスギス
[248.371] 寝るポイント: 折笠さぁ！！
