[920.166] tonpa323232: セイラム
[957.365] unachanmanz: 外れるのはカズ、三浦カズ
[959.097] ~MISSING_COMMENTER_INFO~: カリオンは槍だって誰かが言ってたよ
[964.446] (S)dokkorashot: Ａリーガー
[967.783] ~MISSING_COMMENTER_INFO~: カリオンは騎兵ゆえ
[974.687] ruku16: ここでクラスチェンジ作っときたいねぇ
[987.358] MazicMozaic: 次の章でナンナ出さないといけないですウメちゃん
[1003.093] ~MISSING_COMMENTER_INFO~: でも槍育てても使えないフロア多いんだよな
[1005.128] tonpa323232: ネタバレ寒いからいらない
[1012.420] tokorozawabeast: ウメさんこんにちは～
[1030.711] sayuha1: リアルでも人生の致命傷喰らわない書が欲しい
[1031.076] tamaow: 最悪Sドリあるんだから、黙ってても良くない？
[1034.085] (S)ビフィダス: 配信だー
[1044.780] keydashonline: 挨拶を送る
[1045.906] (S)kosumosu011226: 仕事サボりながら見てるで
[1054.134] tonpa323232: カリオンは馬に乗ると槍になる
[1062.333] ~MISSING_COMMENTER_INFO~: ラーラCCしたのか
[1062.917] (S)toshioj: 仲間はまぁウメちゃんが皆仲間にしたがってるっぽいから分かるけど、攻略法は寒い
[1081.442] ~MISSING_COMMENTER_INFO~: あれ トラキアって馬上で剣使えないんだっけ
[1083.111] gyahhaa: カリオンは馬上でも剣使えるんじゃないの
[1083.572] ~MISSING_COMMENTER_INFO~: カリオンのことカリンて言ってるから一瞬分からんかった
[1087.988] tokorozawabeast: ウメカリオン強いね。うちのカリオン全然だった。
[1093.305] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[1102.021] ruku16: カリオンは馬でも剣使えるよ降りると剣だけになる
[1114.159] sowhat77179: なんで俺はこんな時間の放送見られるんだよ
[1114.294] MazicMozaic: カリンはカリンだ
[1128.521] ~MISSING_COMMENTER_INFO~: なら剣も育てたいな
[1147.652] ~MISSING_COMMENTER_INFO~: こういう突入作戦はラーラも使えそう
[1169.402] (S)toshioj: うおおおおおおいけえええ
[1174.671] gyahhaa: オルエンは騎乗しましょう
[1177.675] tokorozawabeast: 後発組のユニット育成が難しいんだよね・・
[1177.762] tonpa323232: 騎乗せんのか
[1186.728] tronen: 後方で旦那の帰りを待ち続ける人妻
[1189.847] MazicMozaic: 馬、、、
[1191.419] ~MISSING_COMMENTER_INFO~: オルエンすぐ死ぬ
[1197.260] daws2299: kei
[1202.730] beehive3: 肉壁５
[1204.671] (S)売れないバンドマン41: でも後発のほうが成長いいんだっけ
[1213.726] (S)ポンポン: 敵多いな
[1228.980] ~MISSING_COMMENTER_INFO~: 後発が成長いい とも限らないような・・・
[1231.142] ruku16: 相変わらず痛いなシューター
[1237.853] MazicMozaic: オルエン剣持てる
[1239.036] ~MISSING_COMMENTER_INFO~: 神成長するやつは確かにいるけど
[1239.524] (S)ilm0806: この敵の多さ、いよいよ全面戦争？
[1248.222] ruku16: おとなしめ成長
[1254.741] (S)ilm0806: これ、やばくない？
[1255.342] sayuha1: スパロボじゃないからー
[1261.532] ~MISSING_COMMENTER_INFO~: 無双できないと敵がボリュームありすぎて吐く
[1263.271] (S)toshioj: ステータス画面で回避確認出来るで
[1273.805] okojo1991: おお、ステージ進んでる
[1291.196] tokorozawabeast: スーパーユニットが一人いるだけでも攻略と育成が楽になりますよね。
[1291.892] ~MISSING_COMMENTER_INFO~: つっよ
[1304.945] tonpa323232: ウメ。のろ
[1307.942] umechin7: なんな
[1314.408] h2hiroyuki: それにしてもこのところの配信頻度は凄いね
[1315.222] (S)kobayan86BRZ: マリータの剣は育成用って上手い人言うてたで
[1342.816] ~MISSING_COMMENTER_INFO~: 一歩間違えると手塩にかけたユニットが虐殺されるから困る
[1344.817] tokorozawabeast: ウメさんが楽しそうトラキアやるから自分もFE熱再燃してきたましたで・・！
[1351.704] (S)ilm0806: @h2hiroyuki 仕事人間だからだ、そうよ
[1362.529] ruku16: エース多いな今回
[1365.525] ~MISSING_COMMENTER_INFO~: マリータの剣って経験値補正あるやつだっけ
[1375.246] sayuha1: トラキアリメイクしてほしい
[1379.046] uncle_yam: ない、2回攻撃＋見切り
[1382.046] halu3: 久々に第5期トパンガリーグ見てたらウル4したくなってきた
[1383.797] ~MISSING_COMMENTER_INFO~: ないかー
[1384.675] (S)maetantan: こんちわーっす 
[1388.131] Ceciltaisa: マテハラ
[1395.580] ~MISSING_COMMENTER_INFO~: タニアつっよ
[1403.024] ruku16: オルエンも乗ってええんやで
[1404.524] (S)ilm0806: リメイクしたら、難易度下がって、ウメちゃん発狂だなあ
[1405.069] ~MISSING_COMMENTER_INFO~: そういや斧勢は使ってないんだね
[1407.693] (S)kobayan86BRZ: 育ったらぼろ剣でもめちゃくちゃ強いからね
[1411.323] tokorozawabeast: 自分は序盤でタニアに空打ちさせて、この辺りではもうスナイパーで特攻していたような記憶・・
[1411.934] (S)ぐぐっす: タニアカリカリに仕上がってる
[1412.981] saviorr_mic: トラキアきたー
[1413.350] MazicMozaic: トラキアの前に聖戦をリメイクだ
[1423.808] (S)pikachupikac: hello anime fans 
[1434.761] tronen: ゴミの集まり
[1436.458] beehive3: 負けイベントかな
[1436.555] ~MISSING_COMMENTER_INFO~: さすタニ
[1440.146] tokorozawabeast: また旦那の軍隊が弱くて間に合わないんだよな～＾＾
[1459.120] MazicMozaic: グレイド側放置かー
[1463.955] xdfwjfpf: 城のやつらもう諦めてるだろこれ
[1470.642] (S)ilm0806: リーフ無双くるううううううう
[1473.830] tokorozawabeast: でもこの緊張感は加賀FEならではですよね。
[1478.967] douguluskaien: グレイドサイドを動かせるのに気付いてない
[1480.933] (S)pikachupikac: what anime are we going to watch today tagather ? 
[1488.994] inu_koro_: 神の出番か
[1489.374] okojo1991: 総力戦燃える
[1491.132] (S)toshioj: 神降臨
[1502.159] ~MISSING_COMMENTER_INFO~: くそつよ
[1506.564] (S)ilm0806: @pikachupikac fire emblem this is game
[1519.303] (S)ttp_hayato: 前の配信ログみてたらきてたｗ
[1522.913] ~MISSING_COMMENTER_INFO~: 疲れ知らずの絶倫王子
[1530.842] douguluskaien: オルエンは騎兵だよ
[1545.890] (S)pikachupikac: no , i am going to stream anime on my chenal afther this stream ends 
[1552.428] tronen: ファラの書しかなかったのは笑った
[1590.722] (S)toshioj: たまに戻ろうとしたら移動力足りなくて笑えない事になるのがやばいね
[1597.437] ~MISSING_COMMENTER_INFO~: 絶対死ぬ人たちやん
[1599.146] (S)ilm0806: @pikachupikac nice, plz stream hentai anime 
[1604.156] ruku16: 肉壁にしかならんから死ぬ前に鉄の槍とか奪うのもあり
[1606.966] MazicMozaic: オルエンだけハブるのかわいそう
[1607.570] tamaow: オルエン馬に乗れるやろ
[1616.308] (S)pikachupikac: how about echi anime ?
[1625.985] (S)toshioj: 鉄の槍奪うは面白いね
[1630.616] h2hiroyuki: これはもう見るからにアカンね
[1633.360] (S)Kanquez05: レンスター兵よわ
[1635.506] inu_koro_: よぇぇ
[1642.625] ~MISSING_COMMENTER_INFO~: 帝国圧勝
[1645.012] komekun_3025: ほんとよく戦争やってるなこいつら
[1656.519] MazicMozaic: ウメちゃんここ離脱マップ
[1657.164] (S)ilm0806: yeah echi anime fine
[1661.712] tokorozawabeast: こんなときにキュアン様がいれば・・
[1669.022] (S)toshioj: 兵力も兵器も相手が勝ってるからな
[1669.690] tronen: こんなんグレイドの首もって敵に投降するレベル
[1684.315] sayuha1: 加賀は不利な局面が大好き
[1684.771] ~MISSING_COMMENTER_INFO~: 鬼神かよ
[1685.686] tamaow: まともなら降伏する国力差があるしな
[1689.817] beehive3: 神
[1695.485] ~MISSING_COMMENTER_INFO~: なんだあの歩兵・・・
[1695.800] tw_numa: すっかりトラキア定期
[1696.609] ruku16: あふれでる殺意
[1698.094] (S)pikachupikac: ok , ia m going to stream Ueno-san wa Bukiyou afther this stream , sub to me 
[1704.029] (S)ポンポン: マリータそつよ
[1716.124] ~MISSING_COMMENTER_INFO~: やるやん
[1718.955] tokorozawabeast: さすが剣聖オードの直系！
[1720.437] Ceciltaisa: 移動うまー
[1721.837] MazicMozaic: 志し低いぞ
[1722.657] (S)ilm0806: ok !
[1730.223] undersorn: グレイドに雑兵の鉄のやり渡せばこっちのものになるのか
[1743.548] ~MISSING_COMMENTER_INFO~: 育ったカリオンはほんまもん
[1746.462] (S)akiaki0612: さすがに読めるようになってきたw
[1750.363] (S)ポンポン: 肉壁がいつまでもつか
[1762.515] komekun_3025: 敵死んで殴られる回数増えるほうが損じゃねーの
[1772.666] (S)ilm0806: 城なのに、薬のひとつもないのか
[1775.205] ruku16: 逆にグレイドに回数少ない銀の槍だと心もとない
[1787.628] tronen: もう根っこ食べてるぐらい何もない城
[1787.833] (M)Moobot: 音声別れてます。The audio in this channel is split. 「Left= English, 右＝日本語」 Playback Devices > Properties > Levels > Balance to change (or take out one earphone).
[1789.999] みなみましまろ: ^_^
[1790.708] (S)ポンポン: 交代で攻撃を受けるバイト
[1794.326] unachanmanz: 雑魚騎馬兵も城で回復
[1800.329] douguluskaien: あ
[1800.416] uncle_yam: 鉄のやりがー
[1802.372] okojo1991: 土壁はがして煮てそう
[1805.961] ~MISSING_COMMENTER_INFO~: 草
[1807.720] (S)ttp_hayato: あっぶｗ
[1812.128] (S)toshioj: 突撃いいいいい
[1812.386] douguluskaien: とつげきおばさん
[1813.567] ~MISSING_COMMENTER_INFO~: 突撃もってるからね・・・
[1829.002] (S)ポンポン: いいダメージ
[1832.429] tronen: それでよく死ぬからみんなあのおばさんにいい印象無い
[1833.620] ~MISSING_COMMENTER_INFO~: 悪意に満ち溢れたステージ
[1834.995] (S)Sishamock: 弓に自信ニキ
[1838.221] MazicMozaic: 範囲に入れてはダメなの
[1841.892] (S)toshioj: 捕獲も持ってねえのにｗ
[1845.763] beehive3: 意外と耐えてるな
[1848.431] tokorozawabeast: 突撃というか突撃ラレというか
[1856.194] ぱーーまん: 槍騎士の末裔の国なのに弓兵の方が強い
[1856.569] uncle_yam: 人によってキャラ評価がぶれるトラキアで、一貫して低評価を受けるBBA
[1867.860] rootsblank: カリン出してないの？左下の民家行けなくないか？
[1869.155] hanayori_dango: 突撃ってどういうスキルなの？
[1870.438] ruku16: ここってカリン無しで訪問できたっけ
[1871.382] tamaow: 流石に突撃は、テスト段階でやばいと気付いただろ
[1880.520] ~MISSING_COMMENTER_INFO~: 一定確率で戦闘継続（突撃
[1881.550] MazicMozaic: カリン要る
[1888.780] tronen: 確率で戦闘続行 何故か反撃できなくても続行する
[1889.993] サライ: 観てて初期はそんな難しいか？と思ったけど、どんどんマップえぐくなるなｗ
[1892.474] okojo1991: タニねえありがとー
[1895.033] sayuha1: きずぐすり持たせない将おるぅ
[1898.681] tamaow: カリン無しでは無理だけど、気付いたらやり直すんじゃない？
[1907.132] ~MISSING_COMMENTER_INFO~: わかっててわざとセルフィナステージにアーチしかけてると思う
[1910.336] hanayori_dango: なるほど、ありがとう
[1937.545] ~MISSING_COMMENTER_INFO~: マジでステージ構成に悪意があるゲーム
[1943.205] cage14: でぶねこさんてんきゅー
[1961.740] uncle_yam: 実際突撃つけても強いのなんてセティくらいしかいないｗ
[1972.505] douguluskaien: おわた
[1973.723] tronen: お家に帰れない＞＜
[1978.559] ~MISSING_COMMENTER_INFO~: わんちゃん制圧まである
[1981.768] 黒虎えびお: kore
[1984.918] beehive3: トラキアの罠
[1985.224] ~MISSING_COMMENTER_INFO~: 草ァ
[1986.842] douguluskaien: トラキアあるある
[1986.900] 黒虎えびお: これ何章？
[1986.974] daws2299: LUL
[1987.147] tonpa323232: いいねえｗ
