[1221.112] (M)墾田永年私財砲: @Line_X all right?
[1227.439] ryu_kirino: 詰めにいくのに吐いちゃっていいと
[1230.635] electric_gorilla: 綺麗なお姉さんきたあああ
[1266.446] vra_oji: ｸｫﾛｽ
[1268.357] (S)Line_X: @墾田永年私財砲 https://www.youtube.com/live/QBzkMfYWKmU
[1280.289] ryu_kirino: 起き攻めで露骨に始動技当てに来るのもよく見る
[1287.638] electric_gorilla: うおおお
[1297.331] (M)墾田永年私財砲: cagdogBugi
[1316.208] (S)Line_X: You linked to an archive that just ended.  
[1336.320] electric_gorilla: うぐおおお
[1348.235] (M)墾田永年私財砲: thhhhhx
[1358.179] electric_gorilla: 銃きたああああ
[1443.350] ryu_kirino: 始動技→ヒート攻め→起き攻め全部通ったらしぬもんな
[1491.934] ryu_kirino: w
[1493.770] electric_gorilla: TearGlove
[1495.602] (M)墾田永年私財砲: nt
[1497.311] (S)Line_X: Ah.
[1543.693] Tomaju02: ニーナって対戦相手にいたっけ？
[1552.717] ryu_kirino: ヒート腐らせるのが一番あかんという考えが今は主流よね
[1580.730] kanameape: どぐら鉄拳うめえーけどプロの観戦付くと更に違うな
[1581.818] Tomaju02: リー、レオじゃないの？
[1619.118] ryu_kirino: 当て勘 当て勘
[1630.132] g_dms: 自身ヒート中の空中やられは全部白ゲージになるんだけっか
[1673.858] electric_gorilla: くううう
[1708.212] electric_gorilla: やったああああああ
[1760.738] (S)Line_X: Psycho Crusher ~
[1865.335] electric_gorilla: 下段さばきしたああああ
[1869.373] electric_gorilla: TearGlove
[1883.722] (S)frofrofrognico2: cagdogGa
[1896.703] いぬきち1: もけから！
[1897.991] もけっ: 1344 raiders from もけっ have joined! 
[1902.716] taluhika: もけつより
[1903.183] DojoComboRage: Dogura
[1905.232] いぬきち1: もけから！もけから！
[1905.931] sugar310513: もけつから
[1905.986] electric_gorilla: クマ！！めずらしい！！
[1906.822] ongyaaaaaaaa: NiceTry
[1909.038] sannpann_twich: 情緒不安定の本日全勝サイコパス
[1910.825] onyancoscratch: kokuji3Chu
[1912.035] pakorepukins: 踏み込みテンショウから
[1913.267] ruirui071031: 全勝から
[1913.553] いぬきち1: 全勝
[1914.153] ファンクマン: もけつから！
[1915.054] (S)zero_taisa: トパンガ全勝男から
[1917.791] hirarilemon: もけからだけど真面目に鉄拳の話してるな
[1919.863] いぬきち1: 全勝のもけつから？
[1927.573] kanetsucross: けっさんから
[1928.151] majesta179999: 真面目か
[1934.400] np2np: 右打ちしてるのか
[1934.760] いぬきち1: 今ちょっと違かったか、
[1949.075] ファンクマン: 多重人格配信者から
[1949.707] onyancoscratch: 右打ちさんか
[1961.043] (M)墾田永年私財砲:  レイドをくれた もけっさんのTwitchチャンネルはこちら！
[1962.554] afcdsp: クマかわよ
[1968.273] (S)ぽぽぽぽっきー: スト6のもけマジ強い
[1970.134] DojoComboRage: In or out of throw range?
[1977.658] いぬきち1: もけっさん全勝だからね
[1980.331] futoshi77: 用心さんか
[2004.373] falcanon: ウメハラ豪鬼ともけ春麗全勝したもんな
[2012.893] electric_gorilla: うおおお
[2021.748] (M)墾田永年私財砲: 用心BΩYさんの配信枠はこちら： https://www.youtube.com/live/QBzkMfYWKmU?si=EWhGDTLCnOXkqb__
[2024.870] g_dms: あれ？クマヘブンって確定浮きじゃなかったっけ
[2038.614] nitknango18: こんばんわ！三島家頑張ってください！
[2049.089] DojoComboRage: ? I dont know
[2071.530] (S)ぽぽぽぽっきー: ウメさん弾撃ちまくりでスト2かよってなるよね
[2117.343] DojoComboRage: Long range whiff attempts
[2139.053] vra_oji: 令和に重量級パーツ選びすんのダルいじゃんねぇ
[2151.456] (S)Line_X: Akuma
[2157.067] (S)Line_X: :p
[2183.559] kanameape: 👹
[2184.664] DojoComboRage: Light jab will scare him
[2188.935] DojoComboRage: Lol
[2247.842] DojoComboRage: Dogura vs Chocoblanka www
[2262.056] g_dms: 白山
[2428.563] DojoComboRage: W
[2475.000] electric_gorilla: うごおおおお
[2502.142] DojoComboRage: Guard break woo
