[23.904] (S)ぴよぽ: radaoKitya
[23.925] (S)ゆきみだいふくまる: radaoHi
[24.272] (S)ちゃんちゃな: radaoHi
[24.387] (S)すえひろがり: わこらだー！！
[24.468] harou_momiji: わこらだ 
[24.484] ねこすず: radaoKitya
[24.680] (S)wagashi_utakata: radaoHi
[24.761] つむじのきもち: radaoKitya
[24.871] kaz19212: kaz19212 subscribed with Prime. They've subscribed for 24 months! 
[24.935] (S)crowsuke96: わこらだー！
[24.937] (S)ni_ha218: radaoHi
[24.942] (S)sisyamo_0316: radaoKitya
[24.954] (S)まなぎょ: わこらだ
[24.964] (S)ぜるすたじお: radaoBanzai
[25.138] (S)akarinkobuta: radaoKitya
[25.140] akagi111: akagi111 subscribed with Prime. They've subscribed for 42 months! 
[25.183] 宇宙に浮かぶひつじ: radaoKitya
[25.243] ねむいねこ: わこらだ
[25.259] (S)Soudako___: radaoKitya
[25.298] (S)ぱぐぞぅ: radaoKitya
[25.301] (S)ポータル: radaoHi
[25.403] kanoaaa8: radaoKitya
[25.821] (S)chokemimi: radaoHi
[25.882] oramuchyan: oramuchyan subscribed with Prime. They've subscribed for 21 months! 
[26.125] あづみゃん: あづみゃん subscribed with Prime. They've subscribed for 44 months! 
[26.287] らーな: radaoHi
[26.307] amehune: radaoHi
[26.440] コムギ_: radaoHi
[26.505] つるはしお: radaoHi
[26.524] (S)sponjapan: radaoHi
[26.531] (S)dokosou_1019: radaoHi
[26.698] sora_mameee: radaoKitya
[26.711] 神崎立夏: わこらだーうおおおおおお
[26.725] (S)izumingo: radaoHi
[26.730] ぬるち: radaoKitya
[26.737] (S)Maeda_aoi0510: radaoHi
[26.740] cloverya: わこらだ
[26.765] めるめ: うおおおおおおおおお
[26.783] (S)こるめ: radaoKitya
[26.836] (S)kerasasu: わこらだ
[26.837] ひよこまんじゅう: radaoKitya
[26.918] (S)fuka_o_: radaoKitya
[26.922] (S)ごもくば: わこらだ
[26.924] (S)渦ノル: radaoHi
[27.974] kuugay0905: radaoHi
[28.010] もぎ: わこらだ！！
[28.011] (S)shariko_w: radaoHi
[28.015] kaede_2121: radaoKitya
[28.028] ログリア: わこらだ
[28.124] ritae95: radaoHi
[28.170] なっち: わこらだ！！
[28.175] (S)dhisan_ino: 「お兄さん」
[28.309] asabangohan1945: わこらだ！！！
[28.339] sjindoa: radaoKitya
[28.367] yupuuuu: radaoHi
[28.435] おじょーー: radaoKitya
[28.451] (S)ルアン6086: radaoHi
[28.520] (S)わるぷるぎしゅ: radaoHi
[28.526] (S)saraniron: radaoKitya
[30.113] yunohana_8: yunohana_8 subscribed at Tier 1. They've subscribed for 15 months! 
[30.452] lick0114: lick0114 subscribed at Tier 1. They've subscribed for 20 months! 
[30.883] つるはしお: つるはしお subscribed at Tier 1. They've subscribed for 25 months! 
[30.997] (S)海芭: radaoHi
[31.018] ~MISSING_COMMENTER_INFO~: suouuuuuu subscribed with Prime. They've subscribed for 45 months, currently on a 5 month streak! 
[31.032] (S)らいぶる: radaoHi
[31.036] (S)zaza_kun: radaoHi
[31.049] (S)しんどい凛音: わこらだ 
[31.056] satsuki245_: radaoKitya
[31.060] Ritsu1211: わこらだ
[31.063] tyaimai: radaoHi
[31.191] ぐう鱈: radaoKitya
[31.229] shiroinuno_roa: radaoKitya
[31.347] tomato_010: radaoHi
[31.376] nyunya_1104: radaoHi
[31.387] きなこもち46: radaoHi
[31.413] (S)らう57: radaoHi
[31.717] (S)shariko_w: わこらだーーー！！！
[31.732] kohakuu1123: radaoKitya
[31.748] (S)山の又三郎: radaoHi
[31.755] kocco03: radaoHi
[31.780] サシモ0626: radaoKitya
[31.868] (S)lapan720: radaoHi
[31.902] (S)Maeda_aoi0510: radaoBanzai
[31.921] (S)mayumayuman01: radaoHi
[31.922] emu__0122: radaoKitya
[31.927] (S)くそぼ: radaoKitya
[31.972] ポテチの子: わこらだ 
[32.000] イモムシファザー: radaoHi
[32.015] (S)sara_hosi: radaoHi
[32.065] choco__1114: radaoKitya
[32.070] (S)ねこねこお嬢: radaoHi
[32.782] ron25709: radaoKitya
[32.824] (S)ナイトゥーロビダル: radaoKitya
[32.826] (S)shuriken5146: わこらだ
[32.856] ムラさん: radaoKitya
[32.871] (S)Soratandao: radaoHi
[32.875] CigarSo_kanato: わこらだ
[32.876] myugi39: radaoHi
[32.884] おじゅりん: radaoOtaku
[32.888] namakemono_a: radaoKitya
[32.891] kanthia_: radaoBanzai
[33.074] tokumeikibou_t: tokumeikibou_t subscribed at Tier 3. They've subscribed for 22 months! 
[33.435] (S)メビ04: メビ04 subscribed at Tier 1. They've subscribed for 4 months, currently on a 2 month streak! 
[34.010] シアもも: シアもも subscribed at Tier 1. They've subscribed for 46 months! 
[34.860] (S)あびひ: ~MISSING_MESSAGE_INFO~
[34.944] ギンナン: radaoHi
[34.964] らんらら: radaoKitya
[34.977] みーだん: radaoKitya
[34.995] 弥紅: radaoHi
[35.013] 66はなぶさ: radaoHi
[35.031] nekoeri12: radaoKitya
[35.041] (S)shiroi_hakuto: radaoHi
[35.043] ネギ犬: radaoKitya
[35.045] yuki_empty: わこらだ
[35.056] mirumiru_h: radaoKitya
[35.070] くまべりー: radaoHi
[35.072] Miiku__27: radaoHi
[35.078] morry1063: radaoKitya
[35.147] (S)ボンゴレパスタ: radaoKitya
[35.700] (S)care_tyan: radaoKitya
[35.701] (S)yuzuyuzu816: わこらだ！！！！
[35.709] さたさた: わこらだー！！！！！
[35.720] (S)jeremiah_9s: radaoKitya
[35.727] すばるやで: radaoHi
[35.732] curry_tabetai: radaoKitya
[35.852] (S)lutes00: チュートリアルお兄さん北ああああああ
[35.860] さくいろか: radaoKitya
[35.883] (S)雨傘ライ: わこらだー！！！！
[35.891] ragumaltutyo: radaoKitya
[35.900] KatsuragiMea: わこらだ！！！！
[35.909] (S)しずく0624: わこらだ
[35.914] (S)mi___no: radaoHi
[35.930] (S)hitominano: radaoHi
[35.947] (S)momokann: わこらだ！！
[36.963] もろこっし: ~MISSING_MESSAGE_INFO~
[37.076] obuta_san: obuta_san subscribed at Tier 2. They've subscribed for 43 months, currently on a 43 month streak! わこらだ 
[37.258] Fuku_2929: Fuku_2929 subscribed at Tier 1. They've subscribed for 47 months! 
