[67.009] musshuuuuu: 足ほっそ
[67.085] (S)jaden397: ASMR
[68.395] boboriborii: えどすぎだろ
[68.402] sashax023: 筋トレかよ
[68.693] ~MISSING_COMMENTER_INFO~: 今日休みだけど、お前がやるなら俺も懸垂する
[69.185] mantaro_25: ぎゅるん
[70.609] frenkie_210: やあ
[71.117] YOKOHAMAXQ: BloodTrail
[74.729] オサキマックラー: いつもの高笑いしてくれ
[74.874] nananho: 開始早々喘ぐのやめてね
[74.937] エインセル河本: 三角筋後部のトレーニングオススメなに？
[75.045] tabogamitoshio: koushi5Yametene
[75.457] haaaaman: ぎゅるん♡
[75.863] 湘北の赤木剛憲: 声が出ちゃうねぇ
[76.632] ~MISSING_COMMENTER_INFO~: ぎゅるん
[77.446] きたく: 足綺麗〜
[77.680] sashax023: 初手無言筋トレやめてね
[78.914] suu_2: 助かるー！散歩行けるわ！
[79.402] agitonokyojin: すまんイクわ
[80.247] ホーくん: 配信者筋トレ部開始
[80.480] boboriborii: 緊急！？
[80.586] yuyu_walk: 男磨きのために45ってた最中だけど見に来たぜ
[80.872] andlejn: 脚トレから逃げるな!
[81.175] sho33333: えど
[81.763] frenkie_210: 緊急ですか？
[83.098] ~MISSING_COMMENTER_INFO~: 初っ端男のケツを見せられる配信
[83.819] yu_yuchan: どーせ筋トレ後に寿司屋言って茶しばく配信だろ！
[83.947] homelander029: 上から撮ってくれ
[84.532] yama_wasab1: ぎゅるん
[84.850] かえでつばめ: きゅるんよりぎゅるんだよなぁ！？
[85.226] mooonmi: ギュルルン
[85.421] sisisima: パワポケやってくれよ
[86.426] gobrory: どもう
[86.562] ~MISSING_COMMENTER_INFO~: えどてんせい
[86.700] gmkz_258: ムクムク
[87.192] hyde_twi: ギガ無制限きたああああああああ
[87.417] toramaru381: エドいのやめてね
[87.665] elmoacrane: この時間かみ
[87.696] kairuzz: えっど
[88.137] zyrmos: でっか
[88.529] takaynnn: でっかｗｗｗｗ
[89.151] カメのおせんべい: 胸でっかｗｗ
[89.271] 33maxfer: ぎゅるんときたら筋トレ確定だからな
[90.791] boboriborii: 緊急ときいて
[92.216] anyohaseyoh: 胸すっご
[93.564] (S)nokonoko_ttv: まもさん！
[93.927] tobenai10ri: 水筒かわいい
[94.374] mantaro_25: 胸でっか
[95.447] mooonmi: あ、水筒同じ！
[96.696] syopityandesu: かものはしの配信見ながらおしゃんぽいくおー！
[97.262] frenkie_210: 緊急ときいて
[97.907] sashax023: プロ野球選手がベンチで飲んでる飲料やめてね✋️
[98.469] オサキマックラー: 黄色い
[98.741] b85a32j: えっど
[98.771] mane_mane5: それは何のドリンク？
[99.355] ~MISSING_COMMENTER_INFO~: 国旗が伸びきってるよ
[101.109] haaaaman: でっか
[101.553] ~MISSING_COMMENTER_INFO~: なにそれしょんべん？
[101.561] punhpunimu: 沢山放送してくれよな
[101.711] gopherdesu: これ緊急ですか？
[102.283] ~MISSING_COMMENTER_INFO~: 胸でっか
[102.480] boboriborii: えっど
[102.902] gobrory: でっか
[103.963] xxxneruxxx_: 緊急じゃないなら解散
[104.459] へそのゴマ: ぎゅるんきたあああああああああああああ
[105.521] うまい肉食わせろ: えっど
[106.230] eichanx: 初見です、ぎゅるんと聞いてきました
[106.388] frenkie_210: でっか
[108.199] agitonokyojin: すっご
[108.262] masa_725: やあ
[109.608] yuyuyuyuad: カメラの角度わるいな
[109.638] しんしん13: 胸があつすぎす
[109.660] ~MISSING_COMMENTER_INFO~: すっご
[109.809] ドヤコンガ信者: turuokBUDECHAN
[115.538] ~MISSING_COMMENTER_INFO~: パンパンやん
[115.611] ヘラクレスン: 動画見たよ！
[116.272] まほろあ: でっか
[117.070] aatappa: でっか
[117.860] frenkie_210: ふっお
[118.321] ~MISSING_COMMENTER_INFO~: パンプしたか
[118.553] みやぢと申します: 腕やばい
[118.621] hulilc: でっか
[118.786] highball5959: でっか
[118.855] ~MISSING_COMMENTER_INFO~: 腕ふっと
[119.014] realavemafia: 奇しくもオレも今日懸垂カマしてきた
[119.238] みょんちん: えぐ
[120.305] tenly107: すっご
[120.404] gmkz_258: でっか
[120.525] meiitt11: でっか
[120.859] (S)nokonoko_ttv: いいぱいおつしてますね
[120.893] オサキマックラー: なんかでかい
[121.024] (S)jaden397: でっか
[121.155] hyde_twi: 昨日の日ハムサヨナラ勝ちでしたな
[121.268] 八百屋のヤマダ: 成功やん
[121.276] mooonmi: でか
[122.343] yuyu_walk: 筋トレメニューのセットとレップ数毎日Xで報告してほしい
[122.636] miruyooou: 一夜漬け
[122.948] frenkie_210: ふっと
[123.552] 平沢うい一: ふっと
[123.596] からあげたそ: ！？
[123.974] eichanx: でっか
[124.097] toramaru381: おっぱいでか過ぎないか？
[124.287] danmiceli: でっか
[124.557] 相棒21: やっば
[124.735] sumipuni: かっこよすぎる
[125.040] ホーくん: でかいw
[125.186] xxxneruxxx_: 腕太すぎだろ
[126.108] 八百屋のヤマダ: 実感成功
[126.240] 加藤純子: カーボ取るとデカくなる
[126.607] かえでつばめ: 伊織もえより胸デカイ
[126.843] tounyu_umai: 怖いよ
[126.953] カメのおせんべい: ｗｗｗｗ
[127.054] a_sugar10: ふっと
[127.372] suna_59: いつもよりでかい
[127.848] YOKOHAMAXQ: 腕ヤバすぎ
[128.271] gmkz_258: 腕どうなってんだよ
[128.479] ~MISSING_COMMENTER_INFO~: パンパンじゃねぇか
[128.589] hkyummm: 伊織もえの胸よりえろい
[129.368] (S)jaden397: 未だ成長期
[130.268] sashax023: 巨乳じゃん
[130.293] im_ironman__: でっか
[130.453] ryo332: パイでっか
[130.740] ~MISSING_COMMENTER_INFO~: 腕ふっと
[131.219] xxxneruxxx_: 腕やばくね？
[131.231] からあげたそ: ふっと
[131.426] b85a32j: はっや
[131.549] mooonmi: 腕でかいwwwww
[131.745] frenkie_210: 胸でっっっっか
[131.939] (S)行雲流水和光: トトロ
[132.184] ~MISSING_COMMENTER_INFO~: 腕どうなってんの
[133.009] michelle_suna0: 最高だね
[133.517] 黒波バドレックス: ボディーガード行ける
[133.916] tobenai10ri: 腕が太ももみたいだな
[134.926] mamomamom: 腕太すぎw
[134.934] どろかつ: myakoEddo
[135.135] ハミちつ: 破裂しそう
[135.842] kakikukeko021: コラみたいな体
[136.032] rainbowroad1182: キャプテンムラッシュと勝負しよう
[136.234] オサキマックラー: 伸ばしてる？
[136.444] 八百屋のヤマダ: デカくない？
[136.513] やま33: ふっと
[136.880] ~MISSING_COMMENTER_INFO~: 食事の重要性
[137.265] michelle_suna0: そんなかもちゃんが好き
[138.620] ~MISSING_COMMENTER_INFO~: ハッテン
[138.800] gorigori_my: 坂本陽斗に筋肉で勝てる？
[139.341] suna_59: でっかwww
[139.409] cidRains: デカすぎだろww
[139.476] くぼたけ: 腕やば
[140.033] (S)nokonoko_ttv: かも顔隠したらえっどいぞ
[141.285] しがない一般男性: 実はステロイド入れただろ
[142.875] Panopticism: ehFlexRight
[144.755] やっは: でっか
[145.637] カメのおせんべい: ゴリラ化
[145.890] michelle_suna0: かもちゃん好き
[145.913] haku_u89: 会ったら潰されそう
[146.609] ~MISSING_COMMENTER_INFO~: ハルクやん
[147.481] hyde_twi: 久しぶりに見たら前よりでかく見える
[148.763] からあげたそ: 太すぎんだろ
[150.787] mooonmi: えぐ
[150.927] sho33333: パンプ
[151.937] michelle_suna0: かもちゃん大好き
[155.037] b85a32j: 顔より腕デカいな
[155.156] toramaru381: エドい
[156.809] mokou755: よぉ
[157.370] aooooiaoo: シリコン入ってるだろ
[158.699] ~MISSING_COMMENTER_INFO~: もう家族守れそうな体だね
[159.392] オサキマックラー: まものはし
[159.809] gaogaosudachi: でかすぎんだろ
[160.529] kadeey_: でか
[160.830] やま33: プロ野球選手の方ですか？
[161.854] かえでつばめ: もしかして、やった？
[161.855] eichanx: シャツパツパツですね
[163.390] hyde_twi: ちょっと見ないうちにでかくなって
[163.440] mantaro_25: パッツンパッツン
[164.169] enu180: でっか
[165.721] (S)nokonoko_ttv: ポパイ
[167.069] mooonmi: なにたべたん？
[167.976] (S)hiki__hiki: パンパー
[168.763] nuko_nu: ぎゅるん
[168.982] xxxneruxxx_: 3000！？
[169.445] 1escalade1: unkochanRunnewdave
[170.207] ~MISSING_COMMENTER_INFO~: 4000にしたらどうなるんだ
[170.225] frenkie_210: スタヌと殴り合いしてくれ
[171.153] しんしん13: 停滞期こえましたか
[171.334] anyohaseyoh: 何カップなんだろう
[173.461] まほろあ: シャ4
[173.807] 相棒21: ゴリラなるぞ
[173.957] ~MISSING_COMMENTER_INFO~: 何食ったんだ
[174.755] masa_725: シャ4
[176.022] kadeey_: 平田良介
[176.128] hulilc: シャ4
[176.315] danmiceli: 胸でっっか
[176.515] toramaru381: ポパイですか？
[178.107] ~MISSING_COMMENTER_INFO~: すっご
[178.314] ~MISSING_COMMENTER_INFO~: クソカードおつ
[178.533] yu_yuchan: いい加減シャドバやめろ
[178.829] xxxneruxxx_: シャ44444
[181.160] frenkie_210: シャ4
[181.230] ~MISSING_COMMENTER_INFO~: 早く終われ！
[181.422] (S)nokonoko_ttv: シャ４４４４
[181.820] ~MISSING_COMMENTER_INFO~: シャ4
[182.030] yuua0817: シャ4
[182.129] a_sugar10: 絶望しかしてない
[182.870] ~MISSING_COMMENTER_INFO~: やば
[183.030] enu180: ゴチゴチやん
[185.169] manimani0418: さとみを救え
[186.226] purewhite666: やる気⭕️
[186.513] ~MISSING_COMMENTER_INFO~: 見てたよ
[187.406] (S)nokonoko_ttv: パワプロしろ
[188.338] nyanchu0120w0: うお❤でっか❤
[189.550] yoyoyo_yoyo: 緊急
[190.151] yuyu_walk: ニコ生捨てないで︎；；
[193.205] gmkz_258: 早くパワポケやってくれ
[193.813] (S)hitokamip: シャ4
[193.845] 33maxfer: 8本！？
[195.337] mooonmi: かっけぇ
[196.232] koumei_910: 腕ケツやん
[198.037] lett_62: 投稿ペース間違えてるよ
[201.519] ~MISSING_COMMENTER_INFO~: 絶望の動画集
[201.641] peacegundam: アンリミの人になってる
[203.439] もこたんです: ぎゅるん
[205.565] darazu81: 何の日ですか？背中？
[206.283] fklahf: マッチョって動画編集できるの？
[207.123] ミルキーベル2: 早く絶望動画作れ
[207.240] chocolate_icecream_games: シャ ドバドバ 配信
[210.136] しんしん13: メンテナンスカロリー？
[216.541] (S)jaden397: シャドバはもうビヨンドくるまで捨ててくれ
[222.037] ~MISSING_COMMENTER_INFO~: ヨホホホホ
[229.208] 平等院ラクシュミー: まものはしきたあ！
[231.801] ~MISSING_COMMENTER_INFO~: えど
[232.646] nats60: unkochanYaa
[238.872] gorigori_my: かものはしと坂本陽斗は限界を超えてる
[239.386] aaanoreader19821110: えっちですね
[240.720] ~MISSING_COMMENTER_INFO~: この体でよく懸垂できるわ
[241.080] nats60: ハイエナやん
[243.121] 徘徊じいさん: sports12PepeWOW
[247.255] (S)chocolate_minto: turuokKazomamo
[247.377] macaron359: やっと配信きたぁぁぁ
[248.349] mooonmi: えどい
[248.555] ドヤコンガ信者: 上下運動
[253.087] twinheater: PikaRamen
[254.650] kuyasisu: どこのジム？
[257.144] purewhite666: えっと
[257.186] (S)jaden397: っっど
[257.468] kadeey_: えっど
[258.695] enu180: 何キロの体持ち上げてるんだろ
[260.907] かえでつばめ: イヤホンで聞くとえどい
[261.833] kaysa55: ぎゅるんきたぁー
[263.170] しんしん13: えっど
[265.402] mooonmi: GoatEmotey
[269.401] toramaru381: R18配信はここですか？
[270.472] nats60: うおｗ
[270.512] danberu3030: 筋トレきたああ
[271.359] opanth_n: かもきたああああ
[274.101] ひゃっほう野口: パワポケやってくれ
[274.923] aaanoreader19821110: イヤホンオススメ
[277.041] (S)hitokamip: おほ声
[278.539] yuua0817: かわいい
[281.093] twinheater: でっか
[282.386] hulilc: えっど
[282.746] takoyaki888t: 胸板すっご
[283.369] masa_725: えっど
[283.590] morimoridesuuu: 胸筋やっば
[284.911] kadeey_: ガチイク
[286.375] aiueo12345679: yuyutaHeaven
[286.751] sato_lee: 二郎系食ってきたぞ！」
[288.793] eenn_25: 背中をぎゅるんDAY
[288.820] ~MISSING_COMMENTER_INFO~: かーすが
[289.337] kakikukeko021: でっけえ
[290.190] danmiceli: 胸でっか
[290.936] umiyuri821: turuokKinkyu
[291.442] snvlll: yoo
[292.768] かえでつばめ: ハッシュタグぎゅるん
[293.097] mooonmi: ぎゅるるん
[294.410] 平沢うい一: ぎゅるん
[295.241] aaanoreader19821110: イイ胸してるね
[295.442] 亜門37: 俺は今、筋トレ終わったぞ！
[295.450] purewhite666: ぎゅるん
[298.029] しんしん13: ぎゅるん
[300.806] umiyuri821: turuokKinkyu
[301.757] 叫んで落ちた石田さん: やあ
[305.326] a_sugar10: 胸筋アピールしろ
[306.396] opanth_n: 見るたびにゴリラに近づいてるな
[306.804] semisemi120: おっぱいでかすぎだろ
[307.768] kitatoshi: あなた何をされている方なの？
[308.156] 阿加麻紀神: 良い筋肉だ
[308.660] mon762: お前の腕見てると遠近感おかしくなる
[310.273] jmdwjmwtpj: あ
[311.111] netsuso: これから市営ジム行くぞ
[311.343] ひゃっほう野口: 黄色い水飲んでる
[312.239] takaynnn: RyuChamp
[312.676] ほゃ: あ
[313.259] ~MISSING_COMMENTER_INFO~: 脇締まらんやろ
[313.725] ~MISSING_COMMENTER_INFO~: あ
[314.447] mooonmi: 雄っぱい
[315.991] 八百屋のヤマダ: 謎インターホン
[319.091] nyanchu0120w0: 今日メシ配信ある？
[319.719] dada__0: ふっと
[320.760] sssiiioooooo: びゅるっす
[321.273] ~MISSING_COMMENTER_INFO~: 飲んでるのは小便ですか？
[321.348] rainbowroad1182: こーすけ！？
[326.017] oncen15: 俺も今日は背中やるぞ
[326.520] ysn_kusi17: ふっと
[328.415] うまい肉食わせろ: turuokKinkyu
[330.733] eenn_25: テストステロンあふれてら＾＾
[337.729] enu180: 人間に近づいたゴリラ
[338.325] lucas__1273: www
[338.670] (S)bcaaeaa: turuokKinkyu
[340.375] kitatoshi: 10メートル先にいます
[342.929] mooonmi: かっこいい
[345.583] (S)jaden397: おい！鎖骨みせろ！
[346.425] Katakoh: スタヌの倍ぐらいあって笑う
[354.142] ~MISSING_COMMENTER_INFO~: 胸でっか
[354.940] aaanoreader19821110: 筋トレ終わったら、いつものブロンコビリーですか
[356.931] jastow: スタヌと筋トレしてくれ
[357.790] ~MISSING_COMMENTER_INFO~: ほんとシャドバに一切関係ないのが筋肉だよ
[358.958] replica0907: シャ4
[359.176] ~MISSING_COMMENTER_INFO~: 原神やれ
[360.878] opanth_n: w
[360.971] nitto12345: 面接おわったけど手ごたえなくてクカなんよ
[361.699] ~MISSING_COMMENTER_INFO~: できる
[362.502] (S)bcaaeaa: そこってシューズ必要？
[362.536] 阿加麻紀神: Dカップ
[364.647] Ankhq: 胸の厚さやべえｗ
[366.445] かえでつばめ: タップするだけってこと？
[368.157] danberu3030: 停滞期の動画見たよ
[368.910] しんしん13: Tシャツはりすぎ
[371.816] hatimitu39: 金魚でも勝てそう
[374.426] hulilc: じゃんけんだからな
[376.225] kitatoshi: こーすけと筋トレコラボしないのかい？
[376.644] enu180: 漫画の体やん
[376.724] nekko__o: ベンチしながらみてる
[377.736] ドヤコンガ信者: hanjouD
[382.546] sh48rr: 個室はよ
[383.027] ~MISSING_COMMENTER_INFO~: 3歳児向けになった
[387.866] otintamao: ﾑﾎﾎ
[388.171] nyanchu0120w0: Tシャツ悲鳴あげてるぞ
[389.157] mooonmi: 何飲んでんの
[390.182] darni123: 今日はどこの部位？
[391.396] peacegundam: その握力サポートのやつっていい？
[392.269] croissant0322: みさこより胸ある
[392.641] かえでつばめ: ゆゆうたもはよ
