[3783.630] (S)yaseig777: wwww
[3788.260] (S)こよ111: wwww
[3885.239] (S)yaseig777: 起き攻めきちゃあ
[4128.955] (S)こよ111: まずい
[4264.665] Parupunte030: もはやモンハンの風物詩
[4480.672] wairoya: 2Gみたいなランスすき
[4494.643] Parupunte030: ミリすぎるw
[4503.597] (S)Owl__zzz: NotLikeThis
[4514.856] (S)こよ111: 花京院
[4515.301] (S)inyour_hands: あららー
[4526.354] kai_yukihiko: こんばんは、今日もキツそうですね
[4901.748] shin_kichi: 現地の動物と仲良くなるやつやってる感じ？
[4950.454] (S)Owl__zzz: 素材調達
[5010.895] (S)こよ111: 早めに討伐
[5023.089] (S)Owl__zzz: 普通にいるんや
[5058.987] shin_kichi: どうもならん、ストーリーの人ら必死やん笑って思うだけ
[5113.520] shin_kichi: 上のとこ、限られた場所にしかない
[5125.633] shin_kichi: レイギエナとかが寝てるとこ
[5154.965] shin_kichi: 滑空の装衣着て飛んでけば早い
[5188.538] wairoya: マーキング系女子
[5191.218] (S)こよ111: バラしにきてる可能性
[5197.249] ichirokuhiro16: こんばんは
[5648.175] (S)inyour_hands: 普段座ってる椅子ってどんなの使ってますか？
[5676.601] shin_kichi: スキル
[5688.327] shin_kichi: うん
[5701.950] (S)こよ111: 属性解放とかって名前のスキルがあります
[5731.457] shin_kichi: ゾラ・マグダラオスの素材かな？
[5801.944] shin_kichi: ちな属性解放すると無属性強化は意味なくなる
[5833.899] shin_kichi: バゼルギウス
[5848.662] shin_kichi: 上位のバゼルギウス
[5904.487] shin_kichi: 調査クエストだと持ってたりするかも
[5966.881] shin_kichi: FFコラボだっけ
[5972.847] (S)こよ111: FFコラボっすね
[5996.748] shin_kichi: あと爪と護符は併用できるから両方持つと尚良しって感じ
[6131.242] (S)ohono1012: こんちわ
[6133.713] (S)inyour_hands: 椅子高っ！原付やん
[6305.974] (S)ohono1012: めっちゃ鳴きますやん
[6512.823] (S)ohono1012: セーフ
[6535.731] muinemui: 猫ちゃん今の毎回出してくれない？
[6574.093] shin_kichi: 防御力上がっているとやっぱ戦いやすいね
[6697.161] muinemui: 喧嘩だ喧嘩だ
[6702.288] (S)Owl__zzz: レウスもっとやれ！
[6825.533] raphya920a: きたら死んでた
[6917.796] raphya920a: 怪獣大戦争始まってる
[6973.167] raphya920a: wwww
[7026.728] (S)ike002206: こんばんは
[7120.500] n40_01: 初見です。いつも思うのですが、坊主にして欲しいです。よろしくお願いします。
[7164.573] (S)オカチャンマン: オカチャンマン subscribed with Prime. They've subscribed for 5 months! こんばんは！
[7242.305] (S)ike002206: ランスってやっぱブラキきつい？
[7508.360] shin_kichi: ブラキは爆破耐性さえつければ簡単なんやけどねー
[7525.307] shin_kichi: www
[7909.194] (S)Owl__zzz: レウスがめちゃ削ってくれたな
[7917.189] (S)こよ111: せーふ
[7917.297] shin_kichi: gg
[7923.214] fdgrfvsdhnfsz: MOROHAのUKさんに似てますね
[7966.123] shin_kichi: あの人めっちゃギターうまい
[7994.530] (S)yaseig777: 激闘やった
[8218.654] (S)yaseig777: パチンコの時間だオラァ
[8303.244] shin_kichi: カーナ初見とかいいね、記憶消してやり直したいわ
[8487.908] shin_kichi: たいしょうめっちゃつかうよ、マルチで人の攻撃で怯まなくなる
[8592.448] (S)yaseig777: 歴戦のハンターの貫禄
[8621.958] (S)こよ111: チクればこいつ追放できそう
[8697.296] (S)こよ111: 多分集会所の受付嬢がこの性格でも許されてますからね
[8739.288] (S)yaseig777: ふつくしい
[8757.478] (S)こよ111: 相変わらずかっこいい
[8789.011] (S)yaseig777: 氷の女王って感じだ
[9165.326] (S)Owl__zzz: 撃退だから氷纏いまでいかないのね
[9724.620] (S)こよ111: イヴェルカーナいっぱい撃退し泣かんからなー
[9737.402] (S)Owl__zzz: 戦犯受付嬢
[9764.121] mybeeasu: 水着で雪山きやがって
[9843.616] (S)Owl__zzz: ばあさーん
[9890.359] shin_kichi: 調査とか言う割に計画性が脆弱すぎる
[9982.900] (S)yaseig777: wwww
[9984.014] (S)こよ111: wwwwww
[10015.204] チャミスル鳥山: やばいひといるって
[10028.791] __ひびき: 水着でひざまで雪に埋まっている・・・
[10047.825] (S)ohono1012: もはや痴女…
[10049.571] にわとりさんだよ: こんばんは！
[10091.637] (S)こよ111: 止まらない悪口
[10155.090] (S)ohono1012: そのうちシャーマンキングのOPで登場しそう
[10171.119] (S)rr_0315: こんばんは〜
[10214.640] shin_kichi: ここ作中トップクラスのクソ戦闘です
[10243.363] (S)yaseig777: wwww
[10244.734] (S)こよ111: おばさまと同じとこに送ってやれよ！！
[10250.097] shin_kichi: 顔ww
[10253.512] (S)yaseig777: 据え膳
[10283.567] (S)yaseig777: 凍てレイきちゃあ
[10288.111] (S)Owl__zzz: うわ～こいつな
[10293.206] (S)こよ111: トビカガチ亜種とこいつだけは本当に許してはいけない
[10311.180] (S)yaseig777: レイギエナ狩りすぎて逆に好きになった
[10904.000] shin_kichi: 黒い方
[10907.016] (S)Owl__zzz: あー最悪
[10943.364] shin_kichi: 土日の居酒屋をワンオペで回している気分になる
[11520.522] (S)ちゃけ731: こんばんはー
[11658.687] shin_kichi: 流石に移動多すぎるよな
[11731.668] (S)Owl__zzz: ベリオもう一発やれ
[11815.251] xxnyanxx0: 茨の道のランスやってますやん
[12064.939] (S)bucca_boo: こんばんはー
[12359.360] (S)yaseig777: ナイスゥ
[12370.638] (S)Owl__zzz: unkochanPower
[12419.483] (S)yaseig777: な、何故生きている
[12553.233] __ひびき: 見てるこっちが寒いからな・・・
[12639.774] (S)yaseig777: カガチ亜種の時にはお世話になったな
[12973.756] (S)bucca_boo: リアルなこと言っちゃっていい?寒冷地での地獄は金属鎧らしいですよ,,,
[13081.871] (S)bucca_boo: 素肌に触れたりしたら大変なことになるらしいです。皮がね、剥げるの
[13168.114] __ひびき: 瞬殺される 
[13246.678] ninninninjack: 尻尾切りたいのねw
[13319.865] kei2830: やくめでしょ
[13408.357] ninninninjack: ないすー！
[13589.790] ninninninjack: お、怪獣大戦争だ
[13659.244] (S)ンパールーパー: お疲れ様です。バイト1時間10分の残業のち、家に帰っておじいちゃんと経営と税金の話してたらこんな時間になりました…。
[13705.446] (S)ンパールーパー: あ、ダルシム…。
[13816.628] (S)ンパールーパー: 今日の狩りは調子いいですか？
[13853.274] (S)Owl__zzz: 一回だけクエスト失敗したね
[13972.180] ninninninjack: またきたのかw
[14042.217] ninninninjack: そろそろ倒せるかな
[14186.784] (S)Owl__zzz: 雷やられになると気絶しやすくなる理論、理解できない
[14208.897] (S)ンパールーパー: 島民と同じ原理かな
[14211.863] (S)ンパールーパー: 冬眠
[14244.612] (S)Owl__zzz: あ、かみなりやられです
[14267.218] (S)ンパールーパー: 普通に漢字読み間違えたｗｗ
[14281.036] ninninninjack: トドメ取られちゃう
[14311.360] (S)ンパールーパー: あれ
[14326.774] (S)yaseig777: wwww
[14326.845] (S)ンパールーパー: ＧＧ
[14328.719] ninninninjack: わろた
[14331.066] (S)ンパールーパー: ｗｗｗｗ
[14335.531] (S)yaseig777: ほんとにミリ残りだったか
[14352.031] ninninninjack: ティガが配慮してくれた
[14369.737] (M)えっっっくす: fmlchAmae
[14380.832] (S)ンパールーパー: 褒めてほしいのか？ティガ
[14501.723] (S)ンパールーパー: 褐色受付嬢だけずっと慣れない
[14508.160] (S)Owl__zzz: 亜種ラッシュ
[14532.647] (S)yaseig777: こないだ苦戦したディノバルド再び
[14567.382] (S)yaseig777: wwww
[14570.756] (S)ンパールーパー: www
[14596.467] (S)yaseig777: 寝落ちしたから配信見返したが相当苦戦してたねディノバルドw
[14685.935] (S)ンパールーパー: コラボのやつはやらない？
[14761.882] (S)ンパールーパー: ＡＫＩみたな形してる頭
[14871.657] (S)yaseig777: ギエナ装備かっこいいし優秀だからずっとつかってたなぁ
[14993.534] (S)yaseig777: 基本ベータのが珠の枠が優秀だからベータのがカスタムはしやすいのはある
[15107.154] (S)ンパールーパー: お
[15124.259] (S)yaseig777: ミラボレアスまで楽しみがまだ続きますねぇ
[15139.261] (S)しお310: ガード多用するならガンキンおすすめです
[15182.200] (S)しお310: 回避ランスならナルガかもです
[15256.237] (S)ンパールーパー: 受付嬢の痕跡…って足跡のことかな
[15260.166] (S)yaseig777: くそウザシーンきちゃあ
[15289.203] (S)ンパールーパー: 受付嬢食材ルート？
[15289.223] (S)Owl__zzz: ウケツケジョーたる所以
[15366.590] (S)ンパールーパー: 受付嬢乗ってるからずっと暴れてるのか＞？
[15383.748] Dash65: ランスはアルバはめっちゃ戦いやすいけど、ミラボはめっちゃキツかったから見るの楽しみ
[15478.584] (S)ンパールーパー: 受付嬢のスタミナへってきたぁ
[15550.637] (S)yaseig777: 犬がお気に入りのおもちゃ振り回す時のアレ
[15617.638] (S)ンパールーパー: 受付嬢のスタミナなくなったらどうなるの？
[15624.828] (S)ンパールーパー: は？？
[15634.350] (S)ンパールーパー: 何逃げてんだよ、女
[15819.553] (S)Owl__zzz: 上位だから余裕やな
[15866.451] (S)ンパールーパー: ダルシム麻痺ってるｗ
[16236.320] (S)yaseig777: GG
[16240.412] (S)ンパールーパー: ｇｇ
[16263.941] (S)ンパールーパー: 逃げたのに何言ってんだあの女、、、
[16384.360] (S)ンパールーパー: 似てる
[16485.742] (S)yaseig777: お疲れ様でした！
[16492.752] (S)bucca_boo: お疲れ様でした
[16500.069] (S)ンパールーパー: お疲れ様です。
[16508.303] (S)ンパールーパー: 次、ディノバルドから？
[16558.082] (S)yaseig777: 多分古龍の血で合ってる
[16717.096] (S)ンパールーパー: 咳めちゃくちゃマシになりましたね。
[16768.422] (S)yaseig777: 確か二つ名古龍から取れた気がする、死纏ヴァルハ周回した覚えがある
[16837.040] (S)yaseig777: カチカチだ
[16887.074] (S)yaseig777: 防御と精霊の加護でカチカチビルドするとマジで死ななくなるw
[16932.310] (S)yaseig777: 当たりの珠だ
[17100.256] (S)yaseig777: 良い感じ良い感じ
[17129.933] (S)Owl__zzz: お疲れした
[17132.330] (S)yaseig777: お疲れ様でした！
[17133.071] (M)えっっっくす: fmlchKaitenn
[17136.510] yasudatada: お疲れ様！
[17138.212] (S)ンパールーパー: お疲れさまでしたぁ
[17141.095] (S)ンパールーパー: おあやすみなさい
