[46.418] xocsn: 仕事やってる設定やめてね 
[46.535] (S)aburi_saamon: おっそwwwwおっせぇwwww
[46.758] hiwaii: 小さき者よ
[47.427] seimaiky: おっそ
[47.524] おたから: おれは30年ぶりにきた
[47.551] (S)ゆかり飲んで落雷轟轟: こんくらら
[47.578] harahara_184: 海星クララから 
[47.708] パイナップルウルフ: うんち
[47.718] wagmj: 奥さん大好きアモーレお願いします
[47.725] (S)misosoup5296: マリパでいいからやるべ
[47.801] (S)ParaUniphs: 昨日のアレは何だよ
[47.901] choco_ptotq: 後継機について
[47.912] (S)chubbydove: batoraSudachikun4
[47.933] (S)わんぱく: 海星くらーらから
[48.106] トロンケン: バトラちゃんと寝ろよ
[48.330] (S)マシマシで: batoraSudachikunAnimation
[48.357] nyo_tio: batoraValo
[48.549] (S)村紗あざらし: 小粋なトークいいね
[48.554] worldBANHOUTEN: 同接0まじかw
[48.560] 健たろう: 裏でヴァロかな？
[48.562] えむてぃーだよ: よお
[48.592] pepe_reme: そういうの見えるんだ
[49.140] nejirihatimaki926: 今日は金ネジキかな？
[49.191] tinsou0893: 飲み会いつになりましたか？
[49.235] bato451919: どんもー
[49.421] agamaru25: よお小僧
[49.427] (S)しめち: BloodTrail
[49.439] (S)kasumi0419: 今はんじょうがお前のrta見る切り抜き見てたぞ
[49.613] pullup_nakano: えっど
[49.656] (S)ふじわらもとお: 美味そう
[50.106] おもちちゃん0131: おそ
[50.134] shinotoshiteru: 深夜にお葬式みたいなヴァロやってたバトラさんじゃないですかｗ
[50.253] sushi3130: えっど
[50.268] ぺぺ2: w
[50.297] sansan2385: バトゥーラ大好き
[50.305] (S)ムッチッチ: えっど
[50.307] (S)ユーミンはアモーレ派: ？
[50.506] makoo103: よお
[50.511] toppo_2525: えっど
[50.599] gage_grandfinal: やめてね 
[50.701] s_love_yupooo: 5億年な
[50.995] (S)richard_starrky: は？
[51.061] kqreh: spygeaC9c9
[51.139] (S)claude__debussy: おっそ
[51.166] 寿司はサーモン: えっど
[51.267] keseranpasaran7: えっど
