[2238.562] SekkaBdo: ４年もチーム運営してたらそれこそzetaとかのレベルやん
[2246.355] さわよばァ: アブの仕上がりがえぐくて草なんよ
[2256.683] yuuuuuhooooo: ヴァロがあと３年持つか？
[2264.753] katorisuto: 年長組の引退と同時にやめそう
[2269.396] さわよばァ: 三年はさすがに持つと思う
[2295.926] yuuuuuhooooo: ｗｗｗ
[2296.986] ジンフィズ: ヴァロの後に流行りのFPSがまだでないね
[2318.517] SekkaBdo: おしいい
[2320.611] (S)misaki_pu: おしー
[2336.305] ddd2627: Dep,meiyの次になるのは自覚はあるのか！！！！！
[2358.639] 朝ご飯は蟹鍋: なんならバトロワだとまだエペが一番おもろい
[2396.707] さわよばァ: pexの速い安い美味い感好き
[2445.699] SekkaBdo: この年で舐めプも覚えたのか
[2448.299] SekkaBdo: いいね
[2451.889] jinro_hope: 楽な試合だ
[2456.181] SekkaBdo: 味方つよいな
[2478.251] 寝落ちくん: アブのランク全然ハゲないね
[2544.547] (S)misaki_pu: PoroSad
[2550.801] ~MISSING_COMMENTER_INFO~: BibleThump
[2569.925] さわよばァ: ＜イアン｜
[2596.907] tomato_co: HLってどこ?
[2631.701] katorisuto: 何もしてねぇ
[2699.526] (S)misaki_pu: なーいす
[2750.265] katorisuto: アブソルってけっこう多動か？
[2879.958] ~MISSING_COMMENTER_INFO~: うお！
[2882.233] (S)misaki_pu: おお
[2886.784] ddd2627: BRIANトロってて草
[2901.303] マサフミくん: ブライアン😭
[2938.359] catfelling: ワイヤーで死んだ
[3020.809] ~MISSING_COMMENTER_INFO~: まずい 
[3068.672] ti_amo_123: セカンドゲーミング
[3205.709] ty353255: BloodTrail
[3220.941] SekkaBdo: ハイセンシは大抵多動だよ
[3231.780] yotaroooo: ？？？「BRIANはファッキンベイター」
[3248.079] SekkaBdo: センシが高い奴はせっかちだから善城しないし
[3266.575] (S)misaki_pu: www
[3276.026] raruniosowareruore: おーのー
[3283.538] ty353255: ふぁっきんべいたーなんよｗ 
[3304.643] 2525hitoshi: www
[3307.570] rupx01: www
[3309.395] tossy220223: 怖い
[3310.493] enngannk: えこわい
[3317.074] 2525hitoshi: マブソル？
[3318.620] riyuetake: 覚醒
[3321.251] ddd2627: アブちゃんってもしかして、こわい？
[3323.460] さわよばァ: 覚醒済みか
[3324.197] Verdanava: バカは主語がでかいからね〜
[3330.072] リン0811: 思春期
[3337.771] rupx01: まこうさんかと思った
[3351.852] こんにチワワ316: すでに覚醒済みであったか
[3354.474] さわよばァ: 俺ガチの多動だけど800 0.2だよ＾＾
[3398.037] (S)misaki_pu: www
[3399.675] yotaroooo: 稼いでる
[3422.353] ddd2627: ｗｗｗｗｗｗｗｗｗｗｗ
[3422.437] さわよばァ: やばｗｗｗｗｗｗｗｗｗｗｗ
[3423.279] 寝落ちくん: ？？
[3423.965] (S)misaki_pu: え？www
[3424.686] SekkaBdo: かつんかい
[3425.111] riyuetake: ！？
[3425.871] ユーミラ: やばすぎｗｗｗｗ
[3426.744] まっくらな: wwwwww
[3428.437] rupx01: なやそれ
[3432.035] さわよばァ: まじでｇｍじゃんｗｗｗｗ
[3432.323] urami_3: wwwwwwwww
[3432.953] 寝落ちくん: なんか帰ってったぞwww
[3434.098] final_extreme: 設置間に合っただろｗ
[3434.164] yotaroooo: YouWHY
[3442.719] さわよばァ: KDセーブ笑う
[3448.134] chiyann21: つっよ
[3467.702] さわよばァ: カオスマッチきます 
[3468.553] jinro_hope: 質の低いマッチに巻き込まれる
[3471.792] さわよばァ: だめ
[3472.801] enngannk: え
[3475.048] kyopsy3821: 正解
[3475.796] (S)misaki_pu: misaki_pu is gifting 5 Tier 1 Subs to Absol_dayo's community! They've gifted a total of 15 in the channel! 
[3476.157] (S)misaki_pu: misaki_pu gifted a Tier 1 sub to aruta_soup! 
[3476.185] (S)misaki_pu: misaki_pu gifted a Tier 1 sub to ホリック! 
[3476.191] (S)misaki_pu: misaki_pu gifted a Tier 1 sub to ukahyuka! 
[3476.193] (S)misaki_pu: misaki_pu gifted a Tier 1 sub to ふらわーわん! 
[3476.758] (S)misaki_pu: misaki_pu gifted a Tier 1 sub to awazin301! 
[3477.028] enngannk: やだやだ
[3477.981] rupx01: だーめ
[3480.687] さわよばァ: デスまいってチルしてランク
[3483.172] ddd2627: ほかのゲームせんの？
[3484.724] ti_amo_123: 1時間後にやろう
[3484.902] SekkaBdo: オーナーみたいになるなよ
[3485.461] final_extreme: やめないでサブきた
[3486.871] 北川だよ: チーデス
[3489.096] 寝落ちくん: 2桁いく時は配信してね
[3490.741] banana_9935: デスマ1回行こう
[3491.793] おーのゲーム: あぶ、ランク見せてくれ
[3497.314] banana_9935: ずらせ
[3503.024] さわよばァ: サブスクしてもらってやめるんですか！？！？！？！？！
[3503.218] urami_3: 味方ガチャを勝ち取れ
[3525.013] さわよばァ: 危ソル
[3525.357] (S)misaki_pu: セーフ
[3527.925] 寝落ちくん: 発狂
[3543.641] 19472928: 今日活動ないん？
[3550.792] 寝落ちくん: デスマ雑談
[3558.146] (S)misaki_pu: 見極めは大事
[3608.181] SekkaBdo: sp２のティザー映像でもとりにいくのか
[3612.839] さわよばァ: まさかメンバーのだれか結婚！？
[3624.268] SekkaBdo: トン兄か
[3704.970] SekkaBdo: アブに憧れて0.39にしたり感度上げたけど結局25~27で落ち着いてる
[3725.254] SekkaBdo: ハイセンシまじで才能
[3728.488] final_extreme: なんかTennnがtire2戻ってくる噂あるけどほんとかな
[3752.442] SekkaBdo: 戻ってくるとしたらムラゲか？
[3754.078] jinro_hope: トン兄トークショー出てたんだ
[3831.996] 19472928: sp2のSZがめちゃくちゃ強そうな件について
[3839.064] kjsfcb: BigPhish
[3870.500] SekkaBdo: sz誰か入ったの？
[3938.972] ddd2627: TENNNがFL,SZ,VLで復帰するんじゃないかと噂されてる
[4017.730] ddd2627: Tier１で、なんならZETAでみたいよなあ
[4040.289] ddd2627: はえ
[4042.954] ユーミラ: ばんなん抜けたもんね
[4043.463] jinro_hope: VLには夢がある
[4047.569] final_extreme: FLもデリアリーでてないかもでてないかもってコメントみた
[4073.687] ddd2627: TENNNの打ち合いは本当に頭おかしいと思う なんなのあれ
[4075.103] 19472928: でもdubstepだってtier2に行ったじゃないか 
[4078.966] SekkaBdo: tier1でのレイズの平均acs230位あるしな
[4220.200] gmgm11115: んじゃ、ムラッシュで
[4240.790] ddd2627: アセンションまで見据えてるんじゃない？
[4318.645] 沖鱈ゆうがた: ムラゲはメンバー変わらなくて推しやすいけど他コロコロ変わるから推し辛い
[4341.943] kakip11: VL TENNN入ったらマジでつよそう
[4351.027] SekkaBdo: tenn22歳やろ？ ムラゲなら若手も若手よ
[4365.664] SekkaBdo: バンナン抜けてたけどそういう事だったのか
[4380.351] SekkaBdo: レイズキルジョイ使えるしな
[4386.677] さわよばァ: 実質オール日本人かVL
[4419.263] 19472928: モンハンしね？
[4420.639] pokachannel893: ムラゲにはスミスもデップもいるしな
[4425.809] okokokokokok77: やめるな
[4427.832] SekkaBdo: おつ
[4430.281] ddd2627: やあｄっっっっっっっっっっｓ
[4431.083] さわよばァ: おつ
[4431.913] jinro_hope: おつ
[4432.895] ikaros_00: おつ
[4434.765] Ritorukyasarin: by
[4436.225] skyl4rkpo1: 今北
