[46.628] (S)coral_leaff: やぁ、久しいね
[46.630] (S)canny_0617: ちゃす
[47.334] ajzuki: にょにょ
[47.338] お松156: おはよー！
[47.420] (S)とりめか: hiirag17Boss
[47.551] natsuk126: うい
[47.618] (S)maro001030: hiirag17Boss
[47.770] (S)fineday43ab: ガチ番きたああああああ
[47.850] ramu_23_: こん〜！！
[48.000] (S)ぽりり: hiirag17Boss
[48.012] (S)ryo_8697: hiirag17Boss
[48.058] (S)aina040_: hiirag17Nice
[48.192] kurupaaaa0721: きたぁ
[48.208] (S)suisui_pp: こんー
[48.425] (S)mizusawa_08: にょっすーー
[48.443] (S)ワタルさん: hiirag17Boss
[48.629] sanasana0101: きたあああああ
[48.676] (S)けのちゃん: hiirag17Boss
[48.742] (S)inugami_lemon: hiirag17Boss
[48.959] (S)bite_m_: こんちゃ
[49.171] (S)sukomiso: バロ始まりじゃ無い感じか
[49.181] (S)グラフォン: hiirag17Boss
[49.201] ryotakun0201: !ara
[49.269] (S)o_n_chan: にょっす
[49.302] (M)Nightbot: 【あらすじ】ロケランを構えながら起床→葵井優に1億の車を購入してもらう→焦村家開店→華憐.華月.碇イチカの仕事に着いていく→店に戻り来店捌く→エスタークの被害者元難波を呼び話を聞く→ぜにーた来店.ヴァン爺チャレ失敗→ラルからカジノで稼いでる話を聞く→カイキ来店.ヴァン爺チャレ失敗→ラルに10億の車を購入してもらう→平井と雑談仕込み→大川に麻雀誘われ平井と向かう→一通り楽しんだ後カクから電話が来て昨日の飲食店会長の話をされる
[49.363] (S)モルフィン: hiirag17Boss
[49.511] 珍姉御: BloodTrail
[49.537] (S)01aiueo: ツルギ不足だったよー
[49.753] take46497: きたぁ
[50.119] (S)もんぬサマー: きたきたきたきたきま
[50.258] (S)dragon_5545: hiirag17Boss
[50.545] (S)EvilViceRichie16: よっすー
[51.109] (S)niflmr: hiirag17Boss
[51.346] (S)torukinn: hiirag17Boss
[51.419] (S)左久良深琴: こんこん
[51.944] (S)awaif: hiirag17Boss
[52.090] (S)hukurou101: ばんわ
[52.164] (S)hiyoko217: こんー
[52.270] (S)アカハラ9: おはようやん
[52.301] touhu_00: つるぎくんー🫶🏿❕
[52.871] (S)コラソン3: きたー！
[52.875] uba324: CRカップ出て欲しい～
[52.981] (S)7ruto: こん！
[53.857] (S)donguri14578: hiirag17Boss
[54.285] (S)ruler_0906: ツルギーーーーー
[54.578] (S)moteamotea: うぃ〜！
[55.103] (S)kitei33: こんー
[55.758] (S)fineday43ab: hiirag17Fight
[56.267] (S)eleftheria1023: eleftheria1023 subscribed at Tier 1. They've subscribed for 2 months, currently on a 2 month streak! 
[56.696] (S)mocihtamago: hiirag17Boss
[56.817] ootuked: VALOじゃない！？
[56.979] (S)マッチ__: ちす
[57.771] (S)nasutarou6000: hiirag17Boss
[58.368] (S)oshiro33: hiirag17Boss
[58.457] (S)tomoyaaannn: こん
[58.468] (S)nao2924: こん〜
[58.691] (S)wakame_seaweed: hiirag17Boss
[58.911] (S)im_hikita: こん
[58.950] (S)cozizi: hiirag17Boss
[59.033] (S)左久良深琴: DinoDance
[59.267] (S)ruler_0906: hiirag17Boss
[59.416] peho_okok: PopNemo
[59.424] (S)こねこ__: さみしかったぞーーーー
[59.642] (S)ufxnfy: 待ってたー！！！
[60.079] (S)オッチャン55: hiirag17Boss
[60.085] (S)samuclown1027: hiirag17Boss
[60.329] (S)かみんちゅう: 性獣にょっす 
[60.360] kinonoko020: ちす
[60.567] oner_jp: にょっす
[60.599] (S)Sou_tp: 待ってたよ！
[61.015] (S)aiyeah_: hiirag17Boss
