[9.055] (M)しまやん: よ
[113.927] (S)halley0701: これめっちゃむずかった
[114.074] (S)ごにごにい: わこらだ
[114.351] (S)kaomodi22: なんてこったい
[115.582] (S)yuuchan_22: わこらだ
[116.209] (S)kyrieeeeee_: おバカさんアピールしてけ
[116.392] (S)kinakomoti109: わこらだ
[116.934] (S)月那津: わこらだ
[118.304] (S)Miriotta: 悩んでたもんな
[118.534] (S)aya5021: わこらだ
[118.689] (S)はとたん: わこらだ
[119.288] (S)ケビンカルロス: 半年に一回じゃないだと？！
[119.449] (S)bunchaan: わこらだ
[119.560] (S)うったて: うったて subscribed at Tier 3. They've subscribed for 9 months, currently on a 9 month streak! わこらだ
[119.675] (S)ビアマン: わこらだ
[119.800] (S)yukkurimeganeru: わこらだ
[119.852] (S)涼晴: わこらだ
[119.901] (S)H1yoyo: わこらだ
[120.777] (S)楓___: わこらだ
[120.967] (S)hiyoooona: わこらだ
[121.208] (S)soboro_233: わこらだ
[121.271] (S)寿司五郎: わこらだ
[121.537] (S)紗弥0926: わこらだ
[121.995] (S)skyhigh_day0: わこらだ
[122.117] (S)r1ng0_rd: わこらだ
[122.126] (S)すいぺりあ: わこらだ
[122.133] (S)kujirai___: わこらだ
[122.211] (S)ririneko6133: わこらだ
[122.352] nagisa30: nagisa30 subscribed with Twitch Prime. They've subscribed for 9 months! 
[122.352] (S)mana_0816: わこらだ
[122.587] (S)ぉうどん: わこらだ
[122.634] (S)aaalpacaaa_: わこらだ！
[122.923] (S)いえさき: わこらだ
[123.143] (S)aisumeru: わこらだ
[123.158] (S)yuimo_1823: わこらだ
[123.256] (S)ふれえぇふれえぇきゅうぅ: わこらだ
[123.324] (S)reniwo: わこらだ
[123.481] (S)barion_ysi: わこらだ
[123.565] (S)どくつる: わこらだ
[123.584] (S)シヴ: わこらだ
[123.696] (S)kosu_mosu: わこらだ
[123.792] (S)mikkoronn: わこらだ
[123.971] (S)wakasagi24: わこらだ
[124.023] (S)torihatsu: わこらだ
[124.027] (S)二グ: わこらだ
[124.028] (S)moguno334: わこらだ
[124.066] (S)8億歳児: わこらだ
[124.132] (S)桐__: 桐__ subscribed at Tier 1. They've subscribed for 3 months! 
[124.205] (S)desugan9: わこらだ
[124.217] (S)sunao70_: わこらだ
[124.423] (S)kaijuu_gao_: わこらだ
[124.759] (S)るにゃ__: わこらだ
[125.013] (S)ひよこまんじゅう: わこらだ
[125.061] (S)lukia_0305: わこらっだー
[125.068] (S)yumaccha: わこらだ
[125.394] (S)そらいろえのぐ: わこらだ
[125.528] (S)japarada_xeno: わこらだ
[125.612] (S)tomo_alb: わこらだ！
[125.624] (S)mapo_poma: わこらだ
[125.638] (S)amya0432: わこらだ
[125.795] (S)satela_A: わこらだ
[125.923] (S)Kuu_tamanegi: わこらだ
[126.177] (S)watchan_arm: 脳トレ
[126.382] シトラ: シトラ subscribed with Twitch Prime. They've subscribed for 8 months, currently on a 8 month streak! わこらだ
[126.389] (S)na_mo: わこらだ
[126.421] (S)まき627: らっだぁって配信始める時毎回あくびから始まるよね
[126.452] (S)ryokiki: わこらだ
[126.532] (S)みそにこみㅇ: みそにこみㅇ subscribed at Tier 2. They've subscribed for 2 months, currently on a 2 month streak! 
[126.547] (S)re__ina07: わこらだ
[126.766] (S)motutaberou: わこらだ
[127.000] (S)ねこはん: わこらだ
[127.018] むとちゃん: わこらだぁ
[127.222] (S)maro_72: わこらだ
[127.415] (S)sora_chann_: わこらだ
[127.503] (S)えるまぐ: やぁ⬆
[127.540] (S)takuan_umauma: ええええええええええ
[127.696] (S)kimidori915: わこらだ
[127.762] (S)アルセレニア: わこらだ
[127.882] (S)桐__: わこらだ
[127.944] (S)hituji_san64: わこらだ
[127.945] (S)ramensan9: わこらだ
[127.950] (S)のぴ_: わこらだ
[127.955] (S)maririnna: わこらだ〜!! 
[128.096] (S)machi0226: わこらだ
[128.150] (S)ﾓﾓｽｴ: わこらだ
[128.157] (S)美咲林檎: わこらだ
[128.165] (S)15ais: わこらだ
[128.247] (S)ameri_1945: わこらだ
[128.360] (S)oreo123457: わこらだ
[128.471] (S)ゆち888: わこー
[128.558] (S)kurumi0108: わこらだ
[128.678] (S)みゅまる: わこらだ」
[128.752] (S)おとたやん: わこらだ
[128.921] (S)kuromandsora: わこらだ！
[128.929] (S)zenqlot: わこらだ
[129.021] (S)nun_2354: らだおの脱出マップ大好き
[129.110] (S)yu_ra0111: わこらだ
[129.164] (S)mikan_san: 前のはすぐ終わったからね
[129.251] (S)_みさ_: わこらだ
[129.309] (S)ほーずき: わこらだ
[129.362] (M)morixmori_tmt: わこらだ
[129.407] (S)れいらーん: きーたよ
[129.556] (S)amai58chanpru: わこらだ
[129.571] (S)amatuba0424: わこらだ
[129.642] (S)mayutyaa81: わらこだ
[129.764] (S)box_tissue: わこらだ
[129.922] (S)kuromuchan_xqx: わこらだ
[130.152] (S)pony0815: わこらだ！
[130.367] (S)tyontyon: わこらだ〜
[130.374] shoooootingstar: radaokunWakotu
[130.433] (S)1ruka0427: わこらだ
[130.591] (S)moriteka1290: わこらだー
[131.050] (S)つきあかり: わこらだ
[131.207] (S)mg_rafu: わこらだ
[131.210] (S)ゾヘーブ: わこらだ
[131.299] (S)mira_rai: わこらだ
[131.428] (S)yakkora: ほんとだメインツイート
[131.462] (S)mido_0510: 珍しいこともあるんですね
[131.740] (S)murasaki_chan: わこらだ
[131.749] (S)risanosuke: わこらだ〜
[131.950] (S)aya5021: 良かったやん
[131.990] (S)lein2: わこらだ
[132.188] (S)sya_ryu_: わこらだ
[132.345] (S)o_vento: うぽらだ やってくれてうれしい
[132.491] (S)hyorosuke: またゲロゲロ様みたいに封印するつもり？
[132.606] (S)kinokonokonoko814: わこらだ
[132.637] (S)uruborofu: 楽しさに気づいた？
[132.660] (S)胡桃柚子: わこらだ
[132.695] (S)gagome0516: わこらだ
[132.734] (S)ririmaru_nx: うぽらだ！
[132.829] (S)さぼてんダー: わこらだ
[132.946] (S)ろみー: わこらだ
[133.207] (S)せなお_: わこらだ
[133.252] (S)さらしゃ: ありがとう
[133.399] (S)ika_chandayo: わこらだ！
[133.426] (S)OsaruKun07: わこらだ
[133.621] (S)suzuya_watanabe: わこらだ
[133.641] (S)五芒: わこらだ
[133.643] (S)こはねてゃん: どんな内容なの？？
[133.862] (S)アルセレニア: きちゃー
[133.866] (S)abusu146324: わこらだ
[133.925] (S)Kuu_tamanegi: 楽しみにしてたよ
[134.018] (S)るるてぃあー: rurutear subscribed at Tier 1. They've subscribed for 7 months! 
[134.518] (M)(S)jin_cookie: jin_cookie subscribed with Twitch Prime. They've subscribed for 9 months! 
[134.520] (S)1ryum: わこらだ
[134.554] (S)ゆき_りな: わこらだ
[134.562] (S)うめめだよ: うめてゃ subscribed with Twitch Prime. They've subscribed for 3 months! 
[134.676] (S)めるめろん: わこらだ
[134.715] (S)noko269r: わこらだ
[134.754] (S)culoe_: わこらだ
[134.877] (S)riiiree: わこらだ
[135.113] (S)riverfish831: わこらだ
[135.338] (S)マスグラ: わこらだ
[135.413] (S)あるたくん: わこらだー！！
[135.593] (S)ren2212: わこらだ
[135.995] (S)ぴんてれ: わこらだ
[136.045] (S)broly2828: ワコラダ
[136.134] (S)Miriotta: 途中で諦めるなよ
[136.208] (S)donasepi: 身の丈に合ってない
[136.242] (S)_はた_: わこらだ
[136.306] (S)ポフロン: わこらだ
[136.463] (S)miyuki122711: わこらだ
[136.585] (S)ねぎカレー: わこらだ
[136.597] (S)orenji1752: わこらだ
[136.598] (S)neet37564: radaokunWakotu
[136.875] (S)yamori0201: わこらだ
[136.967] (S)mawnoko: わこらだ
[137.012] (S)naki_516: わこらだ
[137.062] (S)siromarumoti05: わこらだ
[137.125] (S)NanohAaaaa__: nekomeee__ subscribed at Tier 1. They've subscribed for 8 months, currently on a 5 month streak! わこらだ
[137.193] (S)えるまぐ: わこらだ
[137.221] (S)udon_1919: わこらだー
[137.259] (S)すばるみん: 今回は何時間の予定？
[137.267] (S)bezella: わこらだ
[137.303] (S)oyasumic_: わこらだ
[137.330] (S)luck_ritu: メインでツイートしたの？？
[137.334] (S)akiaki0819: わこらだ〜
[137.394] (S)美味しい塩: わこらだ このマップやって欲しかった
[137.547] (S)chiuchiupet: 今日はオールナイトですか？
[137.669] (S)mamo_tarou: わこらだ
[137.761] (M)(S)おいしいりんご: わこらだ
[137.884] (S)oreo123457: radaokunWakotu
[137.886] (S)_たいやき_: わこらだ
[137.891] (S)rox_ez: わこらだ
[138.118] (S)hayaato115: わこらだ
[138.183] (S)プラず: わこらだ
[138.275] (S)yukkurimeganeru: yukkurimeganeru subscribed with Twitch Prime. They've subscribed for 4 months! 
[138.344] (S)ameshiro1201: わこらだ
[138.503] (S)ありつき: ありつき subscribed at Tier 1. They've subscribed for 7 months! 
[138.640] (S)ririmaru_nx: わこらだ！
[138.852] (S)bami8329: わこらだ
[139.553] (S)dejitari: わこらだ
[139.599] (S)ふぁじぃ: わこらだ
[139.754] (S)ei_okami: わこらだ
[140.035] (S)bismath: bismath subscribed at Tier 1. They've subscribed for 8 months! わこらだ
[140.104] (S)takuan_umauma: これおすすめなんすよ！！！
[140.127] (S)namako_n: わこらだ
[140.237] (S)しおつ: 定期的にしてこ
[140.773] (S)ぱん太郎: わこらだ
[141.167] (S)うちこ_: りーにゃん subscribed at Tier 1. They've subscribed for 10 months, currently on a 9 month streak! わこらだ
[141.230] (S)ろみー: 待ってたぞよ
[141.252] (S)sigure_0612: わこらだ
[141.363] (S)lein2: このMAPムズいよ
[141.511] (S)wakasagi24: radaokunWakotu
[141.526] (S)ディア_: わこらだ
[141.603] (S)mitoa_72m: わこらだ
[141.761] (S)mugityoko_08: これ気持ち良かった
[141.848] (S)hanappa_pa: わこらだ！！
[142.092] (S)かんぱちさん: わこらだ〜〜！
[142.098] (S)えぬぽ: わこらたわ
[142.124] 中ととろ: 中ととろ subscribed at Tier 1. They've subscribed for 29 months, currently on a 29 month streak! 今日クリありますね
[142.124] (S)だるく: わこらだ
[142.222] (S)mikan_san: 2時間までな！
[142.241] (S)lo007ol: radaokunOI
[142.368] (S)ねぎカレー: radaokunWakotu
[142.853] (S)owatativv: わこらだ
[143.008] (S)bon_sai: わこらだー
[143.082] (S)なきにしもあらかわ: メインでツイートしてたね
[143.117] (S)bananamilk_1945: わこらだー
[143.279] (S)urotti: わこらだ
[143.726] (S)えたまご: わこらだ
[143.806] (S)そまる: がんばえー
[144.139] (S)千都瀬: わこらだ
[144.243] (S)みょみょん: ranran_ruuuuu subscribed at Tier 1. They've subscribed for 6 months, currently on a 6 month streak! 
[144.364] (S)あめたあめ: 体が脱出MAPを求めてるんだよ
[144.526] (S)kyrieeeeee_: 難しくてもらっだぁには余裕すぎてサクサクマウンテンでしょ
[144.995] (S)ratte_1852: わこらだ
[145.008] (S)bakura1244: わこらだ
[145.055] (S)Mimimuuu_819: ないすだ
[145.232] (S)bezella: radaokunWakotu
[145.233] (S)lo007ol: radaokunWakotu
[145.802] (S)ほたころ: モノナギ subscribed at Tier 1. They've subscribed for 7 months! わこらだ
[146.228] (S)loupe_5385: わこらだ
[146.252] (S)ゆえりあ: わこらだ
[146.514] (S)takeparle: わこらだ
[146.538] (S)シルキス: わこらだ
[146.538] (S)mamo_tarou: やってくれてありがとう
[146.646] (S)るるてぃあー: わこらだー
[146.672] (S)nekotto225: わこらだ
[146.885] (S)azkdayo: 最近脱出マップ多くてうれしぃー
[146.917] (S)tororosoba_: わこらだ
[147.020] (S)たず__: わこらだ
[147.057] (S)Ikesel_: わこらだです！
[147.115] (S)mo_get: わこらだ
[147.116] (S)luft0621: わこらだ
[147.223] (S)oreo123457: radaokunWakotu
[147.786] (S)yuuuto_555: 脱出マップ嬉しい
[147.939] (S)kujirai___: 最近脱出マップいっぱいやってくれて嬉しい
[148.037] (S)ren2212: これ難しくない？
[148.068] (S)bell_msvio: わこらだ
[148.764] (S)ena_28: わこらだ
[148.958] (S)mana_0816: うれしい〜
[148.974] (S)aya5021: 結構楽しみにしてた
[149.012] かーりんご: わこらだ
[149.508] (S)ポフロン: これ面白いやつ
[149.543] (S)えむどっと: わこらだ！
[149.558] (S)nekoeri12: nekoeri12 subscribed at Tier 1. They've subscribed for 7 months! わこらだ
[149.784] (S)みょみょん: わこらだ
[149.819] (S)kemeko_jp: わこらだ
[150.381] (S)fuu0312: わこらだ
[150.647] (S)d_flanker: radaokunWakotu
[150.651] (S)meiba_: わこらだ
[150.887] (S)mochiiita: わこらだー
[151.088] (S)あいむ: わこらだ
[151.323] (S)mitsuki0825: わこらだー
[151.672] (S)suzuya_watanabe: radaokunWakotu
[152.159] (S)cotton453: わこらだ
[152.370] (S)otoran: わこらだ
[152.847] oyasumi_sannn: oyasumi_sannn subscribed at Tier 1. 
[152.946] (S)ふぉーる_: ふぉーる_ゼニガメ subscribed at Tier 1. They've subscribed for 3 months, currently on a 3 month streak! 
[153.023] そぁ: わこらだ 
[153.049] (S)sugatarou: わこらだ
[153.404] (S)takuan_umauma: やってくださって有り難い
[153.691] (S)ありつき: わこらだ
[154.156] (S)ねぎカレー: 知らないから大丈夫です(^q^)
[154.341] (S)うちこ_: ゆるす
[154.395] (S)kinokonohokori: わこらだ
[154.403] (S)いいと: わこらだ
[154.653] (S)hituji_san64: 脱出マップはまっとん？
[154.999] (S)とっとり: siki_ey subscribed at Tier 1. They've subscribed for 5 months! わこらだ
[155.115] (S)ゆち888: radaokunWakotu
[155.116] (S)midorimorika: 楽しんで
[155.219] (S)星名: わこらだ
[155.224] (S)こはねてゃん: 今回は何時間かかるのかな〜
[155.381] (S)mana_0816: radaokunWakotu
[156.258] (S)Miriotta: 朝までかかる？
[156.286] (S)kokeshima_kana: らっだぁが詰んで苦しんでるところ見るの好き
[156.313] (S)yumesawa: わこらだ〜
[157.620] (S)mope716: わこらだ
[158.195] (S)梨一: わこらだ
[158.248] いろイロ: いろいろロイロ subscribed at Tier 1. They've subscribed for 3 months! 
[158.400] (S)yakkora: 五時間付き合う覚悟してる
[158.438] (S)mizukurage_: わこらだ
[158.845] (M)(S)どらねこです: どらみ subscribed with Twitch Prime. They've subscribed for 7 months! 
[159.236] (S)omuraisu_153: omuraisu_153 subscribed with Twitch Prime. They've subscribed for 8 months, currently on a 5 month streak! わこらだ
[160.038] (S)keikunn_0115: 明日テストなんだが？こんなん見なきゃ行けないやんけ 
[160.054] (S)ゆにゆに: わこらだ
[160.073] (S)RITO0117: わっこ
[160.271] (S)ゾヘーブ: radaokunWakotu
[160.532] (S)bezella: 重い腰上げまくりで腰痛めんといてな
[160.704] (S)suzuya_watanabe: そうだな
[161.390] (S)donasepi: ないす
[161.503] (S)d_flanker: (*•̀ᴗ•́*)و ̑̑がんばれー
[161.573] (S)zeratin12: 最近脱出マップおおいな
[161.666] (S)yuunee__: わこらだ
[161.742] (S)noko269r: 作業しながらゆったりみるよ
[162.159] (S)_はた_: おけ
[162.227] (S)五芒: radaokunWakotu
[162.275] (S)柗原: 腕試しのパート2見たで
[162.386] (S)maasyuu: わこらだ
[162.531] (S)mikan_san: なるほど
[163.042] (S)shio_salmon: shio_salmon subscribed at Tier 1. They've subscribed for 9 months, currently on a 9 month streak! わこらだ 
[163.547] (S)yotuba48: わこらだ
[164.003] (S)こはねてゃん: おけ
[164.233] (S)towaneko_neko: towaneko_neko subscribed at Tier 1. They've subscribed for 7 months! わこらだ！
[164.412] (S)azkdayo: 1時間クリア待ってます！！
[164.913] (S)owatativv: はーい
[165.313] (S)tittamu: わこらだ
[165.338] (S)kyrieeeeee_: おけー
[165.418] (S)_たいやき_: おけ
[165.432] (S)かましい: わこらだ
[165.437] (S)takuan_umauma: ふああああ
[165.618] (S)akaiyatu0629: 今日でサブスクギフト終わるんでこれから生で見ます
[166.131] (S)bezella: おけ
[166.374] (S)かんぱちさん: 半年ごとじゃなくてうれちい
[166.545] (S)Caramelkun_: わこらだあ
[166.616] (S)watchan_arm: おけ
[166.701] (S)meiba_: おっけ
[167.215] (S)lo007ol: radaokunKasu
[167.374] (S)えむどっと: おｋ
[167.646] (S)zane417: わこらだ
[167.690] (S)_はた_: まかせろ
[167.873] (S)bon_sai: シンデレラが追いつく前に終わるといいね
[168.086] (S)yumesawa: IQ下げてコメントします
[168.212] (S)kujirai___: おけ
[168.252] (S)yakkora: ほんとだ
[168.394] (S)らずらむ: わこらだ 
[169.829] (S)chuwann: chuwann subscribed at Tier 1. They've subscribed for 3 months, currently on a 3 month streak! 
[169.991] (S)maasyuu: わこらだー！
[170.702] (S)takuan_umauma: 分かりました
[170.992] (S)tento060: わこらだ
[171.451] (S)akiaki0819: おけー
[171.982] (S)かなだ野郎: kanadayarou is gifting 1 Tier 1 Subs to らっだぁ's community! 
[172.125] (S)r1ng0_rd: おけ
[172.151] (S)barion_ysi: おっけ
[172.307] (S)amatuba0424: おけ
[172.354] (S)SHINmmm: わこらだ
[172.361] (S)ayunosioyaki0223: おk
[172.550] (S)_みさ_: なるほど
[172.693] (S)owatativv: 都合のいいやつだ
[172.921] poteito: 甘えるな
[173.035] (S)かなだ野郎: kanadayarou gifted a Tier 1 sub to amane_d! 
[173.059] (S)mikan_san: まかせろり
[173.151] (S)ゆえりあ: おけ
[173.340] (S)こしつぶ: おk
[173.573] (S)halley0701: ネタバレ防止
[173.598] (S)常に眠いぽかちゃん: わこらだ
[173.912] (S)256番: わこらだ
[174.236] (S)amai58chanpru: おけー
[174.333] (S)kuruotv: わこらだ
[174.510] (S)satela_A: おけ
[174.523] (S)ゆち888: おけ
[174.532] (S)ei_okami: おけ
[174.667] (S)ふぁじぃ: 甘えるな
[174.670] (S)95486: あれはネタバレ
[174.689] (S)nattu__: わこらだ
[174.731] (S)Miriotta: はーい
[175.252] (S)saba_basa_: おｋ
[175.408] (S)hakumai_ojisan: わこらだ
[175.737] (S)松山ナオ: わこらだ
[175.759] (S)narooon7676: わこらだ
[175.915] (S)mope716: おけ
[175.971] (S)meiba_: 詰んだら教えてあげる
[176.339] (S)もぐもぐあおば: greenleaf894 subscribed with Twitch Prime. They've subscribed for 2 months! わこらだ
[176.421] (S)ゅきりり: わこ
[176.490] (S)なの__: おけ
[176.497] (S)matu_1202: わこらだ
[176.515] (S)五芒: ぽけ
[176.545] (S)zenqlot: おけ
[176.625] (S)saisai_tmc: おけ
[176.632] (S)kemeko_jp: おけ
[177.051] (S)aya5021: 前のは多かったね
[177.086] (S)kaijuu_gao_: おk
[177.308] (S)ぉうどん: おk
[177.320] (S)kinakomoti109: おけです
[177.492] (S)iroha_1122: わこらだ
[177.511] (S)kinokonohokori: おけ
[177.533] (S)そまる: まかせろり
[177.542] (S)murasaki_chan: おけ
[177.575] (S)gagome0516: ハーイ
[177.842] (S)chuwann: わこらだ
[178.017] (S)oreo123457: はーい
[178.112] (S)mirumiru_h: おけ
[178.116] (S)Alpha_5665: おk
[178.235] (S)ayano_yano: わこらだ
[178.351] (S)アカール: 了解
[178.449] (S)れつれつ: はーい
[178.674] (S)luck_ritu: はーい
[178.743] (S)ena_28: ena_28 subscribed at Tier 1. They've subscribed for 3 months! わこらだー
[178.849] (S)_はた_: ほう
[178.872] (S)kokeshima_kana: おけ
[178.909] (S)watchan_arm: 俺らも初見のつもりでいっしょにかんがえるわ
[178.917] (S)hyorosuke: サブ限かよこれ
[178.994] (S)mana_0816: おk
[179.030] (S)ねぎカレー: 了解です
[179.102] (S)tyontyon: おけ
[179.107] (S)skyhigh_day0: おk
[179.110] (S)えたまご: おけ
[179.116] (S)梨一: はーい
[179.153] (S)雪華0830: わこらだー
[179.175] (S)いえさき: おけ
[179.244] (S)umbrella_3373: おk
[179.396] (S)いのりさん: おけ
[179.956] (S)yakkora: おk
[180.106] (S)mg_rafu: おけ
[180.112] (S)bezella: おk
[180.351] (S)tomo_alb: はーい
[180.436] (S)hituji_san64: おけ
[180.558] (S)lo007ol: おけ
[180.567] (S)nun_2354: おじぇ
[180.625] (S)garakuta_0506: パソコン持ってない勢だから大丈夫
[180.677] (S)ケビンカルロス: トイレのか
[180.686] (S)sinann365: おけ
[180.763] (S)suzuya_watanabe: おk
[180.895] (S)ほむるん: わこらだ
[181.127] (S)kyrieeeeee_: 助けを求めた時だけ参加していい感じね
[181.376] (S)moguno334: おけ
[181.388] (S)ヴェライス: わこらだ
[181.401] (S)lein2: ぽけ
[181.414] (S)ゆち888: チラ裏な
[181.419] (S)yuunee__: おけ
[181.603] (S)ひすねる: おk
[181.612] (S)mayutyaa81: はーい
[181.860] (S)yukiyuki2514: おk
[182.069] (S)tatqmii: わこらだ
[182.074] (S)カズの子だよ: わこらだ
[182.304] (S)oshibori_sappou: わこらだ
[182.660] (S)ぱん太郎: がんばえ
[182.734] (S)nun_2354: おけ
