[134.146] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[145.314] devi1ee: ｳﾒﾁｬﾝｵｶｴﾘｰ!!
[150.618] Kaoz_One: welcome 
[157.707] wargod_broly: ENGLISH SUBTITLES
[166.017] えぐえいと菌: りゅーし君１０代です！若い
[177.671] kurobedam: 英語配信ってどこでやってる？
[188.575] さいくつ: VGBCってとこ
[190.437] ilm0806: VGBootCamp
[192.385] (S)mobageiskusoge: English stream at: ***
[193.984] negishake: エドも調整あるだろうから
[196.433] kurobedam: あざす
[202.278] ういっちょ: English substream on Twitch → vgbootcamp
[202.823] 96san_788: た、ち
[210.024] モギタマ: モダンエド、欲しいもん大体あるし
[223.220] Sonic73131: モダンだと2Lkないからちょっと近距離が弱い
[228.086] demonbane_twosword: おおお
[229.143] uncledoon: 返していくぅ
[229.714] manasvin13: なによりエドはかっこいい
[232.651] isekai7153: やーる
[233.339] すれいまん: 反応はやーい
[236.550] aadtogo: コンボが激ムズになるらしいね
[237.246] korekitwitch: うめさんもモダンエドやってみて欲しい
[239.406] chanike1720: ｗｗｗｗ
[240.707] kabicha000: えっど
[244.121] sn0wf0x3: www
[246.682] hattrickn: ＋８
[249.701] koudou3: アビゲイル用
[251.511] gorogorogorn: 蚊とかに良さそう
[262.926] tsubameM: いまだにエドランクに多いあたり思ってるよりイケてるか
[263.378] chanike1720: へっる
[268.613] ういっちょ: うおおお
[269.624] たかちゃん06: へーる
[275.729] (S)ponponguripon: VGBootCampは選手のワイプあるんだね
[275.850] isekai7153: 減りも運びも申し分ないな
[277.420] demonbane_twosword: おほーーー
[279.138] koudou3: 江戸川
[279.608] ヨコグシ: おおお
[280.937] uncledoon: ゲージ効率がいい
[281.867] 96san_788: お
[282.031] hattrickn: 2回まわしドリーム
[283.028] 憂う者の弟子: おお
[286.301] tsubameM: かっこいいよなー
[286.634] ういっちょ: 2回発動！
[288.776] sn0wf0x3: おおー
[288.961] えぐえいと菌: りゅーしくんええぞ！！
[289.128] ~MISSING_COMMENTER_INFO~: かっけぇなぁ
[289.947] 蟹右手: コブラパンチ
[293.823] 鷹爪三角脚: 2回発動できるんかぁ
[300.335] isekai7153: 返す！
[303.616] 箸くれ: すげえな
[305.217] 千葉県おっさん: エドのペースになってきた
[309.276] manasvin13: SA2はやりこみもあるし個性もでそうでいいよね
[312.261] bokusatu: レベルたけー
[320.147] (S)kakutora_no_o: 始まってるねぇ！
[322.674] kurobedam: 画面端にこだわんなくて気軽に回せるとこはイウサールよりいいかもしれない
[328.141] たかちゃん06: これが若さか
[328.167] すれいまん: まだのこるが
[328.244] gorogorogorn: わざわざ来ちゃってさ
[332.098] isekai7153: ｗｗ
[333.426] une3333: あ、配信もどったのね、よかった
[334.325] 憂う者の弟子: ちぬううううううう
[337.522] tabibitox: やなぎーー
[339.650] tacos0103: 柳ぃ
