[953.935] はっぽん: ﾎﾞｯ
[958.620] (S)やぎう氏: ﾎｳﾎｳﾎｰｳ
[960.587] モリケイ: あくたがわダッドリーやったね
[965.028] (S)musi_namazu: 実際は筆こだわってたらしい
[965.056] 力石ヤマト: リリーと戦ってるときずっとやらされてる感あってキツい
[969.200] こすもどりっぷ: 4の強豪なんでしたっけ
[969.443] kurogunst: ﾊﾟﾜﾎﾞｯ
[975.339] (S)ekiben_taro: 弘法は2大Pだけですべて解決する
[979.727] ケンタロス0122: こんばんは！
[992.312] しおキャベツ: 昔のリーグのPV見るの楽しい
[996.272] ryo0911: IVベガのおもんなポイントってどんなとこですか
[1016.933] モリケイ: ODロリの出がかりクワガタで潰せんの？w
[1024.674] バーバリアン姫島: 普通に今日レジェありそう
[1047.036] kuma0201tw: BGM消してるのは意図的に？
[1047.594] ハチ8: レジェンドのボーダーってどれくらいから？
[1057.562] モリケイ: コアコアコアの基本コンボが激ムズ
[1067.173] (M)墾田永年私財砲: ちゃんとOFFにしてます
[1093.680] いわたん_: 今見たらPrimeサブスク切れてたけどまだポチれない・・・ Primeサブスク権って時間単位で管理されてるのか
[1107.575] しぼみ: BGM切るとインパクト返せる説
[1133.785] ろくりす: 存在しないものは無理って催眠術師の人が言ってたからよ
[1139.153] abura0: こんばんはーリリーだ
[1142.872] usugesaan: アレックスの影は見えたかい？
[1154.782] モリケイ: 4ベガって対空にJ中PTC求められてた気がする
[1165.008] (S)ぶれお: こんばんは
[1176.700] toto3210119: なあれっ…!!!
[1179.493] margarita_217: ○○バスターって技名かっこいい
[1194.115] (S)はっぽん: はい、バスター
[1197.304] ろくりす: 〇〇ボムもかっこいいよ
[1200.259] shoa1828: ええ？
[1205.314] abura0: 調教棒
[1216.619] (S)やぎう氏: ブランカ分からせ棒
[1250.797] モリケイ: 電流走ってるのはブランカの方なんよなあ
[1255.274] toto3210119: うおおおお！
[1255.866] しぼみ: 返す〜
[1259.604] (S)musi_namazu: 見えてるぞ
[1260.831] (S)ぶれお: リリーチャレンジの時なんかガイルとかJPと当たってない気がする、もっと当たって
[1261.713] anikisalad: 返すー
[1263.543] (S)はっぽん: 催眠効いてきました？
[1271.074] (S)青木は: インパクト！！
[1274.226] レガシィ: 先生ありがとう
[1275.510] (M)墾田永年私財砲:  クランクイン！『催眠術でインパクト全部返せるようになる説〈後編〉』 https://t.co/6PbVZPxsoB
[1278.669] (S)musi_namazu: なにが見えてるのかなぐへへ
[1282.282] (S)いわたん_: いわたん_ subscribed with Prime. They've subscribed for 16 months, currently on a 15 month streak! 
[1283.158] toto3210119: いーち！
[1283.198] とらフグ: ど、どぐらさんがインパクトを！？
[1283.966] ろくりす: インパクトマン
[1287.852] モリケイ: 黄色の全身タイツきろw
[1290.600] kubotaros: 存在しないパワー
[1295.474] (S)美濃屋善兵衛: 催眠術効いてる
[1307.819] (S)ありやんさん: こんどぐ
[1311.746] (S)はっぽん: 古い方のやつね
[1317.728] abura0: 格ゲーマーが皆催眠術を受ける未来
[1321.927] ろくりす: のぶ代
[1330.005] juno0220: ガイルを好きになる催眠を掛けてもらおう
[1372.425] ろくりす: 好きになったら殴れなくならんか
[1375.349] モリケイ: SFLのキャッチコピー「生まれながらのガイルアンチ！どぐら！」にする？
[1421.663] (S)鉄板: 去年の「その勝ち方、悪魔的」が結構好きだった
[1422.839] abura0: あ
[1425.146] モリケイ: あ
[1425.577] ろくりす: あ
[1436.912] (S)はっぽん: そういうこともある
[1446.751] margarita_217: 変なこと言ってたら技当たるのあるあるw
[1455.591] ろくりす: 鈍器の伝説の武器ってあんまないよな
[1456.964] しぼみ: あしながすぎおじさん
[1470.044] juno0220: ミョルニル(ムジョルニア)とか
[1471.885] margarita_217: ムジョルニア
[1481.989] (S)musi_namazu: 大パンくらって台パン
[1487.749] モリケイ: 北欧神話やん
[1499.627] (S)やぎう氏: 鈍器は聖職者の武器だから……
[1529.463] (S)田中脊髄剣田中: トールハンマーとか
[1550.212] (S)いわたん_: トールハンマーってミョルニルのことだと思ってたけど違うっぽい？
[1576.089] neanderuka: ほうほうほう
[1582.282] レガシィ: 伝説の鈍器ガンメタルハンマー
[1588.745] モリケイ: そういえば、オクチ大丈夫？
[1592.954] unimel1x: 今北けど鈍器の話で盛り上がってるん？
[1595.286] (S)ありやんさん: 本田対決
[1600.037] (S)田中脊髄剣田中: ミョルニルの英名ですね
[1602.463] モリケイ: お大事に
[1607.687] abura0: パールのようなもの
[1629.712] (S)いわたん_: インプラントいれると寝るときマウスピース付けるとか聞いたけどどうなんだろ
[1632.637] damuino_mark2: @iwatan_lv8uni 同じものだぞ
[1634.334] 串田そー: 先ほどのガイルでした！対戦ありがとうございました！
[1643.356] juno0220: 如意棒もそうか
[1643.576] (S)やぎう氏: cagdogGg
[1647.354] (S)musi_namazu: お疲れ様でしたー
[1651.445] (S)田中脊髄剣田中: cagdogGg
[1654.441] (S)kukukurin: cagdogOtu
[1655.309] しぼみ: レベル高かった
[1655.585] (S)ありやんさん: 対ありです
[1657.576] abura0: お疲れ様でしたー
[1686.142] abura0: そういえばストリーマー界隈だったら対ありコメントは煽り扱いでBANされるホント？
[1689.717] (S)kukukurin: 本田対策きまっていくぅー
[1690.058] モリケイ: やはりホンダ戦はジャスパ
[1693.930] (S)ぶれお: 抗ってる
[1694.209] unimel1x: おお
[1698.468] abura0: おお
[1700.514] (S)はっぽん: そんな文化あるん？
[1702.600] moowwzz: うおおおお
[1704.736] (S)田中脊髄剣田中: cagdogWww
[1706.526] (S)ありやんさん: こわあ
[1707.815] ろくりす: 普通に対ありスパチャ飛びまくってるけどな
[1712.834] (S)はっぽん: あーあ
