[316.348] (S)人の心をなくした風俗店員: 「どうやってフレンドとゲームすればいいんだろ」
[316.598] きょー_1213: よし！！
[316.600] (S)sugi_tree3: よしきいるぞ
[317.859] diego_ohunabara: umeYay
[319.201] (S)ringo_35: ゆっくりww
[319.636] kamiya1979: よしなまさんいるやん
[322.944] u_anna: はじまるまで時間かかるパターン、なつかしいｗｗ
[323.376] (S)イエール: umeYay
[324.591] axchuuu: メンバー もこう、かるび、けんき、よしなま、ウメさん、ハイタニ先生
[330.097] v_harumi_v: でけたー
[331.486] potesaraudon: ｗ
[331.731] ましゅダヨ: きた！きた！w
[335.649] kamiya1979: たのしみ！
[336.509] sai927: ｗ
[336.555] spring__thief: もこうもいるのかｗ
[337.274] (S)イエール: アイイイイイ
[337.524] feel2525: わちゃわちゃしてきた！
[338.462] melvin_1023: うおおおおー
[339.025] zenosc9: 神サイトだぞボードゲームアリーナ
[339.729] jhkkhfdathvd: そろった！
[340.359] bikibiki999: フレンドだけでそんなにｗ
[340.487] v_harumi_v: 👏👏👏
[342.216] (S)johndoe6523rp: みんな忙しい中ありがとー
[342.976] nameless_774: 開始
[343.574] クラクラ777: うおおおおお
[345.844] (S)人の心をなくした風俗店員: ハイタニさーん！
[347.742] kaya0728: かるびはいつも楽しそうだｗ
[348.055] (S)イエール: 勝った！！
[352.200] (M)(S)gameinntwitch: エペしてるからよく把握できないけど、バランス大丈夫そうですかね
[353.257] リエオ: 楽しみ〜
[356.746] kamiya1979: このメンツなら何でも面白いでしょ！
[358.186] necomuraneco: Cheer100
[360.649] Norsest: もこうおるw
[362.707] axchuuu: 音大丈夫だと思います
[362.857] クラクラ777: ん
[367.962] potesaraudon: 受け入れてもろて
[368.686] v_harumi_v: @gameinntwitch 大丈夫だと思いますー
[369.248] nex_niroku: 俺をｗｗｗ
[369.923] ニャンプイ: 俺を受け入れる
[370.639] deahale151: 俺を受け入れろｗ
[374.013] (S)johndoe6523rp: エペ中のメンおじ
[375.387] ShimoyamaP: アイコンキモイなｗ
[375.528] umesecond: ウメハラを受け入れる
[376.629] シミズム: 声だけ聞こえるVtuberって変な感じだなw
[376.729] (S)イエール: 今のところ大丈夫そうだけど
[378.548] mikaze0001: 梅原大吾を受け入れろ！
[379.887] nameless_774: おおお
[379.932] リエオ: 俺を受け入れてw
[385.212] (S)ましゅダヨ: メンおじお疲れ様です！今の所平気だと思いです！
[396.131] いがぐりころころ: このメンバーがまた集まるの熱い
[398.808] axchuuu: てんやわんやしてて草
[399.235] リエオ: わっちゃわちゃ
[401.590] (S)イエール: わちゃわちゃ
[413.486] kawasak1n: ほうほう
[446.303] Siohai: 重ねorチャレンジ
[446.812] nameless_774: 枚数が中央上に出てる
[448.344] nail06k: とりあえず
[458.985] deahale151: ポーカーみたいな
[467.972] umetyaahan: ようはダウトよ
[469.142] tantantatantan: ウメちゃん実験失敗したの？
[473.410] (S)johndoe6523rp: なるほど
[479.149] roi3s: せやせや
[479.370] chin_56_: せやせやせやせや
[481.200] u_anna: みんながルール理解するまでの流れも楽しいｗ
[481.301] (S)CampFire71: せやせやせや
[487.722] (S)イエール: 一世風靡セピアいる？
[488.288] blackcoffee0821: もこうは知ってるんだ
[494.261] sistersguitarreplica: おもいだした
[494.371] (M)Moobot: ＊最大120時間＊ HyperX Cloud III ワイヤレス → https://hyperx.gg/45bt2SJ 1回の充電で映画見放題だな
[501.526] axchuuu: ｿｲﾔｯｿｲﾔｯ
[509.037] u_anna: ソイヤソイヤソイヤソイヤ
[511.343] (S)mart_00_: カードこれ多くなると勝ちなの？
[511.797] takoyaki_of: 読みのウメハラ
[515.158] ミカロニ: かるびが不安だよ
[519.554] gomigokiburichan: もこうは他番組でやってたな
[520.799] umetyaahan: 順番にめくっていくっていくんじゃなかったっけ?
[521.637] balthazar000: ？？？
[527.517] nameless_774: 増やせる
[531.594] (S)johndoe6523rp: 取った枚数がポイントですか？
[532.042] axchuuu: ワイもう理解してない
[533.670] buildingoodman: ？
[534.139] Siohai: オークションだよ
[536.440] (S)berurusuko: ものすごく不安だ
[536.593] ShimoyamaP: あー
[539.520] (S)log_zzz: ほんまにおもろいんかなこのゲーム
[541.588] クラクラ777: なるほどね
[542.138] sai927: いくかどうか
[542.234] aki_1122335: セリが始まる
[545.138] nameless_774: ７まで
[545.362] (S)CampFire71: チップだな
[545.469] yanesita: 1人が数字を宣言したらもう置けません そこからはオークション
[550.526] zenosc9: 大丈夫。実際に始まったらすぐわかるよ。ルールはシンプルだから
[551.369] (S)ババシャツ: レイズしていくのか
[551.372] 名無しの権兵衛です: めっちゃ面白いよ
[552.658] derwace_lifolve: たしかにセリだね
[553.570] (S)イエール: かるび、分かってない説あるw
[557.602] one596: めっちゃおもろいで
[557.699] (S)ましゅダヨ: 色んな要素入ってるよねー
[558.535] (S)johndoe6523rp: なるほど
[570.480] mutuizumi: もうわからんｗ
[573.825] (S)_かっきー_: スカルきたああああ
[575.666] リエオ: わっかんないかも
[581.428] (S)日本語かな: 「むずいね」「シンプルですね」
[587.727] (S)ましゅダヨ: 自爆だ
[604.205] axchuuu: かるびがんばれー
[605.965] toro0524: もこうがうなずいてるの草ｗ
[606.268] (S)イエール: どくろでボッカーーン
[607.459] sai927: ブラフ
[609.660] (S)johndoe6523rp: ほーおもしろいなー
[612.994] (S)ましゅダヨ: すてるのか
[613.635] クラクラ777: もこう？
[614.164] nameless_774: 手札が４ぬ
[617.482] ymi420: 没収される
[618.134] (S)ましゅダヨ: あーーーーーはいはい
[620.071] umetyaahan: 捨てるカードはランダムだよ
[620.963] (S)ringo_35: 四枚？
[625.098] naganaiz: けんき頭いいな
[627.841] bikibiki999: (・・?
[638.338] Sishamock: 好きなカードじゃなくてランダムだから1枚目でドクロ消えることもままある(相手にはバレない)
[639.646] zenosc9: いや、自分が髑髏を出しててドボンだったら捨てるカードは選べるよ。他の人の髑髏弾いたらランダムで捨てる
[642.793] はろるど236: 捨てるカードランダムだねえ
[644.818] (S)berurusuko: 絶対わかってないw
[645.326] きょー_1213: 自分のドクロをめくった時は選べるからあってる
[646.965] chin_56_: さっぱりわからん！
[647.781] roytaly: あってる
[655.935] (S)johndoe6523rp: ふぅん
[661.277] ebiebi12: これむずくない？
[664.938] bolabola102: 説明わかりやすいな
[666.597] sistersguitarreplica: なるほどわかった
[675.841] shoshoshow: ゲーム始まればわかるとおもう
[676.702] フﾄ: 理解！
[677.424] BizzRok: お花屋さんになったらオワコンだ
[677.828] ShimoyamaP: つまんねーｗ
[678.192] pakupaku366: 実際やってるの見るとすぐ理解できる
[678.203] (S)ringo_35: 実際やらないと理解できなそう
[679.207] (S)ましゅダヨ: www
[681.632] noonks: やったらめっちゃシンプルだからすぐわかるよ
[682.029] (S)ヤーマニ: かなり簡単、やればわかる。
[684.790] zenosc9: どくろを捨てると駆け引きできなくなる
[685.318] 1192m: やった方が早いやろ
[685.683] (S)イエール: どくろを引いちゃダメなゲームだと言うことである
[685.999] ようま: よしなま理解できてるんかな？ｗ
[687.469] 豆腐ゼット: やったらわかるよね
[689.475] toro0524: 難しいｗ
[692.021] (S)しゃくれ: スカル、トラボ、うっトラウマが
[692.609] iguchiill: 1ゲームみて流れわかるかもよ
[695.660] axchuuu: つまりウメさんの説明が…
[699.386] zenosc9: 実際にやった方が早いね
[700.142] norumon: もこういる？
[712.138] (S)johndoe6523rp: もこうさんいますよ
[714.332] blackcoffee0821: ハイタニだいじょぶ？
[716.248] buildingoodman: 上下？
[716.363] takmatumo: もこうねてます
[716.941] jagajaga1943: 1回やってみればわかるんじゃ
[723.578] (S)イエール: 何ラウンドかやってみたら掴めそう
[724.372] axchuuu: もこうは一回やったから理解してるはず…
[725.172] roytaly: テストプレイはもうクッソなげーから本番になるよｗ
[727.204] (S)brunoman1: もこうそこにいるか？
[728.055] gomigokiburichan: ホンホン言うてるよ
[733.806] 果汁グミ: むずいな
[734.190] yur4ki: やればわかる
[734.330] zenosc9: けんきさんが既に重ねたから、1枚目が下、2枚目が上
[737.415] moppu_gake: もこう経験者だから
[738.465] nail06k: やるしか
[743.382] one596: やるか
[746.484] nameless_774: 一回やればわかる
[753.717] japanet_hakata: やりながらいこう
[758.485] (S)CampFire71: やってみたら分かる系
[760.815] blackcoffee0821: ウメちゃんガン有利？w
[767.038] chin_56_: ｺｲﾂｩ( ´∀｀)σ)дﾟ)
[767.042] axchuuu: よしなまとかるびの理解が怪しい気するwww
[769.171] tarachan65: よしきちゃんと分かってるか
[770.831] umetyaahan: とりあえず投げないとシミー通らないから
[772.322] helmetcage: あーー
[774.145] helmetcage: なるほど
[776.210] kware_dkon19: ウメちゃんが何か説明してる時すき
[776.996] marachite: 説明ながすぎ
[777.357] nameless_774: それを利用する手もあるぞ
[779.654] sansiki205: 校長か？
[782.176] ~MISSING_COMMENTER_INFO~: トークゲームですゾ
[785.516] (S)berurusuko: パスが急に出てきた
[788.486] diego_ohunabara: umeYay
[789.113] mytake1766: umeNirami
[791.939] 4444446666: わからんとおもうから早くやろう
