[359.408] ahiruchanng: 王いたぁ
[360.016] syoheihei: うめちゃん眠そう
[360.028] CARNO_JPN: 素敵なゲスト？
[360.365] aru_0928: ガチくん敗退！？
[361.422] 5don: 素敵（三指師匠）
[364.262] 残り8万: ガチくん終わりです
[364.485] sahaha213: あのアイドル来る？
[366.078] (S)ましゅダヨ: いてよかったー！w
[367.191] danny_love_danny: 音！！
[367.699] 子ぐま: 眠そうw
[367.913] sn0wf0x3: 声きちゃー
[373.499] (S)kakutora_no_o: 素敵…？
[375.125] (S)ましゅダヨ: どうもw
[375.984] (S)セルベリア: ウメかん髪爆発してないね
[376.369] sugata128: 1時間遅い開会宣言
[377.609] twitchyarutch: ガチくんひまになったようでw
[377.610] (S)brutal9998: 即敗退のツネも呼んでくれ
[379.855] prisira: えぐいな
[380.956] 5don: 1400人 すご
[388.080] moppu_gake: 多いな
[388.869] (S)johndoe6523rp: すごｗwｗwｗwｗw
[390.778] カブトシロ: 復活!配信!
[392.709] だいこん_: さすがにね
[397.143] (S)ましゅダヨ: あーるさんガッツリ私服なんかww
[398.868] sn0wf0x3: スムーズ？
[400.491] whitefang_zangief: 負けたー
[401.416] matsu_zalem: あらま
[401.600] 5don: ままま。そこは難しいですね
[406.902] かげでん: めずらしく最初からビーストがいる
[407.023] number321: ガチ君・・・ゆっくりな
[409.655] だいこん_: スポーツの日
[409.876] 5don: カタギw
[411.152] (S)maya_g01: カタギ
[411.215] (S)johndoe6523rp: そっすね。
[412.373] (S)ponponguripon: かたぎっ
[413.677] 子ぐま: かたぎて
[414.374] (S)kakutora_no_o: しゃあないね
[415.095] yuhi_N: がちくんの配信見に行ったら終わってしまってた……
[416.293] roi3s: 日を跨ぐに賭ける
[420.345] 5don: (e) スポーツの日！
[420.629] friendbakery: あーるさんの服がヌキさんやな
[420.938] twitchyarutch: 選手優先でいいと思う
[420.992] (S)ましゅダヨ: カタギ
[421.710] (S)イエール: ウメちゃんこんちゃっす
[423.236] mochy0: FBtouchdown
[428.398] fikat_0702: だいぶ眠そうｗ
[430.164] sn0wf0x3: www
[430.509] momiji4431: そっちのほうがいいね
[435.359] たくあんどす: unkochanYaa
[436.487] moricocoa: 前回はちょっとね
[439.655] (S)ましゅダヨ: わかりましたってなんだww
[443.345] (S)るーどるふ: わかりましたｗ
[445.500] 5don: わかって良かった
[448.332] かくえいだよ: unkochanYaa
[475.854] (S)ましゅダヨ: 梅ちゃんがわかるのは大切だもんね()
[480.747] どこどこ60: やあ
[483.905] matsu_zalem: ナイス理解
[486.565] mothmothra: 良いシステム
[489.263] naginagi99: ｗｗｗｗｗｗｗｗｗ
[489.293] (S)maya_g01: ガチくん；；
[490.605] momiji4431: ｗｗｗ
[490.767] (S)ponponguripon: ；；
[491.024] 子ぐま: w
[491.267] 戸愚呂妹: きたあああああああ！
[492.110] moricocoa: 1700マリーザに負けました
[492.299] 5don: topang1Gachi1
[493.718] tabibitox: つねさぁ
[493.874] 蟹右手: わやしたんか
[494.177] (S)イエール: ガチニキww
[494.663] syugi3: まじか
[495.049] (S)ましゅダヨ: ガチー！
[495.195] ぎしぎし君: BibleThump
[495.639] meeememe: モダンマリーザに破壊された
[495.670] (S)kakutora_no_o: つねひろ、どうして…
[496.372] mako6912: BibleThump
[496.782] gomeeen: わやした
[497.361] prisira: もりーざだっけ？
[498.266] v_harumi_v: ガチくんさん＞＜
[498.327] sn0wf0x3: まじでw
[498.438] (S)tasuminn: ほんとに？
[498.866] yasubewe: マリちゃんにひかれたｗ
[499.957] gyu_nyuu_pann: ガチニキ…
[500.165] ルル_04: amakipIeen
[500.786] ahiruchanng: ガチニキ…
[501.155] だいこん_: ガチくん出てるんかいｗ
[501.709] (S)yuukida39: マリーザにね・・
[502.994] (S)ponponguripon: 相手を讃えよ
[503.052] sei_6: ガチにぃ
[503.779] (S)johndoe6523rp: 大わやり
[513.762] 残り8万: 出てる→出てた
[516.747] prisira: 逆に考えるんだガチ君にも勝てると
[519.411] 5don: 歴戦の猛者でもちゃんと散ってくのよ
[521.628] friendbakery: ガチニキは寝た
[521.796] matsu_zalem: シティーハンター見に行くのか
[523.363] (S)ましゅダヨ: 見てもいない場所で(((((´°ω°｀*))))))
[531.005] ネコハチロ: こんちゃ
[531.379] twitchyarutch: ここでガチくんみたかったよー
[532.939] (S)ましゅダヨ: はーいwwwww
[534.791] (S)brutal9998: ツネは呼ぼうやw
[534.944] (S)イエール: ゆるいでーす
[535.316] koutwitchtv: どの配信で誰を見れるかがわからんなぁ
[536.444] SENA_dog: amakipIen
[538.069] (S)johndoe6523rp: SeemsGood
[540.791] prisira: いつもの
[543.634] (S)kakutora_no_o: よきよき
[544.023] gang_gaming_gang: ッケイ
[544.337] fbhjkl: SeemsGood
[544.961] (S)maya_g01: ゆるゆる～
[545.731] 子ぐま: はいー
[546.151] fikat_0702: いいと思います！
[546.366] (S)オジー0616: amakipIeen
[547.741] pengetop: 開始時間で緩いのは察してるｗ
[548.701] (S)RFKage: umeCossack
[552.944] 5don: ちょっと音ズレた…？
[553.856] moricocoa: 試合見てないって言われるからね
[555.293] kanatazx: 本配信始まる前にガチくんがw
[557.260] gyu_nyuu_pann: いいねぇ
[566.566] gomeeen: 右の人遅刻か？
[567.007] 黒光り肉の: しみるぅー
[578.796] pengetop: ストシックスっていいなさい
[578.935] (M)Moobot: ＊＊新ヘッドセット＊＊ HyperX Cloud III が ワイヤレスで登場！ → https://hyperx.gg/45bt2SJ
[581.274] (S)ましゅダヨ: まったり大会助かるー
[585.676] tofu_noise: 音というかたまにデジャヴみたいになる
[592.067] 戸愚呂妹: mix
[593.083] だいこん_: トナメル初めて使ったけど分かりやすかった
[596.979] twitchyarutch: トナメルを使ういい機会になるね
[611.635] 5don: トナメルありがとー！
[612.074] (S)ponponguripon: はあい
[612.787] 子ぐま: うめちゃんかわい
[613.440] 321o_pi10: はーい
[613.658] horumon75: はーい
[614.976] (S)ましゅダヨ: はーーい！w
[617.100] gyu_nyuu_pann: はぁい
[620.846] ~MISSING_COMMENTER_INFO~: RyuChamp
[625.240] (S)johndoe6523rp: なるほど
[625.805] 黒光り肉の: そんな奴いる？ そんな奴いるのかネットだもんな
[626.640] ~MISSING_COMMENTER_INFO~: NewRecord
[626.835] (S)kakutora_no_o: 野田さんいるとマジで安定感あるなぁw
[634.767] naginagi99: やっちゃったらそのままいきましょう
[635.912] keigunnoikkaku: 豪華なセットだな
[636.786] (S)日本語かな: 負けです
[637.436] prisira: ごねは駄目
[638.370] 5don: ニッコニコ
[638.457] v_harumi_v: 良いお返事ｗ
[640.007] (S)maya_g01: おねがいしま～す
[640.438] 子ぐま: まぁーす！
[641.212] fikat_0702: ゆるいねーｗ
[641.652] だいこん_: 合いの手ハラ
[645.295] matsu_zalem: セイセイセイ
[645.585] horumon75: おねがいしまーす
[645.629] カノン_0306: まーす⤴
[646.246] gyu_nyuu_pann: ゴネはなし！
[646.564] (S)ましゅダヨ: 謎のテンションwww
[648.304] (S)イエール: ウメちゃんw
[653.178] moppu_gake: こくは来るの？
[653.344] ルル_04: ご機嫌 
[653.801] (S)ponponguripon: うめさん寒く無いの
[658.494] jamxqc: DinoDance
[659.543] matsu_zalem: ぷっさんか
[660.233] (S)るーどるふ: ゆるいけどイイネ
[660.902] tyiiophf: まだ元気なウメちゃん
[662.200] MackenGC: 音ズレしてるのおまかん？
[663.494] danny_love_danny: たまに音おかしいね
[666.749] (S)日本語かな: ふむふむ
[667.071] prisira: しゃーないよね
[670.352] だいこん_: 音ときどき飛びますね
[671.361] twitchyarutch: めっちゃいるだろうね
[676.279] pengetop: ふ～どいないの？
[678.678] (S)kakutora_no_o: なるほどなるほど
[682.106] prisira: ランクマやるなは可哀そうだしな
[682.957] diediedying: こくは粉い。えいたと立川
[685.523] Syu03: あー、それはしゃーないな。
[686.676] fikat_0702: たまに飛びますね
[687.580] ebiebi12: おとずれしてる？
[688.289] ymi420: 今日のウメちゃんはマシマシでかっこいいな
[688.937] moricocoa: ふ～どはリーグ近いから不参加
[689.106] (S)kakutora_no_o: ふーくんはSFLあるからね
