[169.477] (M)Nightbot: RIDDLE含むチームごとの視点やマップ配信を見たい方はこちらから < http://fce.gg/ALGS-S1 >
[169.576] おサムライマック: すぐ作れる
[175.671] (S)mista1l26: 昨日の最終スクリムはいい感じやったらしい
[177.340] meldown_riddler: すぐ作れるで
[179.778] hotoke4130: むかいドアップ配信求む
[181.956] わっくです: 登録は簡単
[186.841] mendy11111: faceit すぐつくれた
[190.041] shiba555gj: tsmのpcがぶっ壊れてるぐらいしか知らないや
[197.967] royal_frsh: 日本語にできないよな？あのサイト
[200.596] kimjonnunn: 髪の毛がサラーみてえだな
[201.507] omatsu1234: 武器運とゴミPCでファイトにすらなってなかった
[204.703] temari410: テレビに接続出来ないのかな？
[205.965] offtherecordnight: きた
[209.695] yossy4489: faceitなんかgmail使えなかった
[211.021] gurararaaa: BloodTrail
[214.657] pika0427: ウォッチパ感謝です
[214.797] krhkm: ユニフォーム着ないの？
[216.125] yomog1mochi043: tsmのPC申し訳ないけど、酷かったな
[217.175] uisce_beatha: さや姉も始まった
[219.933] tomo8369: ボド寝てくれ
[223.196] flugel_score2: にょっす
[226.953] バター0122: 頑張ってほしいですねぇ～
[227.258] shoma2521: gmailいけたよ
[230.191] アレン1414: gmailだが使えたぞ
[231.597] シコのプーさん: やあ
[234.550] big_disa_ster: そんなんTSMが優勝するフラグにしか思えない
[235.045] (S)おもてくん: おもてくん subscribed at Tier 1. They've subscribed for 11 months, currently on a 2 month streak! 
[237.941] aoe4ohashi: く、くる！
[238.663] ritsuka14: どうせ試合開始3時前くらいやろ？
[242.286] imokorori: 登録すんのだる
[244.379] ビーグル: RDLWIN 
[244.609] tomoya0519672771818: これにょきすの個人配信みたいないつものやつどこで見るの？
[244.620] rix7979: 誰か1人大会中暴れて全員のPCぶっ壊さんかな
[247.522] (S)おもてくん: vodkav2Vdk
[247.760] k_denden: リドルうぃん！！！
[250.544] yossy4489: なんかエラー出たんだよなおま環か
[251.268] (S)なちょがすきー: がおっす！
[252.952] kaanaa1231: kaanaa1231 subscribed with Prime. They've subscribed for 20 months! 
[253.026] fujigoat: 15ふん
[257.447] (S)ほっそーー: こん
[258.052] emma_cha_n: 2:15
[258.170] igoptc: もう眠いわ
[259.149] pongashi893: 3時やなぁ
[260.403] furapote_: どうせ30分とかじゃねえの？
[260.610] meldown_riddler: 今回は結構すんなり始まりそう
[262.715] omatsu1234: しゅーぺーが15分って言ってた
[264.833] (S)oshibori_335: oshibori_335 subscribed with Prime. 
[264.931] mynum83256: どうせリマッチで3時スタート
[264.986] wea55555555: しゅーぺーが15って言ってた
[270.638] けーーしぃ: ボドのウォチパ全裸待機してたヨ
[271.738] hotoke4130: 髪の毛ボサボサすぎるやろ
[271.971] ritsuka14: 前回大会40分くらい遅れたわ
[272.197] ~MISSING_COMMENTER_INFO~: 今回はハイスペやから
[273.444] tsukushi2943: 今日が本番？
[278.522] atu_864_atu: 3時15分
[280.319] momonrasme: どうせすぐ始まらんやろ
[280.974] fujigoat: リマッチで5時
[281.035] order_xx: yuz48Oisu
[282.286] pikunikku6: 今回機材も気合入ってるし進行スムーズにしてくれ！
[282.446] michels15: VDKこんばんは
[282.942] killer_mak_queen: @tomoya0519672771818 https://www.faceit.com/en/watch/live/apex/algs-2024-split-1-playoffs/stream-a
[283.309] masukaru_222: 2時15分てしゅーぺーがいってました
[285.066] コサンジです: リドルがんばれ！
[287.257] yomog1mochi043: マジでFURに勝ち越してくれ
[288.026] ssssssssszx: できたか？！
[290.570] ohtintin: へしこと見よう
[291.954] hitori2525: 今日で優勝決まる感じ？
[292.213] ritsuka14: どうせ3時前だよ
[293.699] ~MISSING_COMMENTER_INFO~: 今回のPCは気合入ってるから大丈夫やろ
[294.450] すずﾉｼ: 今回コマセンより優秀なやつがあるらしい
[295.443] iranaiko: コナンのおかあｓ
[295.812] tomoya0519672771818: @killer_mak_queen ありがとうー
[296.464] taishi5500: play APEXでオープニング始まってるよ！
[302.492] (S)しんすん: しんすん subscribed at Tier 1. They've subscribed for 9 months, currently on a 9 month streak! 頑張れRiddle!!!
[305.208] (S)mista1l26: 本配信馬鹿かっけえぞ
[312.715] yomog1mochi043: これから4日かけて世界王者決める
[313.417] 葦阿: 葦阿 subscribed at Tier 1. They've subscribed for 12 months, currently on a 12 month streak! 未来から来たけど優勝はktda6+×>]|¥7と」だったよ
[315.120] naranyorai: 全力応援頼む
[316.112] evasusu123: EAの2時は3時開始で合ってる？
[317.142] Horie_Yasai: にょっす🐮✋
[318.789] (S)おもてくん: おもてくん gifted a Tier 1 sub to raspberryjam88! 
[319.339] (S)おもてくん: おもてくん is gifting 1 Tier 1 Subs to ボドカさん's community! They've gifted a total of 4 in the channel! 
[321.717] atu_864_atu: 5時間寝たからいける
[325.060] rix7979: にょにょにょ
[334.790] ニシタニ: 本配信どうせ日本勢映さない
[335.860] fujigoat: FACEIT 使いやすい
[337.148] PrePreaim: ボドやってたのか
[348.680] sdf4f77: PopNemo
[349.298] Miiyo7: とりあえず本配信写して〜
[354.219] xystabc: ぼど兄まってたぞ！！！！！！！！
[354.516] ~MISSING_COMMENTER_INFO~: なんかオープニングしてんぞ
[358.297] rari_ps: ボドカ、ちゅき♡
[360.960] ~MISSING_COMMENTER_INFO~: さや姉と一緒に観ないのー？
[361.634] danbaid: faceit画質もいいし使いやすいな
[365.267] killer_mak_queen: 黄色ユニいいな
[371.925] ssssssssszx: きたー！！！
[373.673] (S)marrona91: よっすー
[380.438] r1ntaso: ボドおきてんじゃーん
[381.564] lily3nari: きたああああああああああ
[382.643] otera_8989: ウォチパありがとーーーー
[383.113] キセルちゃん: がんばれえええ
[384.624] (S)激ローメタモン: 激ローメタモン subscribed at Tier 1. They've subscribed for 10 months, currently on a 9 month streak! リドルファイト！
[387.815] rix7979: ＮＣ
[389.567] ~MISSING_COMMENTER_INFO~: あざまぁぁぁぁぁす
[390.681] imokorori: 音が
[391.835] (S)yura5713: リドル頑張って
[392.177] グラル87: きたあああ
[393.952] ornalds: おいリドルのアンバサダーかわいすぎだろ
[394.786] ~MISSING_COMMENTER_INFO~: 音がない
[396.360] けーーしぃ: いくどおおおお
[397.426] shuuuuma_: ぶっちゃけかなり眠い
[402.940] かねちょー: 音がねえや
[403.727] ssssssssszx: 音ないか？
[405.455] ~MISSING_COMMENTER_INFO~: wiggが操作してくれたら神視点
[405.884] link100436: おとくれ！
[406.115] ~MISSING_COMMENTER_INFO~: きた
[408.061] かねちょー: おお
[408.475] (S)蔓喰: 蔓喰 subscribed with Prime. 
[411.581] kasagonia1227: おときた
[412.207] ストゼロドライ: let's go！！！！！
[412.311] xystabc: いぐぞお！！！！！
[414.110] ssssssssszx: きたー！
[414.559] imokorori: ラップかとおもた
[417.002] kabakabao3: ボドカさん！そのかっこいいTシャツなんですか？
[418.232] (S)ほのか06: アンバサダーだけで優勝
[419.283] 葦阿: 愛してるボド
[422.958] はくびっと: riddlewin
[424.743] k_denden: かってくれーーー！！！！
[426.274] royal_frsh: let's f○ckin
[426.446] yuimaru2001: 目覚める方法ありますか
[426.693] fUhime_007: ぼどはどこ応援してますか？
[428.052] (S)はねかわ777: はねかわ777 subscribed with Prime. They've subscribed for 4 months, currently on a 2 month streak! ridwin
[428.671] もちごめ2: #RIDWIN
[429.909] royal_frsh: goooooo
[431.348] ~MISSING_COMMENTER_INFO~: @kabakabao3 売ってたよ
[433.034] kasagonia1227: マジ頼むぞ
[433.764] グラル87: 公式配信さんちゃんと日韓も映してね 
[434.059] r1ntaso: 頼むよリドル
[434.075] shigetsushigetsu: make some noise-----
[436.419] aqk87770: riddle勝ってくれー
[438.995] 世ミミ: リドル以外に応援してるチームある？
[439.460] ~MISSING_COMMENTER_INFO~: 決勝だけやろ
[440.123] s4ku72: 初動win初動win初動win
[440.737] (S)砂糖二郎: 砂糖二郎 subscribed with Prime. 
[441.422] izu2192: おい彩可愛すぎやろリドル頑張ってくれ
[441.663] pikunikku6: ちょっと見えてる
[442.890] stance86tm: RIDWIN
[444.512] temari410: くそかっこいいやん
[445.045] smoky___4: 入場は決勝だけかな
[447.247] 雨の宿: RDLWIN
[447.445] kasagonia1227: きたきた
[447.463] royal_frsh: 予選だからもうすわってるにょ
[448.253] (S)minatsuki_419: 決勝だけ？
[450.336] temari410: 入場は決勝
[452.816] ankooisii_1: 決勝だけか
[456.020] minaminami3735: いつもの兄ちゃんや
[456.044] ssssssssszx: 決勝だけか 
[457.158] rix7979: HIKAKINさん出てるん
[459.109] wright_1111: 入場シーンはファイナルだけやな
[461.094] xystabc: エイリヤンのパソコン懐かしく感じる
[467.477] pikunikku6: こませんよりくそ見やすそう
[467.676] ssssssssszx: なんかくそ見やすいやん
[468.522] menico38: 有能
[469.102] けーーしぃ: さや姉はやくリドルの誰かとくっけてくれ
[469.961] lily3nari: いいね
[470.632] あすず: 個人視点も見れるぽい
[471.631] kasagonia1227: 意外と見やすくね？
[472.086] duffysuki: omgvodka
[472.969] 20971522: ボドカさん優しい 見ることによってヘイトタンクしてる
[473.729] トウモロコシの赤いところ: すごい
[473.937] Asphalm: vodkav2Angryvdk
[474.264] ~MISSING_COMMENTER_INFO~: 4窓だけなんだっけ？
[474.971] imokorori: 評判悪かったがはたして
[475.802] nikumiso2929: LAで撃たれたやついるらしいな夜クソ危ない
[476.223] s4ku72: コマセンより圧倒的に有能やんけ
[478.725] rix7979: 凄w
[482.436] かねちょー: いいじゃん
[484.116] (S)なちょがすきー: そのサイト日本語訳したらプレミアムハメ撮りって出て爆笑した
[485.071] 葦阿: Cheer100彩ねぇと連絡先は交換したのか？
[486.076] nyuta0813: あとはVC入るかやね
[486.143] ssssssssszx: すごw
[487.789] dakki_334: 本当に映るのか
[490.760] stance86tm: 見やすいやんすげ
[491.337] k_denden: 音出るかチェック
[491.553] yossy4489: あとはvcちゃんと聞けるといいな
[492.810] gawa1010: え？コマセンから進化してるんですか？
[492.886] katy731: yukafが前日セットアップしてたlamzu mayaが盗まれたらしいぞ
[496.824] smoky___4: 音のラグとかなければ完璧だ
[499.139] xdeadly_2nd: こんばんは🌛
[499.313] (S)regulus_281: 結構ちゃんと作ってるな
[499.607] temari410: これで音ズレとかVCが入るかどうか
[500.883] グラル87: 今回は寝ないでね 
[501.754] ~MISSING_COMMENTER_INFO~: デモ起きてるらしいしな
[506.938] ティーセブン: 一本道間違えるだけでやばい
[508.789] fuemaru16: さや姉アンバサダーありがとうございます
[510.159] zakko_otsu: さや姉がかわいすぎて集中できん
[518.242] Asphalm: どうせあと1時間くらい始まらんのやろ〜
[518.379] mm11593: まじで日本生まれでよかた
[519.115] ssssssssszx: wwwwwwwww
[519.171] めるてぃ_: 今のLA治安結構やばいらしい
[520.963] pikunikku6: セットしてたら無くなってたらしい
[524.151] meruwo: 治安悪いな
[524.897] grai_2525: 治安...
[525.368] 爽来: やばww
[525.584] katy731: Twitterでツイートしてる
[525.951] zakozacko: LAで民度0
[526.319] gurararaaa: へしこもしてる
[526.471] otera_8989: パチられたマジか
[527.025] グラル87: 窃盗事件
[527.087] (S)はねかわ777: 普通に窃盗
[528.041] yoness_999: はぁ？
[528.352] s4ku72: YukaFゲーム外で攻撃受けてて草
[528.977] ankooisii_1: やばいだろ
[529.461] (S)mista1l26: valoでもあったよなそんなこと
[531.368] かねちょー: セットしてて無くなってるのえぐい
[531.933] gussan5532: 正丸！
[532.218] r1ntaso: さすがにLA
[533.125] bokuc_10chan: ウェブverの言語どこでいじれる？
[533.276] あすず: 普通に窃盗
[533.396] big_disa_ster: リアルGTA
[533.696] Quwrof_22: 試合は前日から始まってるんよね
[535.604] no_miya_: satukiのコントローラーもらしい
[538.442] KeNG_tv: 一平のバッグ調べたほうがいい
[538.593] magokoro0920: おい！全力で応援するぞ！声出してけボドカ
[539.734] juicyyyy15: さや姉いくわ
[539.742] ティーセブン: 南カリフォルニア大学の周辺は治安悪い
[541.596] オカっち: やはり日本は平和だ
[542.636] ~MISSING_COMMENTER_INFO~: NTCに盗られたんやろ
[543.291] PrePreaim: まじでえぐいだろw
[547.358] rix7979: 誰かブチ切れて現実でエペしだしそう
[551.094] imokorori: あれ今回は向こういってないんだ
[551.907] kimjonnunn: 前日ファイトもあると
[554.559] katy731: さやねえのミラーして
[555.100] ~MISSING_COMMENTER_INFO~: どうせNTCだろ
[560.839] yaman0603: ユニフォームきないの？
[562.830] zakko_otsu: さや姉いいぞ
[567.020] (S)はねかわ777: LAはお金もいっぱいなくなるからな
[569.072] ~MISSING_COMMENTER_INFO~: さや姉いくわ
[575.699] Rou49671: UCLAでデモ起きてるってニュースで見たな
[576.440] pika0427: 懐かしい
[578.548] imokorori: なんかボドの声聞こえづらい？
[578.771] shimagjm: どうせ中国招待チームや
[579.367] sawayaka_odisan: 10万円までの窃盗を重罪としないカリフォルニア
[579.872] peko_miko_aqua: おいす～ちゃんと起きれてんじゃん
[580.405] しろみんみん: 初見です 
[580.731] なぽりぽり: まえもとられてなかったっけ？
[591.174] ~MISSING_COMMENTER_INFO~: そんなことない
[591.217] taien_JPN: scaf はCODっしょ
[592.040] Miiyo7: alienwea がスポンサーなのでpcスペック神だよ
[593.435] けーーしぃ: そんなことないけどな
[593.552] かねちょー: さつきもタイプCのコード無くなってるしFNC外部攻撃受けすぎ
[594.743] ssssssssszx: 聞こえるよ
[594.923] kusastu: れ、いかーず
[594.949] katy731: aim1の陽炎ってどうなの？教えてくれ
[602.707] imokorori: 俺だけならこのままでええ
[604.735] rix7979: 1億は草
[605.181] kzkyjm: DinoDance
[606.078] shiki3456: １億
[606.307] kasagonia1227: 配信が少しでかい
[609.627] juicyyyy15: ちょいさげくらい
[610.521] optionpurple8: がおっす 
[611.993] kaito0528: エペ盛り上げる為にも日本頑張ってくれ
[612.283] 沼ノ字: RIDWIN!!!!!!
[612.512] eison_da: 世界大会でもtwitch apex90,000人なんや…
[612.996] r1ntaso: あざす
[618.343] ~MISSING_COMMENTER_INFO~: 円安最高！
[619.331] ankooisii_1: 円安
[621.034] s4ku72: 初動we相手どこだっけ?
[622.137] chb0119: 1/60一平
[623.269] rix7979: 1億wwww
[632.943] じまおか: furia
[635.973] dangomusi: FUR
[637.580] yomog1mochi043: FURIA
[640.810] オレリオンソル: ALGS毎回消えていく大手チーム増えていってるしまたどこか撤退するチームあるのかな
[640.924] ~MISSING_COMMENTER_INFO~: ボドの年収の半分
[641.415] shimagjm: 一平やば
[641.763] shoma2521: 外貨を稼げ！！
[645.447] xystabc: 20位でも9000ドルすげーー
