[121.177] トイメン: ｗｗｗｗ
[122.206] your_file_host: 疲れたし休むか状態
[122.323] jackpot_jp: おはゆっちょ
[122.530] (S)Foy_21: wwww
[122.726] へんなてぃーしゃつ: アラームわい
[122.788] こうき51: 少し…ね…w
[123.888] いつほし: www
[124.056] totorn_: naru04Owa
[124.346] きたむら__: 当てていい？授業参観帰りに外で飯くって仮眠したらこの時間、じゃない？
[124.361] toast_xxx: 少しだけ寝られたことある？
[125.711] (S)玉子王子です: 無理に決まってるじゃんw
[125.879] がすいんニキ: わろてるやんけ
[126.163] (S)みなぷ080821_: フリじゃん
[126.468] armpit468: www
[128.552] (S)ごや58: naru04Ohayu
[129.959] kanisaburo: 男前がいる！
[130.955] こうき51: アラームは？
[130.966] (S)ponyakko: あるある
[133.858] sorao25: ゆえに無職！！
[134.617] (S)unajyuu810: つかれが（たまってんなぁ）
[137.856] いつほし: 少し(1時間40分)
[137.885] your_file_host: お前が少しで起きたことある？
[138.103] tarutaruch1cken: 仕方ないよね
[141.629] silui: すげー幸せな生活だな！！
[142.633] freee2k: wwww
[143.268] SANA10023: www
[144.506] なおや107: たわけ
[144.534] (S)玉子王子です: wwwww
[145.128] red_bird_oo: ｗｗｗｗｗｗｗｗｗ
[145.311] mayuge_dimension: wwwww
[145.323] tamano12321: たくさん寝れてよかったね
[145.810] (S)くろめ62: ww
[146.247] (S)moppu_gake: 「あと、明日はタバコの案件が14時からあるから見てくれ！頼む！ホント頼む！」
[146.386] こうき51: wwww
[147.043] donpepper_0728: マゴさんと同じタイミングで配信開始ってお前ら兄弟かよ
[147.404] (S)けめこ___: www
[148.202] (S)真人くん: naru04Elbow
[148.700] (S)ちゃんはら: naru04Ohayu
[149.819] クリストファー3: 逆によう起きたな
[150.429] (S)shapurasu: www
[150.502] チキバン: たわけー
[150.641] shuzoz: www
[151.356] gettyozi: 無色だなあ
[152.274] さだ0: www
[154.031] へんなてぃーしゃつ: www
[155.070] pohihi1234: ヌキさん6時間 なるお1時間40分
[155.270] ちんとろ: 時間守れてたら無職やってないっつーの！
[156.170] (S)unajyuu810: 起きた時焦った？ｗ
[156.369] asahi350: さすがっす
[157.309] ギガゾンビ: 謝罪の案件かな？
[159.108] toast_xxx: そういうときめっちゃ焦るよね
[160.252] (S)れな0301: もう案件来ないかあ
[160.346] mugi_yu: 俺はいいよ。でも他がね…
[160.586] いつほし: 納得の無職
[161.677] camel0141: 俺らはいいよ？案件元はどーかな
[162.528] NoE_vivre: 無職だからこそ気をつけないと仕事こないなるで
[163.381] (S)きそば: すま寝Tシャツグッズ化するか？
[166.658] cielcloudy248: よく眠れるんですね買います
[167.109] (S)ありがたかし: あまりにも無職
[167.499] へんなてぃーしゃつ: 謝罪配信？？
[170.837] 388g: wwwww
[171.438] draryu1: アラームかけただけ
[172.124] (S)芋之山: 無職で良かったな
[173.212] 亞ゼファー亞: 授業参観おつかれさま！！
[173.278] まゆしぃ123: お前社会人舐めてんのか？
[174.715] hiroumi_sea: ちわーす 案件みにきました
[174.949] がすいんニキ: www
[176.304] (S)れな0301: ベッドの案件でもないんだよね？
[177.105] (S)shapurasu: wwww
[177.935] いつほし: 寝タバコしろってこと！？！？
[180.752] (S)moppu_gake: 企業さんごめーーん
[182.419] ギガゾンビ: ブレインスリープってそう言うこと！？
[182.677] toast_xxx: タバコ吸ってる場合か！
[182.729] ソラ1227: #GOGOnaruo
[183.088] 388g: ブレインスリーパー？
[183.600] ssksskss: 無職に案件回すリスク
[184.002] r0m_122: 後ろのベットに寝たあとみっけ
[184.033] (S)goldexpepe: 仕事舐めてる？
[184.944] pohihi1234: kokuji3Chu
[185.040] (S)きそば: 寝たばこは危ない案件か
[185.812] red_bird_oo: ｗｗｗ
[186.902] まにまにまにき: おいなるお、インドネシアは今13時43分だったぞ 今からインドネシアに住んでる設定にしないか？
[187.741] (S)ナカノ_: 枕の案件でしょ
