[949.159] sun_hidamari: それ気にしすぎじゃない？
[965.293] (S)youhei5: 根に持ってるな
[979.593] みみみ223: 気にしてたんか
[982.875] (S)シャケ猫: え
[999.762] inufu: ん？
[1042.148] ラロウ: セージはスローオーブと壁が最強すぎる
[1051.695] (S)シャケ猫: 知識を技術に落として
[1094.153] suu110: オーブ一つで分断できるのいいよね
[1121.450] inufu: ガクブルです
[1153.446] (S)シャケ猫: うわー
[1169.662] sun_hidamari: カップルに挟まれるヘンディー
[1225.704] さくぅ_: こんばんはー
[1316.617] ヒビニチ: なんでへんちゃんこんなにFPSうまいんやろな
[1358.578] Juicewisdom: axeumSip
[1364.614] ナミ木: ゆふぃの解説わかりやす～
[1387.756] (S)シャケ猫: 流れが見えるなぁ
[1490.937] kamaboko0000: 理解力が早い老戦士や
[1587.503] (S)シャケ猫: 出来ることが多い分ヘンディー期待されてるんやな
[1693.470] bamboo3q: 座学ありがてえ
[1697.452] inufu: なるほど
[1729.032] (S)zakiyoka: 裏の裏
[1753.474] kamaboko0000: 無駄スキルの引き出し合いや
[1937.611] bamboo3q: www
[1944.250] shigure_n08: 壁の前にもく要求すれば壁使わず終盤使えそう
[2010.386] awa_awa: karubisNikoniko
[2075.409] himeji_joe: とっくん！特訓！
[2164.610] (S)zakiyoka: メモメモ
[2184.562] sun_hidamari: そこ重要だろw
[2204.562] shigure_n08: 残り時間が限られて寄る時にたくとミッドラークがしずらい
[2301.566] shigure_n08: 設置した後はバーサクヒーラーよ
[2334.518] nelsongozie19: Okay
[2340.427] himeji_joe: トロールしたくないがゆえの指示待ち？
[2377.301] (S)シャケ猫: 指示が重なると尚のことね
[2382.541] ccremon317: あとはナイフ癖
[2416.644] bamboo3q: w
[2417.779] kosamestl: かるび式
[2419.972] dippzy____: 従う癖つくと絶対パフォーマンス下がるよな
[2421.254] (S)zakiyoka: アニメのそれ
[2421.582] ラロウ: それはあるかもなｗ
[2431.436] inufu: エゴ出してくかあ
[2452.483] kamaboko0000: 新壁建ててヘンディと名付けよう
[2454.678] (S)シャケ猫: 無い裏を読ませる壁
[2471.906] (S)ヘッドハンターたかしくん: ブリーチ強いもんな
[2496.361] kosamestl: でもブリーチできる人いたっけ
[2498.309] suu110: 攻めとかセットラッシュえぐそう
[2500.747] ラロウ: ラムチのおめーんはつえーんだ
[2519.130] (S)ヘッドハンターたかしくん: スタンとパラセットえぐいど
[2521.427] 555763: 絨毯マジでグロいからな
