[120.688] xxxneruxxx_: きたああああああああああああああああ
[120.716] (S)cho_suke1031: まーすけこないの？
[120.812] ~MISSING_COMMENTER_INFO~: こーすけｗ
[121.032] tanaka0535: 緊急！？
[121.247] 恋するウサギちゃんだよ: 富士山！？
[121.264] eenn_25: これは緊急
[121.476] hayakenta: こーすけはどこ？
[121.779] akiragamer2: 緊急で富士山に行くんですけども
[122.017] jmdwjmwtpj: あ
[122.227] naki0711: 緊急登山
[122.817] pyonpyon96: 富士山登頂配信
[123.337] itsumademo08: は？
[123.885] ジークムント: こーすけ４４
[123.955] bombermaaaaaaaan: え
[124.052] うるてい: こーすけww
[124.083] (S)行雲流水和光: 最近げんきだねぇ
[124.178] fenomenon2000: 流石に緊急だから来た
[125.533] kusai53: お昼時はかものはしの時間になってきたな
[125.760] omni11111: それカモの車？
[125.922] 野ぶしの民: unkochanKunkun
[125.967] hyde_twi: 緊急飲酒運転
[125.982] reo_821: ゆるせやーん
[125.990] ~MISSING_COMMENTER_INFO~: 緊急！？！？！？！？！？
[126.558] opanth_n: 【秘宝】こーすけ、ワンピース
[126.762] ずんだフィットネス: ねもうす
[126.947] yyyoooo22a2: これは緊急かもしれん
[127.383] macaron359: あwww
[127.591] itsumademo08: こーすけおわっとる
[127.694] dyechi: 事故らないよう気を付けてな！
[127.834] yoshizaurs: 緊急ならしゃーない
[128.464] (S)0_mare: 大悲報
[128.712] hamuta_fl: こーすけが売れない原因がわかりました
[129.022] pasukaru098765432: まじかよ
[129.160] (S)ラッコ先生: turuokKinkyu
[129.248] tokashiki943: えっど
[129.540] ノルディック親父: サバゲー乱入せんか
[129.701] metarann: ぜうよべよ
[130.245] san4233: 秘宝
[131.321] peacegundam: 日差し強いな
[131.403] syootd: おにやくんピックアップしていこう
[131.523] goshikicammy: こーすけは捨ておけ
[131.543] mb2sy: 童貞を56す服着てる？
[131.706] (S)x893: おにや関優太と居るぞ
[131.932] だらあ: 飲酒運転！？
[132.420] melonpan_orix: やあ
[132.640] yuyuyuta1234: w
[132.943] pyonpyon96: こーすけいなくてやったあああああああ
[133.604] hayakenta: こーすけさぁ...
[133.810] surumina: 緊急登山
[133.810] Naossy31: 緊急で富士山に行く漢
[133.864] ささのまんた: 秘宝
[134.991] うるてい: 大秘宝
[135.719] にっすん法師: やあ
[135.909] msg_absolutezero: 大秘宝
[136.023] らりるれろ123: はんじょうは？
[136.026] nyossu4545: はんじょうの顎伸ばしたら頂上まで届く？
[136.168] 名無しの権兵衛です: 大秘宝
[137.180] hayakenta: 大秘宝
[137.854] gomirin: おにやは？
[138.785] ponpokopooon0852: おにやがかもの車乗りたいって言ってたぞ！！！
[139.468] (S)trsrhrhy: おにや連れてけ
[139.485] baseball_oniichan: えー今緊急でカメラ回してるんですけどぉー
[139.965] ソイロアルモンテ: でーすけ
[140.194] macaron359: 悲報 こーすけ泥酔
[140.204] wasurenakusa_: こーすけっていつもタイミングゴミ
[140.406] Pottin0212: おにやサバゲー
[140.621] toramaru381: かもしゃん！
[140.839] 6_8668: おもろそうな配信するやん！
[141.501] bluemansblood: でぇ酔かよ
[141.560] diodiomjg: かもきたあああ
[141.593] ~MISSING_COMMENTER_INFO~: かものはしの配信楽しみにしてたぞ！
[141.738] pyonpyon96: こーすけいなくてやったああああああ
[142.186] (S)ofurodeoshikko: こーすけ最低だな
[142.670] itsumademo08: なんで泥酔してんだよ
[142.941] xxxneruxxx_: 【悲報】こーすけ泥酔
[143.643] lkjfcbhdruiutu: まんぜうです
[143.718] ~MISSING_COMMENTER_INFO~: ゆゆうたは？
[143.853] warra0620: しゃーない
[144.788] hyde_twi: 秘宝 こーすけ泥酔
[144.849] ノーマン_: きたああああああああああ
[145.389] highball5959: こんなに天気が良いのに
[145.715] aiueoeou: 【秘宝】こーすけ、ワンピース
[147.593] locorococo: いいね
[148.364] hamuta_fl: いいね
[149.183] kusanagi_sanagi: 【悲報】こーすけ泥酔
[150.207] lkjfcbhdruiutu: あ
[150.210] pyonpyon96: 平成と夏なんよ
[150.847] あき28号: 酒飲んでこそのこーすけ
[150.963] bluemansblood: こーすけでぇ酔
[151.729] ソイロアルモンテ: いいね
[151.731] itsumademo08: BloodTrail
[152.574] masa_725: BloodTrail
[152.633] water_melon200: BloodTrail
[152.754] msg_absolutezero: あ
[152.762] ドクオク: こーういうチャンスを不意にするのがこーすけらしい
[152.777] しんしん13: これはさすがに緊急
[152.882] ハルカ1125: 仕事しながら見るぞ〜
[152.986] mb2sy: BloodTrail
[152.996] shimoichi: BloodTrail
[153.170] melonpan_orix: アラサー！？
[153.620] (S)0_mare: 54
[153.830] syafutan: やめてね
[153.837] wasurenakusa_: BloodTrail
[154.049] naki0711: 松浦亜弥
[154.061] (S)cho_suke1031: 【秘宝】こーすけ、ワンピースすこ
[154.434] aiueoeou: BloodTrail
[154.643] jmdwjmwtpj: やめてね
[154.825] macaron359: 夏の暑さ
[155.036] highball5959: BloodTrail
[155.539] ponpokopooon0852: こーすけいないの正解
[155.691] hamuta_fl: BloodTrail
[155.835] opanth_n: BloodTrail
[155.854] ノルディック親父: おまいう
[155.902] yoganopoze: BloodTrail
[156.125] eenn_25: 54
[156.328] otamaSo: おにやサバゲーに行っちゃったぞ！
[156.359] peacegundam: ケツメイシのドライブだろ
[156.511] msg_absolutezero: BloodTrail
[156.733] pyonpyon96: BloodTrail
[157.486] yoganopoze: BloodTrail
[158.389] abrg4: 54
[158.413] 激安の殿堂: BloodTrail
[158.550] やきうみん: BloodTrail
[158.870] うるてい: premium入れよ
[159.113] しんく大先生: やめてね
[159.307] しんしん13: BloodTrail￼ 
[159.766] psycho_315: BloodTrail
[159.808] richcaramelcookievannila: httptjMelodywave
[160.121] Shouponkunio: BloodTrail
[160.335] mausia_aaa: BloodTrail
[160.703] czarcv: やめてね
[161.192] macaron359: 54
[161.507] kojima121: BloodTrail
[161.672] たまねぎやで: BloodTrail
[161.699] yuyuyuta1234: ドライブ配信助かる
[162.390] 6_8668: 登らない？
[162.392] hyde_twi: まぁこーすけだしいっか....
[162.594] kiriboshi_daikon315: BloodTrail
[163.247] itsumademo08: BloodTrail
[163.851] aatappa: BloodTrail
[164.071] goshikicammy: 懐歌筋肉モンスター
[164.812] チビミミナガバンディクート: プレミアムはいれ
[164.860] hulilc: コメ稼ぎ
[164.926] dendeguri: BloodTrail
[165.053] richcaramelcookievannila: httptjKeroppisob
[165.482] pyonpyon96: やっぱお前陽キャでいいわ
[165.683] ねむみチキン: BloodTrail
[165.834] eim_n: unkochanYaa
[166.883] richcaramelcookievannila: httptjVibe
[167.218] tynzelf35: Premium入っちゃえば
[167.680] hayakenta: BloodTrail
[170.104] (S)ofurodeoshikko: 今日の服えっど
[170.298] lkjfcbhdruiutu: がみ
[170.344] richcaramelcookievannila: httptjDinodance
[170.844] はんぜうす: 山頂にいく？
[171.035] (S)fukkinhoukaitarou: もっと広告流せ
[171.211] yukinari_81: BloodTrail
[171.970] (S)cho_suke1031: 桃色片想いからのLOVE涙色な
[173.212] sealback8: ボルゾイ！？
[173.422] itsumademo08: 漢な
[173.660] hyde_twi: rhyzFLOP
[173.857] ganbariya_c4q: BloodTrail
[174.119] water_melon200: が、み
[175.300] ノルディック親父: が、み
[175.476] san4233: がみ
[176.386] d3akawaku: 緊急で来ましたね
[177.097] kirinhaokii: BloodTrail
[177.789] hayakenta: が、み
[178.153] love_kamo7: うぃ〜w
[179.524] yotttttsugi: 漢！？
[179.601] jmdwjmwtpj: gami
[181.830] pyonpyon96: やっぱ平成だよな
[181.858] xxxneruxxx_: シ、ゲ
[182.042] ym0654: この時期のオープンカー気持ちいいよなー
[182.861] hmranndosel: Jinnyttyも今富士山観にきてるんだがもしかしてそう言うことか？
[182.882] hayakenta: ふぉい しげ がみ
[183.185] samalunch: ふひきー
