[51.728] (S)miyayu6: ｵﾊﾖ ｵﾊﾖ
[51.889] (S)pepe_7299: ｵﾊﾖｵﾊﾖ
[52.089] (S)Boya_05: 一旦ニキ
[52.352] charles_rc350: ｵﾊﾖｵﾊﾖ
[52.457] takenoko45: 一旦
[52.719] (S)sheseec: 一旦ね、一旦
[52.954] hatiware25: おいすおいす
[53.470] (S)つちのこ83: 一旦ね
[53.552] (S)スカイライン乗り: 一旦ね、一旦
[53.607] (S)chiikana: 一旦ね
[54.294] l24012115304l24012115304: 一旦ね
[54.347] tiluwabu_03: 一旦ね
[54.778] (S)yashida26: 一旦ね一旦
[54.955] dorgon359824: 一旦ね一旦
[55.815] (S)sijimi40: おはよおはよ！一旦ね
[56.067] ゴルーン: 一旦ね。一旦
[56.171] (S)ttt2836: 一旦ね
[56.372] (S)かきたまの鎌足: 一旦ね
[56.379] (S)らすちーどーる: 一旦ね、一旦
[56.689] (S)catina5456: 一旦おはよう
[56.714] (S)フリナ: 一旦ね一旦
[56.952] (S)けー353: fantas22No1
[56.952] (S)sinnon2434: 一旦ね
[57.333] ブッチギリギリ: ｵﾊﾖ、ｵﾊﾖ
[57.498] sengoku_mametaro: 一旦ね、一旦
[57.526] (S)くろーーーでぃあ: 一旦ねw
[58.248] ダカク: 一旦ね一旦
[58.710] (S)フルパワーアフロマン: 一旦ね、一旦
[59.017] (S)nana43: ｵﾊﾖｵﾊﾖ
[59.237] r9rmmmmmmmmm: 言ったんね
[59.436] (S)sumin119: 一旦ね
[59.772] (S)オムご飯: オムご飯 subscribed at Tier 1. They've subscribed for 11 months! いつもありがとう！
[59.799] ごーやちゃんぽ: 一旦ね一旦
[60.588] (S)kishu_no_ume: 一旦ね一旦
[60.775] (S)ちゃぃちゃぃ: ｵﾊﾖ､ｵﾊﾖ
[60.807] (S)kamemusiiiiii: ｵﾊﾖｵﾊﾖ
[60.889] rie568whiskeysoda: ｵﾊﾖｵﾊﾖ
[60.966] (S)bakubaku52: bakubaku52 subscribed at Tier 1. They've subscribed for 8 months, currently on a 8 month streak! おはようございます
[60.980] (S)ちゅろにも: ｵﾊﾖｵﾊﾖ
[61.381] (S)suzuki_suzuki: ういーーー
[61.412] jinn020402: 一旦ニキわろた
[61.556] tatisjrfan23: 一旦ね、一旦
[61.601] (S)アテシ: アテシ subscribed at Tier 1. They've subscribed for 20 months, currently on a 20 month streak! 
[62.382] (S)ヨッちゃんだ: 一旦ね一旦
[62.582] amuamu_123: いったんね
[63.314] (S)yanntama: 一旦ね一旦
[63.604] (S)takimusha: ｵﾊﾖｵﾊﾖ
[63.745] motinoki2: 一旦ね、一旦
[64.038] (S)のっちゃん: ｵﾊﾖ ｵﾊﾖ
[64.261] syaru_nine: 一旦ね
[64.271] しふぁん: 一旦ね一旦
[64.797] (S)もーーーたん: 一旦ね一旦
[64.888] (S)sora_identity: 一旦ね
[65.252] (S)revy_765: 一旦ｵﾊﾖ
[65.428] (S)なばん: なばん subscribed with Prime. They've subscribed for 9 months, currently on a 8 month streak! 
[65.484] ルーぽん: ｵﾊﾖｵﾊﾖ
[66.720] 化粧水ちゃん: 一旦ね、ｵﾊﾖ
[67.174] huyuki_arice: 一旦ね、一旦
[67.196] 黑武士彌助: 一旦ね一旦
[67.710] futtyo07: 一旦おはよー
[67.795] itounogohan: 一旦ね一旦
[67.863] (S)takeshogogo: 一旦ね一旦
[68.398] (S)hi9hlv: 一旦
[68.459] tiga227: 一旦ね一旦
[68.468] (S)yashida26: 一旦ニキ
[68.570] (S)からあげマシン: 一旦ね
[68.734] (S)second_peanu2: ｵﾊﾖｵﾊﾖ
[69.527] (S)臣おみ: いったん？
[69.750] zinn0109: 一旦ね
[69.855] sebasu000: 一旦ねの人だ！
[69.958] zedox778: 一旦ね一旦ね
[70.473] (S)ペプマシン: 一旦ね
[70.634] (S)rup11n: 一旦ね一旦
[70.918] えだまめ侍: 一旦ね
[71.075] (S)glasses02: 一旦ね一旦
[71.121] rinori_ddd: 一旦ねニキおはよー！
[71.804] (S)バロン67: 一旦ｵﾊﾖ､ｵﾊﾖ
[71.838] (S)YAMATO00_RoueN: 一旦ね、一旦
[72.027] (S)べねでぃくと: 一旦ね
[72.238] riku_0911: 一旦ね一旦
[72.242] (S)kaitoraman8: 一機マース
[72.284] (S)ふりかけおにぎり: おはよう
[73.685] (S)辛麻婆豆腐: 一旦ね一旦
[73.812] (S)Roxas_AZ: 一旦ｵﾊﾖｵﾊﾖ
[73.819] tecchan1gou: 一旦ｵﾊﾖ
[73.900] y4hoo_jp: 一旦ってどこで使った？ｗ
[73.902] (S)くもちゃん1: さと？
[74.368] (S)ゆりぃー: ｵﾊﾖｵﾊﾖ
[74.564] (S)ジャッキー1128: 一旦
[74.614] (S)takimusha: 一旦ね
[74.667] punch_pa: 一旦オハヨオハヨ
[76.129] (S)のるんくん: 一旦ね、一旦
[76.337] twitch_fuga11: 一旦ねおは王
[76.764] 10花: 一旦ね、一旦
[77.069] (S)tgf1357: ｵﾊﾖｵﾊﾖ
[77.777] (S)nakayo41120: 一旦ね
[78.083] ミート君: 一旦ね
[78.654] (S)teanewyork: ファンちゃんに原宿で会えますか？
[79.327] アリピーけん: 一機マースは？
[79.571] (S)まてぬい: 一旦の元ネタクリップ下さい
[79.950] (S)ベアリング: 一旦ね
[79.986] (S)アジ7864: 一旦おめでとう
[80.028] (S)sugeru: LINEスタンプwww
[80.221] (S)エデゴ: 一旦ね
[80.362] (S)takimusha: 一旦ね一旦
[81.523] (S)Carrot_maru: おはよおはよ
[81.537] (S)bubble_tanaka: bubble_tanaka is gifting 1 Tier 1 Subs to ファン太's community! They've gifted a total of 6 in the channel! 
[81.620] tatisjrfan23: 一機マースほしい
[81.736] (S)katuobushi6256: fantas22Muscle
[81.773] (S)てかぷりお: 一旦ね
[81.834] suraimuuuu1: 一旦ね
[82.224] (S)sinnon2434: 一旦ね一旦
[82.327] sebasu000: ｵﾊﾖｵﾊﾖ
[82.800] (S)迷音けろ: fantas22Muscle
[83.050] hiyamugi0141: 一旦ね、一旦ｵﾊﾖｵﾊﾖ
[83.195] (S)bubble_tanaka: bubble_tanaka gifted a Tier 1 sub to BaibroHD! 
[83.273] (S)lidra666: 一旦オハヨ〜
[83.481] (S)reika_momo: 一旦ね
[83.937] (S)syuuuuuuuu4444: 一旦ね
[84.284] guiltyair: イッたんね
[84.479] ゴルーン: め！
[84.610] (S)kenamimii: 一旦ね
[84.657] zetton0912: 一旦
[85.306] (S)ゆりぃー: 一旦ね
[85.939] momoyagi0: 一旦一機マース
[86.099] (M)Nightbot: 【Twitter】https://twitter.com/Fanta_JPN
[86.134] 正岡: 一旦ね一旦
[86.893] (S)ちゃぃちゃぃ: 一旦ね
[87.507] (S)くもちゃん1: 一旦
[88.269] (S)ぽおんん: 一旦ね、一旦 
[88.354] (S)Boya_05: 一旦ニキおはよ
[88.416] (S)AlikinTV: 一旦ね
[88.501] (S)takimusha: 一旦スタンプ
[88.820] (S)かつけん0331: クるなは？
[89.706] kodoku1128: いったんね
[89.964] toragon10: 一旦ね一旦
[90.064] (S)のぎー: 一旦ね、一旦
[90.524] (S)ペプマシン: 王からの発表はまだですか？
[90.721] midutax: ｵﾊﾖｵﾊﾖ
[90.747] (S)とろくまー: 一旦ね、一旦おはよ
[90.785] (S)オムご飯: 一旦ね一旦
[91.237] (S)kouki_ojisan: ゆちゃさんに会いたいな
[92.045] ダカク: ｵﾊﾖｵﾊﾖ
[92.281] (S)darkun_1115: フィジカルモンスター
[92.515] ニャンニャ: 一旦ねとかいつ言ったん
[92.542] ごーやちゃんぽ: クるスタンプ欲しかった。。
[92.743] (S)glasses02: glasses02 subscribed at Tier 1. They've subscribed for 2 months, currently on a 2 month streak! 一旦ね一旦
[93.047] 玉蟲: 一旦オハヨ
[93.667] (S)ruon8915: おは王
[93.691] えだまめ侍: 一旦ね一旦オハヨウ
[94.084] white25season: こんばんはー
[95.134] ねぎぎ: やぁやぁやぁ
[95.212] (S)arunaima: ｵﾊﾖ ｵﾊﾖ
[98.023] (S)マクマナマン: sirryWavehands
[99.318] (S)YAMATO00_RoueN: fantas22Muscle
[99.485] pakadar: おはよー
[99.560] riku_0911: ｵｲｽｵｲｽ
[100.208] zedox778: 一旦ね一旦ね
[100.805] shion0000000: 一旦ね一旦なんて言ってたか？
[101.705] (S)temoteee: 仮眠しまーす
[102.826] (S)misosoup6906: ｵﾊﾖ､ｵﾊﾖ
[103.303] sky_nanonano: 一旦、一旦
[104.923] ぬぴ17: 一機マースのスタンプまだ？
[104.927] oriokaki: 一旦
[105.132] tocca00: 一旦ねおはよう
[105.255] (S)nakayo41120: 一機マースじゃなかった
[105.428] (S)misato_229: misato_229 subscribed with Prime. They've subscribed for 8 months! 
[105.890] (S)あーむん0033: 一旦ｵﾊﾖｵﾊﾖ
[107.703] (S)かつけん0331: ｗｗｗ
[107.995] (S)bubble_tanaka: 一旦ね一旦（ギフト）
[108.225] (S)ヨッちゃんだ: ｗｗｗｗ
[108.241] ニャンニャ: 一旦なんか言ったん？
[108.631] (S)nana43: ｗｗｗｗ
[108.665] (S)takimusha: 一旦おはよ
[108.756] (S)sheseec: 一旦ね、一旦
[109.089] aria0331: wwww
[109.193] (S)yashida26: もう少し遅かったら一機マースやったのに
[109.293] (S)ぺんた326: wwww
[109.707] (S)もーーーたん: wwww
[109.708] (S)patrick1000koo: ｗｗｗｗ
[109.736] (S)暇人1674634: ｗｗｗｗｗｗｗ
[109.780] (S)だいこん831: 一旦おはよう
[110.057] (S)PINODAY0: ｵﾊﾖｵﾊﾖ
[110.153] zedox778: ｗｗ
[110.243] (S)らすちーどーる: ｗｗｗ
[110.430] tiga227: wwww
[110.441] (S)じんくん3: www
[110.642] (S)ほむんくるす: 一旦おはよおはよ
[110.781] (S)mira_koko: ｗｗｗｗ
[111.167] riku_0911: 一旦ｵｲｽｵｲｽ
[111.176] (S)bakubaku52: ｗｗｗｗｗ
[111.785] 黑武士彌助: 一旦ね一旦
[111.877] momoyagi0: wwwwwwwwwwwwwwwwwww
[112.164] (S)dr_cafe3: 一旦一機
[112.403] ごーやちゃんぽ: w
[112.673] ymgn1944: ｗｗｗｗ
[112.918] (S)フルパワーアフロマン: wwwww
[113.123] (S)glasses02: wwwww
[113.144] ゆーちょこ: 一旦ね
[113.399] (S)ふま6853: ｗｗｗｗｗｗ
[113.498] (S)ジャッキー1128: 島取りなし？
[113.505] (S)revy_765: 一旦ね
[113.758] yukitwitch14: wwwwww
[113.840] (S)スカイライン乗り: wwwwwww
[114.378] toragon10: wwwwwwww
[114.493] asuka_shota: 一旦はどちらかと言えばわきをじゃね
[114.528] (S)漆ツーリング: BleedPurpleHD
[114.573] (S)hi9hlv: 一旦なんて言わなくねwwww
[115.393] (S)88ハチ公: 暴れてこい がよかったなースタンプ
[115.452] (S)koraku0902: 一旦おはよう
[115.561] (S)Carrot_maru: wwwwwww
[115.587] suraimuuuu1: www
[115.805] (S)syuuuuuuuu4444: 一旦ねおはよう
[115.888] (S)かつけん0331: 一旦ね
[116.100] kodoku1128: 一機マース
[117.000] (S)べねでぃくと: wwww
[117.316] (S)alohapon: 一旦ね
[117.997] cassiopeiap: ｗｗｗ
[118.075] motinoki2: 一旦ね、一旦
[118.223] (S)ketanketa: 一旦ね
[119.650] 0_0masya: ラジ王おはよう
[119.706] taku611111: 一旦ね一旦
[120.393] (S)bubble_tanaka: 無月レオ！！？？
[120.595] (S)yashida26: 一旦ね
[120.619] (S)カニピザ: 一旦おはよ
[120.990] (S)隣の田代さん: 一旦不服かね？
[121.180] (S)sharps000: fantas22Dani
[121.275] (S)nyac6late: 一旦仮眠しまーす
[121.674] (S)かきたまの鎌足: 一旦ごめんね
[122.595] (S)輪入道: 一旦ね、ｵﾊﾖ
[123.159] (S)glasses02: 一旦マース
[123.325] l24012115304l24012115304: 一旦おはよ
[123.943] えだまめ侍: 一旦ね
[124.939] plunus_1: 一旦ね、一旦
[124.953] (S)ender_ear: 何でスタンプ一機マースじゃないの？
[125.129] (S)紫乃なち: 紫乃なち subscribed with Prime. 
[125.470] くらうどのゔぁ: 一旦ね
[126.282] (S)フルパワーアフロマン: 一旦ね
[126.660] (S)燕子花キムチ: 一旦
[126.866] (S)らすちーどーる: 一旦ね、一旦
[127.010] (S)ちゅるんちゅるん: 一旦イジらせて一旦ね
[127.708] ごーやちゃんぽ: 一旦ね
[128.559] kukudddddo: 一旦ねっていつ言った？
[130.007] (S)l3ss_ciel_apex: 一旦すまんかった
[130.421] ymgn1944: 一旦ね
[130.678] (S)tgf1357: 一旦いじる一旦ね
[130.736] (S)ひし形メロン: 一旦ね一旦
[131.197] ろいどです: 一旦ね、一旦
[131.532] (S)ちゃぃちゃぃ: 一旦一機マース
