[829.350] spclink: ナウマンのケンの色は緑だからえいた族かは怪しいんだよなあ
[835.064] Coron___: 嘘つき多ない？
[837.405] サメカツ1999: 処理じゃない
[843.473] (S)balthazar000: リーサルハク
[844.769] ぐぐっす: ナウマンおまえ..
[847.425] ~MISSING_COMMENTER_INFO~: しっとりした配信やなぁw
[853.144] saitama_da: えいた族（ももちスタイル）
[853.318] Gtoakira41: Also we need more 3 way commentary 
[855.637] qq_taro: 格ゲーマーの「行ける」は嘘
[855.819] (M)Moobot: English Facebook Page Here! Follow for News/Updates. - https://www.facebook.com/ARIKAOfficial/
[885.970] omedetroit: ？？「アビはガイルに行けるかも」
[891.133] Mr_Savage11: 3 way commentary was godlike
[891.695] sh1zuku716: 爆殺ｗ
[902.311] Coron___: ヤマ様 ヤマ様
[903.900] imurilove: 高校生に助けられてけ
[914.834] akari87: ヤマ様
[915.955] saitama_da: 心量
[923.549] サメカツ1999: (ナウマンのテンションきちぃわ)
[928.414] omedetroit: ハク様 ヤマ様
[936.143] imurilove: あっ来てない（ ）
[943.885] littlestory4: ガイルは十分・・・
[955.020] inukubow: かりんも相当
[958.856] Gtoakira41: Zhi, Jiyuna and Obama 
[975.834] サメカツ1999: ナウマンお前・・・
[979.161] Coron___: 1992はなぁ〜
[982.679] omedetroit: 1992今年も強かった
[1006.410] Hammer_44: who does mizuha play?
[1010.503] (S)cafe_gondo: ・・・・？
[1010.927] Gtoakira41: Chun
[1015.468] サメカツ1999: 怖い
[1015.814] JustPhoPhunTV: yakuzas
[1020.119] acton2016: ｗｗｗ
[1021.204] yakan06: 天のお告げ
[1021.483] omedetroit: ウメちゃんの声？？
[1023.113] MadEggMania: 大丈夫…？
[1023.716] すずかぜ: それはない
[1026.710] (S)balthazar000: 獣の囁き
[1027.991] おじキッズ兄: 大谷くん？
[1029.697] qq_taro: BlessRNG
[1029.958] stainless304: えwwww
[1030.973] littlestory4: 大谷病院いこっか
[1033.742] inukubow: 病んでる
[1035.582] MadEggMania: オカルト配信か…？
[1036.945] tokitokido: ウメちゃん憑依してたか
[1039.786] imurilove: 大谷の"神"の声
[1041.386] sazanami657: やっぱりサイコだった・・・？
[1041.903] サメカツ1999: ヤバイな
[1042.926] ~MISSING_COMMENTER_INFO~: 酒が残ってたか
[1044.721] conscell: 統失
[1047.586] fapfapjpn: BlessRNG
[1048.580] sh1zuku716: 大谷嘘多いやつか？
[1053.466] 先日助けてもらった鶴です: ウメちゃんの霊が取り憑いてるな
[1055.039] (S)Giichigi11109: umeSnooze
[1055.520] おじキッズ兄: BlessRNG
[1061.456] サメカツ1999: ほろよいの酔いが残ってたか
[1070.439] (S)balthazar000: 神は無慈悲である
[1071.461] omedetroit: 神様どうして…
[1084.224] littlestory4: ガチ様
[1085.987] MadEggMania: おじ力
[1088.572] yakan06: ガチ様
[1095.070] Hammer_44: the guy with crimson chun color?
[1105.303] sazanami657: マゴチーム倒したのは凄い
[1108.534] s0nysss: 水派evo後ついてないよなあ
[1116.014] omedetroit: マゴさん取り憑いてるからお祓いしてもらおうか
[1121.863] sh1zuku716: マゴリスペクト
[1124.703] Coron___: あっ…
[1125.663] サメカツ1999: マゴ
[1128.748] littlestory4: レシオ違反
[1130.464] すずかぜ: やばすぎ
[1136.069] おじキッズ兄: 大人げない
[1139.319] vesitermbtl: マゴさん
[1140.529] サメカツ1999: あ
[1141.957] bakedonion: やりにきてるメンツ
[1142.822] samuragi: マゴC pls
[1143.465] kbti: 死神マゴ・・・
[1145.326] qq_taro: 死神おった？
[1154.064] (S)balthazar000: つえーやつ纏めましたみたいなチームというか集まりっすね
[1157.096] vesitermbtl: まご
[1159.523] imurilove: ??? 「マゴさんまた負けたの？」
