[217.634] ham_barger9: 12部隊いるのやべえw
[218.415] ssssssssszx: さく❤️
[220.376] yukisan_fan: あつ
[221.584] u_cchi: いまだ0ダメのゆき
[228.356] ユーモアがない奴厳しいって: キル欲しいな〜
[229.722] shunkatu: ダメージ表記ばぐってるね！
[229.906] takumisushi: 一気に減りそう
[232.261] キューブってる: アンチあっつ！！
[236.303] obanzaistudio: モニュメントアンチは部隊数多いね
[238.402] KeNG_tv: この収縮でキルポ稼ぎてぇ
[242.068] Hemingwayyo: ダメ表記はバグなので嘘はやめてね 
[242.231] atgk: リドル毎回追加で入る人がいいよな
[243.052] oka_heihatiro: さくじいの安置読みえぐい
[244.280] bitberry15: Japanese CEお
[252.471] ssssssssszx: やば
[252.654] sajinski: でっか
[253.086] shunkatu: うま
[254.016] aiueo51: でか
[254.479] olive2ti: ナイスゥ
[255.295] su_gar__25: きたああああああああああ
[256.146] tikuha2: やったー
[256.417] キューブってる: お！いいぞ！
[256.953] keken10: ないすうう
[257.433] yokko009: でっか
[258.181] のじっち: うま
[259.204] ゆうって呼んで: rcおちた
[260.865] nqnk0tu0141: ゆきはたかまさの役割もこなせるようになってきてる
[262.548] yukisan_fan: ないすすぎるまじ
[264.034] (S)hato330: よーし！
[264.798] sugoi_hayasa: おおおおお
[264.842] aqutan_sukikamo: これ世界大会？？？
[267.797] とろとろサーモン: まじでこのチーム安定してる
[271.751] cosmo_hero: wwww
[273.038] ikki_oga: てか最近ゆきおの報告がいい
[274.736] yukisan_fan: wwww
[276.191] baushgkls: フナが強すぎるよ
[277.743] 96nowa: ドロボーーーー
[281.691] のじっち: 世界大会だぞ
[284.632] (S)shikaness: ゆきお報告いい
[287.927] Collon_lol: vodkav2Angryvdk
[290.381] u_cchi: こんな安置珍しいな
[291.881] atgk: ゆきおうまくなってね
[292.756] nekko__o: 紫にしたい
[293.895] ham_barger9: つよw
[294.480] yomog1mochi043: いいいぞおおおおおおお
[294.774] a1exne1son: 遣り合いながら来てくれたら最高
[294.998] ray21917: これ勝てる
[296.044] umetyaaaaaa: でか
[296.653] cosmo_hero: ないす
[299.009] KeNG_tv: うみちゃんつよ
[299.324] グラル87: うおおお
[301.682] しこぴーー: 続々と部隊減っとるど〜
[302.518] sugoi_hayasa: おおおおおおおお
[303.959] のじっち: 入れ食い
[304.617] keken10: ないすうう
[305.251] (S)minatsuki_419: でっか
[305.339] ham_barger9: めっちゃいいw
[305.709] umetyaaaaaa: でけええええ
[305.732] lily3nari: よーーーーーーーーし
[305.899] とろとろサーモン: つよすんぎ
[306.817] peroon_: え！？PK
[307.026] aqk87770: でけええええええええ
[309.198] サンリヴァ: 最近のゆきおまじつよい
[309.225] PrePreaim: うおおおおおおお
[309.300] sheeeelll: ぼどおじゃ、応援いくど
[309.795] sajinski: キルポがっぽりや！
[310.292] umetyaaaaaa: リグ？
[310.826] atarime1104: ゆき！？
[310.834] yukisan_fan: いやあついまじ
[312.177] a1exne1son: 安置近いな
[312.676] ユーモアがない奴厳しいって: ないすぅー！
[312.800] ray21917: 歯茎でそう
[315.084] yuta12290117: 勝てリドル！
[315.842] arnananan: オーナー感謝
[316.023] (S)marrona91: ないす
[320.012] nogorou_: 流石に強い
[326.229] グラル87: ああ
[327.074] obanzaistudio: ゆきおはバンガが向いてるんだな
[338.198] 96nowa: うまいな
[344.278] picopon_: おー
[346.005] u_cchi: ひろいぞ！！
[346.646] しこぴーー: ないすぅ
[346.847] seal1119: でっか
[347.586] sugoi_hayasa: くそいい
[347.796] umetyaaaaaa: でけえええええ
[347.796] のじっち: つよ
[347.821] chiimqru_: ないす！
[349.680] ghsjjfbi: でか
[350.184] yukisan_fan: つよw
[351.938] (S)hato330: よし！！！
[351.979] atarime1104: うっま
[352.476] kuroomutu: ゆきおいいぞ
[353.460] ghsjjfbi: まじである
[355.871] まじめさん: あるやん
[356.567] a1exne1son: 一番ひろそう
[357.143] olive2ti: yukio 3 2 1
[359.451] ssssssssszx: ネメシスいらんな
[360.498] unaginuuuuu: まずい
[360.708] nobcambo: ある！！！
[361.250] hayatox12: www
[361.952] ユーモアがない奴厳しいって: 調子よ
[362.616] mixgomaa: RDL！RDL！
[363.901] umetyaaaaaa: 3.2.1
[364.440] suimu75: ええてw
[364.570] キューブってる: あるねー
[365.193] らふすけ: ww
[365.413] agenasuu: ？
[365.420] yukisan_fan: やめろw
[365.868] ham_barger9: なんやこいつらw
[366.719] morimorimo55: は？
[367.666] nudoruteimenkiti: 43？！
[367.859] atarime1104: 歯茎
[369.109] グラル87: ？
[369.122] arohasyatsu_kure: 昨日から流行ってます
[369.319] ghsjjfbi: wwwwww
[369.465] KeNG_tv: ぶちかませー
[370.188] PrePreaim: 終わってるwww
[370.516] imJoru__: wwwwww
[370.987] のじっち: ばか？
[371.101] a1exne1son: 昨日から始まったバカノリです
