[482.598] guile_head: 最終回？
[483.889] (S)suruga01: 格ゲーは色んなこと教えてくれる
[484.194] surokun777: 次だれよぶの？
[490.346] mattarisk: いい気持ちで送り出せるね
[492.976] sora_neko09: じゃあ成功だ
[496.715] (S)toshikuuun: 鈴木さん頑張れ！
[498.968] tidifjjrudhhd: クロダ
[523.480] (S)suruga01: MercyWing1
[531.870] (S)toshikuuun: umeHandsome
[532.829] guile_head: 誘導ww
[551.524] (S)NAOjpp: ま、仕方ないよ
[566.369] (S)hachi_mitsu: そのコンセプトはめっちゃありがたい
[567.496] maemaemaema: ないね
[570.938] (S)momochan6: ふーどに教えてもらうのはいいよなあ
[571.644] (S)体調不良は背中をほぐせ: umePout
[577.929] (S)kumatedd: ライバルキャラとしてたまにね！
[590.505] (S)toshikuuun: umePout
[595.460] コーゼット: 『プロゲーマーふ～ど物語』期待してる！
[598.899] (S)sugarsato_: umePout
[600.643] 000105: ふーど軍団に
[601.595] salt_360: がんばって
[609.250] psionicpsi: あっ
[610.305] (S)momochan6: エロいやつか？
[616.179] (S)55_rabbit: 音を置き去りに
[628.125] surokun777: スズキ真面目か？
[631.247] (S)sugarsato_: あった
[634.098] (S)kumatedd: umeLaugh
[643.602] (S)rotyokoro: umeRoad
[644.976] (S)kumatedd: うおおお
[646.951] (S)風呂でフルーチェ: 年始にやったやつか
[649.797] (S)kumatedd: 持ち込み
[675.004] surokun777: スズキやめる理由彼女ができたにしといた方が面白いよ
[675.275] maemaemaema: スト5やってる場合じゃない
[678.533] (S)NiaoMiao: ええやん
[679.124] (S)AtomPeter: まーじか
[687.909] (S)体調不良は背中をほぐせ: まーじか
[692.083] mattarisk: めっちゃすごいじゃん
[692.851] (S)kemononeko: がんばれ
[692.964] marujin4444: わっかんねー
[707.179] yhkd: 実績あったか
[708.933] (S)miharasan: 今日は何配信ですか？
[719.627] ramulock: ふっちゅふっちゅふっちゅふっちゅ♪
[719.913] surokun777: スズキの引退配信
[725.375] (S)kumatedd: 煮詰まったらジコケンＴＶに遊びに来て気晴らしと刺激を得る形で
[725.726] surokun777: エロ漫画
[726.943] yoshikawa_yo: 次の鈴木は？ ウド？パパイヤ？
[732.787] salt_360: 結局プラスに働いたんだからいいことですよ
[739.315] maemaemaema: クロダも卒業したしね
[739.462] (S)もけたわけ: 折笠さんも引退するってマジ?
[741.180] psionicpsi: クロちゃん呼ぶか
[741.391] ramulock: ふーきゅん手～振って～♪
[748.028] (S)kumatedd: アビゲイルパーンチ
[749.376] ShimoyamaP: 折笠さよなら
[751.066] ramulock: うおおおおおおおおおおおおおおおお
[756.432] (S)kumatedd: 鈴木さんアビ描いて！
[756.754] sora_neko09: 道なき道を歩けてる奴らに囲まれるとな，触発されるよね
[757.477] marujin4444: クロダ退学じゃ・・
[760.271] (S)user0511: 折笠さんも引退？
[760.830] maemaemaema: アビ待ってましたー！
[766.006] surokun777: ハンサムは髪切った方がいいよ
[770.706] 山田たろう太郎: 折笠さん髪のびたねー
[781.561] surokun777: ハンサムは散髪配信して
[785.868] kurage88: よくわかんなかったｗ
[798.198] toaluH2O: 豪鬼に使われることはないやろなぁ
[800.979] surokun777: ハンサムモヒカン似合いそう
[801.457] ShimoyamaP: マゴさんも2にキレてたよ
[808.220] marujin4444: あｗ
[818.584] ramulock: あれさ～選択性じゃなくて両方共使えるようにしたほうが絶対いいよね
[836.661] ramulock: 選ぶ時間が長いし
[844.001] 山田たろう太郎: ときどはやたらアビゲイル戦うまいね
[851.744] 名無しベータ: 当身で
[863.201] kurage88: "どうせ"
[870.386] (S)風呂でフルーチェ: どうせｗ
[870.884] ぽんいち: umeSnooze
[872.471] mattarisk: 悲しい
[874.701] ShimoyamaP: アプデした？
[878.141] (S)kemononeko: 50%で結構勝てる
[898.577] surokun777: ハンサムは髪伸ばすならトリートメントちゃんとして
