[368.353] (S)gengoro1198: 昨日もう一試合配信してれば覇権コンテンツが観れたのに。。。
[370.279] metalmomonja: 新コス 
[370.846] (S)コキリ族: 職業２コスかな
[374.662] suudon: ももち負けてるイメージある
[377.349] (S)areg392: umeWhat
[377.379] Futomaru_kun: かわいい
[378.678] 崇徳院: メンソレータム？
[378.809] (S)山田たろう太郎: ももち勝ってほしいなぁ
[379.264] burisuke: 1位２２０万だからでかいね
[386.174] sora_neko09: ナイチンゲールイメージだろうな
[388.359] (S)x_abu_xx: イメージじゃなく実際勝ててない
[389.659] (S)user0511: 科林っていうのか
[389.919] (S)shochann: コーリン、顔変わった？
[393.798] (S)山田たろう太郎: 藤村絶対忖度しなさそう
[395.346] dora2212: 勝ち上がってるからこそ屋根
[395.538] (S)エリ_10: メンソレータム
[395.689] suudon: アリスっぽい
[401.208] lutz001: 秘策のケンは？
[403.727] (S)iakira777: 目の下に塗ると目が開けられなくなる奴か
[409.847] acton2016: たんたんとボコられる藤丼
[410.724] りりふ: おおおおお
[411.029] (S)山田たろう太郎: まじか
[414.873] (S)iseoseo: まーじか
[415.717] suudon: えっ
[419.741] (S)suginaka56: 藤村どうした
[425.052] fina_thankyou: 飛んでいくね
[425.604] (S)shochann: ももちコーリン、大分研磨されてきたよね。
[426.671] イナゴ0213: これがオーナーか
[426.932] カエル君: すごい
[429.593] GYAKUBANE: メンソレータムは草
[433.301] (S)kamiyashiro: 緑はプライドが高い
[433.535] merubon: PogChamp
[435.098] (S)山田たろう太郎: あえええええええ
[435.857] acton2016: PC版はいぶき弱くなるとは思う
[436.255] aki5568: キャベツ
[437.125] suudon: コス見てる間に勝ってた
[437.302] miracle_ace: 無気力試合
[437.946] さぶん: キャベツ・・・
[438.774] (S)titilrin: ボタンチェックか？
[439.582] 名倉やないかい: 忖度か？？？
[439.929] (S)spoooooo: 忖度
[440.083] littlestory4: ヤオか！？
[440.108] たぬきおん: 忖度
[440.230] (S)butasyabu: 疑惑ｗ
[440.630] aki5568: ｗｗ
[440.750] ~MISSING_COMMENTER_INFO~: 忖度
[441.582] 崇徳院: これはそんたく
[441.589] (S)iseoseo: だっぴ？
[441.661] Tonnziru: おもちやるな
[441.995] (S)user0511: おやおや
[443.894] 二丁目: ん？
[444.289] (S)山田たろう太郎: まじでえええええええええええええ
[444.306] matsuyani4426: ｗｗｗ
[444.720] sotodetakunai: PP
[445.727] (S)yamanekojiro: 忖度？
[446.151] prefabcat: おまえ
[446.300] ninnin: まさかー
[446.660] lutz001: PP
[447.372] n242f45aa: wwwww
[447.604] radeforce: 忖度？
[448.297] (S)ttp_hayato: 忖度？
[448.700] sayachangg: オーナー？
[448.889] (S)x_abu_xx: 忖度
[449.261] F1NAL_D: AKAN
[449.343] UP2Games: PP
[449.400] (S)co2tan99: これは忖度？
[449.423] GYAKUBANE: 忖度か？
[449.522] (S)rdstus: あー
[449.709] kesuta: PP
[449.867] (S)suginaka56: umeFail
[450.092] (S)山田たろう太郎: あ？？？？？
[450.174] dsadsa454654: アカンぞｗ
[450.344] fina_thankyou: ｗｗｗｗ
[450.540] (S)コキリ族: あらら？
[450.582] (S)motyatya: あ
[450.590] (S)user0511: あっ！
[451.658] りりふ: これは話通ってるな
[451.693] imojisan: やったな？
[451.763] maku917: pp
[452.011] agemochi: あ
[452.364] sora_neko09: これは疑惑を生むな
[452.445] hannibal097: 忖度www
[452.723] Rikiten: あ
[452.813] MechaTecha5: Oof
[452.979] Sorachan1144: おい…
[453.458] カエル君: あれ？
[453.930] renoa0521: こらー！
[454.438] ちいトラ: 忖度 忖度
