[36.505] 306h: おいす
[395.420] むさぽん: ww
[398.118] 柊悠ト: 缶バ缶の味があるから苦手な人おるけど瓶は美味しいイメージやなぁ
[403.463] (S)aiudesu: かわい
[404.573] キューブってる: 普通に洗顔泡w
[406.820] おこげﾁｬﾝ: どこいくお疲れ様でした！フラスタ喜んでもらえて嬉しかったです！
[409.501] ぜりっぴ: 日本で朝４時にそれやってる人おりゃん
[418.454] makinokos: お疲れ様でした
[424.879] 1jke2e2: もう4時かよ
[436.899] シュバイソ: ｗｗｗ
[439.585] prralol: うおおおおお
[440.397] ほうじ茶緑茶: おお
[441.340] M4SH_M4SH: おめ
[441.468] 青ネギ婦人: すげえ
[442.049] makinokos: 今日は月曜日やカスが
[442.211] mot1o__: すげーー
[445.808] キューブってる: 女性ファン送ってくれたのいいねー
[449.390] daiahon: おめ
[450.113] SseinRJ: 大御所やん
[454.583] ぜりっぴ: ｗｗｗｗｗｗ
[455.290] prralol: あ
[455.841] aka_pencil: ｗｗｗｗ
[459.485] オカっち: BibleThump
[460.931] 青ネギ婦人: BibleThump
[462.776] キューブってる: www
[463.505] 臭めのこかりん: あ、、
[469.420] ぜりっぴ: おんな
[470.210] けたたましい: www
[470.486] aphelios_4: おお
[471.818] SseinRJ: おんな
[475.448] Octo_noveM_: NotLikeThis
[475.544] キューブってる: おお！！
[476.758] 青ネギ婦人: ボドガール
[481.326] yellowsummer8: も
[482.617] しーぶん: いくら払ったん？
[482.883] キューブってる: vodkav2Good
[484.063] shadowchiefzed: 「も」
[484.632] M4SH_M4SH: も
[485.690] ルプス3: 可愛くない子もいたと？
[486.725] はなちゃ___: ボドガ
[487.022] seasarpent: も
[489.023] 丸太小屋の民: サクラ
[490.967] karen_o7: さくら？？
[491.658] SseinRJ: やらせじゃない？
[491.852] asibi_md: ボドガール存在したのか
[497.841] reimeikyou53: 月曜日きしょすぎる
[499.361] ぜりっぴ: ｗ
[503.508] yellowsummer8: も 
[506.256] ashio9926: そう思いたいだけ、、、？
[508.218] ぜりっぴ: ｗｗｗｗｗｗ
[508.716] (S)可能性の獣1: ボンドガールみたいな
[511.138] おこげﾁｬﾝ: ボドガール存在してます
[515.172] haru12369: HeyGuys
[515.912] 1jke2e2: ありがとう
[516.589] mot1o__: 女の子は女の子やろがい！！
[518.012] はりぼんち: ブスて言うてるやん
[520.168] manji_ttv: ブス言うてるやん
[521.740] toi_guni: www
[524.174] yellowsummer8: Shush
[524.373] hika_9: なんかじゃない？w
[525.362] デクノボーイ: 芸人のよしこもか？
[528.098] ルプス3: ええ志
[531.368] キューブってる: 揚げ足取りやめてね 
[531.879] をゐたん: どんだけブスってブス扱いしてるくない？
[533.351] (S)aiudesu: 女の子ってだけで＋
[539.957] komikomikomic: 普通は抱けますか？
[541.964] ashio9926: 自分を推してくれる娘はかわいいしかいない。男は、、、
[546.012] mot1o__: 俺らのことかちくしょう
[546.314] chachaduke: ブスの女は女としてみてないみたいな話？
[554.116] yusuke3225: 野菜積み終わって今から配達でます！！
[554.307] makinokos: 1番したを普通にするのめっちゃいい、参考にします
[559.287] aka_pencil: 心がぶすはある
[593.106] vg7wr: いいね
[594.349] 臭めのこかりん: お〜
[594.694] ashio9926: それは最高
[597.377] オカっち: やっぱマインド大事か
[604.890] おおたと申します: おはよう
[612.389] prralol: じゃすは生きてた？
[612.599] やとちゃん0601: 楽しそう！
[614.931] おこげﾁｬﾝ: ファン側も楽しすぎて一瞬でした
[632.341] キューブってる: え〜すご
[642.513] b_hibiki: ひなのファミリアトレンド25位入ってますやん
[644.319] Kam1Kaze78: ボドおいす、ラストお疲れ様です
[644.412] おおたと申します: ボドカのボード少なくて泣いた
[645.637] オカっち: ファンからしたらめっちゃ楽しいやつやん
[646.568] vg7wr: 写真見てたらちょくちょく男もいたね
[654.043] furafura_fura: お疲れ様でしたー！！！！
[660.392] ashio9926: 最高に楽しいやつやん
[661.405] ケロリンパ: 感覚で誰ファン多かった？
[669.170] キューブってる: ちょいちょいいたねー
[672.007] aphelios_4: だろうな
[672.925] Kam1Kaze78: じゃすげんきだった？
[673.186] mot1o__: りおんがーる多いんか
[674.246] 96san_788: り、おん
[675.869] akagitakenorii: 裏で手回してるわ
[675.926] prralol: り、おん
[679.113] saqqwaa: ポル、ノでも良いんだね
[679.993] kojishuu: り、おん
[681.278] allen1766: ボドカさんっていくつなの？
[682.573] 青ネギ婦人: り、おん
[687.695] genocidekis: CRパワー
[688.020] 96san_788: オフでね
[690.900] mot1o__: りおんがーる可愛い子いた?
[692.874] 白酒高粱: え
[694.268] をゐたん: スタは？
[695.740] Skyhi_20: え
[696.338] くろきん: みんなスマーフしてもらいたいんやな
[696.840] 1jke2e2: あいつ絶妙にあざとくなくてガチ恋多そう
[697.119] Kam1Kaze78: お
[698.884] キューブってる: お？
[699.032] ぜりっぴ: ｗｗｗｗｗｗｗｗｗｗｗｗｗ
