[757.193] kinnikubakacom: LUL
[762.463] sei_6: ウメさんどのキャラ使っても強いなやっぱ
[779.896] Bakobako1234: umeYay
[780.056] だいこん_: 勝っちゃった…
[782.015] rxz_2017: ありゃー
[782.812] Temujin9000: GlitchLit
[783.162] wahaha7788: 勝ってしまった
[784.719] juno0220: かっちったぁ
[786.607] f_muon: まじか
[791.863] HaruTsubasa: BibleThump
[793.952] augustnull: おー
[794.666] heterotopia3: 出しちゃいけないのに出ちゃうんだよなぁ～
[795.091] Bakobako1234: Kreygasm
[798.743] (S)kusare_gedou: めくり飛び対策にEXインフェルノ割りとオススメ
[806.954] kurodaq: まチャボーはリーグでネカリ出すのかな？
[809.236] tax9988: 隠してるときなにやってるの
[815.720] akiaki0612: 誰かとじゃんたま配信する予定ありますか？
[819.541] different854: been seeing you use bison a bit lately, are you just trying to stay fresh on character choices or do you plan on using these guys in tourney setting potentially??
[826.071] rxz_2017: レッドブル飲んでるよ！
[826.878] (S)shi_e_n: 隠してる時はドリンクタイム
[829.337] eieiei_5: 飲み物飲んでるんちゃないの？
[833.491] だいこん_: ポンにゃ！
[839.056] juno0220: rtaRedbull
[844.370] Bronsart: @different854 He is bored, he is trying out characters
[845.296] balthazar000: 青くないのを飲んでるタイム
[845.406] gratinu: ピント合わせじゃなかったんだ…
[846.916] akiaki0612: 残念
[848.324] るぅの: ないにゃ！ 
[849.964] kurodaq: モンスター飲んでる可能性あるな
[855.695] (S)cho_mu: おこぼれ鉄道配信みたいよぉ・・・・
[857.099] たけおか: takeoka subscribed with Prime. They've subscribed for 31 months! 
[857.200] (M)Moobot: @TAKEOKAさん、31ヶ月目のサブスク登録更新！ありがとうございます！
[858.671] (S)shiro_risu01: にゃ！ 
[859.603] kaigaizei: 隠してる時はこっそりネコをなでてるよ
[859.830] (S)kusare_gedou: exブラスト入ります
[868.208] (S)tanaka_nasukara: トリガー追撃あります
[870.490] different854: oh ok thnk you unsung
[874.850] (S)kusare_gedou: からのサイコテイルも
[887.439] yongi212: アックスはいる
[897.791] sakai_jin2020: ※健康に良い飲み物を飲んでいます
[918.145] kinnikubakacom: 梅さんはベガ？
[919.182] (S)GG_sensay: his confirmed subs are honda and maybe fang
[923.144] (S)keigunnoikkaku: また一つ強くなってしまった
[928.595] kurodaq: 何を飲んでるか分からない ウメディンガーの猫
[932.996] khoghas: umeCatHope
[944.721] jigokunonekomatu: すいとんでしょ
[960.127] るぅの: ベガってウメちゃん合う気がしてるんだけど
[971.611] amadori3: 昨日のThis is包囲網面白かったな～
[972.337] sakai_jin2020: あれ弾なわけ
[992.052] (S)shiro_risu01: umeSmoosh
[1001.107] 鉢植: momochocoOha
[1013.355] とりあえずちさと: 是空がたまに「さすがに」って言うの本当はなんて言ってるんだろ
[1014.722] るぅの: イタチも吸うよ！ 
[1014.882] khoghas: 技のたびにこくじんを呼ぶ こくっ！ｗ
[1030.664] niemalsaufgeben: umeLaugh
[1045.389] hontouni1: だいこく再就職したのしってる？
[1048.177] bacchuskou: 先端だけ弾、根本は違う
[1049.793] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[1058.415] juno0220: どれだろう。足刈り？
[1076.785] sakai_jin2020: このベガ全く動かないのに攻めてるのすごいな
[1083.043] kuriyourima: なんでいろんなキャラ使うようになったの？
[1087.938] (S)ぼんじゅ: こんばんは
[1090.148] yamayama0520: 強い
[1102.103] だいこん_: 140/170
[1103.880] sakai_jin2020: 当て投げしてるだけで強い
[1105.143] kurodaq: ベガはガイルで対策するため
[1106.980] wahaha7788: サブでもう一番強い疑惑ない？
[1117.344] (S)udonsuki: 大ｐの当て感がやばい
[1117.476] (M)Moobot: Twitch Prime に登録すると無料でたくさんの特典が得られます。未登録のかたは こちら参照ください → https://bit.ly/2YE2nLB
[1119.375] るぅの: SFLや対策などで今や多キャラ使い
[1120.959] (S)shi_e_n: 強過ぎw
[1126.089] (S)ぼんじゅ: 本田越えた？
[1133.040] sakai_jin2020: ナチュラルパワーあるからな～
[1133.730] (S)ばろーね: ウメベガカラー激シブですね
[1141.444] wahaha7788: サブが充実しすぎている
[1156.561] (S)keigunnoikkaku: まあどっちも強いけどな
[1163.205] らみはい: 空対空極めたら最強かも
[1182.148] るぅの: 前触ってたの一昨年だっけ？
[1182.448] (S)kusare_gedou: exブラストからのサイコテイル入ります
[1189.562] (S)alisha0567: ベガの対策結構見つかりましたか？
[1197.769] 国府田: 元カレ
[1207.245] だいこん_: 私も使うデスよ
[1218.381] bacchuskou: 元？現行の二股相手
[1222.855] sakai_jin2020: ベガがきついキャラっているわけ？
[1233.244] yamayama0520: ぐれちゃったな
[1241.995] akiaki0612: ベン、震えて待て
[1249.200] (S)udonsuki: ザンギきつくないかな
[1256.843] sakai_jin2020: 投げキャラか？
[1260.833] 若鶏の唐揚げ: hiro8201 subscribed with Prime. 
[1261.166] (M)Moobot: @HIRO8201 with the Prime sub!
[1263.200] falaoh: どくらはコーリンキツいって言ってたねえ
[1265.494] ~MISSING_COMMENTER_INFO~: ウメさんベガ向いてそうだな～
[1265.629] kazurock69: こんばんは〜
[1279.956] らみはい: ウメさん妾のキャラ多くない？
[1291.231] tusk_3821: ホットドッグとどぐらさんはセス、キャミィ、コーリン、ザンギあたりをキツいキャラの上の方に置いてた
[1301.514] とりあえずちさと: ウメハーレム美人が少なすぎない？
[1311.447] (S)keigunnoikkaku: 対策のために触ってるだけのキャラってこんなに強いもんだっけ？
[1343.552] yamayama0520: 自分が二人いれば対策楽なのに
[1348.270] niemalsaufgeben: できること全部やろうとしてるから
[1348.410] kurodaq: ベガの前ステってたま抜けれるの？
[1359.072] (S)ほうらい: ウメさんって女キャラ使ってたことあるの？
[1359.274] らみはい: 完全無敵です
[1368.882] sakai_jin2020: ベガの前ステは特殊
[1370.098] khoghas: おおお
