[1578.375] mqhoon9: 思いました
[1579.072] kamatakunotaku: 俺もジャスパおかしいと思う
[1579.349] sussy_int: まさかね
[1584.325] higan1983: まさか？
[1584.513] librabird: めっちゃ取ってくるは取ってくるが
[1586.036] guilegairu: じゃスパよねー
[1587.143] (S)~MISSING_COMMENTER_INFO~: 人間か？
[1595.329] tabibitox: ラッシュへのパリィとコパンが必中？
[1600.284] あり0221: 弱昇竜は空中無敵少しついてる
[1601.100] didier_macaroni: 話題のやーつか？
[1605.254] (S)~MISSING_COMMENTER_INFO~: ロボットか？
[1607.935] tomodaachii: bruh
[1608.820] guilegairu: ジェイミーはやたらと取ってくるけど…
[1610.219] (S)箸くれ: あやC…？
[1617.033] shellfish55: たまたまやな
[1617.238] オーシタ: たまたまだ
[1619.928] librabird: 多分たまたま
[1621.017] (S)ちぇすとです: 弱迅雷も
[1622.846] wmgjpapdjwg: うわさの？
[1627.366] 吉田じんぎ: 反射で押すタイプじゃね？
[1628.057] daizin0716: 後でCFN確認してもいいかもすね
[1631.094] prisira: 噂のはパリィ率えぐいんじゃないの？
[1635.360] (S)vaio_95: まあこれくらいだと分からん
[1636.849] (S)グレンシア: つこうてるのかな
[1642.583] librabird: ああいうのが出てくると疑うことが増えるからよくない
[1651.811] casita226: たまたまやな うん
[1655.983] esutark: 一戦抜けすればいいよ
[1657.053] nikkou18: ふつうにパリィねらってるだけに見えるね
[1657.833] guilegairu: たまたまっぽいね
[1658.127] hinhinpp: ダッシュ弱だけはピンポイントすぎる
[1660.643] 火の大罪: たまたまっぽい
[1660.850] 吉田じんぎ: 今も押してたな
[1665.345] まえうしろ: 全然普通の人間に見えるけど
[1666.439] (S)~MISSING_COMMENTER_INFO~: たまたまだったか
[1670.124] donachan: うめぇ
[1672.554] オーシタ: ほんとチートのせいでただ上手いだけの人も疑われて可哀想
[1683.701] (S)~MISSING_COMMENTER_INFO~: 噛み合うこともあるしねぇ
[1684.973] guilegairu: ジャスパマンなんだきっと
[1685.891] prisira: 翔みたいなバケモンの可能性・・・ないかｗ
[1688.562] ueponta: 人間性能高かったパターンぽい
[1693.457] mqhoon9: ニュートラルにしてるときだけ出る臭い
[1696.955] GYAKUBANE: 全部取ってくるわけでもないし
[1697.604] royalkopenhagen: チートおるとこういう普通に上手い人まで迷惑してアカンね
[1702.658] blackcoffee0821: 本人も疑われんだろうなーって思ってるよ
[1708.829] tabibitox: ブレイクダンスみたいなやつへの反撃しらべないの？
[1710.035] siromonn: チートは殆どあっちの国だからもっとピン高いでしょ
[1711.513] kamatakunotaku: CFNみるべ
[1714.663] guilegairu: でも多いは多い
[1719.865] sussy_int: 見直さないとわかんないしややこしい
[1723.456] librabird: いや迅雷の弱も相当とってるんだよ。あそこまでとるか？ってレベルで
[1724.059] (S)~MISSING_COMMENTER_INFO~: 多分ジャスパ取った人も驚いたんじゃないか
[1724.231] prisira: ジャスパはまじでわかりづらい
[1724.831] 吉田じんぎ: そうだクルクルの反撃だ
[1727.234] shellfish55: 格ゲーでチートって意味わからん
[1727.254] nikkou18: ラッシュ小技ジャスパとる狙いだっただけのように見える
[1728.641] オワオワタ: チート疑われるのはむしろ誇らしいよ
[1731.821] Kaoz_One: !hitbox
[1733.071] iitzmalik19: Daigo the best ken?
[1734.225] guilegairu: 本人はよ
[1742.505] pondenring0930: ハイタニ本田がジャスパチートに出くわした動画おもろかった
[1756.298] yamapon_: チートってこれから格ゲーでも増えていくのかな
[1772.886] prisira: 人気になったゲームでＰＣあると絶対出る
[1773.578] (S)vaio_95: たつや、カワノ、板Zとチート成敗動画伸びてたねえ
[1773.623] (S)グレンシア: 人気出るとどうしても出てくる
[1774.280] shellfish55: 流行りはしないと思うよ
[1776.207] nikkou18: シーンの規模がでかくなるとどうしても出てくるやね
[1780.628] ウリウリ: 対ありでしたー！
[1787.444] HirocoT: お
[1788.217] オーシタ: PCゲーな以上チートは絶対に出てくると思います
[1789.955] nikkou18: 本人ぽいのきたぁ
[1790.088] prisira: スト５にもいたにはいたらしいし
[1800.633] あり0221: 上位勢って当たる人数少ないし、ブロックで村八分にされて終わり
[1809.769] librabird: ゲームの性質上増えない。ままごとにしかならないから
[1816.456] 吉田じんぎ: 偏見で悪いけど、チートって中国な気がするなーって思ったけど、人口多いんだからなんでも中国になるよな
[1825.983] shellfish55: 普通にブロックで終わりだからな
[1838.278] esutark: MR1970からレジェンドかな
[1845.977] higan1983: あひぃ
[1848.251] (S)tankbba146: まあ実際チートはほぼ中国だぞ
[1848.726] royalkopenhagen: FPSと違って開拓もそこまで進んでないだろうしな
[1853.207] yamapon_: FPS界隈はチートでタイトル廃れることもあるしスト6はそうなってほしくないな
[1853.730] tabibitox: 日本人にも割れベータやってた奴いたしな
[1854.285] mana_0099: さっきのジェイミーパリィ漏れてたし人間だと思う
[1863.665] あり0221: 多民族国家やし人口も多いしで最高と最低の差が激しいだけ中国は
[1863.928] オワオワタ: 1回動画のネタにしてあとはブロックすればいいだけだし
[1871.043] prisira: どこの国もやるやつはやるから
[1871.139] siromonn: あっちの国はそういうモラルみたいなの無いようなもんだから
[1873.452] sussy_int: 比率でいってもチャイナ多いです
[1877.169] (S)イエール: umeYay
[1877.917] shellfish55: 正直オンライン大会でも上手いことやればチートってばれないよな
[1886.699] librabird: 弱派生も死ぬほどとってたけど、食らってる時もあったからな
[1901.925] (S)tankbba146: コンボだけ完璧にするチートとかだったらばれようがないな
[1908.202] pondenring0930: チーム戦じゃないからチート奴もやっててすぐ飽きそう
[1908.341] (M)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[1912.648] negishake: チート騒ぐからダメなんだよ話題に出さなくていいよ
[1919.790] 吉田じんぎ: 投げ半分抜けるとかやられたらわからんよな
[1921.611] gajpmwtdpw: 人口が多いとヤバい奴も増えるからしゃーなし
[1936.530] (S)tankbba146: あー半分だけとかになったらもう無理だろうな
[1942.160] bec118_japan: 将棋のオンライン対戦ゲームとかチートし放題だと思うんだけどどうしてるんだろ
[1954.758] あり0221: でも格ゲー界は韓国の人も中国の人もみんな良い人しかいない。政治入ってこないから嬉しい
[1966.998] shellfish55: 大半のやつらはマッチングすらしないからなチーターと
[1969.105] 吉田じんぎ: 将棋はAIと打ち方にすぎてるやつはBANって聞いた
[1981.120] ぼむむ: ケンかよ、ザンギ頼む…！
[1983.437] prisira: いい人しかいないはそんなことないぞと言えるがｗ
[1983.458] bec118_japan: なーるほど
[1985.864] とも8はる: こんにちは
[1989.351] sabamesoni: ないす
[1992.975] gajpmwtdpw: 格ゲーコミュニティでは韓国とかなり仲ええよな
[2021.624] shellfish55: 表面上なだけの可能性もあるからなんとも
[2050.924] あり0221: 少なくとも名のある人達で変な人はいないよ。付き合いもめちゃ長いし
[2054.538] prisira: まぁやばすぎるやつは淘汰されてはいるず
[2057.083] (S)箸くれ: 集中できてない？
[2057.362] pondenring0930: レジェンドラインは1970くらいか
[2060.779] giguok: 格ゲー界は政治入ってこない？キャラの政治はとんでもねぇけど
[2063.889] (S)~MISSING_COMMENTER_INFO~: 悩めるウメさん
[2076.619] (S)tankbba146: スネークアイズがグラブルやってる・・・ザンギに絶望したか・・・？
[2096.138] esutark: 波動撃てないな キャミィは
[2103.282] gajpmwtdpw: ？？？「緊急で動画を撮っています」
[2104.186] (S)箸くれ: んぐうう
[2104.236] (S)mashirochan___: YouTubeのほうスパチャきてたよ
[2107.493] sabamesoni: つえー
[2113.452] あり0221: スピンナックル吊る相性やからなぁ
[2113.489] tabibitox: ジェイミーのくるくる
[2115.690] (S)日本語かな: お昼過ぎのスト6だー
[2117.727] market_fujisaki: ジェイミーのブレイクダンス
