[709.339] (S)田中脊髄剣田中: こんどぐー、いよいよ本番ですわね…
[743.547] (S)港区ザンギエフ: スト6にもクソデカカウンター欲しい これ気持ちいい
[766.175] ゼロコーラとオノノクス: うおおおやってるうう
[795.510] RSKEY2561: 今日まで199ドルで登録できて明日から24日までの遅延登録だと225ドルでの登録になるみたい
[833.150] shoji_jou: 遠s見て二段目FDとかできる？
[838.474] showwhatman: 流石に無法にはならんかった
[838.808] konaoh: パイルで端到達するけど張り付かない時はダストユニバース>近S>Pパイル>2K拾いできます！
[847.695] konaoh: 裏当てしなくても！
[850.660] whiteface811: ソルみたいな感覚で遠sできるわけではないんですね
[879.307] samuraisjp: 先日辞めたほうがいいキャラ何人かいるみたいなこと仰ってましたがジョニーは大丈夫ですか？
[899.242] kanameape: 一旦急かしといて遅延でも登録できること後で教えれば問題ねえな！
[922.299] ゼロコーラとオノノクス: いちいちかっこいいな〜スレイヤーは
[953.331] (S)港区ザンギエフ: さ〜すがにﾀﾞﾝﾃﾞｨ…
[962.764] showwhatman: ５月が終わりそうですが、クソキャラ総選挙の進捗はどうですか
[975.434] whiteface811: ステ宇宙がもうちょい簡単ならなあ
[985.674] shinonno0318: マッハパンチじゃなくてマッパハンチだから逆に覚えますよね技名
[999.483] (M)墾田永年私財砲:  [本日の更新動画のコーナー] 豪鬼レジェンド到達！道中で遭遇した猛者がみんな豪鬼   https://t.co/8Jn12zQXUO
[1000.389] (M)墾田永年私財砲:  どぐら、スト6の真実について語ってしまう  https://t.co/NhccPLuUDf
[1038.402] supermonkeytm: アサルトじゃダメなんですか？
[1040.173] (S)cotch0914: こんどぐ
[1056.036] こんメケ: 昨日遠ＳからＰステしたら派生前にめちゃ投げられたんですけど、僕の入力が遅いだけ…？
[1081.954] anemoi_thyellai: ステキャンを完璧にするか（）
[1082.691] _霧切_: 暴れてくるならパイルがカウンターしますよ
[1090.161] shio_syake: どぐらさん、おつかレンコン(^^)今日頑張って果物！
[1091.406] ゼロコーラとオノノクス: 有利からキャンセルしてるのに！
[1101.719] no_potechi14: ギルティのフレームorコンボのルールってスト6と微妙に異なってます？
[1114.521] こんメケ: なるほど
[1138.633] otddd: ギルティは最速技3fだった気がする
[1148.660] まだだお: キャンセルないの楽すぎる
[1150.820] モドキ: そういえば、クソキャラ列伝総選挙は今月末に発表だった気がしますが、聞いちゃダメな話題？
[1154.252] showwhatman: 家系と一蘭くらい違う
[1158.043] ゼロコーラとオノノクス: ディレイできる要素いっぱいあるしな
[1166.853] showwhatman: まめスパ・・・？
[1169.652] 卯尾市場: 楽しみにしてます
[1173.385] APOLLO_888_: こんばんは
[1179.035] (S)masamasa_19: うおー
[1179.158] モドキ: 楽しみです！
[1179.659] (S)港区ザンギエフ: まめスパ、ゆっくりでいいから頑張ってね
[1180.539] m1jink0: ディレイ発表
[1182.949] (S)港区ザンギエフ: ゆっくりでいいから
[1184.555] ヒースシザリン: まめスパいつもありがとう
