[60.837] (S)jakkaru_127: jakkaru_127 subscribed at Tier 1. They've subscribed for 5 months! 
[60.971] (S)saitengrat: 月曜日配信 
[61.047] (S)ぷくてん: おいすおいす〜
[61.210] (S)トメィト: hiirag17Nice
[62.266] (S)chinogorou: 切り抜きちょうど見終わったとこで助かる
[62.969] (S)chokochip1: 豪鬼まであと2日
[63.353] (S)gyunyuma: ヴァロたのしみ！！！！
[64.175] (S)ううな: こんー
[65.213] (S)purinchan_05: hiirag17Bbb
[65.706] (S)tiger6332: こんばんわ
[65.749] (S)左久良深琴: 月曜配信あざまる
[66.601] (S)fig_0106: 最高のセトリ
[66.849] (S)semi_091_: こんばんは‼︎VALO嬉しい〜
[68.432] (S)kuri0099: こん！
[68.885] (S)emo_o5: hiirag17Nice
[70.488] (S)sheriiblue: マジか！最高
[70.821] (S)左久良深琴: こん
[72.530] (S)みゆ7: 来たー
[72.714] (S)もみあげ太郎: ヴァロありがとう！！
[73.265] (S)aki_216: hiirag17Bbb
[73.757] shakefuku: ヴァロありがた
[74.215] (S)あやたん404: おつ
[74.595] (S)しなこ072: hiirag17Nice
[76.307] (S)sho637: こん
[76.696] (S)kyusai_0831: hiirag17Nice
[76.970] (S)yu_ki081: hiirag17Aaa
[77.784] (S)ruler_0906: きちゃ
[79.520] (S)きのころ: ヴァロあざす 
[80.362] (S)t28013: こんばんは！今日も元気もらいにきましたー！
[81.756] (S)みっちー14: 賭けさせてええええええええええええええ
[81.971] (S)rururun09: ヴァロ！！！
[82.044] (S)るぁ__: こんちゃ
[82.635] (S)siomm_: ヴァロきたー
[82.846] (S)tetedayo_: 月曜日配信嬉しいー！こんちゃー！
[83.443] (S)急に球根食べたくなる夜: 急に球根食べたくなる夜 subscribed at Tier 1. They've subscribed for 6 months! hiirag17Nice hiirag17Nice
[83.625] (S)わらいぬこ: おいすー
[83.686] (S)肉じゃが: hiirag17Bbb
[84.651] (S)ゆーちゃん88: こんー
[86.121] (S)anyotan: こーん
[86.882] (S)waiwaiwai7: 配信あざます！！
[87.093] ~MISSING_COMMENTER_INFO~: 芋上がってダイヤも行く気かよ
[88.979] (S)kuri0099: ヴァロ▶︎スト6最高！
[90.669] (S)フィーシーズ: hiirag17Fight
[90.764] (S)pi_na2mi: hiirag17Nice
[91.957] kem_0405: こん
[95.234] (S)_にいさん: _にいさん subscribed at Tier 1. They've subscribed for 2 months! 
[95.401] hitu_non: こん！
[98.384] (S)grampa029: 賭けるポイントが無ぇ！
[99.019] (S)popopo_niinoo: やほー！ヴァロ！うれしい！
