[141.500] (S)すれいまん: どういうことなの・・・
[143.271] (S)right_8: ベースはさておき、スト6
[144.728] mukimukipanda: ファンクバンドやって欲しい
[145.013] (S)aransia0624: 高価なのなくさないでくださいw
[145.318] ikemaru421: ワイプ大きくして
[146.137] flashbacks18: 今日買ったの？
[146.662] (S)jitaabagu: 左手強化？
[146.909] (S)manamolike: 初心者が135万はアホだろw
[146.985] ~MISSING_COMMENTER_INFO~: 135！？
[148.287] (S)ぶっちゃ: 今回の経緯を改めて御説明下さい
[148.461] burupapu: まーじか
[149.479] TUBE_MAN: カメラメインにしてくれーーーーーーーーーーー
[149.656] (S)shir039: ヒトボケースにしちゃえ！
[149.661] haraiso777: ワイプですませていいアイテムじゃない
[149.695] 遼は肉が好き: バカ舌だから、ツイートでは『ミート』呼び？w
[151.607] (S)haicro_zm: 一括払い痺れました
[152.204] oishinbouya: 車価格
[154.369] (S)maya_g01: 135！？
[155.136] tsukikage_saga: １３５万かったってまじ！？
[155.265] (S)vivfiw: とんでもない買い物してるなあ
[156.677] v_harumi_v: おおー
[156.865] yonayona04: 試し弾きすらしていないベース
[158.821] げすと_: かっこいい
[158.963] tsukikage_saga: すげええええええええ
[159.058] (S)mm2351: かっけぇ
[159.098] salifuas: ミートさんのヒトボ捌き見たくない？
[159.105] (S)mart_00_: おおー
[159.753] v_harumi_v: すっごい
[159.807] (S)right_8: おぉーー！
[160.000] beehive3: うおおおおおおお
[160.038] (S)Yaponjin: おぉぉ
[160.179] icyblue1985: ウメベース
[160.272] dryalls63: ミートスパゲッティの早食いかと思った
[160.321] chin_56_: ひょおおおおおお
[160.588] astro5dasher: ベースも仕事の一つになったＷ
[160.839] (S)lizanotes: umeCossack
[161.019] OldTypeOji: Cheer100 Cheer100 Cheer100
[161.174] じゃっｶﾙ: かっけー
[161.482] (S)P03Nekk0: 135万だあああああ
[161.591] nkmr0518: かっちょええ
[161.762] (S)gyu_nyuu_pann: かっこいいい
[162.384] gtinferno666: wow
[162.842] (S)mm2351: ｗ
[163.004] ~MISSING_COMMENTER_INFO~: かっこよw
[163.034] (S)fahmy0825: Wow, Meat-san guitar?
[163.078] tsubame5204: umeYay
[163.084] dai920: すげえ！
[163.192] (S)aransia0624: かっこいい
[163.496] momochan6: かっけええ
[163.615] umimiuumi: うわー
[163.965] akittyan: カッケーーーッッ！！
[164.270] i2i3iv: かっけえ
[164.590] (S)どるいどです: おおおおお
[165.020] アザミノ: かっけえええええ
