[965.336] yonemom7: ありがとうございます！
[1061.860] じぃじぃじぃ: がおっす
[1085.082] シャバ増: なまじゃはいる？
[1111.052] じぃじぃじぃ: ボドどこ？ 赤いシャツ？
[1129.098] じぃじぃじぃ: どなたか知らんがあざす
[1129.302] silva518: ボド来たらどれか教えて
[1150.980] 世界ノ前田: ボドはオレンジの靴だから分かりやすい
[1155.058] 辛めのジョニィ: 誰が誰かわからんなｗ
[1157.261] ssssssssszx: BloodTrail
[1163.591] takuto135: 4人だけでサッカーするの？
[1164.509] kokowami: カメラ少し斜めになってる？
[1203.974] シャバ増: 歩き回ってみて
[1204.938] 倉内: きにするな！
[1208.901] (S)激ローメタモン: ボドしゃんは、暗めのグリーンぽい色だね、頭にヘアバンドも巻いてる
[1211.062] じぃじぃじぃ: けんきスタンミまざー以外は全員リスナーか
[1237.359] じぃじぃじぃ: お
[1238.112] ミントー: ボド右から来てるぞ
[1244.606] じぃじぃじぃ: ボドカノ右
[1248.660] silva518: オレンジの靴わかりやすいなｗ
[1255.870] dnt_mind: これリスナー？
[1259.060] じぃじぃじぃ: リドルヘアバンドやん
[1261.425] 辛めのジョニィ: いたｗ
[1264.884] 世界ノ前田: 実況解説お願いします
[1275.956] じぃじぃじぃ: カメラマンありがとー
[1292.667] 辛めのジョニィ: 女子5人おる
[1311.557] (S)yacha17: カメラさんほんとにありがとう 
[1313.831] myamuis: 女だああああ！！！
[1315.643] シャバ増: 女4
[1322.080] ゴルゴ6060: 女
[1333.227] 辛めのジョニィ: けんきかｗ
[1339.854] じぃじぃじぃ: ボドカの今日の服あれか！オジサンジェルマンのユニフォームか
[1341.013] ミントー: あ
[1353.750] marlhi_low: カクッカクやな〜
[1391.185] 赤髪れいです: 熱の問題やろうな
[1395.306] mci_foden: ありがたい
[1400.274] 世界ノ前田: ありがとう
[1403.238] (M)tennkoh: ありがとー
[1413.927] (S)yacha17: k4senNorinori
[1447.249] (S)Quu_o: ありがたやー
[1489.274] じぃじぃじぃ: おおおおお
[1495.367] cigaretteo: 男女関係なく皆出れるのか良いね
[1497.070] mobmaru: ゴラッソ
[1497.322] ssssssssszx: おおおお
[1501.294] 世界ノ前田: ボドのスパイクわかりやすくて助かる
[1512.463] gohantaro4: ボドどこ？
[1520.334] じぃじぃじぃ: ね、オレンジの靴いいね 遠目からでもわかる
