[207.189] zabu0114: メンバー変わってもyear4終わりまではやって欲しいな
[216.446] クアンシ: メルトステラ
[220.956] kusastu: メルトステラで再建
[222.418] amutenn: やっぱ3キーマウは練度高めるの大変そうだったね
[224.168] pikunikku6: やはり時代は2padなのか、、
[225.968] yay0i_p: sakuさんコーチ転向しそう
[227.894] peroon_: BibleThump
[230.112] liberty_ne: valo部門APE部門の分も気合い入ってそう
[234.387] 雲皇帝珍満: 環境変わってからねぇ
[235.173] maiku111: Genえぐい
[235.306] lionelmessi4545: そうよな
[235.806] pika0427: 流石に
[239.537] 加藤純吉: ゆきお辞めたらリドルとして応援出来んくなる
[239.619] らむぽっぷ: 対面きついねー
[244.179] キューブってる: がおっす
[245.185] tam_svf: 確かに
[249.016] チョ: パッドの方がいいんかな
[249.185] himihima: やっぱPadなのか..
[250.558] yay0i_p: メルトステラ、リブルエースとあと1人連れてこな無理や
[252.681] (S)こめつぶさん: 世界の親指はえぐい
[253.944] tt1236k: aurora RCみたいに連携あげるかどうか
[256.502] oka_heihatiro: crで落ちたからな
[263.749] zabu0114: 今の環境中入りがキツいよ 
[264.938] kken1020: 結局ファイトだよな
[266.377] 雲皇帝珍満: そう考えるとrejectすごいな
[266.528] lion_oo6: おやゆび👍
[267.699] maiku111: DZとかTSMみたいな構成のほうがいいのか？
[269.044] チョ: FNC2人パッドだっけ
[269.136] keitapex: ゆきお抜けたらファンも減るやろ
[270.676] pikunikku6: ファイト重視でブラハ入ってないと正直きつそう
[272.160] kanadayo_46: エペは大会だとキーマウじゃないとダメなのか
[278.405] もんぶーる: 噛み合いはしゃーない
[281.815] iru_pika: キノトと合併するか
[288.715] pikunikku6: ろ、る
[288.833] (S)venven8: たしかに...
[289.934] jiwara009: ランクやるモチベ無さそう
[294.148] reoreo4268: こんたぴ
[295.041] tt1236k: あれ、
[295.885] senseihangeki12: 決勝いってるアジアのチームがPad抱えてるから仕方ないよなぁ
[296.099] amutenn: エペはゲームとしてモチベ保つの厳しそう
[296.172] グラル87: ろ、る
[304.913] insider0826: キャッシュがかなり環境変えたね
[305.018] kazuma031100: 悔しくてモチベ上がるといいなぁ
[323.690] チョ: 越えられない壁もあるからな
[335.114] liberty_ne: フナがやばすぎるだけ？？
[335.394] グラル87: 実際めっちゃエペやってるメルトステラは上手いしね
[338.119] maiku111: sprit2っていつごろ？
[344.373] 雲皇帝珍満: saku爺心配やね
[349.401] らむぽっぷ: 悔しさバネに頑張って欲しい
[352.081] もんぶーる: 1ポイント差はメンタルくるよ
[353.439] pikunikku6: さくはけっこうメンタルいってそうゆきおはカジノのこと考えてそう
[354.201] jamponzu: 去るもの追わずか
[354.631] tenten_101010: ここからリベンジしたら熱い
[354.959] iru_pika: 言うてスプ2すぐだよね？
[355.518] himurakimikan: sakuさんとかとくにね・・・
[356.568] senseihangeki12: saku爺効いてそうやね
[358.816] (S)xxxjunxxxx: xxxjunxxxx subscribed with Prime. 
[361.635] omatsu1234: 6月からsp2
[367.821] oka_heihatiro: 中入りが刺さらなくなるってこの4年目にして誰が想像したんやろ
[373.602] lionelmessi4545: はやいな
[374.672] maiku111: はっや
[375.906] tt1236k: sp2すぐだから、もうすぐ決めんとな
[378.239] tumblerrrrrrr: そんなはやいのか
[378.517] doaching: はや
[378.702] レオ7: こんばんは
[384.179] zabu0114: 今までで1番ファイトが必要になっちゃった
[389.834] ruhq1234: 中入さ皿無くなったのきちいな
[390.200] (S)こめつぶさん: リドルメンツ面白いし
[391.551] jamponzu: なるほどたしかに
[392.167] gedoyama: 本人たちのモチ次第か
[393.892] hatutimo: スパン短すぎる
[394.062] tikuson1024: ゆきおやめないでね 
[394.740] 奴隷ですおーとです: ボドカさん可愛い
[402.099] nanashi882: おお珍しくこの時間の配信見れた
[404.115] amutenn: 悲しいけど早く切り替えないとよね〜
[409.537] tenten_101010: 誰でもRID応援するしかない
[409.538] グラル87: year3終わった後中入りするためにさくと組んだのにキャッシュ環境で外入りが強くなったのかわいそう
[409.749] lazy_hayapoppo: でもリドルの事だから修正できるよ
[417.156] liberty_ne: 悔しさをバネにsp2みたいなー
[418.602] ~MISSING_COMMENTER_INFO~: リドルヴァロおめ！
[425.239] tetorapothajime: 頑張ってほしいな
[426.305] lazy_hayapoppo: あの3人なら絶対勝てる
[427.177] hannyashingyo_0123: おはようございます
[432.168] tt1236k: むかいさんも選手なりたいみたいなこと言ってたしね
[432.860] jiwara009: 国内では勝てそうだけど世界だとなぁ
[433.394] cheeseUnadon: メンバー変更って完全に選手に委ねてるの？
[443.224] ankooisii_1: ついにvaloが配信で！！
[445.191] exampleokajima: 応援します
[446.087] doaching: ほんとお疲れ様でした...!
[446.174] ヘルシー鳥皮: Valo部門つよつよだったね
[447.678] from_9t: 明日valo楽しみだね
[450.069] takatakabouzu: 中入りムーブ移動早すぎて確定でアーマー弱いのしんどかったな
[450.185] すいたんでらっくす: Valoも楽しみや
[450.839] (S)venven8: まあ見てて楽しかった！！応援たのしかったで！
[453.675] makiu0203: ヴァロ配信か
[457.574] もんぶーる: プロはきついな 切り替えなんてむずいよな
[457.677] tumblerrrrrrr: メンバー変わったとしても応援するぞ
[458.861] どぼ11: リドルの配信試合ってもう終わりましたか？
[461.342] Morichan6828: また同じメンツで見たいなぁ
[461.466] lionelmessi4545: ヴァロ裏で見てた感じ？
[463.474] zabu0114: フナティックえぐいね
[464.862] (S)arisudayo0419: favが負けたのびっくり
[465.756] グラル87: valo楽しみや〜
[465.883] liberty_ne: valo マジでアツいテンキンもtier2だしリドルとフェンネルみたい
