[727.589] gawa1010: 3rdに似てると思う
[731.909] ashinotsume: エフェクト出る時fps下がるの演出？
[737.853] みみず3: ハレーションえぐい
[740.764] 420Raiden: 主人公かわいい
[745.714] しお太郎: 人形チック
[752.297] mik4zuchi: 3rd寄り
[756.585] こでまり: ん？
[758.450] なまハム86: 立体感が強いね
[758.838] gawa1010: ホヨバは色んな癖に対応してくれます
[772.150] gakudo12: 鳴潮もおるし
[781.030] shouga02: 技数は多いの？
[782.563] jinxlesse: これは全く別って感じのテイストでいい
[786.682] yukan_8: ゼンゼロUIがマジでかっこいい
[788.652] shimesabab: 他ゲーと制作陣けっこうちがうらしいけど
[790.865] fxxkverdy: 最近案件多いけど厳しいの？？
[837.425] 420Raiden: 世界観は原神崩壊と違って独立してるらしい
[839.484] Leu_shin: いえぬ
[845.579] touma0139: CBT参加したかったな がおっす
[852.378] なっしー0812: ...
[869.474] メガトロン: 今きたけどこのゲームはキャラクリできます？
[872.344] しお太郎: このゲームストーリーもちゃんとおもろい
[886.573] nanasaki__ai: デッドプールみてえでかっけえや
[936.636] yukan_8: 喋るたびに仮面の顎動いてるのウケる
[945.173] mo_chasu: アンビーの声アーニャか
[978.129] (S)thegreatkaito: おお〜二挺
[991.422] (S)homuhomuqb: 回転えっぐｑ
[992.852] lionelmessi4545: おおおお
[1009.520] 日向りょう: ゼンレスゾーンゼロめっちゃおもろそう
[1039.487] gawa1010: まあそんなに気にならない
[1057.060] lionelmessi4545: すげえ
[1059.650] chikage_1003: 原神とかとは雰囲気違うね。結構好き
[1060.413] asupara308: たのしそう
[1061.490] (S)homuhomuqb: かっこよ
[1064.084] 髙橋御膳: いいね
[1065.343] なっしー0812: ぐわんぐわん
[1074.463] shimesabab: 別会社みたいや
[1075.999] 日向りょう: 爽快感とインパクト両立してて面白いなこれ
[1076.134] pontanu87: 探索ないし戦闘ブッパだからな
[1076.886] しお太郎: ジャスト回避と連携攻撃がたのしい
[1078.779] endooomame: 交代スムーズやなぁ
[1085.909] Leu_shin: ヒットストップええね
[1088.466] AK0678: 慣れてんね
[1089.684] meowedog: ヒットストップが気持ちいい
[1090.850] くがそき: かっけーーー
[1091.885] 日向りょう: 早くやりて～
[1092.243] たーにょ: おい！早くリリースしてくれ
[1095.657] (S)thegreatkaito: スタイリッシュ
[1099.690] あおりんご: ゼンゼロ、制作チームも一からのタイトルって聞いた
[1100.309] 髙橋御膳: 音もいい
[1100.396] 欠片_: うっひょーー
[1100.919] gawa1010: アニメみたいですごい
[1103.849] 420Raiden: 見てると早くやりたくなるわ
[1108.699] 下等ひふみ: きもちいいい
[1109.956] nanasaki__ai: これは無料リリースですか？
[1114.325] asupara308: マジですごい
[1114.485] kazu0234: ビリーのPVいいよ
[1127.696] endooomame: Kreygasm
[1128.265] たーにょ: おおおお
[1130.762] negiiim: このシステム考えた人ヤバいね
[1131.781] Banananana877: かっこよ
[1142.218] しお太郎: 天下のHoYoverse様
[1146.308] (S)ahoy_p3ko: センスが爆発してる
[1148.570] 420Raiden: この曲すき
[1148.983] lemonkiiro: この会社のゲームどんどん進化するやん
[1149.681] z4w4qon: マウスバグ、一回裏行って見るのは？
[1151.176] sherlockgugu: 流石HOYO
[1169.863] anra_321: このゲームまだ出来ないよね？
[1175.069] AK0678: さすがホヨバ、キャラが良いんよ
[1179.781] jinxlesse: 作ってる側からしたらマジで頭上がらん、意味わからねえ
[1182.267] らむぽっぷ: いいキャラしてんな
[1187.571] しお太郎: まだクローズドベータ
[1189.188] pontanu87: 7月4日リリースとの噂がある
[1206.132] endooomame: あと1ヶ月も待てねぇよ
[1207.675] (S)thegreatkaito: 事前登録中
[1208.670] かつおぶっしー: なんかアメコミチックでええな
[1218.450] asupara308: これほんとにスマホでもできんのか？
[1242.153] lionelmessi4545: NotLikeThis
[1242.683] orange_y7626: やば
[1243.403] yukan_8: 画面の端から端まで凝りすぎ すげぇ
[1285.140] しお太郎: 音が気持ちい
[1291.502] (S)thegreatkaito: かっけえ
[1291.729] かつおぶっしー: なんかビューティフルジョー思い出すｗ
[1293.943] chikage_1003: まじでおもろそう
[1293.997] AK0678: 戦闘システムが3rd似
[1294.235] 下等ひふみ: 右下のゲージか
[1295.398] (S)homuhomuqb: vodkav2Vodkka
[1295.682] syuu_lost: Kreygasm
[1313.698] asupara308: やっべえ
[1314.560] 竹輪蒲鉾_ちくわかまぼこ: こんにちは
[1315.042] endooomame: 初期キャラでこれって限定キャラどうなんねんw
[1315.999] 豚味噌: ゲーム業界で働いてるけどゼンゼロのクオリティは頭3つ飛びててる。王族のクリエイターが作ってる
[1316.325] 日向りょう: 面白そう
[1316.518] nbi_x: まんま3rdやんけ！
[1317.289] 420Raiden: さすがミホヨや
[1319.689] gawa1010: 脳汁出まくりゲーミング
[1323.247] AK0678: これ聖遺物的なやつあんのか？
[1325.783] supernikka: Kreygasm
[1326.595] supu26: きもちー
[1326.828] なっしー0812: うやー
[1338.820] たーにょ: こんなん出たら課金してまうやろ
[1340.826] (S)96san_788: vodkav2Oi
[1350.662] chikage_1003: 世界観というかデザインもええな
[1350.976] かつおぶっしー: ゲームヌルヌルすぎて意味分からんよな
[1352.574] 冷凍パイナッポー: アニメ調でいいよね
[1361.454] anra_321: このゲームってホヨバのやりたいこと全部詰め込んだらしいね
[1376.749] chaka677: これfpsいくつ？
[1384.667] doraneko310: ストーリーが漫画形式なの良いな
[1387.483] 下等ひふみ: はやくプレイしたいいい
[1389.705] ヤマダ電機60日間: クオリティが8000円のゲーム相当なんよ
[1392.497] 420Raiden: 曲もいいなー
[1394.282] きや331: かわよ
[1406.089] pontanu87: なんとストーリースキップして後から見返すこともできます
[1408.683] chikage_1003: わかる
[1409.228] (S)thegreatkaito: リンちゃん主人公
[1410.943] lemonkiiro: クオリティ高すぎ
[1414.796] jinxlesse: 絵描くほうがコスト絶対かかるのに
[1434.549] otoka_1234: 虚化って事？
[1454.384] しお太郎: ぱえと～ん
[1459.026] かつおぶっしー: 主人公結構しゃべるんやな
[1459.570] 420Raiden: かわいい
[1461.149] メガトロン: 良いねこの演出
[1461.980] lionelmessi4545: かあいい
[1462.681] yuzupompom: 主人公可愛い
[1462.795] asupara308: 無料マ？
[1465.297] しお太郎: グラがよすぎる
[1467.723] (S)homuhomuqb: そんなに？ｗ
[1468.774] reu2501: パンツは？
[1470.484] しばふの: 原神と比べてどう？
[1474.617] supernikka: 漢字盛りだくさんじゃないのも好き
[1478.315] shimesabab: リリース前よな
[1478.941] へいめいりん: ぬるぬる たまらん
[1480.780] wkouhy: 120出る？
[1482.568] karikarikk: vodkav2Good
[1490.397] syuu_lost: すごいよ
[1491.899] (S)homuhomuqb: 質感えっど
[1492.922] endooomame: 歩えっど
[1493.518] gawa1010: あ
[1494.311] doraneko310: でっか
[1494.354] kukkuda: あ
[1495.345] karikarikk: ぬっるなる
[1495.727] しお太郎: ｗ
[1496.005] 420Raiden: ｗ
[1497.210] 日向りょう: えっど
[1497.243] しばふの: でっｋ
[1497.754] silayuki: でっか
[1497.906] たーにょ: えっっっど
[1498.264] yuduru: でっか
[1498.442] 髙橋御膳: えっど
[1502.446] きや331: えっど
[1504.305] かつおぶっしー: ボドカが好きなギャルやん
[1504.794] 0p4nty: 一回やらせてくれ、、！
[1506.876] (S)homuhomuqb: これえぐいなｗ
[1507.580] shimesabab: えど
[1508.862] karikarikk: えっっっ
[1509.947] lionelmessi4545: Kreygasm
[1512.845] reu2501: VDK興奮中
[1515.257] ワンタッチ橙: 胸のホクロがいい
[1515.771] ddambm: 言い方ｗ
[1519.103] yuzupompom: でっっっっ
[1522.962] gawa1010: おいボド見えないぞ
[1524.134] kukkuda: 俺らにはワイプであまり見えません
[1528.225] endooomame: そこどいて
[1530.579] doopee3: ワイプじゃまや！！！
[1532.009] rye_mkiii: ワイプ 
[1532.031] sherlockgugu: ！
[1533.426] karikarikk: ボドカ独占中
[1535.952] きや331: おい見せろ！
[1537.305] 420Raiden: うおおおおおおおおおお
[1537.754] さくっちぃ: 谷間におくろあります
[1537.911] 0p4nty: おっほ”
[1538.217] p1r0h1: ぬるぬるすぎるやりたい
[1538.263] pienwww: ボドワイプじゃまやww
[1539.416] kukkuda: うおおおおおおおおおお
[1539.777] しお太郎: ｗｗｗｗ
[1540.341] syuu_lost: Kreygasm
[1540.862] ddambm: うおおおお
[1541.081] shimesabab: wwwwwwwwwwwww
[1541.497] 冷凍パイナッポー: おおおおおおおお
[1541.943] tume_fps: やさしい
[1542.180] リューイ: www
[1542.181] doraneko310: うおおおおおおおおお
[1542.731] 日向りょう: ありがとう
[1543.042] みやっちです: ありがとう
[1543.630] せいろん: うおおおおおおおお
[1543.732] 髙橋御膳: おっほ
[1544.125] せんなせな: わろた
[1544.175] (S)homuhomuqb: きたああああ
[1544.757] jackhammer8674: うおおおおおおおおお
[1544.784] yuzupompom: うおおおおお
[1544.980] factor_25: おっほ
[1545.706] doopee3: PogChamp
[1545.752] p1r0h1: ｗｗｗｗｗｗｗ
[1546.126] きや331: うおおおおおおおお
[1546.626] asupara308: うおおおおお
[1546.688] mik4zuchi: うおおおおお
[1547.850] crocodile543: sekiKansya
[1548.825] jinxlesse: 今日これ
[1549.103] otoka_1234: おっほ♡
[1549.579] kukkuda: ほくろ
[1549.747] supernikka: ホクロえぐい
[1550.835] ぶしぶ: 感謝します
[1550.985] 420Raiden: vodkav2Angryvdk
[1551.253] pienwww: ほくろえぐぅ
[1551.325] らむぽっぷ: うほおおお
[1551.595] tetsu0618: あああああああああああああ
[1551.809] meowedog: えっっど
[1552.626] hatanuzi: やさしいw
[1556.932] かつおぶっしー: おい揺れてるって！
[1557.786] 江田満: オッホク
[1558.802] mik4zuchi: ほくろ
[1561.169] (S)thegreatkaito: ニコの邪兎屋が便利屋か
[1562.860] 冷凍パイナッポー: ほくろやばい
[1563.275] 420Raiden: ほくろえぐい
[1566.346] マサボ: おいすごいぞこれ
[1566.620] karikarikk: なんやそのほくろ！
[1567.095] reu2501: 🤓そんなときにホクロあったんだ
[1568.939] azurecord9: ぱいぱいぱいぱい
[1575.535] 江田満: ボロンしそう
[1581.180] chikage_1003: かなりこだわりを感じる胸
[1581.999] shimesabab: 元オチ？
[1582.594] (S)令和のペレ: べにと同じ位置にホクロあるぞ！
[1593.868] いたまえ: ん～
[1595.117] 420Raiden: ｗ
[1595.922] pontanu87: デバッガーVDK
[1596.048] lionelmessi4545: wwwwwwwww
[1596.528] いたまえ: まじ？
[1598.763] yukan_8: ナイスデバック
[1599.698] しばふの: ｗｗ
[1599.837] endooomame: 胸ばっか見て話入ってこないって
[1600.930] 狸狐: wwwww
[1601.148] gawa1010: デバッガーボド
[1601.657] lionelmessi4545: ありがとうボドカ
[1602.204] しばふの: ナイス
[1604.680] 山津一海: テスターの仕事として完璧ですね
[1604.913] しお太郎: 他アプリと干渉してるのかな
[1606.303] きや331: ありがとう
[1607.967] supernikka: ありがとう
[1609.838] かつおぶっしー: チェック早すぎんか
[1614.314] ashinotsume: 再起したら消えそう
[1623.175] 髙橋御膳: 元オ子
[1632.895] Juicewisdom: axeumSip
[1640.317] reu2501: 体で
[1640.529] ashinotsume: フルボイス感謝
[1647.446] syuu_lost: ぐへへ
[1648.215] kukkuda: あ
[1648.368] 山津一海: 何で払ってくれるんですかねぇ
[1654.519] 0p4nty: 今なんでもって
[1656.035] かつおぶっしー: 出すもの出してもらおうか
[1657.022] lionelmessi4545: はい
[1657.059] いたまえ: ｗｗｗ
[1659.515] chikage_1003: うざ
[1662.105] せんなせな: 身体で.....
[1668.265] shimesabab: NotLikeThis
[1677.689] kukkuda: でっか
[1688.857] サバぱん: でかすぎて話はいってこない
[1695.367] reu2501: 🤓ニコ後でいっぱい使ってあげるからねえ
[1698.540] 下等ひふみ: ニコちゃん…
[1703.851] (S)thegreatkaito: ニコニコ
[1704.413] asupara308: ニコ声クソかわいいな
[1708.507] starlord468: vodkav2Angryvdk
[1718.106] 日向りょう: ミホヨはほんとキャラごとの魅力が立ってていいな
[1721.106] lionelmessi4545: 戻るの草
[1733.468] みやっちです: ホヨのゲームで主人公こんなに喋るのって他にもあるの？
[1734.218] 420Raiden: モダンや
[1735.901] ddambm: センスよすぎ
[1736.226] puyobe: UI神
[1736.929] 川島宮殿: こだわり感じる
[1737.722] たーにょ: UIヤバイよな
[1744.720] puyobe: おしゃれすぎる
[1746.411] sherlockgugu: HARD
[1748.442] 欠片_: ってかまず綺麗
[1758.279] p1r0h1: さすがだな
[1759.902] ko_wab: うおおおおおおおおおお
[1760.528] puyobe: でっか
[1760.993] (S)thegreatkaito: こーれ覇権
[1761.650] hirosn: ゆっさゆっさ
[1762.553] syuu_lost: でっかぁ
[1763.109] mokoutanmen: えっど
[1763.617] 川島宮殿: 安心と信頼のホヨバ
[1764.011] 山津一海: ぷるんぷるんや
[1766.442] サバぱん: ゆさゆさゆさ
[1767.687] 髙橋御膳: すっげえ動くな
[1768.465] silayuki: でっか
[1770.400] tetsu0618: ふわふわ
[1770.661] Chinmori: 揺れる揺れる
[1771.800] reu2501: さわんな
[1773.859] 江田満: ばいんばいんじゃない
[1773.922] (S)新人おじさん: ぶるんぶるんやんなにとは言わんが
[1777.432] かつおぶっしー: いい意味でソシャゲ感ないな
[1786.434] kukkuda: マトリックス！？
[1788.018] なまハム86: おしゃれなゲームといえばペルソナだけどまた違ったおしゃれを感じる
[1791.502] しばふの: ！？
[1791.855] gawa1010: かわよ
[1797.271] puyobe: かわいい
[1801.088] p1r0h1: かわいい
[1805.613] 江田満: ⭕️レベゲート
[1810.125] jinxlesse: とにかくアニメーションとエフェクトがえぐい
[1819.246] doraneko310: めっちゃ動くな
[1832.856] ashinotsume: ぬるぬる
[1834.096] chaka677: かわいあ
[1836.271] くがそき: かわいい
[1840.790] kukkuda: HungryPaimon
[1843.838] lionelmessi4545: HungryPaimon
[1844.017] しばふの: 映像めっちゃいい
[1845.399] reu2501: 日本ってもうゲームでも勝てないんだな；；
[1847.853] 川島宮殿: 主人公かわよ
[1848.179] 420Raiden: HungryPaimon
[1851.031] 0p4nty: クオリティたっかいな
[1852.425] jackhammer8674: 主人公は戦わないタイプか
[1853.483] sherlockgugu: HungryPaimon
[1856.506] すねーーく: SeemsGood
[1858.743] hqwa321: HungryPaimon
[1859.568] なっしー0812: うわー
[1860.453] gawa1010: 日本は学マス作れるからセーフ
[1867.439] karikarikk: HSWP
[1872.245] nos__kin: マルシルの声いいなあ
[1875.700] puyobe: やるしかねえ
[1876.595] はとむぎ化粧水: これ無料まじか
[1880.423] 俺の名はれのん: やるしかねえな
[1880.676] らずきち: まじか
[1881.046] せんなせな: ファッキン無料
[1881.111] Luminus_XD: 金の掛け方がちげぇや
[1882.574] silayuki: ほんとに無料か？
[1882.849] asupara308: 無料なのえぐい
[1883.294] wkouhy: こ無マ
[1883.921] lionelmessi4545: む、むりょ？！！？
[1883.927] 下等ひふみ: え、これ無料なんですか！？？
[1888.172] mokoutanmen: 無料！？
[1892.730] 420Raiden: 進化がえぐすぎる
[1897.167] lemonkiiro: なんと無料です
[1897.837] かつおぶっしー: そんなわけ
[1898.201] hqwa321: sodayo
[1900.779] ddambm: ｗ
[1902.955] 下等ひふみ: ｗｗｗ
[1905.353] 姫爺: エンドコンテンツも意味わからん位おもろいらしいね
[1906.882] puyobe: ファッキン
[1907.539] mik4zuchi: www
[1907.761] AK0678: 真ん中のかわいい
[1910.279] 江田満: 課金が、とまらねぇ
[1911.530] 俺の名はれのん: コレじつは5000円です言われても納得する
[1915.522] jackhammer8674: でもガチャで実質
[1915.915] chikage_1003: 普通に買い切りでもやるかも
[1926.946] haru12369: 日本の3Dモデルがガビガビに見えてくる
[1927.184] なっしー0812: 890円は出す
[1933.433] marume123: これcsはps4切ってps5のみなんだな
[1936.294] ddambm: 有料になっても、「やっぱりね」って納得されそう
[1940.948] Luminus_XD: むしろ買い切りでください
[1948.024] 420Raiden: クオリティ買い切りレベルなんよな
[1953.476] はとむぎ化粧水: ゲームは明らかに進化してるよな
[1955.812] puyobe: モデリングえぐすぎる
[1957.982] pontanu87: なんと武器ガチャすり抜けありません
[1958.098] AK0678: スマホでいけんのか？
[1959.940] しばふの: いいと思うな
[1963.227] joooss123: しょうがないよな
[1964.953] かつおぶっしー: PS4はもう限界やな
[1966.552] goocaq: ps4はもうきつそう
[1968.471] chaka677: ps4はfpsでないやろ
[1968.559] きや331: てかスマホで動かせるんかこれ
[1968.966] marume123: スマホあちあちだろ
[1969.105] lionelmessi4545: ps5買うかぁ
[1970.347] ぶしぶ: １０年前のハードだぞ
[1971.434] みやっちです: １万でも出すわ
[1971.661] gawa1010: でもスマホで行けるんよね
[1977.219] しばふの: PC持ってる人も増えてきたしな
[1978.477] chikage_1003: もう発売して結構経ったしね
[1978.756] puyobe: これ耐えれるスマホあるんか？
[1982.456] AK0678: @pontanu87 ほんとに？原神最大の弱点解消じゃん
[1986.796] たーにょ: PS4もう10年前のゲーム機やし
[1988.919] 420Raiden: 原神も要求スペックあがるしね
[1995.186] hisui1217: まあ扱いは3DSみたいなもんだし
[1997.729] karikarikk: スマホ＞ps4
[2001.508] puyobe: くるぞ
[2006.037] しちみー: 待ち遠しい
[2006.248] (S)thegreatkaito: パズルか
[2007.381] 山津一海: うっきうきで草
[2007.524] 俺の名はれのん: かわいい
[2008.256] puyobe: うおおおお
[2008.455] なっしー0812: スマホの進化がすごい
[2018.237] しお太郎: ローテクな世界観がいい
[2018.356] doraneko310: すっご
[2023.085] asm_alkmaar: ps5って発売してもうすぐ4年だからね
[2024.491] 420Raiden: どうなっとるんや
[2025.050] 下等ひふみ: めっちゃいい！
[2027.005] c4ndyyyy77: ウキウキボドカ
[2027.190] かつおぶっしー: ダンジョンってこういう感じなん？
[2028.766] ひらしゅう: おしゃれだよなー
[2034.405] game_nono: 凝ってるねえ
[2035.026] reu2501: 映像かと思ったらゲーム画面だったよ。。。
[2036.883] crocodile543: 演出がめちゃ細かい
[2041.577] コウサン: 探索とかないらしいよ
