[744.173] (S)65vr39: キュードットさんw
[748.530] 又右衛門: ジョジョとか
[752.566] tokorozawabeast: マァムが可愛いければ許すぅ
[753.753] 何も知らないジョンスノウ: 昔の漫画は今もちょいちょいアニメ化してるよね
[754.548] matanitan: 遊技機マネーじゃないの？
[758.400] xxzoids: 原作が枯渇したのもあるのかな。
[760.309] gowest2018: 流行の20年周期ってやつですね
[761.384] (S)ンチャ: ファンが進化した
[763.158] syks555777999: そもそもeスポーツ自体
[765.265] (S)霧月むげつ: ちょっと古い作品がリバイバルするの多いね最近 オーフェンとか
[773.888] gowest2018: 新作が良かったかあ
[777.627] esrever42: アニメは金のかかった二次創作
[785.429] (S)valhalla5555: ゲームもリメイクばっかりやな
[797.371] momochan6: 名作はアニメ化してもがっかりなの多いな
[798.705] orange016: どこまで原作の放送をしてくれるのか、
[815.862] tokorozawabeast: ３０～４０代一番人口多いからね～
[824.481] hachi_mitsu: 正解
[843.418] japantech: AAAAAAYYYYYYYYYGOOOOOOOOOOOOOOOOOOO
[850.626] (S)ンチャ: テレビはタダだから
[850.740] (M)Moobot: That's a tad too many emotes, @mcz_kage (warning)
[852.309] (S)redbull_daisuki: 実写化は確実にクソだから、もう金輪際二度とやらないで欲しい
[857.680] amagigoe: DBなんかは自然と両方楽しんでたな
[859.463] kireboshibasyato: 音や動きがある分だけマンガよりアニメの方が好きだったな
[875.001] 多抜深夜: まちゃ
[880.129] diediedying: ドロヘドロなんだかんだ嬉しい
[883.251] burupapu: ドラクエとか声なしのほうが好み
[889.503] tokorozawabeast: 少女漫画とかはアニメで知る機会多かったなぁ
[891.666] (S)ホナウド: 松浦さんたまに噛み合わないよね
[901.048] (S)shi_ma__: 圧倒的ペヤング
[910.444] 霧矢あおい: 毎日ゲームしてるひとに振る話題か？
[910.805] 壱万円札: 原作読んだときの想像補完に映像化は勝てない と思う気持ちからピンとこないのかも
[921.623] RetroSuperGamer: トルコからこんにちは
[925.641] (S)ンチャ: 海外勢ついていけてなさそう
[926.528] Kanquez05: umeCat
[941.944] (S)poki35: そんなやつおる？
[942.230] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[948.528] suginaka56: LUL
[959.457] kusomegane123: 笑顔に帰結する
[969.528] (S)65vr39: はい次！
[972.948] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[973.217] じゃんじゃじゃん: 松浦さんはウメちゃんの逆ってのを意識してるのかグダりがち
[974.719] ガイルの櫛: わかる
[975.249] orange016: レバーぐるぐるでしょw
[978.018] tokorozawabeast: ランニング中に揺れるポニテですね
[995.192] 壱万円札: 上品な台パン
[1008.220] amagigoe: 建築現場で働いてる女性にグっとくるとか
[1010.673] mutuizumi: 足にアケコン？
[1039.498] あと1983: 春麗以外を駆逐するために頑張ってる姿
[1040.702] (S)tamtam0077: ビル持ち
[1053.127] (S)65vr39: 無さそうやな
[1054.607] kusomegane123: 熟してるかが大事
[1057.222] miso__aji: 彼女がいるから下手なこと言えないんだよ！
[1060.680] はくしま: ない
[1063.801] tokorozawabeast: ウメ好み
[1063.876] amagigoe: じゃあセクシー動画で検索するとき困るね
[1079.927] tokorozawabeast: 確かにウメさんあんまり性的な話しないよね
[1085.617] syks555777999: 制服はガークラのトラウマ
[1094.635] (S)hayama_01: 6時間遅刻する人にキュンとする？
[1096.561] 壱万円札: 裸のみ
[1103.373] jinpace: ほんとかな？
[1104.546] ガイルの櫛: 関心無さげな感じ
[1108.712] kusomegane123: あれもいいこれもいいってならないのか
[1111.674] goodriser: 次いこ
[1116.523] tokorozawabeast: ウメさん下品な話しないから好き
[1118.699] kumatedd: は～ウメさんまじで信頼できるな～。ちょっと感動した…
[1120.616] Shigezo3: 突っ込まなくて良いよ
[1126.491] orange016: ウメさんをトキめかせる方法は無い！
[1126.533] (S)65vr39: 同居人の女性の話だけはタブーだよねウメ配信で
[1131.694] kumatedd: 気持ち悪い質問でしたよ
[1138.188] (S)suruga01: 顔は口に特徴がある人がタイプって言ってたね
[1138.634] (S)tamtam0077: はいこの話おわり！
[1143.380] 壱万円札: 自働で上出る
[1148.403] ガイルの櫛: おわろー
[1153.153] diediedying: 普通の質問だけどねー
[1156.313] じゃんじゃじゃん: 同居猫
[1161.413] 不渡哲也: タブーってかなんで人のプライベートに土足で踏み込んでいいと思ってんのか
[1168.873] suginaka56: デブ隠しだよ
[1188.682] (S)bobumakihara: 千と千尋のデブ隠し
[1189.754] niemalsaufgeben: きっかけとな
[1199.855] kusomegane123: 神秘的な感じ
[1203.022] げろげろまる: ゲイに寄られたか？
[1205.194] kumatedd: 中性的・・・？
[1206.911] (S)bobumakihara: 貴様！
[1211.386] (S)nagilay1: 貴様らは！
[1214.450] diediedying: 童顔の人生やしたりするよね
[1218.539] niemalsaufgeben: 日本男児でないｗ
[1218.637] (S)ンチャ: 昔のウメハラは確かに
[1218.753] じゃんじゃじゃん: 言えないと思うけど誰よ笑
[1220.423] (S)valhalla5555: セイヴァーの時ジャニーズ系だったねウメさん
[1221.343] (S)65vr39: 誰だ
[1222.835] 壱万円札: コアラ
[1225.901] kumatedd: なるほどね
[1231.931] tokorozawabeast: ｗｗ
[1240.670] jinpace: 誰に似てるって言われたんや
[1244.850] (S)nagilay1: そこからだんだんジャッキーチェンになってきたな
[1247.165] サラバア: たとえばV系のボーカルとかかな
[1252.564] げろげろまる: 茶髪パーマと変な帽子は？
[1255.448] kumatedd: ヒョロガリ？
[1257.166] miso__aji: 「日本男児じゃない貴様らは！」系
[1261.765] (S)kanegon7237: 日本男児が好きなんだねーーー
[1263.563] niva_niva: ジャニーズ？
[1264.101] てんてふ: Beast
[1266.353] (S)65vr39: 男塾
[1266.584] (S)poki35: せやな
[1267.370] tokorozawabeast: 個人的にはバンプの藤原君に似てるなぁと思ったり思わなかったり
[1268.645] (S)tamtam0077: 顎クイッ
[1271.017] xxzoids: umeYung
[1271.728] ガイルの櫛: 冷酷
[1272.203] (S)北斗天帰拳: じゃあアンドロメダ瞬嫌い？
[1276.481] hachi_mitsu: まじでシノさん好きだねｗ
[1280.191] (S)matsu_zalem: 江戸っ子気質。
[1286.076] (S)redbull_daisuki: カワノとか見た目日本男児感一切ないけど…
[1291.570] (S)ンチャ: ウメハラは江戸っ子
[1292.828] kumatedd: ｗ
[1292.977] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[1298.429] gowest2018: 鉄
[1304.465] deadlykitten2525: さばさばしてるんだ
[1307.076] (S)suruga01: カワノシノさんとは真逆
[1307.152] kusomegane123: 松浦さんも生やしていけ
[1309.151] おじキッズ兄: ｗｗｗ
[1310.994] icyblue1985: ｗｗ
[1313.065] kumatedd: 逆に面白い的な？
[1313.652] umechin7: 女々しくて
[1317.114] icyblue1985: カワノは女
[1320.178] (S)bobumakihara: あっれっはひどい
[1327.943] (S)ンチャ: ひどいww
[1328.888] ガイルの櫛: カワノどうして,,,
[1331.180] (S)65vr39: ひどいよ草
[1334.412] burupapu: 学べるからか？
[1335.459] (S)poki35: 父性じゃね？
[1340.005] (S)valhalla5555: ｗｗ
[1341.057] (S)tamtam0077: オカマ
[1343.174] げろげろまる: 女々しさの塊
[1343.457] 何も知らないジョンスノウ: ｗｗｗ
[1345.599] hosp1990: えー
[1346.907] borkh3js: LUL
[1350.287] (S)65vr39: 好きなんだね
[1350.458] deadlykitten2525: けしょうは越えてる
[1351.295] lyo0822: ｗｗ
[1352.585] (S)yajue1919: えぇ・・・
[1353.576] suginaka56: え？
[1354.774] (S)bobumakihara: 彼女かよｗ
[1355.630] orange016: 化粧…？
[1356.184] niemalsaufgeben: すっぴんみてないｗ
[1358.611] サラバア: 自分にない感性だからかな
[1362.496] syks555777999: 歌広場と獣道ある？
[1362.928] kumatedd: えぇ・・・
[1364.835] (S)ンチャ: 化粧するのは珍しい
[1365.120] gowest2018: ｗｗｗｗ
[1366.936] momochan6: おねえ系なのか
[1369.356] omochi09: 徹底してんなｗ
[1370.077] tokorozawabeast: 妖精になりたいの？とか聞いてたよねｗ
[1370.463] natuoman: 女かよｗｗｗ
[1375.148] (S)nagilay1: やべーことなってんなｗ
[1376.518] (S)suruga01: きつい
[1377.904] kumatedd: 何でキキララやねん
[1378.261] あと1983: ぴえんカワノ
[1382.701] 壱万円札: 芯は女々しくない
[1384.353] ymdmad: ウメちゃんの彼女説
[1385.434] matanitan: キャラが立ってていいね
[1395.847] kumatedd: おお
[1396.244] jinpace: 一本筋が通ったクズ好き
[1402.242] (S)triskeal: 何を言おうと嘘つきは無理
[1406.749] suginaka56: ???「マゴさんが知ってます」
[1420.740] (S)tamtam0077: 本質を見てるね～
[1423.991] hachi_mitsu: 最低限卑怯ではないと
[1425.141] niemalsaufgeben: 一本筋は通ってる。誰々のせいになるようにはしないと
[1435.229] amagigoe: ネテロがパリストンを側近に置くような感じではないのか
[1466.409] kusomegane123: 自分の人間哲学に従ってると凄みがでてくるよな
[1487.318] あと1983: ウメさんの思春期話は少し闇が香るからすき
[1528.393] gettyozi: いい質問
[1531.065] (S)nagilay1: ビエネッタ
[1537.581] deadlykitten2525: コンビニ勢だ
[1539.996] jinpace: みぞれバー
[1541.203] umechin7: クッキーバニラ好き
[1545.454] (S)ホナウド: MOWすき
[1547.067] tatsu0000: MOW
[1547.476] あと1983: 自販機のアイスすき
[1548.053] kusomegane123: ラクトアイスはあかん
[1551.898] burupapu: マカデミアンナッツ
[1555.268] ~MISSING_COMMENTER_INFO~: ダブルソーダかな
[1556.624] niemalsaufgeben: ハーゲンダッツは上位互換
[1558.298] (S)yajue1919: サクレ レモン味
[1561.246] (S)matsu_zalem: キャデリーヌ
[1561.821] deadlykitten2525: アイスの実
[1569.756] (S)valhalla5555: ｗ
[1577.824] icyblue1985: シャビィ好き
[1578.066] あと1983: 氷っぽいやつ？
[1579.238] hosp1990: みぞれ？
[1580.795] (S)yamame: サクレ？
[1582.002] (S)triskeal: クイッククエンチ？
[1588.491] kumatedd: 60円安い
[1588.518] (S)65vr39: わからぬ
[1590.937] (S)Hitode_noko: サクレは100円
[1592.112] Kojirou5260: サクレだな
[1593.329] gaikotsug3: うまいよねサクレ
[1595.114] tokorozawabeast: ハーゲンは日本から本部撤退してから風味が落ちたような気がする・・・
[1597.356] zaurus1111: パルムとガリガリ君
[1602.115] (S)redbull_daisuki: ダブルソーダ
[1603.377] manasvin13: うまいよねー
[1603.643] kumatedd: サクレは最強
[1604.327] pot1111111: ピノかなぁ
[1607.337] kahaku91: 2個
[1608.202] Kanquez05: 2個でｗ
[1610.408] kusomegane123: 2個w
[1612.015] ベジ太: パルム
[1613.135] lyo0822: ２個ｗ
[1614.163] kumatedd: えークリスピーかよ
[1616.659] mutuizumi: 両手で？
[1619.168] ガイルの櫛: あんま食ったことないや
[1621.747] chie_chie: でヴ
[1624.630] (S)lunasolnars: ハーゲンダッツ華もちシリーズが最強
[1631.537] hachi_mitsu: サクレのイチゴミルク味のモデルチェンジ前が最強だった
[1635.365] orange016: バーゲンはわからん
[1637.716] kusomegane123: 牧場しぼりよ
[1642.537] niva_niva: ウメさん本当にあまのじゃくだね
[1651.953] (S)tamtam0077: 様
[1652.598] サラバア: 真ん中バニラのやつね
[1655.298] あと1983: tier1ダッツ
[1656.833] 桜風かなた: ヨーロピアンシュガーコーン
[1658.899] chie_chie: よく食べるわ
[1661.225] manasvin13: ヨーロピアンシュガーコーンすき
[1662.310] hato_pizza: あれはうまい
[1665.231] Kanquez05: umeYay
[1666.349] (S)bobumakihara: あっっ！！！！！
[1666.499] pot1111111: せやろ
[1666.590] (S)ﾃﾄﾗﾝ: ア"ッ！
[1667.746] (S)tamtam0077: ｧ！！！！！！！！！！！！
[1668.167] 多抜深夜: あ”！！
[1668.538] omochi09: あっ
[1668.612] (S)fapfapjpn: umeYay
[1668.627] (S)kiku1133: うまいっすねぇ
[1670.638] jinpace: 犬いるのかと思った
[1671.780] kumatedd: wwwww
[1672.880] icyblue1985: 俺はアイスの実かなぁ
[1674.739] kireboshibasyato: BLACK
[1675.070] manasvin13: ピノより雪見だいふく
[1675.743] (S)霧月むげつ: umeYay
[1676.669] mutuizumi: ﾊﾟﾋﾟｺ
[1676.906] amadori3: 雪見大福
[1677.056] burupapu: 雪見大福
[1678.898] kumatedd: ピノコスパ悪い
[1680.658] diediedying: さっきヨーロピアン食べたわ
[1680.966] 壱万円札: ピノ破裂音
[1683.346] ガイルの櫛: beast吠えたw
[1685.158] あと1983: ビーストの咆哮
[1687.029] komi_com: ピノは少ないってのが、、、
[1688.686] 桜風かなた: うまか棒だなぁ
[1689.853] (S)suruga01: ピノはマジでコスパが
[1692.056] サラバア: アイスの実のどに詰まると地獄
[1692.625] げろげろまる: スイカバー
[1699.250] じゃんじゃじゃん: ピノ1個頂戴の罪深さ
[1703.319] mutuizumi: せいこ？
[1703.400] (S)verdict5557: 昔ラーメンの見た目のアイスあったなぁ
[1704.617] mandaradara: ブラックモンブラン…
[1706.566] サラバア: キャデリーヌ
[1707.676] niemalsaufgeben: 雪見大福のいちご味はいまだに買っちゃう
[1710.585] mutuizumi: キャデリーヌ？
[1714.298] hosp1990: 棒がガムのやつ
[1722.883] 狼狽う子は魚: アイスガイは毎日食べてたなぁ
[1723.503] pot1111111: アイスは多いよ
[1729.760] (S)suruga01: ピノ一個一個袋に入ってるやつは何個も食べちゃう
[1733.541] kumatedd: スーパーカップのクッキーバニラが
[1735.007] hato_pizza: ブラックモンブランはあんま売ってないからなあ
[1736.027] (S)lunasolnars: たまごアイス
[1737.896] amagigoe: パピコの食いやすさは評価する
[1740.487] chie_chie: パルムが好きやー
[1748.620] (S)65vr39: クーリッシュもいいぞ
[1749.479] じゃんじゃじゃん: アイス盛り上がったな笑
[1759.821] (S)user81023: umeYay
[1761.985] (S)Hitode_noko: 筒状で凍ったベリーの果肉とかが入ったアイスなんだっけ
[1769.253] (S)lunasolnars: 六花亭のレーズンバター冷やしたやつが一番うまい
[1771.452] (S)kiku1133: 空手きますよ 女子に清水選手がいるから
[1773.787] jinpace: スケボー
[1775.347] pot1111111: パピコもええなぁ
[1776.013] 桜風かなた: ないね
[1777.153] 多抜深夜: 知ってた
[1778.582] tokorozawabeast: 東京オリンピック
[1778.588] (S)Hitode_noko: 蓋をぺりって剥がすタイプの
[1783.025] Kanquez05: ないでしょうなあ
[1783.885] (S)kanegon7237: 空手でしょーーーーもちろん
[1788.536] (S)user81023: 卓球
[1791.649] (S)bobumakihara: めっっっちゃ昔じゃーん
[1791.941] porokon7: Daigo-san on my ear 
[1792.052] hosp1990: 遠い昔
[1792.534] amagigoe: ふっる
[1802.827] (S)lunasolnars: ふる
[1803.172] no_anti_air: スポーツ全然出来なさそう
[1803.497] xxzoids: ない！（ですよねー）
[1809.545] (S)matsu_zalem: ソウル五輪
[1809.855] chie_chie: 格闘技は観る
[1811.106] hosp1990: 井上見ればいいのに
[1814.079] (S)rotonz: 間に合ったー
[1814.635] (S)kanegon7237: 空手があるよー空手
[1815.198] (S)user81023: ファーw
[1815.279] tokorozawabeast: 東京オリンピックって開催出来るのかな・・
[1815.714] ヘボヤマ: 井上観ましょう
[1816.776] (S)morikawamay: 鈴木大地スバサロバサロ！
[1817.081] mutuizumi: 格闘技
[1817.770] amagigoe: 格闘技は見るってますます松本人志やん
[1818.294] niemalsaufgeben: 今年の夏はオリンピックでイベントごとは大変そう
[1818.345] (S)nagilay1: 井上尚也の試合は面白いぞ
[1834.907] icyblue1985: 畑山vs坂本
[1839.597] amadori3: 五輪もやっぱエンタメか
[1846.866] diediedying: ドキュメンタリー見せたらいいのかなー
[1847.050] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[1849.450] 난입금지: これで日本語の聞き取り連取してます。東京ポッド許可局みたいで面白いです。
[1851.084] mutuizumi: PRIDEな
[1851.459] (S)rotonz: k-1、PRIDE世代ですものね
[1855.372] (S)kanegon7237: ホンマにウメさんは俺に似てるなー
[1873.710] mutuizumi: キックベース
[1874.772] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[1876.557] chie_chie: ドッジやろーぜーぃ
[1889.533] (S)smokingpiper: ソウルオリンピックwww
[1900.961] (S)agyou_3e456: パナップかな
[1902.214] (S)rotonz: ↑練習か。日本語上手いですね
[1903.190] (S)北斗天帰拳: ドリブル
[1909.449] (S)matsu_zalem: 今度ピーターアーツの赤チョッキ着て入場してほしい。
[1911.717] hosp1990: ウメちゃんの動き見てると怪しいけど
[1916.900] (S)Hitode_noko: パナップだ！ありがとう！！
[1924.107] (S)bobumakihara: サッカーは中学生ぐらいまでは遊びでいけた
[1925.355] あと1983: 五輪やぞ
[1928.488] (S)rotonz: オリンピックあるよ！
[1929.640] (S)user81023: umeGrin
[1934.432] (S)suruga01: パナップはぶどうがうーまい
[1938.494] (S)65vr39: もう30分経った
[1952.967] mutuizumi: 三国志
