[47.805] kyouji_10: ｵﾊﾖ王ｵﾊﾖ王
[47.836] れんぴょこ: ｵﾊﾖｵﾊﾖ
[48.057] れるれ: おっ王〜
[48.588] (S)kerokonbu: kerokonbu subscribed at Tier 1. They've subscribed for 7 months! 
[48.790] magurodoooon: よいちゃんのティックトックだけは見てくれ
[49.075] (S)辛麻婆豆腐: 島取り楽しみ！
[49.479] (S)xxxxxhiroxxxxx: KonCha
[49.511] (S)makomero: オハヨオハヨ
[49.949] (S)しゅりな: fantas22No1
[50.204] (S)taroimo_118: 島取り1時間だけなんやね
[50.205] マキシマムなハラミ: ｵﾊﾖｵﾊﾖ
[50.276] (S)OudonEater_kun: お疲れ様です。
[50.464] mishuran_: fantas22Nice
[51.010] (S)famimachan: オハヨ、オハヨ
[51.021] goosama: ｵﾊﾖ
[51.069] 無料の屍: こんばんは
[51.193] tkshan: やったろー
[52.122] (S)ぐま_: おいす
[52.342] (S)iruca_: ｵﾊﾖ､ｵﾊﾖ
[52.538] シュバラ: おはよ！
[52.905] (S)takowasa_0607: こんばんは
[53.360] midutax: ｵﾊﾖｵﾊﾖ
[53.442] (S)jinta135: 王王王
[54.081] (S)しおいも_: ｵﾊﾖｵﾊﾖ
[54.608] (S)landmark1000: とれーい！
[54.792] (S)toraware3004: やるんだな...！
[54.967] (S)でじたま: ｵﾊﾖｵﾊﾖ
[55.204] k140316: こんばんはー！
[55.400] (S)honey_boo_chan: めっちゃいる！w
[55.540] (S)nuko1230: DinoDance
[56.492] (S)八咫烏: こん塩〜
[56.528] y0zuki_: オハヨオハヨ
[56.717] tukiyosi: うい
[56.797] (S)スカイライン乗り: 衛星外お疲れ様です
[58.295] risa071081: ｵﾊﾖｵﾊﾖ
[58.471] deathmiwako: オハヨオハヨ
[58.514] れるれ: ｵﾊ王ｵﾊ王
[58.621] (S)とすたー: ｵﾊﾖｵﾊﾖ
[58.708] noln114: ｵﾊﾖｵﾊﾖ
[58.926] nyakonko: ｵﾊﾖｵﾊﾖ
[58.990] めび薄: こんばんは
[59.172] (S)sakichiyo893: やあ
[59.682] terasu25: ｵﾊﾖｵﾊﾖ
[59.835] (S)派手髪ピアス: 派手髪ピアス subscribed at Tier 1. They've subscribed for 10 months! 
[59.896] (S)rebecca_76star: オハヨオハヨ
[60.013] (S)glasses02: ｵﾊﾖｵﾊﾖ
[60.253] (S)インスタントきなこ: ｵﾊﾖｵﾊﾖ
[60.461] (S)shin_mei666: おはよー、作戦楽しみ
[60.648] (S)~MISSING_COMMENTER_INFO~: 衛生外会議楽しかった
[60.859] (S)あいむそーばっと: おはんよおはんよ
[60.879] (S)c_world_: ファイトー！
[61.706] (S)ゆいまるあい: ゆいまるあい subscribed with Prime. They've subscribed for 2 months, currently on a 1 month streak! 
[62.566] (S)たことまと: fantas22Muscle
[62.634] (S)ampmc1: ﾌｧﾝﾁｬﾝ ｵﾊﾖ ｵﾊﾖ
[62.795] ~MISSING_COMMENTER_INFO~: ｵﾊﾖｵﾊﾖ
[64.862] (S)sakichiyo893: fantas22Muscle
[65.169] ももけろ: ノーリミの時代やで
[65.848] (S)しっぷう迅雷: fantas22Muscle
[65.861] (S)YAMATO00_RoueN: ｵﾊﾖｵﾊﾖ
[66.061] (S)セバス_: おはよおはよ
[67.809] (S)ぴかり0425: ｵﾊﾖｵﾊﾖ
[69.279] (S)ネオノアン: 衛星外お疲れ様でした
[69.722] masa_165: ｵﾊﾖｵﾊﾖ
[69.781] (S)まれい: ｵﾊﾖｵﾊﾖ
[70.599] (S)ゆき142: ｵﾊﾖｵﾊﾖ
[70.921] (S)YAMATO00_RoueN: fantas22Muscle
[71.118] (S)yukky_games_: ｵﾊﾖ､ｵﾊﾖ
[71.294] ハルハル3: ｵﾊﾖｵﾊﾖ
[71.327] 暇人1231: こんばんは〜
[72.011] (S)lorem_ipsum97: ｵﾊﾖｵﾊﾖ♡
[72.219] (S)mokanarii: ｵﾊﾖｵﾊﾖ
[72.232] (S)yt9653: オハヨオハヨ
[72.588] (S)Soukaiseki: ｵﾊﾖｵﾊﾖ
[72.780] (S)ポテチです: fantas22Muscle
[72.812] tocca00: ｵﾊﾖ ｵﾊﾖ
[73.006] (S)apron_u: ｵﾊﾖｵﾊﾖ
[73.072] (S)地縛神ポンタリウス: ｵﾊﾖｵﾊﾖ
[74.175] sabakan0917: きたわね
[75.098] higanbana0602: ｵﾊﾖｵﾊﾖ
[75.174] いこめ: 前回と同じように3時間やおもた
[75.178] そのだよ: オハヨオハヨ
[75.294] (S)taroimo_118: ｵﾊﾖｵﾊﾖ
[75.497] yukito127: ドラウグル乗るの久々やね
[76.467] 紺碧のくまさん: おはー
[76.660] (S)ryoooochan: おいす
[76.676] (S)tetsuwan1021: オハヨオハヨ
[76.685] (S)re_non921: ｵﾊﾖｵﾊﾖ
[76.835] (S)yukky_games_: fantas22Muscle
[77.275] (S)udon_jack: ｵﾊﾖｵﾊﾖ
[77.510] (S)tarako_0420: ｵﾊﾖｵﾊﾖ
[78.740] hondagb350: おはよう
[78.931] (S)あろめろでぃ: おはよおはよ
[79.166] (S)ゆりぃー: ｵﾊﾖｵﾊﾖ
[79.315] (S)空祢瑠: こんばんは
[79.391] (S)さととも: こんばんは
[79.481] (S)alohapon: ｵﾊﾖｵﾊﾖ
[80.069] かるめん1011: ｵﾊﾖｵﾊﾖ
[80.181] どかわきぃ: ｵﾊﾖ ｵﾊﾖ
[81.121] (S)雪玉オニギリ: シマ獲りじゃーーー!
[81.322] (S)tackey8120: ｵﾊﾖｵﾊﾖ
[81.546] king25802580: ライブっていつー？
[82.745] romio_jennaro: おはよーございまーす
[82.969] shinasu1204: チンピラ叩き起こせ
[83.174] (S)karion0405: ｵﾊﾖｵﾊﾖ
[83.435] (S)しゅうげっそー: ｵﾊﾖｵﾊﾖ
[83.962] (S)rich3352: きたわね
[84.870] (S)roi_hi: ｵﾊﾖｵﾊﾖ
[85.148] (S)second_peanu2: ういー
[85.158] (S)senbei_kun: ｵﾊﾖｵﾊﾖ
