[442.451] (S)ましゅダヨ: うめちゃんよく寝れた？？
[448.520] chanmipoin: その程度でショックとか言ってるのはなりくんに失礼だね
[458.564] cvndgplan: マリーザかる
[459.300] (S)camel0141: AKI意識した髪型？
[464.718] ビフィダス: がんばえー！
[473.350] (S)gyu_nyuu_pann: gyu_nyuu_pann subscribed at Tier 1. They've subscribed for 8 months, currently on a 6 month streak! WWがんばってくだせぇ〜
[474.656] (S)hoshi_boshi_0: ナイス
[476.294] メタルぱんだ: 実験失敗した！？ｗ
[480.445] aranami0: 表情ｗ
[481.977] rusty0shackleford: CurseLit
[483.835] hiaaru: ニコニコ
[484.535] tsukikage_saga: ｗｗｗ
[487.792] mz__zm: ニヤニヤ
[488.018] _リンゴ_: ニヤァ
[490.535] latenight000: ショック、だったのかなぁ
[490.717] (S)ましゅダヨ: 顔www
[492.641] そろもん1: 顔w
[494.501] tsukikage_saga: ショック受けてなかったか
[505.411] latenight000: 疑問を呈す、ダイゴ
[506.385] (S)ilmeria: ilmeria subscribed with Prime. They've subscribed for 3 months! おはようございます
[511.191] one596: 立川も0勝経験してるから1番わかるでしょ
[514.253] peroperoperorincho: ウメちゃんおはよーー
[516.265] zenosc9: ナリくんは実力出せてない結果だったのかな
[520.502] usa451: チームには影響なかったから大丈夫じゃないか
[524.370] sukosukodaisuko: WWで現在9位につける男ナリくん
[525.314] kakaowpgj: うま
[533.613] hoemin247: 髪爆発しとるww
[562.731] そろもん1: ダイナマイトヘッド梅原さんおはよう
[571.046] chikumy: JPとDJさえどうにかなればマジでありそうな気がする
[583.204] hoemin247: やばすぎ
[597.253] (S)hoshi_boshi_0: リリーも怖さある…
[600.170] usa451: かるびこす
[600.319] _リンゴ_: ボンバヘッ
[602.491] aranami0: 補正切りなのかコンボミスをカバーしたのか
[605.277] まるいとうふ: FamilyMan
[606.792] lesame: 飯食ってそうなコマ投げ
[628.631] ホナウド: ウメハラさんAKIきたら触りますか
[630.145] ぴろぴろまる: 大Kパニカンの後ラッシュ大P奮迅竜巻すると画面入れ替わっちゃうんですけどどうすれば正面になりますか？
[634.660] nikkou18: ww
[635.359] knxwledge: knxOK
[639.209] m1ndfunnk: yossanEXtensenrin
[657.407] lesame: 寝起き
[663.409] johndoe6523rp: DinoDance
[667.943] _リンゴ_: 逆に教えろ！
[668.082] (S)hoshi_boshi_0: お、ボーカル入ってきた
[672.020] Giichigi11109: sasaGyaku
[684.193] (S)ましゅダヨ: ImTyping
[703.652] log_zzz: しょーへい
[716.791] b00wy: ワラキア先生に送ろう
[716.964] moricocoa: 密着で大Kパニ取ってるとかなんか
[722.849] usa451: しょうへいさんってなにしてるの
[732.161] takikomi_kopan: ショーヘイやるじゃん
[744.275] zenosc9: コマンド同じだからトレモで練習するしかないじゃんね
[744.952] 島耕作: コメントの方、分かる方いたら教えて欲しいです。WW何時からでしょうか。
[752.201] (S)akichaa2: １３時
[772.523] 島耕作: @akichaa2 thx
[778.127] jamxqc: 12時チェックイン13時試合開始
[782.583] usa451: 大町久美子も見てる
[786.275] なるかみ_: 課長13時っす
[788.938] prisira: 今日も立派な草配信
[801.150] chanmipoin: あのしょうへい？
[803.366] hoemin247: なんでこいつらこんな場所で殴り合ってるんだろう
[809.384] v_harumi_v: ウメちゃん、おはようございますー。WW頑張ってください！
[814.874] ホナウド: あのしょうへいはshowhey
[818.108] purpleurb: @DaigoTheBeasTV あなたに平和と祝福を。今後、Pocket Bravery をプレイする予定はありますか?
[818.983] super_next: わらわらなのかワールドウォーなのかびっくりしたよぉー
[825.203] maddy2623: リスをヒールしない方
[832.672] (S)hiro_chan: しょうへい三人衆の中で最強のジュリしょうへい
[834.323] VIRVUM: 俺のジュリボコボコしないで 
[850.526] hoemin247: トコトコ
[850.831] (M)Moobot: ＊最大120時間＊ HyperX Cloud III ワイヤレス → https://hyperx.gg/45bt2SJ 1回の充電で映画見放題だな
[852.354] セツリ: どうもｗｗ こんにちはｗｗ がんばってくださいｗｗ
[873.468] latenight000: 村のしょうへいの話をしているのなら、彼は「showhey」というIDを使ってるはず
[879.666] (S)hiro_chan: not play
[881.347] usa451: しょうへいって今村にいるのか？
[886.122] febvfea: ジュリってなんで減ったの？
[886.178] (S)銀廻宗創始挙天和尚: おはようございますー
[891.581] (S)しぶりょ: おはようございます
[899.047] aranami0: すばら
[901.591] (S)hoshi_boshi_0: ナイスー
[924.804] miruujyu: これは強いほうのしょうへい
[924.952] (M)Moobot: ＊＊新ヘッドセット＊＊ HyperX Cloud III が ワイヤレスで登場！ → https://hyperx.gg/45bt2SJ
[928.467] (S)gold_power1969: おはようございます
[941.493] (S)銀廻宗創始挙天和尚: ただランク戦してるだけなのに毎回数千人感染者いるのすごすぎです
[947.211] moricocoa: ラッシュ立ち中Kなー
[948.458] (S)hiro_chan: ジュリヘイ
[957.757] Optikaliluznz: 👀
[965.619] b00wy: マゴさんが折れちゃったから…
[966.510] aranami0: 数千人の感染者
[966.625] tokyo_incidents: 千人感染者は草
[973.577] kotatan_twitch: 感染してます
[977.406] 売れないバンドマン41: クラスター過ぎて草
[984.162] (S)hiro_chan: 感染列島
[994.131] mieru11: 不謹慎すぎて草
[1016.737] カブトシロ: 今日も博士っぽい髪型のウメちゃん。
[1017.768] stomachbb: 痛恨のミス
[1028.195] hal0302: 数千人の感染者とかここはラクーンシティってこと？
[1031.465] usa451: 鈴木あみに似てる
[1037.570] (S)箸くれ: wwww
