[398.086] NAOjpp: プロ勢のルーザーズってときどだけ？？
[400.213] トゥーピー神: スマッグも焦ってる
[401.925] Papapadad: ぴかー
[409.243] catseye16: sakoさんもじゃなかった？
[410.437] せりわーむ: sakoさんもルーザーズ
[413.140] さぶろ: サコさんもかな
[413.218] firewalkwith: 30分前にでてったの見たって
[413.984] モリト: sakoさんもLやで
[424.279] ~MISSING_COMMENTER_INFO~: うめちゃあああああああああああああああああああああああん
[424.694] obo_006: 女のとこきただけかい！
[426.749] ライム_: 基本近い
[428.618] ~MISSING_COMMENTER_INFO~: なんでsakoだけ いつもさん付けなのか、
[437.601] sanika95: Kreygasm
[437.765] okamasa456: ウメちゃん行方不明
[438.799] NAOjpp: サコさんとときどがルーザーズですね。
[440.589] juvenile0707: ウメちゃんねてるねこれ
[441.489] haoo888: 電話すればいいやん
[445.492] jimmycustom: 目撃者すらいない…
[448.464] okamasa456: まさか・・・
[452.845] salad_maki: まーた遅刻
[453.716] LT123456: 一応waoさんも
[454.903] prosciu: 現地いるけどホールAにウメちゃんいるよ
[457.794] RicQuaresma7: 多分スト５の周辺に座ってると思うんだけど
[458.806] NAOjpp: 失格はないわーーｗｗ
[459.016] Brizaemon: なんではじめたんだろ
[464.337] imurilove: ダイゴザ迷子TV
[466.264] NAOjpp: もう１７時だよ？？
[466.483] pukeshi: 酒の匂いでおびきよせよう
[472.715] じゅうざ: また盗まれたんか？
[475.061] akiaki0612: いたらすぐわかりそうなもんだが
[475.857] chamomile21: ケイン
[477.474] NAOjpp: もうC始まってるだろ
[477.892] okamasa456: 0回戦敗退
[478.303] firewalkwith: ホールAだって
[482.012] kurob1: ウメハラ捜索配信
[482.276] scottie_ver03: ホールＡか
[482.499] francetaro: スパンキングアス
[487.990] prosciu: ホールAの588
[488.399] _リオン_: ホールAだって
[489.527] sakusakuz: 行きたかったわ〜
[492.481] ~MISSING_COMMENTER_INFO~: えｗ
[495.399] obo_006: ここじゃないんだな
[499.899] sanika95: @daigothebeastv Peasant you do not find gods with peasants. Look in the VVVVIP
[503.554] nosingfer: Zhi 
[503.893] prosciu: 今、終わってたぶん勝ったかな
[508.263] akiaki0612: ホールAだって
[508.548] okamasa456: 群れてるとこにウメハラ
[511.258] Planetrollcall: ウメちゃーん
[511.631] NAOjpp: マジ失格ワンちゃんあるよ心配
[516.006] RicQuaresma7: おらず
[516.406] pukeshi: 監督だ
[520.620] salad_maki: 監督だよね？
[520.637] sasugani: ウメちゃん…
[525.574] cocteauteins: ワンチャンドトールある
[526.184] okamasa456: 監督いたあ
[529.807] bachop: 監督？？？
[532.752] _リオン_: 監督いたぁ
[535.632] scottie_ver03: ホールＡで勝ったらしいが
[536.559] Papapadad: ウメちゃんどこぉ
[538.788] ~MISSING_COMMENTER_INFO~: 監督ｗ
[539.962] (S)ぐぐっす: ゲームボーイリュックええなあ
[540.281] firewalkwith: 監督すかね？
[541.451] haoo888: 監督やるのか
[543.879] あげぽ: 多分これzhiが迷子やろw
[552.256] risutaa3: ｗ
[553.518] gypsy2603: ホールＡにいるよ
[557.146] Sorachan1144: ガチなの？
[562.593] ライム_: ホールAだって
[562.891] salad_maki: どこぉ・・・
[562.994] ~MISSING_COMMENTER_INFO~: 監督、普通の格ゲーマで草
[563.398] obo_006: ホールＡだとよー
[564.642] okamasa456: ここどこ？
[566.919] yonaka0: どこぉ､､､
[569.208] scottie_ver03: zhiが迷子パターンか？
[569.312] prosciu: アナウンサーさんの人もいる
[569.408] ogiogi0122: 梅ちゃんドトールにいるってオープンレックでいってるw
[570.364] ~MISSING_COMMENTER_INFO~: 徘徊老人
[575.126] NAOjpp: まじか・・・・・
[575.177] トゥーピー神: コメントみて
[585.693] Planetrollcall: 会場にはいるんかな
[585.851] scottie_ver03: ホールＡやぞ
[592.159] prosciu: ウメちゃんの台の後ろがガチくんかな
[602.326] あげぽ: ホールaで試合してるみたいよ
[602.607] okamasa456: ドドールは負けフラグやん
[605.606] tentough: はぁー
[606.940] MAMEDEtuPOU: ウメちゃんハワイにいるって
[617.655] nup1965: コメント見てーーー
[628.586] akiaki0612: コメみてないやん
[629.545] あげぽ: ホールa
[632.577] chamomile21: ギル姐
[635.117] negimiso21: コメントみな
[636.339] NAOjpp: giityww
[638.311] ライム_: ギルおじ
[640.806] トゥーピー神: ギル姐w
[643.220] sakusakuz: ですます笑
[647.003] scottie_ver03: ホールＡにいるらしいぞ
[649.265] Planetrollcall: どこお
[650.704] amazonwalkout: at it again eh
[650.892] NAOjpp: ギルもルーザーズ抜けたね
[652.588] (S)metalface_05: Pool CS84
[652.650] prosciu: ホールAの1番奥の588だよー
[652.840] Nogiskits: zhi in control?
[653.381] obo_006: かっけーな何か
[658.352] j2abg5ew: zhiお前女の子の顔ドアップで映すのはマナー違反だぞ
[660.727] fidelio_90: her voice sounds like a man
[667.615] gypsy2603: ウメちゃん初戦勝利
[671.345] sasami_11111: もけいたな
[671.556] sanika95: @FenixGCL well about that 
