[541.069] ponponguripon: 自然乾燥派かな
[544.918] いろは3821: そこら辺のおっちゃんみたいな髪型
[553.116] kurobedam: 海外プレイヤーとラグなしで対戦したいからちょっと光の速さ10倍くらいにしてくれない？
[614.784] tabibitox: 少しずつ乾いていくウメちゃんの髪を見る配信
[621.892] umetyaahan: とりあえずパーマン31人連れ来たら光の速さもなんとかなるかもな
[621.957] (S)イエール: ウメちゃんこんちゃっすー
[628.115] JustEvets: SeemsGood
[630.215] blackuma: こんにちは
[634.547] いがぐりころころ: こんにちは
[638.972] ponponguripon: 髪を乾かしながら勝ちます
[646.453] aranami0: 半乾き
[650.599] だいこん_: 目を離す度に変わる髪型
[655.139] bakuseiha: 乾かすかゲームするかどっちかにしな
[659.349] m1s4m0: ドライヤー…
[678.204] (S)ましゅダヨ: 今日はしゃーなしだ
[684.471] (S)hide4410: Cheer100
[690.609] kurobedam: ドライヤーはウメハラに7:3のダイヤ
[690.937] (S)イエール: む！
[695.948] (S)イエール: ナイスビッツ！
[704.446] warunekochan: デスクに置くドライヤー使えばいいね
[715.740] bakuseiha: ウメちゃんドライヤー持ってるのかな
[727.888] (S)イエール: メンおじにフーフーしてもらおうぜ
[740.869] とびちる: レプロナイザー買おう
[743.810] okamasa456: 自然乾燥でいいんでね
[746.686] (S)ましゅダヨ: ただでさえこんなにサラサラなのに、めっちゃドライヤー使ったらどうなっちゃうの！？
[752.836] (M)(S)gameinntwitch: パウダールームにナノイーの良いドライヤー転がってる
[758.389] aranami0: あのコマ投げに垂直ムズいねんなー
[758.551] jhkkhfdathvd: 今日もりゅうせい君とか
[764.814] (S)ましゅダヨ: もったいねー！！！！
[765.548] umetyaahan: そういやスカルっていつやるか決まった?
[780.957] (S)イエール: メンおじいたぁ！こんちゃw
[783.073] (S)johndoe6523rp: 転がってるｗｗ
[785.414] (S)日本語かな: 良いものがあっても結局ウメちゃん使わないから…
[788.388] たかちゃん06: ウメちゃんこんにちは
[793.621] bakuseiha: 来客用
[801.582] smokingpiper: smokingpiper subscribed at Tier 1. They've subscribed for 55 months, currently on a 55 month streak! 
