[67.253] patch_bobo: 待ってた
[67.314] hyde_twi: 松井緊急
[67.399] pa_pyrus: 緊急はこっちだというオチ
[67.539] skg1101: 伝わるで
[67.559] (S)鯖生姜煮: おまどうまてやつ
[68.130] iguana_chan_22: 緊急
[68.163] 内野安打王: はい
[68.288] horishi01: あ
[68.330] peacegundam: ツイッチ片目にYouTubeのけつでか見てます
[68.754] mogimogieigo_ro: 緊急できました
[68.901] mukaisan_47: 緊急やめてね 
[69.599] たくあんのこと好きすぎ: 稼頭央、
[69.904] mooonmi: なにたべてんの？
[70.280] mogarisa: それはがちでまずい
[70.774] jmdwjmwtpj: ww
[71.043] (S)daruide: 稼頭央
[71.112] makahiki1019: かずおな
[71.270] つくるだお: じゃあ帰るわ
[72.066] ws0703: 監督不在
[72.266] hmrhmr5: まずい
[72.365] morimoridesuuu: ベルーナ現地楽しかったよー！！！！
[72.415] jmdwjmwtpj: あ
[72.604] yaneurafj: あ
[73.265] sunpower12345: あ
[73.327] ねもうす人: あ
[73.469] whitymashiro: ドリルモグラーズ編、たのしみ〜
[73.492] かーと397: 松、井
[73.932] ituki123: かずお...
[73.943] ynwnnbf: かずお 
[74.251] gfryjbgj: ドリルモグラーズと弓子を救おっか
[74.459] tukusi0927: かなしい
[74.713] つくるだお: あ
[74.764] mogimogieigo_ro: あ
[74.819] おでまる: あ
[75.540] amethystbeet: 松井稼頭央ひ
[75.586] ナナミン: かずお；；
[75.641] 内野安打王: あ
[76.742] kadeey_: 稼頭央
[77.183] (S)パイモンすこ: 松井  
[77.452] dreament007: 昨日も救えなかったのか
[78.129] skg1101: それは笑えん
[79.124] makahiki1019: ま、つい
[79.247] ねもうす人: せ、いぶ
[80.021] イヴァンバッソ: 緊急で来ました
[80.904] (S)しゆわ: 稼頭央 
[80.922] tutu__mimi: 何を食っているんだ！
[81.143] ゆーまあああ: 本日も通知2回来ました。これは一生かものはしさんを見続けるということでしょうか？
[81.355] pasukaru098765432: unkochanYaa
[82.202] トロロです: わろた
[82.358] higan3535: 悲しい
[82.982] makahiki1019: か、ずお
[83.018] iguana_chan_22: まじか
[83.193] sanononononono: かずお；；
[83.388] amethystbeet: 救えなかった
[83.411] zepto12e369: 唇あっか
[83.647] morimoridesuuu: カズオー
[84.946] ハルカ1125: ご飯だいすきのタグ草
[85.143] frappe0315: 何食べてるん
[86.263] mogimogieigo_ro: ヤクルトも緊急なんですけど
[86.353] feddoggy: まかうがVとコラボしてるぞ！
[86.750] meishou_poichi: 稼頭央かわいそう
[87.676] luka232433: まーた緊急ですか？
[88.886] mooonmi: 何食べてんの？
[89.069] 内野安打王: 緊急解任
[90.619] ~MISSING_COMMENTER_INFO~: 山川のグラスラ2本でシーズン終わったぞ
[90.662] banpon: 緊急！！！松井稼頭央休養！！！！！！！
[91.074] ynwnnbf: PL学園の3人のうち1人が欠けたと
[91.317] 鼻中隔湾曲症: あれカズオも被害者だろ
[91.510] mukaisan_47: ありがとねぇ
[91.743] たまご51: 田宮すごくね
[92.641] kkrok9651: 何くってんだよ
[92.714] Mine_ssbu: かわいい
[94.432] (S)1234nine4: 1234nine4 subscribed with Prime. 
[94.983] (S)jaden397: かわいい
[95.589] sein105: 何食べてるのん？？？
[95.782] タンパク質の塊: かものはしにつられてこれ買ったけどエキスパートむず過ぎて泣いてる
[96.024] amethystbeet: ちんぱん
[97.789] かーと397: ヤマカワ騒動どう思う？
[97.795] ~MISSING_COMMENTER_INFO~: 監督ね
[97.989] peacegundam: 何パン？
[98.522] luka232433: 立浪和義休養しろ
[99.166] tonqka2: 緊急と聞いて
[99.531] (S)manmu04: 今日は3000キロカロリーとれたか？
[100.345] mooonmi: パン🍞
[101.294] (S)~MISSING_COMMENTER_INFO~: なんのパン？
[101.582] hatena_893: きゃわ
[104.075] zepto12e369: 口紅してる？
[104.286] morimoridesuuu: あれで休養なら去年と一昨年の新庄どうなんねん
[104.314] (S)osarutaicho: turuokKinkyu
[105.114] luka232433: 立浪和義も休養しろ
[106.247] tyanntyannkwo: パソ
[106.526] (S)強竜優勝: 森山川が2年連続で抜けて勝つ方がむずい
[107.552] sunpower12345: 俺も休養したい
[108.225] shiguton: パンおいしいかー？
[109.666] luka232433: 立浪和義休養しろ
[109.803] mukaisan_47: 幸せ素肌
[110.033] (S)33maxfer: 立浪対松井が直前でなくなってしもうた
[110.872] (S)jaden397: かもしゃんずっと食べててほしい
[115.547] mooonmi: ビジュ爆発
[115.747] luka232433: 立浪和義も休養しろ
[116.866] ヴイ丸: 義務カロリー
[117.272] frappe0315: かたぼるだろ
[118.816] makahiki1019: ガチのマジでライオンズを救う配信？
[118.821] luka232433: 立浪和義休養しろ
[120.498] (S)daruide: どか食い
[121.693] banpon: 3000ってやばくね
[122.661] kkrok9651: 配信後のドカ食い笑う
[123.610] luka232433: 立浪和義も休養しろ
[124.425] イヴァンバッソ: 野菜も食え
[125.603] かーと397: それいいのか？
[126.654] luka232433: 立浪和義休養しろ
[127.502] yaneurafj: おっも
[128.938] patch_bobo: 配信長いの嬉しい
[129.482] Mine_ssbu: どか食い気絶
[129.696] (S)jaden397: アボカドスムージー食い続けろ
[131.897] (S)manmu04: ドカ食い気絶界隈やめてね
[131.975] tonqka2: えっど
[132.988] mukaisan_47: ドカ食いチャンネルめざせ
