[794.343] mia30303: killme10Hi
[817.081] sumisusumi: こんにちはー！
[855.288] (S)sixfutaba: 早いな
[857.983] (S)rootlic: はやない？
[872.699] youtori: 完成したものがこちらになりーます方式
[873.498] Juicewisdom: axeumBlush
[873.631] ゆずっこ420: ストーリーじゃないから固定コメはまだ大丈夫です？
[888.845] (S)ふここ: ｗｗｗ
[903.844] (S)rootlic: アヒルがニワトリくってる･･･
[916.873] (B)(S)ヘンディー: ※ちょっと待って！そのコメントネタバレじゃない？ ネタバレがあったとしても他の方はその人について言及しないように！そのクエストクリアすると〇〇だよ！などのコメントもお控えください！
[945.008] (S)rootlic: 早速事故物件
[947.030] s_obo440: 死体浮いてるって！！！！
[985.375] まるちゃんるね: こんにちは〜昼配信いいね
[1016.223] (S)ふここ: mother118OMG
[1026.320] (S)rootlic: BGMへの反応速度はやすぎるｗ
[1026.329] 夢中猫: BibleThump
[1036.724] (S)hessonite22: ヘンディー！ff配信待ってた!!
[1038.133] inufu: わぁ…泣いちゃった
[1040.134] (S)おばらら: こんちはああ
[1076.725] まるちゃんるね: メイン以外でもこういうのあると嬉しいよね
[1077.860] bobu123: こんにちは！
[1093.035] (S)rafaer_mura: rafaer_mura subscribed with Prime. 
[1110.492] (S)ふここ: ｗｗｗ
[1111.277] youtori: 祭りじゃダメみたいですｗ
[1113.820] まるちゃんるね: www
[1117.819] (S)らずきち: ｗｗｗ
[1123.110] (S)rootlic: 14すげぇ
[1147.621] youtori: むに
[1151.912] (S)sixfutaba: お？
[1152.809] (S)ふここ: mother118Donkiikong
[1161.286] まるちゃんるね: おーー！
[1168.211] 夢中猫: yuz48Yukiohakusyu
[1169.219] (S)おばらら: ドマ解放後の復興もちゃんと描いてくれるのがいいよね
[1175.235] まるちゃんるね: 事件w
[1184.517] (S)rootlic: コナンくんにも見放されたタイプの死体
[1200.063] (S)Hachiken0326: いったい何が始まるんです？
[1236.450] youtori: 灯篭流し的なアレか
[1238.749] inufu: 灯篭流し
[1255.828] (S)けいしゃん: テントウムシってお天道様に飛んでいくからテントウムシって名前だったっけな
[1266.432] (S)おばらら: いい喧嘩仲間のじいさんたち
[1308.375] (S)けろぴー: けろぴー subscribed with Prime. 
[1356.595] (S)おばらら: このじいさんたちは簡単にはくたばらんと思うｗ
[1358.739] (S)ふここ: ドマ編の締めくくりって感じする
[1384.367] yasu1226: kaigainimo
[1399.134] yasu1226: 海外にもあるのかな？灯籠流し的なやつ
[1419.964] (S)おばらら: ミツバさんの作ったご飯たべたい
[1424.688] gozen_reiji000: 昼からやってる！こんにちは
[1437.696] ちょろねこ: ハッチ7も配信でやりますの？暁月終わったら
[1444.765] youtori: 中国とか中東にもそういう文化あったと思う。ちっちゃい気球みたいにして飛ばすタイプの
[1451.584] (S)rootlic: クエパンニモパン
[1515.567] (S)おばらら: キャンドルとかかねえ
[1518.663] zakiyoka: ラプンツェル的な？
[1524.047] solaris508: ラプンツェル？
[1531.526] (S)かなるな: そらに飛ばしてるイメージ
[1534.237] (S)ぶるじん霜月: 灯篭流しだっけか
[1537.683] co_ixion: ランタン流しってのがハワイにあるらしい
[1543.065] tananan0902: こんにちは〜
[1547.970] banzok_00: ほうれい線が出ます
[1553.663] youtori: グラアプデでNPCの顔変わるのも気になるねぇ～
[1564.797] (S)rootlic: 見て回らないとなぁ
[1565.567] (S)sixfutaba: このちょっとおぼこいのがいいのに
[1575.392] (S)nightrabbit9802: テレジも綺麗になる
[1577.211] jittue: 海にいるNPC髪パッキパキなんかな
[1579.392] (S)かなるな: わたしの顔もアップデートして欲しい
[1582.847] 夢中猫: SeemsGood
[1586.987] (S)ふここ: 分かる
[1595.362] (S)sixfutaba: 魂にきく系
[1628.200] (S)na_ga2244: キャラクリで作れるNPCは自動的に綺麗になるって言ってた気がする
[1652.335] 夢中猫: BloodTrail
[1660.017] yasu1226: テレジアデレジとかは先に変更になってるとか
[1661.197] osatti88: ww
[1671.664] zakiyoka: しみるねぇ
[1682.179] (S)おばらら: かわいい
[1700.601] (S)heyheydayo: ええてw
[1702.896] inufu: 台無しw
[1706.819] (S)tama4282: やめてｗ
[1711.181] youtori: しんみりしてる場でちょけるタイプのヒカセンやだぁｗ
[1715.844] (S)かなるな: tonaka2Wwwwww
[1720.180] (S)heyheydayo: 雰囲気台無しなのよもう
[1735.026] (S)ふここ: tonaka2Nzyuuago
[1744.536] inufu: さっき川で浮かんでたあの人も:……
[1750.096] (S)おばらら: ↑ｗｗｗｗ
[1756.403] (S)sixfutaba: 成仏するかもね
[1765.688] (S)rootlic: フワァ･･･
[1765.994] (S)けいしゃん: ﾅﾑ…
