[76.238] narunaru0322: わこらだ
[76.898] opyaaanu3: 死神くんうっさw
[76.899] kimty__12: わこらだ
[77.096] (S)ねるの: うっさ
[77.109] (S)NASU2001: わこらだ
[77.116] toppo_11_12_en: わこらだ
[77.713] sankakuko: やば、www
[77.722] むつき7777: サイレンですかww
[78.552] (S)ちるー: わこらだ
[78.807] (S)mikan_san: 今日人多いねー
[78.933] アキレスけん: 来て早々鼓膜が…
[79.459] (S)7sasuke: www
[79.542] えぬあい: やばすぎ
[79.751] (S)rakotann: わこらだ！
[79.783] (S)zyaga_b: わこらだ
[79.848] (S)たばち: わこらだ
[79.990] (S)夜伽らぁ: わこらだ
[80.529] 0itimaru: わこらだ
[80.604] yui_sumomaru: 鯖落ちしたwwwwww
[81.084] (S)みなみあ: わこらだ
[81.235] (S)大宮瑞樹: わこらだ
[81.526] kanikani0505: わこらだ
[81.697] novaaaaa22: わこらだです！
[81.796] (S)もってぃ__: わこらだ
[81.814] kohak_utou: わこらだ
[82.660] kero_ppi1: 初手うっさ
[82.862] anko_mochi0319: わこらだ
[83.324] karasu_neko: わこらだ
[83.552] (S)そぴ: わこらだ
[83.784] 猫村むつき: わこらだ
[83.786] わたちゃ: わたちゃ subscribed with Prime. They've subscribed for 14 months, currently on a 12 month streak! 突然だねぇ
[83.990] siropen_: わこらだ
[84.664] (S)umu_tuki: わこらだ
[84.796] yuchan_future: わこらだ
[84.936] まふふうぃんぐ: わこらだ
[85.134] (S)あおは_: わこらだ
[85.472] (S)hiromi131: わこらだ
[86.029] saba_basa_: 開幕うっさ
[86.285] yonagatsuki: うっさわこらだ
[86.515] rin_nasu: わこらだ
[86.731] (S)楓さん: うっせ
[86.970] sankakuko: 来てそうそうやばすぎ
[87.046] mpru: わこらだ
[87.179] レガンガ: わこらだ
[87.293] (S)こに014: radaoWakotu
[87.407] 燐だよ: わこらだ
[88.558] totoroosukatsu: わこらだ
[88.734] あおきち_: わこらだ
[89.833] (S)ruka_tan: わこらだ
[90.058] 村長の孫の嫁: キャパオバwwwwww
[90.072] lemomon0731: わこらだ
[90.081] ばらんすぼーる: わこらだ
[90.190] umenezu: わこらだ
[90.577] aaalpacaaa_: わこらだ
[90.694] みるきぃ014: わこらだ
[90.994] (S)たぴすけ: たぴぴ subscribed at Tier 1. They've subscribed for 9 months, currently on a 9 month streak! わこらだ
[91.433] (S)マスクさん: だいじょうぶだ
[91.951] phoneee_555: わこらだ
[92.384] warabimoti0120: わこらだ
[92.797] yuzuka71: わこらだ
[93.087] らいすくりーむ: わこらだ
[93.275] Ashley_AI: わこらだ
[93.297] いのりょ: わこらだ
[93.820] nirabokuro: わこらだ
[94.293] (S)ナシノ: わこらだ
[94.600] うったて: わこらだ
[94.675] (S)mikan_san: いたねw
[94.710] (S)すず天: わこらだ
[94.773] 高野胡麻豆腐: 配信初めて早々賑やかだね
[95.922] (S)rai2109: わこらだ
[96.523] ponharu: わこらだ、
[97.083] noname_nyanpaia: わこらだ
[97.163] (S)supamira_: supamira_ subscribed at Tier 1. They've subscribed for 6 months! わこらだー
[97.308] kero_ppi1: わこらだうっさおっつぅ
[99.027] misotoooo: ぐちさん怒号自粛して
[99.388] aru1193: わこらだ
[99.512] (S)lynx1617: ゲームにも影響を与える声ww
[100.148] 8億歳児: わこらだ
[100.326] のあ___: わこらだ
[101.301] とれいら: とれいら subscribed with Prime. They've subscribed for 12 months, currently on a 12 month streak! わこらだ
[101.912] (S)solar_7221: わこらだ
[103.881] ヤマギク: わこらだ
[104.399] butaachan: わこらだ
[104.583] (S)すいぺりあ: わこらだ
[104.631] fugo1229: わこらだ
[105.090] (S)きのお: わこらだ
[105.213] sonata_0225: わこらだー！！
[106.021] (S)purore_girl: わこらだ
[106.092] いもぐわああ: いもぐわああ subscribed with Prime. They've subscribed for 14 months! わこらだ
[106.245] あしゅ_1127_: わこらだ
[106.275] たちかわ: わこらだ
[106.656] sasimi7: わこらだ
[106.876] simesabaneru: わこらだ
[107.401] (S)koromoti1219: わこらだ
[107.594] isaku__816: きたよ
[107.816] れもじん: わこらだ
[107.823] (S)ねねねい: わこらだ
[108.039] (S)もっちにあ: わこらだ
[108.218] (S)ears0328: わこらだ
[108.531] neu_rose: わこらだ
[108.712] natsu_rd_2002: わこらだ
[109.159] (S)waraashi: わこらだ
[109.869] (S)るなるななるな: わこらだ
[110.271] gorilla15937: わこらだ
[110.432] いろいよ: わこらだ
[110.469] がんじん_豆: 日曜の昼間からこれは神
[110.962] (S)tukune0123: わこらだ
[110.972] aoao_pi: わこらだ！
[111.082] (S)re_katyan: わこらだ
[111.117] hrk_0417: わらこだ！
[111.208] ~MISSING_COMMENTER_INFO~: わこらだ
[111.276] owataring: わこらだ
[111.450] (S)fukumegane: わこらだ
[111.478] atoku_0404: わこらだ
[111.492] さかなのひと: わこらだお！！
[111.531] かんこ: わこらだ
[111.658] (S)shimeno_n: わこらだ
[111.667] (S)ritu0725: わこらだ
[111.676] sakuramotikun: わこらだ
[112.051] (S)2knekoo: わこらだ
[112.253] (S)もってぃ__: わこらだ
[112.312] (S)sai0329: わこらだ！
[112.331] (S)ayaka__9: わこらだ
[112.346] Misa33ss: わこらだ
[112.419] 0226_1218: わこらだ
[112.426] toma_mashiro: わこらだ
[112.434] (S)勘解由小路: わこらだ
[112.452] (S)あらび: わこらだ
[112.567] Lun0722: わこらだ
[112.765] ふぃりあ: わこらだ
[112.785] omuraisu_nana10: わこらだ
[112.941] nekomaccha: わこらだやで
[112.955] yoriebi: わこらだ
[113.000] らんらんたん: わこらだ
[113.004] nanakage_: わこらだ
[113.139] フラグ: わこらだ
[113.141] mirinnchan: わこらだ
[113.155] (S)chuwann: わこらだ
[113.159] unknown_ra: わこらだ！
[113.172] (S)ドコサヘキサエン: 宇宙人ろうやたー！
[113.175] (S)ほむです: わこらだ
[113.213] そらいろえのぐ: わこらだ
[113.322] rulu___: わこらだ
[113.538] MC_zurakuma: わこらだ
[113.732] (S)rikorikor: わこらだ 
[113.945] mooono06: わこらだ
[113.987] ankorokorokoro: わこらだ！
[114.195] taich35: わこらだ
[114.279] vivi_km: わこらだ
[114.390] (S)riiiree: わこらだ
[114.392] flower_sayasaya: わこらだ
[114.440] smk_2008: わこらだ
[114.486] puyopuyokun: わこらだ
[114.535] (S)shdw_wings: わこらだ
[114.574] (S)zyagaimo__: わこらだ
[114.615] neruneru1211: わこらだ
[114.832] maromarosinai: わこらだー
[114.842] (S)kasame317: わこらだ
[115.263] tyapura: わこらだ
[115.585] あきは不定期: わこらだー
[115.737] yamasan1114: わこらだ
[115.776] kapo0924: わこらだ〜
[115.808] runa80: わこらだ
[115.818] そげクイーン: わこらだー！
[115.941] aoi1219: わこらだ
[115.962] tarou_kakio: わこらだ
[116.001] assassin_0920: わこらだ
[116.042] tau_tawan3: わこらだ
[116.105] すぃま: わこらだ
[116.196] rusa_0110: わこらだ
[116.197] 狐狼_121: わこらだ
[116.392] きのこの炊き込みご飯: わこらだ！！
[116.427] NA_wO: わこらだ
[116.576] (S)どて煮: わこらだ
[116.596] mican_chan: わこらだ
[116.788] nasu_Wakame: わらこだ!!!!
[116.863] (S)kaido_2525: わこらだ〜
[117.009] (S)ryu__00: わこらだ
[117.078] nenerada: わこらだ
[117.137] hatimitu_san: わこらだ
[117.150] (S)1010tento: わこらだ
[117.216] (S)えいとさん: わこらだ
[117.233] miki_15g: radaoWakotu
[117.274] (S)shi_o: わこらだ
[117.276] かける0728: わこらだです！
[117.343] うぐいろ: わこらだ
[117.463] dosmorita: わこらだ
[117.560] yuura0323: わこらだ
[117.607] ぴぐ美: わこらだ
[117.681] まチャチャ: わこらだ
[118.224] radaofan1995: わこらだ
[118.293] まよみる: わこらだ
[118.408] yura1120: わこらだー
[118.421] SYabI__5231: わこらだ
[118.436] kento1006: ワコラダ！
[118.487] allekun_0418: わこらだ
[118.488] (S)naaaaaaaaaaaaad: わこらだー！！
[118.488] po_1017: わこらだ
[118.493] hope_7293: わこらだ
[118.515] asaborake0408: わこらだ凄いことやってる
[118.904] Misa33ss: 嬉しみ
[119.026] kmso8: わこらだ
[119.045] abc2645: わこらだ
[119.102] (S)lunatic2525: わこらだ
[119.117] ki_no1512: わこらだです！
[119.126] (S)suramappagi_: わこらだ
[119.131] nyakku0720: わこらだ
[119.132] あまいあいす: わこらだ
[119.237] piiimarumaru: わこらだー
[119.252] ソーーーーイ: わこらだ
[119.271] キョロちゃん: わこらだ
[119.287] nyapody: わこらだ
[119.318] (S)kuro9651: わこらだー
[119.368] (S)citron306: わこらだ
[119.428] (S)sai0329: 宇宙人狼だいしゅき
[119.772] fujita_en: わこらだー
[119.816] terabyte__o0: わこらだ
[119.821] あばらいす: わこらだ
[120.030] (S)とんかつ食べたい: radaoTyu
[120.238] nagaha_: わこらだ
[120.265] (S)kofi_318: わこらだ
[120.417] そろそろスタメン君: わこらだ
[120.439] とぬ: わこらだ
[120.489] emeru_mai__1122: わんちゃんこらだ
[120.588] (S)nnick1__: わこらだ
[120.602] mitsuxx00: わこらだ
[120.617] akinosuke0103: わこらだ
[120.619] すなぎもちゃん: わこらだ
[120.620] siwanasi: わこらだ
[120.657] (S)ayu0421: わこらだ
[120.776] sorabosi: わこらだ
[120.802] はるあい: わこらだ！
[120.858] 不思議の国のポリス: わこらだ
[120.919] chaaaahaan: わこらだー
[120.943] harenoti_kumori: わこラダー
[122.100] (S)プラず: わこらだ
[122.239] (S)あじさ: そこの画面に10分いると強制的にサーバーおちますよｺｿｯ
[122.243] toriniku_ryuto: わこらだ
[122.292] (S)_えむち_: わこらだ
[122.409] akaneko210: わこらだらだ
[122.525] mini_mini_min: わこらだ
[122.653] (S)pizzadeizu: わこらだ
[122.859] kokoro_1028: わこらだ
[122.870] (S)和食定食: わこらだ
[122.918] (S)koukoukoy: わこらだ
[122.958] toriaezutori__622: わこらだ〜
[123.040] ぶっちょび: わこらだ
[123.074] (S)ひきわり納豆巻き: わこらだ！
[123.123] (S)hisui114514: わこらだー
[123.260] (S)nanizawa: わこらだ
[123.460] ~MISSING_COMMENTER_INFO~: わこらだ
[123.481] turakinu: わこらだ
[123.525] (S)mamo_tarou: わこらだ！？
[123.650] monoabab: わこらだ
[123.704] chimu_04: わこら
[123.740] nanaragu: わこらだ
[123.742] ame_1239: わこらだ
[123.782] ななしし: わこらだ
[124.089] 歯茎: わこらだー
[124.295] まっちゃ511: わこらだ
[124.309] (S)kyou__1212: わこらだ！！
[124.443] (S)charosenpai: わこらだ
[124.534] ichigaya_suzuna: わこらだ
[124.566] (S)玉葱さん太郎: わこらだ
[124.635] baal0901siroe: ワコラダ
[124.648] niamaruuuu: わこらだ
[124.658] okina_2344: わこらだ
[124.759] (S)naaaaaaaaaaaaad: radaoWakotu
[124.940] (S)ノアーズシップ: わこらだ
[124.957] se_ka_i: わこらだ
[125.155] souranbushiman: わこらだ
[125.399] teile: わこらだ
[125.404] (S)multiinu: わこらだ
[125.516] (S)mizuno0624: わこらだ
[125.551] (S)カイヨ0820: わこらだ
[125.721] seigenteiri: わこらだ
[125.757] jasmugi: わこらだ
[125.791] (S)ほしみあ: わこらだ
[125.933] (S)aquas5353: わこらだー
[125.956] tsukasadesut: わこらだ
[126.135] kyouryuuuu832: わこらだ！
[126.353] naniaitennen: わこらだわ
[126.397] (S)ririrr501: わこらだ
[126.430] ほのむ: わこらだ
[126.431] rei12182: わこらだ
[126.570] snow1110kh: わこらだ
[126.654] _イオ_: わこらだ
[126.866] miki_15g: miki_15g subscribed at Tier 1. They've subscribed for 12 months! 
[126.986] rarirarurarua: わこらだ
[127.034] miren_07: わこらだ
[127.075] (S)~MISSING_COMMENTER_INFO~: わこらだ
[127.095] oishi_19: わこらだ
[127.185] maromaluto: わこらだー
[127.234] (S)碧琉: わこらだ
[127.246] tsukushi1002: わこらだ
[127.350] mim___xoo: わこらだ
[127.431] (S)kinoto_2808: kinoto_2808 subscribed at Tier 1. They've subscribed for 9 months! わこらだ
[127.493] あまなつそら: わこらだ
[127.538] ririo_3576: わこらだ
[127.695] maru0330: わこらだ
[127.722] おもしろ太郎0: わこらだ
[127.742] (S)桐__: わこらだ
[127.765] (S)~MISSING_COMMENTER_INFO~: わこらだ
[127.786] okaki_to_sencha: わこらだ
[127.919] (S)konnit: わこらだー
[127.926] (S)radaofan1995: きょーさんがんばれ
[128.192] mofumofu_sukidesu: わこらだ
[128.200] さひな: わこらだ
[128.203] (S)u_nagi: わこらだ
[128.264] verusaiyu: わこらだ
[128.403] すう_26: わこらだ
[128.455] nem620: わこらだ
[128.495] みかづっきー: わこらだ
[128.589] mooono06: わこらだ！
[128.606] パープルルル: わこらだ
[129.042] なつめう: わこらだ
[129.054] ratyiasu: わこらだ
[129.179] (S)petoraruuuuu: わこらだ！
[129.225] まさルト: わこらだ！
[129.247] (S)角角家: わこらだ
[129.265] uni_krbs: わらこだ
[129.389] (S)らーびす: わこらだ
[129.390] カルチコール: チーノさんおらんか
[129.449] yua_0214: わこらたま
[129.582] raki073: わこらだ
[129.618] (S)ririrr501: radaoWakotu
[129.659] 46_ika: わこらだ
[129.769] (S)もかこーひーー: わこらだ
[129.859] (S)chuwann: この時間から宇宙人狼はあつい！
[129.881] kohaku_kitune: わこらだ
[129.952] shinon218: わこらだー
[130.093] toya0601: わこらだ
[130.284] jasmin72: わこらだ〜
[130.426] monja_zz: わこらっだ！
[130.432] (S)ritae95: ritae95 subscribed at Tier 1. They've subscribed for 8 months! 
[130.553] (S)muroxx28: わこらだ
[130.607] yuimo_1823: わこらだ
[130.611] (S)あーーーち: わこらだ
[130.691] おみやす: わこらだ
[130.726] (S)machipafe: わこらだ
[130.783] onigirimaruuuu: わこらだー
[130.919] (S)riku0572: わこらだーーー
[131.653] ruru0124: みどりくんいないね
[131.701] (S)hato0123: わこらだ！多いね！楽しそう！
[131.752] yamori_maru: わこらだ
[131.993] (S)rikumaku: わこらだ
[132.119] (S)くさはら: わこらだ
[132.185] stroooooon: わこらだ
[132.208] (S)usamaru_01: わこらだ
[132.313] smile_raku: わこらだー
[132.344] fukudamasaya: わこらだ
[132.418] ぺんちゃん_34: わこらだ
[132.679] tommyii20: わこらだ
[132.726] (S)kokoa1219: わこらだ
[132.862] kure_pu11: わこらだ
[133.103] aminosan108: わこらだ
[133.112] toti153: わこらだ
[133.136] (S)arasin2157: わこらだー
[133.324] Pearl0528: わこらだ！
[133.414] (S)ﾊｲﾌﾝ: わこらだ
[133.521] (S)よっしぃぃ: よっしぃぃ subscribed with Prime. They've subscribed for 4 months! 
[133.539] roseblack0304: わこらだ
[133.586] yukkihv: わこらだ
[133.713] (S)kujirai___: わこらだ
[133.777] afrocha: わらこだ
[133.856] (S)麗葉: h4rusak1k4ren subscribed at Tier 1. They've subscribed for 3 months, currently on a 2 month streak! 
[134.025] ebifuraioisi: わこらだ
[134.238] nasa0614: わこらだ
[134.328] kaomodi22: わこらだー
[134.384] みるちあるち: わこらだ
[134.443] (S)natsumikann_912: わこらだぁ
[134.471] (S)kirisame_92: わこらだ
[134.576] (S)ayayama0523: わこらだ
[134.776] ぽんを: わこらだ
[134.915] (S)夏目輝: わこらだ
[134.994] outinoyami: わこらだ
[135.123] (S)irohas_822: わこらだ
[135.182] abusu146324: わこらだ
[135.334] rina062: わこらだ〜
[135.361] 歯茎: 宇宙人狼うれしーーー
[135.733] acqno_: わこらだ
[135.744] ガッチー: わこらだ
[135.951] (S)totoaidesu: わこらだ
[136.158] そーーーーま: わこらだ
[136.323] y0ur_n4m333: わこらだー
[136.341] (S)桐__: 桐__ subscribed at Tier 1. They've subscribed for 9 months! 
[136.421] (S)ゆんしく: わこらだ！
[136.436] (S)yuu7syo: わこらだ
[136.464] yua_0214: わこらだ
[136.466] (S)しーすら: わこらだ
[136.469] mirinnchan: わこらだー！
[136.792] (S)シラー: わこらだ
[136.923] 紅狼ゆう: わこらだ
[137.170] Mikome0906: わこらだ
[137.406] (S)暗黙の緑茶: わこらだ
[137.603] mitsuxx00: たらちゃんのスキンかわいい
[137.612] blast_0513: わらこだ
[137.796] ayame025: わこらだ
[137.967] (S)まつリ: わこらだ
[138.063] まとま: わこらだー
[138.147] konpe1to: わこらだ
[138.160] (S)bibi77770: わこらだ
[138.185] izumi1026: わこらだ
[138.209] frogflingpstfst: わこらだ
[138.457] (S)ふぁぃ: わこらだ
[138.740] ぬかにくぎ: ぬかにくぎ subscribed at Tier 1. They've subscribed for 15 months! わこらだ
[138.873] のいん: わこらだ
[138.890] (S)ｫﾜ: わこらだ
[139.104] tatataka61: わこらだ
[139.205] (S)konnit: はやいですねー
[139.531] ろくちゃ: わこらだ
[139.584] zikkyo_01417: わこらだ
