[581.457] katsuo73: 結局きのうの予定ははなんだったの？
[581.528] (S)けろろがめ: 憂鬱な日曜明けに闇話題提供は効きます
[584.001] kawasak1n: 明日が楽しみだ
[587.638] daichan1200: 明日の40代も引き続きあのゲーム？
[594.953] goozy009: 次はきゃさおさんいよいよ出動？
[599.487] johndoe6523rp: 明日もリーサルカンパニーすかね
[615.121] v_harumi_v: そうなのね
[615.787] (S)イエール: ノリで決めよう
[623.790] (S)ちぇんぷる: リーサルカンパニーのうめちゃ相当おもしろかった
[634.047] Terminally_Chilll: positi43ICU
[641.204] bec118_japan: サロメ嬢はもう無さそうなの？
[643.780] bobonchuaaaa: LCQは行きますか？
[660.781] kahaku91: そこは王のお心次第かと存じます・・・
[663.025] kino883: kino883 subscribed at Tier 1. They've subscribed for 53 months! 
[670.424] (M)gameinntwitch: リーサルカンパニーじゃない可能性もあんのか
[671.263] bobonchuaaaa: うおおおおお頑張って！
[674.779] kawasak1n: umeYay
[685.025] (S)duca_online: duca_online subscribed with Prime. They've subscribed for 8 months, currently on a 1 month streak! 
[688.692] amurense: りゅうきちくんとはやってほしいです
[691.450] (S)moppu_gake: LCQの間しばらく配信お休みになるのか
[691.569] (M)(S)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[717.364] latenight000: ゲームの決定権が誰にあるのか不明ではある、40代は
[718.856] sphere0315: 闇話題のダンゴさん、導入はいつも面白そうなのに「そういう話！？」って方向にいくのツボる
[724.033] pyonpyonstyle: たかしが強くなったらたかしに変えますか？
[749.837] bobonchuaaaa: トパチャンで藤村は春麗使ってました、、
[752.384] ぢょごぢゃん: うめさん髪伸びたな
[757.362] gorogorogorn: 半分以上本題と関係ないという
[760.512] tabibitox: 着眼点はいいけど活かせないセンス
[761.986] chicken_dumpling: daigo should practice checking drive rush
[775.132] bec118_japan: 髪切ったばっかじゃなかったっけ
[777.309] goozy009: ダンゴさんは、酒ありの方がスリルあって好き
[781.650] junjamaica: そっちかい！的なＷ
[793.310] kahaku91: 頭の乾かしはそれでOK？
[797.126] aiueo_zzz: モダンで連打だけでマスター行ってしまったんだけれど、どのタイミングでボタン押した方がいいってどうやって分かる？
[797.358] momomon_y: 眠そうですね
[804.028] redbull_daisuki: redbull_daisuki subscribed with Prime. They've subscribed for 46 months! 
[823.075] kawasak1n: だんごさんカツラだったとは・・
[828.701] gorogorogorn: 毛先遊ばせてるねえ
[846.421] v_harumi_v: 途中でウィッグを取ったり付けたりするのが面白かった
[847.979] market_fujisaki: market_fujisaki subscribed at Tier 1. They've subscribed for 44 months! こんばんはー
[857.431] (S)とも8はる: こんばんは
[865.962] j_zima: めっさ眠そうねw
[868.964] pepepe393: ダイゴハロー
[872.292] v_harumi_v: 伸びましたね
[873.456] katsuo73: だんごさんハンサムなんだしスキンヘッド似合いそうだけどな
[874.429] woodmud: 長髪はした事ないんですか？
[885.875] goozy009: でも、長いの似合ってはいます。
[885.905] gorogorogorn: umeYung
[897.202] kawasak1n: umeYay
[902.169] sphere0315: ダンゴ＝ハンサム
[915.024] bec118_japan: 言ってたね
[925.416] (M)gameinntwitch: まだ食べたことないや
[930.544] katsuo73: 白山通り？
[936.382] kawasak1n: ｗｗｗ
[936.563] bec118_japan: wwww
[948.356] (S)イエール: 食えねえww
[949.649] QUENCH666: Cheer100
[950.864] イガ: 調べていきなｗ
[955.082] bec118_japan: おおー
[957.001] Magpuller: SHORYUKEN!
[957.655] goozy009: おっ
[961.323] v_harumi_v: 食べれてよかったですね
[963.061] gorogorogorn: 逆に意地でも食いたくなるね
[965.229] johndoe6523rp: へ〜
[965.311] latenight000: 3回入れないは相当才能ある
[967.714] 超パンダ: だいごたむ。。。だいごたむ！！！！
[968.519] (S)moppu_gake: なかなかの確率だね
[973.759] oyukakete3min: oyukakete3min subscribed with Prime. They've subscribed for 31 months, currently on a 10 month streak! 
[974.173] (S)ブロッケンです: ブロッケンです subscribed at Tier 1. 
[976.335] (S)イエール: ツマリスキー
[978.725] (S)moppu_gake: 劉備でも三回目で入れたのに
[979.459] (M)gameinntwitch: 柏木が毎週食べてたと味だったのか
[995.099] bec118_japan: 跡地はどうなってた？？
[1004.602] kahaku91: 戦国ラーメン時代は好きか？
[1024.847] latenight000: 常人はスケジュールを確認して2回目では入れてしまう。
[1041.913] bec118_japan: スタッフさんありがとー
[1048.910] じんー仁: 風邪ひいてる？
[1050.781] (S)イエール: umeYay
[1062.127] (S)三郎です: 昇龍ってレバーとレバレスだと出しにくさに違いあるんですか？
[1066.693] bec118_japan: 都営三田線だっけ？
[1067.619] (M)gameinntwitch: 何故白山で
[1071.779] katsuo73: 歩いていかなかったの？
[1084.355] kahaku91: 住宅街だもんね
[1095.074] katsuo73: そゆことねw
[1103.053] bobonchuaaaa: 結構並びました？
[1107.017] 犬舐めんなよ: へー
[1107.085] sphere0315: 帰り歩くスタイル
[1114.860] katsuo73: 今も深夜までやってるのかな
[1115.757] the_blow02: 麺浪漫でしたっけ？
[1121.853] bobonchuaaaa: おーいいね
[1124.793] bunbun0880: 格ゲーマー達との旅行って来週？
[1135.437] market_fujisaki: お
[1137.974] v_harumi_v: おおー
[1138.159] (S)イエール: 鬼太郎！？
[1138.555] kawasak1n: ん
[1138.852] potocki1810: 今は携帯あるから並ぶの昔ほど苦じゃなくなった
[1141.645] (S)gularain: みるんだ
[1141.910] shichimi10: みようか迷ってる
[1144.572] papamegane: シティボーイズすか？
[1146.283] gorogorogorn: 鬼太郎？
[1146.751] latenight000: 映画のやつ？
[1146.907] cafe_gondo: おお
[1150.690] kahaku91: 意外だな
[1152.302] bec118_japan: おやじが目玉じゃないって言ってたやつ？
[1152.388] bunbun0880: 評判が良いと噂の
[1153.320] (S)軽く捻るか: どうでしたか？
[1154.935] chin_56_: 結構グロいよね
[1158.895] (S)ましゅダヨ: へぇー
[1161.767] jojoxxxxxxxx: おもしろかった
[1161.820] goozy009: 面白いけど展開早くなかったですか？
[1175.273] osarusan26: 自分も観ようか迷ってるけど毎回席混んでて行かずじまいだなぁ
[1182.768] katsuo73: お、見たいやつ、海外にはやって来なそうで諦めてる、いつもの鬼太郎より大人向け？
[1183.741] kuniyoshi8: 耐性あるもんね
[1187.569] v_harumi_v: 映画館で観ると楽しい映画？
[1187.731] perfecttakahashi: ウメちゃんLCQ登録した？
[1191.067] gorogorogorn: グロイのは墓場の方かな
[1196.345] 吉田じんぎ: 妖怪は物理効くから怖くない？
[1198.285] (S)さとーるの: 何点？
[1203.916] v_harumi_v: へー、大人向けなのね
[1209.694] ninsoku: あれは「墓場鬼太郎」読んでないとピンとこない気がする
[1210.012] v_harumi_v: そうなのね
[1214.518] lucentsnow: 水木絵っぽいの？
[1231.570] sphere0315: 映画館はトイレ行けないからね
[1241.597] fireballkid1981: スタイリッシュ鬼太郎
[1243.429] kahaku91: 「推し」がわからないと楽しめないのでは？
[1246.855] v_harumi_v: 何時間くらいなんだろ？
[1250.352] bobonchuaaaa: ゲゲゲの謎ってやつかな？
[1250.949] goozy009: ぬらりひょんとシノ坊が居ない劇場版は少し寂しかった(笑)あと、猫娘だけ美女過ぎた
[1255.211] (S)moppu_gake: 鬼太郎の仲間とかも出てくる感じ？
[1256.595] v_harumi_v: へー
[1258.623] kawasak1n: へー
[1264.161] nyapora12381: 原作のダークな感じがしっかり出ててよかった
[1274.200] potocki1810: ｗｗｗ
[1276.355] sistersguitarreplica: 物足りない?
[1277.912] v_harumi_v: 迫力を楽しむというより、ストーリー楽しむ感じなのかしら
[1278.516] (S)イエール: 分かったとて......。
[1278.905] kuniyoshi8: たいした理由じゃないみたいな
[1280.192] latenight000: わかったぁああああああ
[1289.119] erisuk: 逆に今までその設定だしてなかったの
[1291.649] ゆずーる: 腑に落ちない？
