[443.994] (S)タタオカ: こんばんは
[447.376] (S)弾丸: 僕はガレリア
[463.057] (S)rootlic: 実家のようなミラプリ
[474.032] zakiyoka: ご無沙汰〜
[492.766] (S)大きな寿司: ｗｗｗｗｗｗ
[495.395] (S)かんろニケ: 女の名前間違えるなんて…
[503.212] fumikara: うわ、BGMなつかし
[504.093] (S)弾丸: クレナイって誰よ！
[512.314] (S)yokopon7: 草
[524.536] merutyyyy: ヘンディーさんの14動画でff初めて最新ストーリーまで追いついたのでここから配信追えるのが楽しみです～！
[524.885] zakiyoka: 記憶の糸を
[536.982] (S)opkuas: 前回の復興は塾やって終わったくらいか？
[563.774] 鶸鳥しあん: こんばんわ～
[574.295] (S)弾丸: 売るぐらい？
[575.502] jackkirisaki: それは換金ですね
[575.726] (S)タタオカ: 金策用
[576.546] Hachiken0326: 言えぬ
[576.799] (S)opkuas: 換金用
[577.112] muichimon: 換金のはないかも
[582.530] (S)からあげクン1: 換金用アイテムなので売る意外ないですね
[582.794] 鶸鳥しあん: 換金アイテムだからそこで換金してる
[612.114] Hachiken0326: 倍率かかってるか
[619.715] 鶸鳥しあん: 換金率が上がってますもんね
[621.465] jackkirisaki: オーバーして渡してますねw
[648.270] (S)シラトリウス: おかえりー
[666.088] (S)はさは: おかえりー
[667.865] hlhl114514: 妖怪ウォッチコラボやるんか?
[669.795] Juicewisdom: axeumBlush
[671.977] 鶸鳥しあん: いいですねぇ
[675.174] kokokou0417: 東大建ててるのか
[708.280] (S)弾丸: かまかまへんでぃー
[716.963] あとたろ: おいすですぅ
[728.139] (S)ガガーラン: ガガーラン subscribed with Prime. They've subscribed for 3 months! 
[743.207] (S)シャケ猫: tonaka2Kamahen
[744.471] (S)rootlic: 音量マクロボタンのこと忘れてる
[755.007] Hachiken0326: BGM堪能用音量だ
[798.354] (S)光の戦士とわっち: こんばんわー 待ってました
[845.199] iamalphinaud: hello! what expansion is this?
[891.006] mikachi1102: こんばんは、FFお久しぶりだー！
[911.155] Hachiken0326: 確かに個別エリアじゃないもんなぁ
[941.821] みみべっかー: いるなあｗ
[958.572] わくわくさん: 石の家は進み具合で40種類とかあるらしいです
[964.123] (S)光の戦士とわっち: だいぶ広くなったねえ
[1033.714] (S)弾丸: よかったねぇ
[1039.512] さくぅ_: こんばんはー
[1041.671] (S)かんろニケ: ww
[1043.839] (S)kyubeisan: www
[1049.820] みみべっかー: それはそれで見たい
[1051.402] (S)大きな寿司: ですわ口調になりそう
[1054.176] (S)タタオカ: 横領してるじゃんｗｗ
[1062.510] jackkirisaki: 貴族コザクラ
[1161.382] eric_kresnik: ヘンディーさんのFF14見るの久しぶり！
[1223.927] youtori: 大理石に総とっかえしよう
[1240.638] zakiyoka: ケルヒャーでババーッと
[1243.687] youtori: アラガンケルヒャー
[1246.227] (S)rootlic: ドマステージ
[1266.711] 夢中猫: BegWan
[1281.367] (M)Nightbot: 面白いシーンなどがあれば”名前”をつけてクリップしてもらえると嬉しいです！もしかしたらそのシーンが切り抜きで出てくるかもです！メンバー、サブスク限定のディスコードサーバーもあるので是非はいってみてください！
[1335.245] (S)karupin04: アスレチックも作っちゃって
[1337.526] 夢中猫: SeemsGood
[1358.625] inufu: こんばんは！
[1394.562] (S)弾丸: tonaka2Penraito
[1395.213] (S)タタオカ: いいですね
[1401.668] pariiiin: キャシー21時16分ごろ湧くらしいです
[1428.983] eric_kresnik: 友好部族あるかな
[1485.235] Hachiken0326: 吉田ァ！
[1495.567] (S)ぬべす: 異世界のヨシダ
[1501.692] (S)タタオカ: 演歌歌いそうだなぁ
[1508.589] (S)karupin04: ヘイヨー
[1538.218] (S)弾丸: 極解放！
[1553.882] jackkirisaki: 着物を着ても尚ハープ…
[1597.153] pariiiin: やるの？
[1600.781] (S)弾丸: 極ティターニアうおおお
[1605.894] youtori: 甘美なり～～
[1612.689] (S)かなるな: 琴か三味線にしてほしいなそのかっこなら
[1624.023] (S)rootlic: 全部の話を聞いたとこから盛って歌ってくる
[1643.304] (S)nariria: めっちゃ痩せるから当時極ライザップって呼ばれてましたｗ
[1644.680] (S)ぶるじん霜月: ハープなんよねw
[1647.030] tarunie: 極イノセンス難易度的に初めてやる極として良い出来だった記憶
[1649.332] jackkirisaki: マイク握ってw
[1669.321] (S)かんろニケ: 盛り癖w
[1680.800] ななみんさんだよ: あとヒカセンの記憶力問題もある
[1681.026] (S)karupin04: 盛りすぎると絶になる
[1685.443] Hachiken0326: でもヒカセンもエデンで盛ってるしなぁ
[1687.327] youtori: 物語は修飾が大事ですからね～
[1687.973] zakiyoka: 厄介ww
[1690.259] (S)kyubeisan: ww
[1690.699] gozen_reiji000: 英雄譚って盛られますから……
[1692.864] (S)かなるな: 大盛り
[1711.005] kokokou0417: 変な方向に強なるやつ〜
[1713.548] inufu: 夢が盛り盛り
[1723.353] (S)yokopon7: つい盛っちゃうんやなぁこの人
[1734.089] tarunie: その頭割りの時にこれも同時に来たらなんか映えますよね！くらいのノリ
[1735.331] kokokou0417: なーにがレクイエムだよほんと
[1739.961] ななみんさんだよ: ヒカセンもリヴァイアサン頭二つで記憶してるから何とも言えん
[1754.520] (S)akahige9280: www
[1764.261] kokokou0417: いつからそいつが詩人だと錯覚していた？
[1764.701] youtori: 愛染に見えてきた
[1768.250] inufu: このハープちっさくない？
[1774.896] gozen_reiji000: ヒカセンはタイタンは車に変形するって覚えてるし……
[1790.417] kokokou0417: お前のキャラオレンジにしたらいちごや
[1818.547] (S)かんろニケ: www
[1820.694] (S)大きな寿司: ｗｗｗｗｗｗ
[1824.166] youtori: そういえばねｗ
[1825.385] (S)kyubeisan: wwww
[1827.879] 夢中猫: ｗｗｗ
[1829.245] (S)akahige9280: あったねw
[1830.139] Hachiken0326: 最初はブラックナイトで自分だけ助かろうとしてたんですよ
[1831.257] inufu: www
[1848.454] eric_kresnik: ズレたおかげでタイミング合った
[1849.248] らずきち: www
[1852.184] (S)かなるな: www
[1857.296] (S)syuuuna: www
[1874.933] crazynoobka2u: ｗｗｗ
[1889.236] (S)rootlic: LBを使われたからLBを使うって恋ってこと！？
[1942.537] (S)rootlic: 盛り癖
[1946.924] (S)alachal: alachal subscribed at Tier 1. They've subscribed for 3 months, currently on a 3 month streak! 
[1948.695] seiten07: でも吉田ってばつ1なんだよね？
[1948.910] けいしゃん: 女性は無料、男性は10000円です
[1954.523] 夢中猫: NotLikeThis
[1961.716] (S)かなるな: 盛りぐせそこにも
[1966.988] (S)かなるな: www
[1968.813] inufu: 盛りすぎて草
[1970.555] (S)kyubeisan: www
[1971.986] (S)タタオカ: ｗｗｗ
[1972.072] らずきち: w
[1982.912] ききょうさん: www
[1991.485] (S)かなるな: でしょうね
[1994.554] 夢中猫: BloodTrail
[2005.631] ikamimi23: あたりまえやん
[2014.286] (S)co_ixion: BloodTrail
[2018.718] (S)大きな寿司: ｗｗｗｗｗｗｗｗｗｗｗｗｗ
[2019.528] らずきち: www
[2022.174] crazynoobka2u: ｗｗｗｗ
[2022.176] (S)kyubeisan: wwww
[2022.924] (S)千茶: www
[2023.126] (S)akahige9280: 辛いなw
[2024.436] (S)かなるな: それを落とすのが男の技量ですやん、言ったことないですけど
[2024.839] ななみんさんだよ: 栽培してるｗ
[2025.783] hazz9706: えっちだなぁ
[2026.697] (S)大きな寿司: 水浴びタイム
[2029.929] (S)rootlic: 今日も師匠がよく生ってるわ
[2030.029] ぷるぼらす: もうすぐ期間終わりますが、FF16コラボはやりましたか？
[2031.713] (S)びんじ: こんばんはー
[2031.989] 9uwa: 新種の植物かな？
[2033.506] inufu: wwwwww
[2034.060] kokokou0417: 生師匠だ！
[2034.826] (S)syuuuna: ししょー!!!
[2036.650] (S)かなるな: 光合成？
[2041.876] (S)弾丸: 光合成と十分な水分とね
[2043.860] pariiiin: あと3分後くらいにキャシーが湧きます
[2051.899] (S)akahige9280: 師匠www
[2055.620] (S)かなるな: おったね
[2060.208] kokokou0417: 白かったからもう光合成きつくね？笑
[2092.439] (S)かなるな: 帰ってくるか心配してたなwww
[2105.431] gozen_reiji000: 釣りとかに必要なんですよ！！！
[2132.990] ookami280: メタ的な悩みを解決するためだけのクエ
[2135.142] nwurm: 釣りには重要なんです
[2138.422] (S)弾丸: それだけ！？ｗ
[2140.242] eric_kresnik: 終わり
[2146.660] (S)おちむう: www
[2149.241] (S)nariria: コケ？ｗ
[2149.938] (S)akahige9280: え？
[2155.648] (S)kyubeisan: 成長してる⁉
