[396.743] lstarsyunsyun: アムさんって何の犬種でしょうか？
[402.132] optionpurple8: wwww
[404.704] クレヨンパステル: サモエド
[408.443] きりがみねえあこん: ｗｗｗ
[410.561] iiikmiii: wwww
[410.798] みぃのすけ: ガスボンベが炎に近くて恐いです、お気をつけて
[412.773] キューブってる: アム人すぐ燃え移りそうだから怖い
[414.600] とんこつラーメン食べたい: ザンギエフのモデルのしんじさんやっぱいいなぁ
[418.240] らずきち: ｗｗ
[419.721] どらどら君: これが生の牛のぺ◯スだぁ～ご立派ァ！
[422.885] m4ybechld_0: サモエド
[426.775] ヒ卜カゲ: アムかわいーん
[435.120] sdxse: 右のやつガスか、こわ
[435.339] lionelmessi4545: LUL
[435.500] charlie_drk: HAHAHAHA
[441.225] キューブってる: www
[444.257] dekunobo29: vodkav2Angryvdk
[447.616] ヤサイマシアブラカタマリ: パンしてる
[447.641] mm_kos: あほやw
[450.519] しぇぱーど__: ほんまやボンベこわ
[450.667] Sa1ty1025: ガスボンベ移動させてーーー
[452.440] kanikanimiflkoipij: ガス思ったより怖くてワロタ
[453.754] kamuyazule: 開脚しんじｗ
[458.596] のうきんちゃん: おぼえらい
[463.264] さとうでした: shinjisanNotlikethis
[476.409] psyduck_cu: かしこ
[480.942] mero666666: アムーーアムーーーーーーー
[482.142] kanikanimiflkoipij: えっら
[484.259] r_ronge: ちゃんと聞こえてるぞ
[484.803] iiikmiii: アムかしこすぎるー
[485.811] friday1669: !member
[485.914] (M)Nightbot: おぼさん, しんじさん, トナカイトさん
[487.639] どらどら君: ピー音がきえた
[488.205] まっくん0128: あむみにきました
[489.013] mew3v: 声小さくなった
[489.656] maromaro_96: ぷるぷるぷるぷる
[491.937] まくめーろ: あむちゃんおる
[503.549] mero666666: しんじさん足しっっっろ
[509.078] charlie_drk: ぷるぷるで草
[510.979] optionpurple8: !multi
[511.096] (M)Nightbot: おぼさんの配信とのマルチ視聴はこちらから< https://multistre.am/vodkavdk/obormentv/layout3/ >
[513.277] momoquu_: あむかわよ
[514.111] ankomochi_35: BloodTrail
[525.012] srtdehew: MrDestructoid
[525.384] kedama_man: ヘンディー炙られてて草
[526.677] kanikanimiflkoipij: まだ虫とかいないのかな
[527.815] gikaku_hikariko: あむさんかわええなぁ
[529.466] kami1157: やあ
[532.720] ヒ卜カゲ: あむかわいい
[539.937] srtdehew: wwww
[543.722] さとうでした: wwwww
[544.938] じぃじぃじぃ: がおっす
[548.643] yu_777_god: 今くらいの気温だと涼しくてキャンプ良さそうだなぁ
[549.414] ~MISSING_COMMENTER_INFO~: ヘンディー炎上
[550.667] kanikanimiflkoipij: wwww
[558.664] mew3v: 川入りたいね
[563.130] まっくん0128: あむ笑い声聞こえてくるとそっち側寄るのかわいすぎないか？
[567.823] のうきんちゃん: カラスってうまいんかな？
[570.222] じぃじぃじぃ: 後ろでうろうろしてるアムかわいい
[571.835] 年金泥棒パート2_: いけてる
[575.458] mew3v: おｋ
[575.718] いつくしま: アムおるやん！
[578.359] じぃじぃじぃ: 見えとるよ
[581.785] nottariiiii: 見えてるよ
[583.211] じぃじぃじぃ: 声も聞こえる
[583.409] communityplaza: ぴよぴよ聞こえる
[585.183] のうきんちゃん: いまはいい感じ、たまにこもった声になる
[585.401] キューブってる: いけてる
[585.599] (M)tennkoh: いい感じ
