[510.658] corgi_green: とおこ...
[512.038] ばぁぁあ: www
[516.051] じぃじぃじぃ: 3万スパチャしたから…
[518.026] (S)steph0030a: 嫉妬ですか？
[523.227] (S)でーれー: 何それかわいい
[525.605] しゅーまいまい: wwwwww
[526.297] mik3912: そんなあ
[526.340] (S)dorayakinomattyazoe: www
[526.504] azarashi_ft: ｗｗｗ
[527.317] ふぁいぶぶ: www
[528.439] pikunikku6: www
[530.343] (S)さみすす: wwww
[531.613] kluelessblue: それはそう
[533.335] hstrls: 正解
[533.947] maru__2127: ｗｗｗｗ
[539.515] asaduke0206: 正解
[540.250] lovelyowj: 過激派ですやんw
[542.451] SseinRJ: 性別同じだから余計感じるのかもね
[544.811] じぃじぃじぃ: はいぃ…
[545.389] kachitoma: おえちゃんと同じやん
[549.168] とうぶんかた: ﾊｲﾝ
[550.123] ssssssssszx: はぃ
[552.359] azarashi_ft: まぁ、彼氏がそうだったら正論か
[555.322] (S)suuute: ﾊｲﾝ
[555.381] futaba70: ﾊｲﾝ
[555.554] リーン: ﾊｲﾝ
[556.214] ばぁぁあ: ﾊｲﾝ
[565.014] じぃじぃじぃ: 禁止はしてない分優しいよな
[567.993] aokisouya: まぁそやろな
[571.635] (S)arumon_JP: ﾊｲﾝ
[573.756] kluelessblue: それは本当にそう
[577.092] (S)dorayakinomattyazoe: エグイてぇとか言ってたら普通に萎える
[578.494] futaba70: 自分の彼女がイケカテ生主見てたら嫌やもん
[579.209] 420Raiden: 俺それでローレン嫌いになった
[585.138] aokisouya: 理解ある彼女さんさんきゅーな
[585.397] mirukure0610: ちゃんと理解ある彼女さんや
[595.079] jipotowatanabe: 髪の毛かわいい
[596.488] (S)ふじわらのゆうじ: いただけるものはもらいますけど^^
[599.082] hstrls: 後ろのは
[599.777] looper2811: ぼどさんこんちゃ。
[600.387] mik3912: まあ仕事だしね
[600.404] SseinRJ: 逆の立場でかみとに彼女がデレデレしてたら嫌や
[606.205] endooomame: 彼女さんは推しいないんか
[608.512] mik3912: どのデザインが好きやった？
[627.905] corgi_green: でぶかるびグッズだけ買えるか
[635.988] (S)dorayakinomattyazoe: コンセプトあって良かった
[640.439] mik3912: かるびは許してもらえる？
[643.038] (S)steph0030a: 第一弾はもう届いてるらしいね
[646.734] (S)dorayakinomattyazoe: w
[648.498] marusann122: たかまさは本当に全部買ったんかな
[651.297] しゅーまいまい: ひどw
[651.309] yohukase: ww
[652.972] uwaaiai: かるびは動物
[653.237] aokisouya: マスコット的なかわいさ
[656.259] SseinRJ: かるびに女感じたらまずい
[656.276] byacco40: マスコット寄りやし
[658.474] レベル補正: karubisHanya
[659.468] (S)kazaha_zazazaxf: まじでわかるw
[660.937] kachitoma: かるびは他の部位とはチガウ！
[662.149] ssssssssszx: LUL
[662.195] futaba70: かるびデブ犬みたいな可愛さ
[664.058] ryu___dayo: karubisDebu
[666.924] azarashi_ft: かるびとかぷっさん、りりむはＯＫってことか
[667.531] konagaki: 珍獣やしな
[668.120] mik3912: お肉の国のお姫様よ！！！
[669.822] ばぁぁあ: パンダ
[670.775] nostalgic8451: はなぶさは？
[675.640] kazu7012: 純のエペに乱入してくれ 
[676.734] (S)ふじわらのゆうじ: マスコット的立ち位置
[677.716] mirukure0610: とにかく人間ではないとw
[678.682] しゅーまいまい: あむがかわいいのとおなじ？
[681.321] (S)でーれー: 人間かすら怪しいの草
[682.088] SseinRJ: りりむは文学だから
[683.407] aqutan_sukikamo: りりむ。。。
[691.035] じぃじぃじぃ: りりむは割と女やない？ 妹枠とか？
[693.239] rorifps_: karubisNnn
[695.519] 呂布カルパス: りりむはいいのかよ
[703.280] とうぶんかた: www
[704.567] sekiya190: ニンポーから
[713.336] lion_oo6: 女性受けよさそう
[719.727] maa_bkm: あむくんげんきですか？
[719.768] bonheihe: とりめし美味そ
[734.380] mik3912: けんきとの旅行もだけど、高木の外配信みててひやひやした
[739.047] kazu7012: 葛葉の貯金の予想を教えてください 
[749.605] 天色たま: イケメソ
[760.411] alfredo_the_meat_boy___: こんぼどう
[761.842] じぃじぃじぃ: そのあとハセシンとウォチパか
[781.556] kou18881: なんのヒヤヒヤ？
[788.949] ゆーむりんじー: 高木が風俗行くかどうかでムラムラしてるのおもろかった
[792.847] じぃじぃじぃ: わかんね…
[799.811] arata_rush: この前の福岡のやつ？
[799.957] serialalala: 福岡？
[800.581] ssssssssszx: しらね
[800.798] ますかっと_: 福岡だっけ？
[801.061] 呂布カルパス: もう行ったぞ
[801.908] 凜315: しらんな
[804.206] SseinRJ: しらん
[809.611] azarashi_ft: 福岡行った配信はみたけど
[811.019] corgi_green: 福岡このまえいってた？
[817.334] yohukase: 中洲行ってたな
[820.464] ゆーむりんじー: レペゼンのやつじゃね？
[820.880] mik3912: 卒業するとかどうとか言ってたよ
[834.799] (S)venven8: 一緒に2人で寝てました☺️
[839.852] lovelyowj: また行くのかと思ったわ
[846.021] mik3912: ライブしてた福岡で
[850.363] corgi_green: 3人になったのだけ知ってる
[854.384] hstrls: 今年中に借金返すらしい
[856.747] SseinRJ: 仲間割れ激化したのまで走ってる
[857.937] kachitoma: ふぉいのライブけんきと見に行ってた
[858.166] 呂布カルパス: https://x.com/T_kenki/status/1799436775229919347
[862.886] こでまり: culqMgmg
[866.369] mik3912: あっ
[873.670] mik3912: いるよー
[873.692] kou18881: あそこもうよく分からん
[877.646] ぜくちゅ: ふぉいは借金１億５千万返した
[879.116] SseinRJ: プロゲーミングチームしてる
[881.326] azarashi_ft: わきとふぉいはＮＯＥＺのＡｐｅｘで盛り上がってた
[881.915] aqutan_sukikamo: NOEZがんばってる
[887.670] (S)でーれー: 社長はバツ4で子供５人いる
[900.320] kou18881: tシャツええなそれ
[905.101] mik3912: 福岡旅行でその2人と合流してたっぽい
[912.837] わふ와후: こんにちはー！！
[917.760] SseinRJ: ふぉい借金あったんか
[920.446] lovelyowj: MM 
[926.828] わでぃぱげ: わきとふぉいは、たかまさとみあけーとバンドリを自分のチームに入れてた
[927.453] 猫すきすん: こんにちわ！
[932.758] marusann122: けんきがふぉいと仲いいから
[944.210] futaba70: ふぉい大変そうやな
[949.830] kachitoma: 高木案件の時、広告代理店の人とかにもらった名刺五枚でシャカパチしてたらしい
[965.841] kou18881: へー
[967.338] kou445: MMがNOEZに行くとは思わなんだ
[970.821] ta_kafuu: なんのtシャツ着てるの？
[972.432] SseinRJ: あれは悩む
[984.259] mik3912: 全然詳しくなかったけどハイゲでいい方に見る目変わった
[991.538] (S)dorayakinomattyazoe: ちゃんと人生の岐路
[993.470] wh1skey_55: こんボド 
[1013.039] kou18881: わからんっちゃ
[1022.311] hstrls: 友達と仕事って続かんのかな東海もだし
[1030.138] kou445: まぁ初期メンに戻っただけだからいんじゃない？
[1042.269] (S)でーれー: グループで仕事すんのマジ大変そう
[1061.461] yukketherock: ふぉいがひたすら優秀
[1062.826] SseinRJ: 少なくとも女選ぶ奴はいらんやろ
[1065.340] kou18881: 世渡り上手
[1079.963] hqr1ne1129: レペゼン全くわからんのやけどあのメンバーでずっとやってたわけじゃないのか
[1092.596] hasesin05: がおっす
[1107.106] ぱぱらっち: 中洲でボーイしてたよね
[1110.206] lionelmessi4545: おい！ボドカ！EMEAエーペックスリドルのアイコンとめちゃ似てるチームがいるぞ！！！！パクリや！！
[1115.839] kou18881: そういえばマウスとか届いたの？？
[1117.267] hstrls: ふぉいは顔出してなかった猿のお面被ってた
[1127.777] azarashi_ft: フォックスになってから知ったから地球時代しらないんだよな
[1147.683] ばぁぁあ: なんの髪型も似合う
[1154.697] kou18881: そんな時代なんてあるんだ
[1156.218] marusann122: 人望はありますね 色んな有名な方のご飯会にも呼ばれてるくらいですし
[1157.633] ただのともや: ライブの時に猿のお面外して盛り上がる下りあったの懐かしい
[1158.978] 時夜_1615: 福岡事変よく聞いてた
[1160.598] sora_444: おいす
[1164.398] mik3912: 土井さんもボドの雑談見てるって言ってたよ
[1170.424] futaba70: 地球時代いいイメージまじで無いわ
[1174.338] こでまり: ホ、モサピとも仲良いから野食系でもいける
[1184.340] yukketherock: そういえばレペゼン地球って名前やったな
[1186.019] SseinRJ: 酒飲んで吐く
[1188.751] (S)でーれー: 地球時代はゲロとか飲んでておもろかった
[1191.327] aqutan_sukikamo: ふぉいがりなりないじめてたのは知ってる
[1191.413] わでぃぱげ: 闇鍋
[1195.577] みずキチ: 飲んでは吐く…
[1197.834] 420Raiden: 無限オムレツガチで好きやった
