[97.942] soyun___0709: わこらだ
[97.948] rurina_a: わこらだ
[97.960] po_1017: わこらだ
[97.982] topokke: わこらだー
[98.003] ポップ: わこらだ
[98.136] nakkaaaa: わこらだ
[98.214] (S)bunchaan: わこらだびっくりした
[98.215] ritsuchan1030: わこらだ
[98.744] (S)nyoiiinsan: わこらだ
[98.853] mikakimori: お昼からありがてぇ
[98.853] (S)そまる: わこらだ
[98.854] (S)valiant_o: わこらだ
[99.108] 燐だよ: わこらだ
[99.165] (S)せおりー: megumin120 subscribed at Tier 2. They've subscribed for 9 months, currently on a 9 month streak! 
[99.170] laugh_423: わこらだ
[99.294] お酢になりたい: わこらだ
[99.300] masa2727: わこらだ
[99.306] myuuaca: わこらだ
[99.344] みこち35: わこらだ
[99.369] renkanokotatu: わこらだ
[99.508] sixpistls: わこらだ
[99.517] pisket07: わこらだ〜
[99.598] nalyagara: わこらだ
[99.814] iwadon_ars113: わこらだ
[99.999] (S)ryokiki: わこらだ
[100.021] (S)jujy0816: wakorada
[100.042] kurinezumi: わこらだ
[100.045] 風花雪月です: わこラダー
[100.054] 腹痛: わこらだ
[100.135] masukuhakokoda: わこらだ
[100.231] もかこーひーー: わこらだー
[100.273] (S)ZAKUtesta: わこらだ
[100.314] yuzuyu_0219: わこらだ
[100.446] ぷっちマン: わこらだ
[100.548] (S)ぉうどん: ぉうどん subscribed at Tier 1. They've subscribed for 7 months, currently on a 2 month streak! わこらだ
[100.552] (S)nya0k0: わこらだ
[100.662] (S)setuna9: わこらだ
[100.683] (S)まりぃくん: わこ
[100.754] itowatarai: こんにちわんこそば
[100.818] heIIo_skr: わこらだ
[100.884] tyanco112: わこらだ
[100.919] (S)よわはと: わこらだ
[100.975] kile_oboroduki: わこらだ
[100.996] riia73: わこらだー！
[101.087] kkanoki: わこらだ
[101.164] amatou1024: わこらだ
[101.296] zyagaimo__: わこらだ
[101.357] アマノジャクだよ: わこらだ
[101.359] komin__: わこらだ
[101.383] manmarumeru: わこらだじゃーん
[101.386] (S)nero_iz: わこらだ
[101.395] kabukabu__2525: わこらだ！
[101.400] (S)夜伽らぁ: わこらだ
[101.719] am_3zi: わこらだ
[101.795] purin1021: わこらだ〜！
[101.941] (S)mamo_tarou: わこらだ
[101.979] (S)amatuba0424: amatuba0424 subscribed at Tier 2. They've subscribed for 2 months! 
[103.028] tamago1212: わこらだ
[103.155] (S)shoyu_binbin: わこらだ
[103.207] (S)hashibamin: わこらだ
[103.240] kamido__: わこらだー
[103.242] (S)えびとまと: わこらだ
[103.293] 八津: わこらだ
[103.295] fuenniru: わこらだ
[103.297] げそおむれつ: わこらだ
[103.302] asufa0929: わこらだー
[103.342] tsubasa723: わこらだ
[103.487] (S)kiyuki_1: わこらだー
[103.516] (S)kcal_mei_to: わこらだ
[103.526] ume_lix: ツイート
[103.656] asu_p0202: わこらだ
[103.680] ruruyuzu: わこらた
[103.702] (S)あびぃぃぃ: わこらだ
[103.716] Oyu3255: わこらだ
[103.793] (S)たぴすけ: わこらだ
[104.025] (S)takanashi____: わこらだ〜！
[104.027] shake_maruru: わこらだ
[104.169] 奈落00: わこらだ
[104.261] (S)mochitani: わこらだ～
[104.295] puritti0125: わこらだー
[104.307] (S)isoyan6921: radaokunWakotu
[104.326] mikan_san: ﾅｲｽｰ
[104.387] (S)hacchiii: わこらだ
[104.404] (S)yuzuka71: わこらだ
[104.408] (S)posya_trpg: わこらだ〜
[104.502] ayakun1945: わこらだ
[104.660] (S)kuru053: わこらだ
[104.711] (S)_はた_: わこらだ
[104.748] まおさんです: わこらだ
[104.842] しげちーちゃん: わこらだ
[104.903] (S)oureka: oureka subscribed at Tier 1. They've subscribed for 7 months! 
[105.995] (S)ビアマン: いんしょう127 subscribed at Tier 1. They've subscribed for 6 months, currently on a 6 month streak! いつもありがとう、らだお
[106.153] おふとぅん: わこらだ
[106.156] めろぱんまん: わこらだ！
[106.222] (S)muru1113: わこらだ
[106.370] みょんちゃんさん: わこらだ
[106.463] (S)あめのさま: わこらだ
[106.498] ここああああ: わこらだ
[106.499] menheracha: わこらだ
[106.607] yukimaru_neko: わこらだこんにちは
[106.678] (S)おとたやん: わこらだ
[106.702] ui125: わこらだ
[106.702] さくらん_: わこらだー
[106.731] もかこーひーー: わこらだ
[106.756] adfley: わこらだ
[107.051] いろぱん: わこらだ
[107.227] remonteli: わこらだ
[107.277] (S)荒川さん: わこらだ
[107.315] もふ_00: わこらだ
[107.460] ne_to2729: わこらだ
[107.668] bread_haise: わこらだ
[107.678] mirorimi: わこらだ
[107.732] shinegreen0928: わこらだ
[107.883] hisyo_: わこらだ
[107.916] hinachi1847: わこらだ
[107.917] (S)aonohito0901: わこらだ
[107.946] (S)らく___: わこらだ
[108.061] 三丁目の夕日: わこらだ
[108.094] ryoo412: わこらだ
[108.095] iruka_06: わこらだ
[108.167] 親愛なるニンジン: 昼！？
[108.186] (S)ash_4028: わこらだ
[108.421] gas0303: わこらだ
[108.623] 4410taiga: あ
[109.239] miraittt: わこらだ
[109.358] (S)doku___: わこらだ
[109.364] yua_0214: わこらだー
[109.382] (S)gonzaresu97: radaokunWakotu
[109.797] koha22186: わこらだです！
[110.011] (S)okaki_to_sencha: わこらだ
[110.117] (S)casket__00: わこらだ
[110.184] (S)非自腹: わこらだ
[110.431] kasumo0622: わこらだ
[110.856] 九条櫻子: わこらだ
[110.909] gokkochann0312: わこらだ
[110.965] 九〇: わこらだ
[110.999] utubyou: わこらだ
[111.059] (S)atonana: わこらだ
[111.068] (S)curry_nomitai: わこらだ
[111.203] (S)プラず: わこらだ
[111.203] 親愛なるニンジン: わこらだん
[111.239] (S)nokos__: わこらだ
[111.513] (S)torishi28: わこらだ
[111.529] ねこにかばん: わこらだ
[111.719] (S)momo_chaso: かわいい
[111.728] ipuu818: わこらだ
[111.775] nakkaaaa: 2人ともリモートワークなんかな？
[111.825] (S)アカール: アカール subscribed at Tier 1. They've subscribed for 3 months! わこらだ
[111.914] (S)siromarumoti05: わこらだ
[111.964] kamaboko_irasut: わこらだ
[112.011] (S)あめまう_: わこらだ！
[112.136] (S)ichigaya_suzuna: わこらだ
[112.246] kanitabeta: わこらだ
[112.247] kurusu46tkch: わこらだ
[112.248] turuki91: わこらだ
[112.332] (S)シヴ: わこらだー
[112.365] (S)らんけっと: わこらだ
[112.373] sannnami: わこらでー
[112.641] (S)penburk: わこらだー
[112.850] shuri_03: わこらだ！ 
[112.933] (S)vvjxvsre5egfl93: vvjxvsre5egfl93 subscribed at Tier 1. They've subscribed for 2 months, currently on a 1 month streak! わこらだ
