[191.974] (S)マラリンティウス: なるちゃんファイトォ！
[193.915] (S)ボブ牧原: ふぁいと
[196.201] (S)Mr_Qsuke: naru04Hifive
[196.270] ライム_: コサクは？
[197.273] shizuku_72: マゴしぃ
[197.333] _カタクリコ: なるちゃんふぁいとー
[197.529] いつほし: なかやんも応援してくれてるぞ
[198.817] (S)miyami022: まごしい
[199.595] fumbi5566: マゴさん！？
[200.417] mitsuo157: mago2dSmile
[200.456] yerrymina2: mago2dYametene2
[201.382] SuperMaguro: まごしぃー
[201.795] あきがクラ: マゴさーん
[201.979] きーご: naru04JugWIN
[202.156] be1surprise: ｵﾏｰｺﾞ
[202.641] toast_xxx: マゴさん！る
[202.707] (S)takumaru23: mago2dYametene2
[202.888] 水越ごっつ: まごしゃん！
[203.169] (S)ひとツブ: まごし
[203.315] 7qojisan: リンいたぁ
[203.697] morimorione: ｵﾏｰｺﾞ😻
[204.147] (S)TNTNBRN: マゴさん😍
[204.514] (S)くらげ1030: マゴさんいたあ
[204.590] (S)あばない: ぺぺにい！
[205.847] khaaaki: 2D神いたあ！
[206.154] (S)yu_little: なかやん後ろにおるぞ
[206.448] kaworuko19: これ押してない感じか、すごい
[208.005] nano0616: マゴさんも！？
[208.136] (S)459dmaito: 2d神来てたのか
[209.528] (S)guntose: マゴいたぁ
[209.838] ﾁﾙ: マゴさん接写たのむ
[210.784] (S)もふもふ食パン: こんばんは〜('w'*)
[210.970] cowpander: 釈迦さん30分に配信台だって
[212.096] (S)m773373entaiko: なかやん後ろおるぞ
[212.515] (S)きそば: まごさんはどこ？
[213.919] (S)~MISSING_COMMENTER_INFO~: なるおがんばれよー！
[214.565] (S)れいんぴ: naru04Hiji1
[215.035] hs19840706: きょう何勝したら抜けるるの?
[215.704] (S)ピース様: なかやんいるぞ！
[216.155] (S)やくりのやっさん: うーふなるちゃんがんばえー
[220.019] (S)アブーラ: なかやん後ろにいるぞ
[221.240] (S)にしん__: うしろになかやんいるよ
[221.649] (S)04popoo: がんばれええ
[224.916] (S)きたむら__: mago2dAgo
[225.197] kallpas_09: 4勝で抜ける
[225.346] fuyuki6660: マゴさんは？
[226.436] hool2423: 3かな
[230.141] mahoro_ch: なるおがんばれ！
[230.712] (S)goldexpepe: goldexpepe subscribed at Tier 1. They've subscribed for 7 months! なかもとちゃん、なるお塩対応に号泣中
[230.874] (S)0001100111: 3回勝てば
[232.135] hool2423: 2か
[233.256] (S)mizzle7993: マゴさんどこ？
