[221.410] ~MISSING_COMMENTER_INFO~: ただ寝た？w
[224.701] (S)kohaku0782: 寝起き声やな
[226.063] れんぴょこ: 風呂の中で寝てたとしたら危ないよ
[226.066] sdns_: 目開かんな
[228.692] こむ____: 画面がMOZU
[230.906] sirotsukurotsu: シンプル気絶部？
[232.437] (S)banana8929: 寝起き声ってやつか
[235.630] (S)ゆりぃー: おかえり〜
[237.158] white25season: おかえりなさい 御無理なさらず
[241.875] endolulu: おかえりあんどおはよう
[242.868] (S)fc_mihara: 単純に気絶？
[243.041] (S)むちむちお: 声なんか空気多めやな
[249.367] sid_410_: 寝不足だろうに無理しないでな
[255.241] (S)未知数みちお: おはよ
[264.587] 火愚羅: 画面がMOZUってる
[264.702] (S)wata0516: 8時10時にコメくれたってチームメイトが言ってましたよ
[268.266] (M)Nightbot: 【Twitter】https://twitter.com/Fanta_JPN
[269.178] sdns_: キャプチャオンオフは？
[270.498] (S)obisan4646: オハイオ州！
[285.154] (S)yukky_games_: ほえ~~
[286.084] (S)ruruxxx02: ファン汰さんいつも楽しませてもらってます！
[293.052] tbo30914: お疲れ様です！
[298.210] にょきにょきむくり: オハンヨ
[301.220] (M)Nightbot: 【Youtube Channel】https://www.youtube.com/channel/UCWlx7GTk0zQCi_0tKJhV72w
[303.301] (S)taroimo_118: みんな釣りしてるよん
[304.543] (S)あら木: 見えるよ
[305.379] joukunuoj: mozuですよ
[306.726] (S)きゅむぉ: おは
[308.753] (S)very8888: きた
[309.022] どっかのだれかだよ: ｵﾊﾝﾖｰ
[310.693] 10花: 見えたー
[310.943] (S)kohaku0782: fantas22Nice
[311.866] (S)ttt2836: おか
[315.187] (S)未知数みちお: 単純に寝てたの？大丈夫？
[320.020] (S)nyac6late: お、寝たのか？？
[320.686] (S)はやみん007: きちゃー
[322.241] (S)テバ_02: キタキタ親父！🎵
[325.206] (M)Nightbot: 他配信の情報をコメントに書く行為、私の配信の情報を他の配信でコメントする行為は禁止です。
[336.165] sdns_: 企業ロゴレイヤー下になっちゃったな
[340.365] jhane: スポンサーが消えましたよ！(* 'ᵕ' )☆
[343.749] (S)生のイモ: こん塩
[344.452] (S)むちむちお: スポンサー見えないね
[348.755] (M)Nightbot: 他配信の情報をコメントに書く行為、私の配信の情報を他の配信でコメントする行為は禁止です。
[350.061] こなもーん: 画面キャプチャ危な
[397.528] nxsthj: あら
[417.778] (S)anees100: よかった
[423.539] (S)ryhac191: 成長したんですねぇ；；
[424.981] DaitoNJP: みんなすごいな
[425.579] (S)wata0516: すっごい
[427.009] (S)おちゃちゃあ: すごいらしいｗ
[430.353] kaito_follow: 配信からは分からないからな
[430.383] kaaaaaaaaame142: 増田？
[435.335] (S)エンペリ: ww
[435.714] ninnindangan: 見てる方は気が付かなかったな
[436.477] angela_qqq: すっごい
[436.724] 玄米ソードマン: 王おかえり
[436.736] (S)あら木: あったけえｗｗ
[437.359] nxsthj: なんかw
[437.869] 10花: 調子いい
[438.613] (S)いうた: www
[440.289] (S)子トラ: つりー！
[445.570] (S)こあちあん: ホントだスポンサー様が消えた
[448.694] (S)シーどる: かみーと元気になってる
[455.434] (S)あら木: 画面キャプチャ怖いなｗｗ
[461.770] (S)makaron0723: おけ
[462.274] (S)katuobushi6256: あいー
[462.493] megalo089: おけ
[462.884] jayliew: はい
[463.108] (S)goat_jp1: うい
[463.930] (S)chousai: 👍️
[464.823] (S)エンペリ: りょかーい
[465.005] (S)こあちあん: おk
[465.658] raftan122: うい
[465.911] (S)takenoko45: かんさんとどっちが似てるんやろ
[466.515] 10花: はーい
[466.662] mashumaro912: あいよ
[466.667] (S)いうた: ほい
[466.751] sdns_: VCオーバーレイありがたいな
[467.760] (S)very8888: あいー
[468.223] (S)its_MuNya: DinoDance
[468.567] (S)おちゃちゃあ: りょうかい
[469.183] (S)4tsu_03: おk
[473.324] 無料の屍: うぃ
