[778.664] cafe_gondo: ええすな
[779.298] (S)Kanquez05: ミカのテーマもカッコイイ系だもんね
[781.598] 157655: ミートさんめっちゃ余所行きのテンション
[782.072] (S)tenten2156: しらんけどｗ
[796.916] (S)ガチくんコス転売ヤー: ワイルドモンク subscribed at Tier 1. 
[799.692] (S)kyo967: 梅さんの顔ですよ
[800.980] cafe_gondo: 怒れるdaigoマーク
[801.472] (S)heterotopia3: 3年
[802.375] (S)tenten2156: ハイパーエックスのウメ
[804.146] (S)Kanquez05: HyperXのCMのやつ
[804.165] miharasan: 3年バッチらしい
[805.517] hoehoeR: 3年越えだとウメちゃんの顔になるらしい
[806.324] diego_ohunabara: umeCat
[807.890] (S)ask4exe: ウメカップのアイコンかな？
[808.931] (S)sora_neko09: ３年超えると，これになるらしい
[809.522] taketatsu_sonic: ＳＮＫサウンドに通じるカッコよさがありますね。格ゲー番組ぽくていいですね
[809.726] (S)shupii097: 殺意に目覚めたウメハラ
[816.369] (S)エリ_10: ハイパーエックスのウメ
[833.972] nin_moro: ふーどさん痩せた？
[842.814] miharasan: shamrock5000
[843.630] twitch_coniconi: ふーど歌う
[851.381] obo_006: うお
[852.385] (S)tenten2156: きたー
[854.987] (S)lyo0822: おお
[857.015] (S)kyo967: ひょえ）
[858.925] (S)papipopon: おわー
[869.469] cafe_gondo: うおおお
[869.998] Maxxyy_m: umeYay
[870.288] snowX23: リュウの歌詞付きの歌がいいなー
[878.127] (S)sora_neko09: 三原さんから5000ビッツ！
[882.602] venusblood4: ふーど頬にくぼみが
[890.248] yamame: ｗｗｗ
[894.070] Maxxyy_m: 残念ｗ
[902.663] (S)エリ_10: 5000！
[950.162] (S)Yokichi_68: ふーどダンス
[952.954] (S)ask4exe: 普通にふ～どさんの歌聞いてみたい
[980.929] (S)エリ_10: オープニングにそこまで労力かけなくてもw
[981.822] taketatsu_sonic: 格ゲーのが打撃音とかのＳＥ入れてみるのはどうでしょう
[983.279] cafe_gondo: すんごい
[994.749] obo_006: ｗｗｗ
[994.803] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[995.434] (S)bitucci: bitucci subscribed with Twitch Prime. 
[996.407] miharasan: ゲームしてないで働けばいいのに。
[1003.552] (S)sora_neko09: それはええことなんか・・・
[1003.997] (S)Kanquez05: 断って？ｗ
[1005.434] (S)papipopon: 大丈夫なのｗ
[1008.353] (S)junichitanaka: 食い扶持大事にねｗ
[1016.881] obo_006: ミートさんありがとー
[1018.706] (S)kyo967: 8888
[1023.498] (S)tenten2156: 8888888
[1029.308] ponta_ryuzaburo: 88888888
[1029.538] efmaniac_jp: ８８８８
